ept,mw,tmp
2015-01-01 00:00:00,69773.0,-1.67
2015-01-01 01:00:00,69773.0,-1.768
2015-01-01 02:00:00,66417.0,-1.841
2015-01-01 03:00:00,64182.0,-1.908
2015-01-01 04:00:00,63859.0,-1.962
2015-01-01 05:00:00,63921.0,-1.982
2015-01-01 06:00:00,64117.0,-2.032
2015-01-01 07:00:00,63861.0,-1.974
2015-01-01 08:00:00,64277.0,-0.797
2015-01-01 09:00:00,65100.0,0.861
2015-01-01 10:00:00,65875.0,2.313
2015-01-01 11:00:00,67460.0,3.606
2015-01-01 12:00:00,65706.0,4.323
2015-01-01 13:00:00,62688.0,4.336
2015-01-01 14:00:00,60798.0,3.535
2015-01-01 15:00:00,61111.0,1.923
2015-01-01 16:00:00,65620.0,0.935
2015-01-01 17:00:00,69967.0,0.799
2015-01-01 18:00:00,71682.0,0.68
2015-01-01 19:00:00,70462.0,0.506
2015-01-01 20:00:00,68173.0,0.442
2015-01-01 21:00:00,69188.0,0.446
2015-01-01 22:00:00,70135.0,0.413
2015-01-01 23:00:00,67584.0,0.403
2015-01-02 00:00:00,65510.0,0.468
2015-01-02 01:00:00,64522.0,0.619
2015-01-02 02:00:00,61798.0,0.791
2015-01-02 03:00:00,60686.0,0.957
2015-01-02 04:00:00,62060.0,1.14
2015-01-02 05:00:00,64662.0,1.45
2015-01-02 06:00:00,66982.0,1.78
2015-01-02 07:00:00,68828.0,2.167
2015-01-02 08:00:00,70472.0,2.975
2015-01-02 09:00:00,71681.0,4.082
2015-01-02 10:00:00,72248.0,5.218
2015-01-02 11:00:00,73443.0,6.104
2015-01-02 12:00:00,71451.0,6.672
2015-01-02 13:00:00,69123.0,6.695
2015-01-02 14:00:00,66628.0,5.827
2015-01-02 15:00:00,66234.0,4.277
2015-01-02 16:00:00,69985.0,3.511
2015-01-02 17:00:00,73818.0,3.185
2015-01-02 18:00:00,73971.0,2.753
2015-01-02 19:00:00,70938.0,2.573
2015-01-02 20:00:00,67746.0,2.542
2015-01-02 21:00:00,68455.0,2.529
2015-01-02 22:00:00,69539.0,2.326
2015-01-02 23:00:00,66642.0,2.08
2015-01-03 00:00:00,64227.0,1.917
2015-01-03 01:00:00,62716.0,1.954
2015-01-03 02:00:00,59396.0,1.939
2015-01-03 03:00:00,57700.0,1.964
2015-01-03 04:00:00,58131.0,2.066
2015-01-03 05:00:00,59493.0,2.315
2015-01-03 06:00:00,60986.0,2.661
2015-01-03 07:00:00,62703.0,3.13
2015-01-03 08:00:00,64814.0,3.998
2015-01-03 09:00:00,66427.0,5.145
2015-01-03 10:00:00,67027.0,6.521
2015-01-03 11:00:00,68498.0,7.723
2015-01-03 12:00:00,66851.0,8.667
2015-01-03 13:00:00,64325.0,9.26
2015-01-03 14:00:00,61852.0,9.457
2015-01-03 15:00:00,60906.0,9.176
2015-01-03 16:00:00,63367.0,8.755
2015-01-03 17:00:00,66458.0,8.609
2015-01-03 18:00:00,66400.0,8.443
2015-01-03 19:00:00,63519.0,8.199
2015-01-03 20:00:00,60554.0,7.935
2015-01-03 21:00:00,61320.0,7.615
2015-01-03 22:00:00,62725.0,7.137
2015-01-03 23:00:00,60265.0,6.574
2015-01-04 00:00:00,57658.0,5.955
2015-01-04 01:00:00,55874.0,5.429
2015-01-04 02:00:00,52581.0,4.943
2015-01-04 03:00:00,50650.0,4.529
2015-01-04 04:00:00,50570.0,4.226
2015-01-04 05:00:00,51566.0,4.005
2015-01-04 06:00:00,52564.0,3.803
2015-01-04 07:00:00,53872.0,3.664
2015-01-04 08:00:00,56101.0,4.144
2015-01-04 09:00:00,58463.0,5.147
2015-01-04 10:00:00,60123.0,6.047
2015-01-04 11:00:00,62579.0,6.878
2015-01-04 12:00:00,60885.0,7.474
2015-01-04 13:00:00,58183.0,7.637
2015-01-04 14:00:00,56109.0,7.146
2015-01-04 15:00:00,55809.0,5.501
2015-01-04 16:00:00,59859.0,4.045
2015-01-04 17:00:00,65218.0,3.396
2015-01-04 18:00:00,66941.0,2.873
2015-01-04 19:00:00,65231.0,2.364
2015-01-04 20:00:00,62623.0,1.934
2015-01-04 21:00:00,63366.0,1.629
2015-01-04 22:00:00,64730.0,1.434
2015-01-04 23:00:00,62610.0,1.457
2015-01-05 00:00:00,61092.0,1.531
2015-01-05 01:00:00,60219.0,1.383
2015-01-05 02:00:00,57535.0,1.225
2015-01-05 03:00:00,56891.0,1.075
2015-01-05 04:00:00,59823.0,0.913
2015-01-05 05:00:00,66249.0,0.761
2015-01-05 06:00:00,73308.0,0.608
2015-01-05 07:00:00,76107.0,0.523
2015-01-05 08:00:00,76452.0,1.181
2015-01-05 09:00:00,76494.0,2.274
2015-01-05 10:00:00,76683.0,3.543
2015-01-05 11:00:00,76812.0,4.687
2015-01-05 12:00:00,75421.0,5.475
2015-01-05 13:00:00,73763.0,5.81
2015-01-05 14:00:00,71536.0,5.464
2015-01-05 15:00:00,71665.0,3.882
2015-01-05 16:00:00,75440.0,2.169
2015-01-05 17:00:00,79847.0,1.474
2015-01-05 18:00:00,80090.0,1.065
2015-01-05 19:00:00,76262.0,0.775
2015-01-05 20:00:00,71858.0,0.564
2015-01-05 21:00:00,71997.0,0.356
2015-01-05 22:00:00,72673.0,0.196
2015-01-05 23:00:00,69935.0,0.078
2015-01-06 00:00:00,67795.0,-0.02
2015-01-06 01:00:00,66811.0,-0.098
2015-01-06 02:00:00,64040.0,-0.139
2015-01-06 03:00:00,63275.0,-0.204
2015-01-06 04:00:00,65977.0,-0.265
2015-01-06 05:00:00,72092.0,-0.282
2015-01-06 06:00:00,78888.0,-0.215
2015-01-06 07:00:00,81429.0,-0.083
2015-01-06 08:00:00,81438.0,0.793
2015-01-06 09:00:00,81086.0,1.982
2015-01-06 10:00:00,81166.0,3.111
2015-01-06 11:00:00,80973.0,4.144
2015-01-06 12:00:00,79304.0,4.926
2015-01-06 13:00:00,77662.0,5.254
2015-01-06 14:00:00,75285.0,4.966
2015-01-06 15:00:00,75028.0,3.828
2015-01-06 16:00:00,78196.0,2.905
2015-01-06 17:00:00,81983.0,2.867
2015-01-06 18:00:00,81712.0,2.877
2015-01-06 19:00:00,77245.0,2.812
2015-01-06 20:00:00,72532.0,2.668
2015-01-06 21:00:00,72243.0,2.554
2015-01-06 22:00:00,72686.0,2.458
2015-01-06 23:00:00,69988.0,2.252
2015-01-07 00:00:00,67621.0,1.978
2015-01-07 01:00:00,66393.0,1.824
2015-01-07 02:00:00,63640.0,1.776
2015-01-07 03:00:00,62955.0,1.676
2015-01-07 04:00:00,65636.0,1.53
2015-01-07 05:00:00,71516.0,1.273
2015-01-07 06:00:00,78168.0,1.08
2015-01-07 07:00:00,80971.0,1.112
2015-01-07 08:00:00,80546.0,1.819
2015-01-07 09:00:00,79801.0,2.788
2015-01-07 10:00:00,79494.0,3.873
2015-01-07 11:00:00,79036.0,4.97
2015-01-07 12:00:00,77255.0,5.721
2015-01-07 13:00:00,75421.0,5.999
2015-01-07 14:00:00,73262.0,5.633
2015-01-07 15:00:00,72881.0,4.382
2015-01-07 16:00:00,75844.0,3.466
2015-01-07 17:00:00,79935.0,3.408
2015-01-07 18:00:00,79786.0,3.433
2015-01-07 19:00:00,75418.0,3.508
2015-01-07 20:00:00,71486.0,3.588
2015-01-07 21:00:00,70933.0,3.696
2015-01-07 22:00:00,71301.0,3.799
