ept,mw,tmp
2015-01-01 00:00:00,21534.0,-1.123
2015-01-01 01:00:00,21534.0,-1.111
2015-01-01 02:00:00,20219.0,-1.036
2015-01-01 03:00:00,19470.0,-0.955
2015-01-01 04:00:00,19485.0,-0.905
2015-01-01 05:00:00,20349.0,-0.849
2015-01-01 06:00:00,20715.0,-0.722
2015-01-01 07:00:00,21092.0,0.256
2015-01-01 08:00:00,22776.0,1.944
2015-01-01 09:00:00,24243.0,3.426
2015-01-01 10:00:00,25601.0,4.434
2015-01-01 11:00:00,25790.0,5.042
2015-01-01 12:00:00,24249.0,5.268
2015-01-01 13:00:00,23416.0,5.082
2015-01-01 14:00:00,23716.0,4.118
2015-01-01 15:00:00,25405.0,2.301
2015-01-01 16:00:00,29787.0,1.546
2015-01-01 17:00:00,30946.0,1.456
2015-01-01 18:00:00,31359.0,1.429
2015-01-01 19:00:00,30611.0,1.462
2015-01-01 20:00:00,29168.0,1.527
2015-01-01 21:00:00,26859.0,1.508
2015-01-01 22:00:00,24116.0,1.495
2015-01-01 23:00:00,21568.0,1.503
2015-01-02 00:00:00,19764.0,1.457
2015-01-02 01:00:00,18755.0,1.413
2015-01-02 02:00:00,18412.0,1.361
2015-01-02 03:00:00,18558.0,1.304
2015-01-02 04:00:00,19810.0,1.247
2015-01-02 05:00:00,22878.0,1.21
2015-01-02 06:00:00,26190.0,1.288
2015-01-02 07:00:00,29053.0,2.515
2015-01-02 08:00:00,31535.0,4.4
2015-01-02 09:00:00,31804.0,5.995
2015-01-02 10:00:00,31496.0,7.237
2015-01-02 11:00:00,30827.0,8.014
2015-01-02 12:00:00,29624.0,8.301
2015-01-02 13:00:00,30125.0,7.962
2015-01-02 14:00:00,31251.0,6.703
2015-01-02 15:00:00,33396.0,5.149
2015-01-02 16:00:00,38291.0,4.655
2015-01-02 17:00:00,38662.0,4.631
2015-01-02 18:00:00,38219.0,4.6
2015-01-02 19:00:00,35572.0,4.528
2015-01-02 20:00:00,32695.0,4.5
2015-01-02 21:00:00,29068.0,4.464
2015-01-02 22:00:00,25909.0,4.572
2015-01-02 23:00:00,22906.0,4.62
2015-01-03 00:00:00,20851.0,4.553
2015-01-03 01:00:00,19712.0,4.432
2015-01-03 02:00:00,19264.0,4.385
2015-01-03 03:00:00,19298.0,4.322
2015-01-03 04:00:00,20192.0,4.185
2015-01-03 05:00:00,22529.0,3.961
2015-01-03 06:00:00,25195.0,3.866
2015-01-03 07:00:00,27383.0,4.654
2015-01-03 08:00:00,29452.0,6.413
2015-01-03 09:00:00,29664.0,8.056
2015-01-03 10:00:00,28845.0,9.285
2015-01-03 11:00:00,27936.0,9.998
2015-01-03 12:00:00,27154.0,10.239
2015-01-03 13:00:00,27167.0,9.865
2015-01-03 14:00:00,28009.0,8.602
2015-01-03 15:00:00,30099.0,6.753
2015-01-03 16:00:00,34795.0,6.041
2015-01-03 17:00:00,35872.0,5.807
2015-01-03 18:00:00,35893.0,5.577
2015-01-03 19:00:00,33609.0,5.538
2015-01-03 20:00:00,30837.0,5.574
