ept,mw,tmp
2015-01-01 00:00:00,9401,1.869
2015-01-01 01:00:00,8957,1.625
2015-01-01 02:00:00,8462,1.448
2015-01-01 03:00:00,8156,1.25
2015-01-01 04:00:00,8126,1.102
2015-01-01 05:00:00,8292,0.93
2015-01-01 06:00:00,8638,0.784
2015-01-01 07:00:00,8927,0.556
2015-01-01 08:00:00,9312,0.718
2015-01-01 09:00:00,9933,1.359
2015-01-01 10:00:00,10432,2.04
2015-01-01 11:00:00,11919,2.75
2015-01-01 12:00:00,11951,3.172
2015-01-01 13:00:00,12067,3.298
2015-01-01 14:00:00,11829,3.116
2015-01-01 15:00:00,12087,2.617
2015-01-01 16:00:00,12683,2.359
2015-01-01 17:00:00,12299,2.252
2015-01-01 18:00:00,11716,2.213
2015-01-01 19:00:00,11365,2.179
2015-01-01 20:00:00,10878,2.196
2015-01-01 21:00:00,10563,2.252
2015-01-01 22:00:00,9824,2.388
2015-01-01 23:00:00,8995,2.64
2015-01-02 00:00:00,8303,2.977
2015-01-02 01:00:00,7876,3.374
2015-01-02 02:00:00,7700,3.841
2015-01-02 03:00:00,7771,4.457
2015-01-02 04:00:00,8255,5.25
2015-01-02 05:00:00,9355,6.165
2015-01-02 06:00:00,10990,7.026
2015-01-02 07:00:00,12458,7.307
2015-01-02 08:00:00,13446,7.184
2015-01-02 09:00:00,14038,7.247
2015-01-02 10:00:00,14021,7.375
2015-01-02 11:00:00,13813,7.548
2015-01-02 12:00:00,13566,7.643
2015-01-02 13:00:00,13543,7.4
2015-01-02 14:00:00,13899,6.694
2015-01-02 15:00:00,14181,5.832
2015-01-02 16:00:00,15086,5.584
2015-01-02 17:00:00,14341,5.462
2015-01-02 18:00:00,13904,5.309
2015-01-02 19:00:00,13403,4.985
2015-01-02 20:00:00,12632,4.642
2015-01-02 21:00:00,11720,4.391
2015-01-02 22:00:00,11180,4.092
2015-01-02 23:00:00,10869,3.676
2015-01-03 00:00:00,10501,3.897
2015-01-03 01:00:00,10213,4.034
2015-01-03 02:00:00,10047,3.947
2015-01-03 03:00:00,9840,3.821
2015-01-03 04:00:00,10137,3.691
2015-01-03 05:00:00,10463,3.616
2015-01-03 06:00:00,11022,3.59
2015-01-03 07:00:00,11918,3.563
2015-01-03 08:00:00,12980,3.446
2015-01-03 09:00:00,13670,3.252
2015-01-03 10:00:00,14458,3.011
2015-01-03 11:00:00,14821,3.053
2015-01-03 12:00:00,14856,3.265
2015-01-03 13:00:00,15101,3.254
2015-01-03 14:00:00,15457,2.905
2015-01-03 15:00:00,15728,2.344
2015-01-03 16:00:00,16127,2.292
2015-01-03 17:00:00,15663,2.379
2015-01-03 18:00:00,14800,2.585
2015-01-03 19:00:00,13959,2.901
2015-01-03 20:00:00,13258,3.337
2015-01-03 21:00:00,12430,3.584
2015-01-03 22:00:00,11604,3.309
2015-01-03 23:00:00,11033,3.243
2015-01-04 00:00:00,10512,3.271
2015-01-04 01:00:00,9963,3.333
2015-01-04 02:00:00,9759,3.322
2015-01-04 03:00:00,9715,3.278
2015-01-04 04:00:00,9865,2.998
2015-01-04 05:00:00,10119,2.849
2015-01-04 06:00:00,10770,2.614
2015-01-04 07:00:00,11637,2.427
2015-01-04 08:00:00,12423,3.068
2015-01-04 09:00:00,13200,4.575
2015-01-04 10:00:00,13474,5.636
2015-01-04 11:00:00,13384,6.312
2015-01-04 12:00:00,13590,6.614
2015-01-04 13:00:00,13786,6.399
2015-01-04 14:00:00,13938,5.16
2015-01-04 15:00:00,13947,2.972
2015-01-04 16:00:00,15051,2.142
2015-01-04 17:00:00,15182,1.677
2015-01-04 18:00:00,15015,1.353
2015-01-04 19:00:00,14561,1.166
2015-01-04 20:00:00,14015,1.084
2015-01-04 21:00:00,13172,1.019
2015-01-04 22:00:00,12148,0.95
2015-01-04 23:00:00,11476,0.909
2015-01-05 00:00:00,10890,0.897
2015-01-05 01:00:00,10460,0.883
2015-01-05 02:00:00,10373,0.859
2015-01-05 03:00:00,10550,0.968
2015-01-05 04:00:00,11098,1.246
2015-01-05 05:00:00,13000,1.352
2015-01-05 06:00:00,15444,1.329
2015-01-05 07:00:00,17613,1.232
2015-01-05 08:00:00,18253,1.344
2015-01-05 09:00:00,18510,1.767
2015-01-05 10:00:00,18724,2.272
2015-01-05 11:00:00,17579,2.681
2015-01-05 12:00:00,18717,2.947
2015-01-05 13:00:00,18950,3.076
2015-01-05 14:00:00,18826,2.995
2015-01-05 15:00:00,18997,2.724
2015-01-05 16:00:00,19272,2.609
2015-01-05 17:00:00,18341,2.518
2015-01-05 18:00:00,17568,2.456
2015-01-05 19:00:00,16884,2.388
2015-01-05 20:00:00,15951,2.281
2015-01-05 21:00:00,14697,2.187
2015-01-05 22:00:00,13708,2.035
2015-01-05 23:00:00,12772,1.776
2015-01-06 00:00:00,12082,1.503
2015-01-06 01:00:00,11748,1.223
2015-01-06 02:00:00,11644,0.965
2015-01-06 03:00:00,11709,0.67
2015-01-06 04:00:00,12060,0.39
2015-01-06 05:00:00,13425,0.031
