utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,1813.7,19.04
2015-01-01 06:00:00,2015-01-01 01:00:00,1737.4,19.04
2015-01-01 07:00:00,2015-01-01 02:00:00,1700.7,20.12
2015-01-01 08:00:00,2015-01-01 03:00:00,1683.3,20.12
2015-01-01 09:00:00,2015-01-01 04:00:00,1688.4,20.12
2015-01-01 10:00:00,2015-01-01 05:00:00,1719.3,20.12
2015-01-01 11:00:00,2015-01-01 06:00:00,1766.2,20.12
2015-01-01 12:00:00,2015-01-01 07:00:00,1797.7,21.02
2015-01-01 13:00:00,2015-01-01 08:00:00,1836.6,21.02
2015-01-01 14:00:00,2015-01-01 09:00:00,1894.4,23.0
2015-01-01 15:00:00,2015-01-01 10:00:00,1933.2,23.0
2015-01-01 16:00:00,2015-01-01 11:00:00,1960.0,23.0
2015-01-01 17:00:00,2015-01-01 12:00:00,1962.1,27.14
2015-01-01 18:00:00,2015-01-01 13:00:00,1937.4,29.12
2015-01-01 19:00:00,2015-01-01 14:00:00,1907.6,31.1
2015-01-01 20:00:00,2015-01-01 15:00:00,1910.0,32.0
2015-01-01 21:00:00,2015-01-01 16:00:00,2000.4,31.1
2015-01-01 22:00:00,2015-01-01 17:00:00,2153.7,32.0
2015-01-01 23:00:00,2015-01-01 18:00:00,2133.9,32.9
2015-01-02 00:00:00,2015-01-01 19:00:00,2096.9,32.0
2015-01-02 01:00:00,2015-01-01 20:00:00,2041.1,32.0
2015-01-02 02:00:00,2015-01-01 21:00:00,1964.9,32.0
2015-01-02 03:00:00,2015-01-01 22:00:00,1854.0,32.0
2015-01-02 04:00:00,2015-01-01 23:00:00,1731.5,32.0
2015-01-02 05:00:00,2015-01-02 00:00:00,1672.9,32.0
2015-01-02 06:00:00,2015-01-02 01:00:00,1640.7,31.1
2015-01-02 07:00:00,2015-01-02 02:00:00,1613.4,31.1
2015-01-02 08:00:00,2015-01-02 03:00:00,1606.2,30.02
2015-01-02 09:00:00,2015-01-02 04:00:00,1632.2,30.02
2015-01-02 10:00:00,2015-01-02 05:00:00,1716.0,30.02
2015-01-02 11:00:00,2015-01-02 06:00:00,1835.0,30.02
2015-01-02 12:00:00,2015-01-02 07:00:00,1940.2,31.1
2015-01-02 13:00:00,2015-01-02 08:00:00,1993.6,29.12
2015-01-02 14:00:00,2015-01-02 09:00:00,2073.7,28.04
2015-01-02 15:00:00,2015-01-02 10:00:00,2090.3,28.04
2015-01-02 16:00:00,2015-01-02 11:00:00,2097.3,28.04
2015-01-02 17:00:00,2015-01-02 12:00:00,2090.4,29.12
2015-01-02 18:00:00,2015-01-02 13:00:00,2084.1,30.02
2015-01-02 19:00:00,2015-01-02 14:00:00,2072.0,30.02
2015-01-02 20:00:00,2015-01-02 15:00:00,2082.0,30.02
