utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,643.8,24.08
2015-01-01 06:00:00,2015-01-01 01:00:00,612.9,23.0
2015-01-01 07:00:00,2015-01-01 02:00:00,587.9,24.08
2015-01-01 08:00:00,2015-01-01 03:00:00,570.0,23.0
2015-01-01 09:00:00,2015-01-01 04:00:00,563.5,23.0
2015-01-01 10:00:00,2015-01-01 05:00:00,572.5,23.0
2015-01-01 11:00:00,2015-01-01 06:00:00,585.1,21.92
2015-01-01 12:00:00,2015-01-01 07:00:00,582.8,21.92
2015-01-01 13:00:00,2015-01-01 08:00:00,590.0,24.08
2015-01-01 14:00:00,2015-01-01 09:00:00,611.7,26.06
2015-01-01 15:00:00,2015-01-01 10:00:00,635.9,26.96
2015-01-01 16:00:00,2015-01-01 11:00:00,651.9,28.94
2015-01-01 17:00:00,2015-01-01 12:00:00,657.7,30.02
2015-01-01 18:00:00,2015-01-01 13:00:00,657.0,32.0
2015-01-01 19:00:00,2015-01-01 14:00:00,657.2,33.98
2015-01-01 20:00:00,2015-01-01 15:00:00,661.1,35.06
2015-01-01 21:00:00,2015-01-01 16:00:00,693.8,35.06
2015-01-01 22:00:00,2015-01-01 17:00:00,758.8,33.98
2015-01-01 23:00:00,2015-01-01 18:00:00,763.7,33.98
2015-01-02 00:00:00,2015-01-01 19:00:00,752.8,35.06
2015-01-02 01:00:00,2015-01-01 20:00:00,739.9,35.96
2015-01-02 02:00:00,2015-01-01 21:00:00,719.1,35.06
2015-01-02 03:00:00,2015-01-01 22:00:00,679.0,35.06
2015-01-02 04:00:00,2015-01-01 23:00:00,627.9,33.98
2015-01-02 05:00:00,2015-01-02 00:00:00,583.0,33.98
2015-01-02 06:00:00,2015-01-02 01:00:00,557.6,33.98
2015-01-02 07:00:00,2015-01-02 02:00:00,541.9,33.98
2015-01-02 08:00:00,2015-01-02 03:00:00,532.1,33.08
2015-01-02 09:00:00,2015-01-02 04:00:00,527.3,33.08
2015-01-02 10:00:00,2015-01-02 05:00:00,549.9,32.0
2015-01-02 11:00:00,2015-01-02 06:00:00,592.9,33.08
2015-01-02 12:00:00,2015-01-02 07:00:00,631.4,33.08
2015-01-02 13:00:00,2015-01-02 08:00:00,669.3,33.98
2015-01-02 14:00:00,2015-01-02 09:00:00,704.3,35.06
2015-01-02 15:00:00,2015-01-02 10:00:00,726.9,35.96
2015-01-02 16:00:00,2015-01-02 11:00:00,728.1,37.94
2015-01-02 17:00:00,2015-01-02 12:00:00,729.4,39.02
2015-01-02 18:00:00,2015-01-02 13:00:00,720.9,39.92
2015-01-02 19:00:00,2015-01-02 14:00:00,711.1,39.02
2015-01-02 20:00:00,2015-01-02 15:00:00,717.4,39.92
2015-01-02 21:00:00,2015-01-02 16:00:00,749.6,39.02
2015-01-02 22:00:00,2015-01-02 17:00:00,808.4,35.96
2015-01-02 23:00:00,2015-01-02 18:00:00,808.7,35.96
2015-01-03 00:00:00,2015-01-02 19:00:00,788.6,32.0
2015-01-03 01:00:00,2015-01-02 20:00:00,768.3,33.98
