utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,1042.4,21.92
2015-01-01 06:00:00,2015-01-01 01:00:00,991.2,21.92
2015-01-01 07:00:00,2015-01-01 02:00:00,961.5,21.92
2015-01-01 08:00:00,2015-01-01 03:00:00,947.1,21.92
2015-01-01 09:00:00,2015-01-01 04:00:00,951.2,21.92
2015-01-01 10:00:00,2015-01-01 05:00:00,970.6,23.0
2015-01-01 11:00:00,2015-01-01 06:00:00,994.6,23.0
2015-01-01 12:00:00,2015-01-01 07:00:00,1013.7,23.0
2015-01-01 13:00:00,2015-01-01 08:00:00,1030.1,23.0
2015-01-01 14:00:00,2015-01-01 09:00:00,1074.0,21.92
2015-01-01 15:00:00,2015-01-01 10:00:00,1111.9,23.0
2015-01-01 16:00:00,2015-01-01 11:00:00,1130.2,26.06
2015-01-01 17:00:00,2015-01-01 12:00:00,1136.9,28.94
2015-01-01 18:00:00,2015-01-01 13:00:00,1129.6,32.0
2015-01-01 19:00:00,2015-01-01 14:00:00,1110.0,33.98
2015-01-01 20:00:00,2015-01-01 15:00:00,1116.1,35.06
2015-01-01 21:00:00,2015-01-01 16:00:00,1182.5,33.98
2015-01-01 22:00:00,2015-01-01 17:00:00,1291.7,33.98
2015-01-01 23:00:00,2015-01-01 18:00:00,1271.1,33.08
2015-01-02 00:00:00,2015-01-01 19:00:00,1244.8,33.08
2015-01-02 01:00:00,2015-01-01 20:00:00,1207.6,33.08
2015-01-02 02:00:00,2015-01-01 21:00:00,1156.0,33.08
2015-01-02 03:00:00,2015-01-01 22:00:00,1080.4,33.08
2015-01-02 04:00:00,2015-01-01 23:00:00,1015.3,32.0
2015-01-02 05:00:00,2015-01-02 00:00:00,972.2,30.92
2015-01-02 06:00:00,2015-01-02 01:00:00,939.7,30.02
2015-01-02 07:00:00,2015-01-02 02:00:00,922.1,30.02
2015-01-02 08:00:00,2015-01-02 03:00:00,914.0,30.92
2015-01-02 09:00:00,2015-01-02 04:00:00,930.4,30.92
2015-01-02 10:00:00,2015-01-02 05:00:00,982.5,30.92
2015-01-02 11:00:00,2015-01-02 06:00:00,1058.9,30.92
2015-01-02 12:00:00,2015-01-02 07:00:00,1123.3,30.92
2015-01-02 13:00:00,2015-01-02 08:00:00,1155.9,30.02
2015-01-02 14:00:00,2015-01-02 09:00:00,1194.6,28.94
2015-01-02 15:00:00,2015-01-02 10:00:00,1213.3,28.94
2015-01-02 16:00:00,2015-01-02 11:00:00,1216.6,28.94
2015-01-02 17:00:00,2015-01-02 12:00:00,1219.3,30.02
2015-01-02 18:00:00,2015-01-02 13:00:00,1211.5,30.02
2015-01-02 19:00:00,2015-01-02 14:00:00,1190.4,30.92
2015-01-02 20:00:00,2015-01-02 15:00:00,1193.0,30.92
2015-01-02 21:00:00,2015-01-02 16:00:00,1245.1,30.92
2015-01-02 22:00:00,2015-01-02 17:00:00,1343.1,30.92
2015-01-02 23:00:00,2015-01-02 18:00:00,1323.6,30.92
2015-01-03 00:00:00,2015-01-02 19:00:00,1284.1,30.92
2015-01-03 01:00:00,2015-01-02 20:00:00,1247.1,28.94
2015-01-03 02:00:00,2015-01-02 21:00:00,1196.7,26.96
2015-01-03 03:00:00,2015-01-02 22:00:00,1125.0,26.06
2015-01-03 04:00:00,2015-01-02 23:00:00,1052.2,24.98
2015-01-03 05:00:00,2015-01-03 00:00:00,996.3,23.0
2015-01-03 06:00:00,2015-01-03 01:00:00,963.1,21.92
2015-01-03 07:00:00,2015-01-03 02:00:00,944.9,21.02
2015-01-03 08:00:00,2015-01-03 03:00:00,934.6,21.02
2015-01-03 09:00:00,2015-01-03 04:00:00,940.0,21.92
2015-01-03 10:00:00,2015-01-03 05:00:00,970.3,21.92
2015-01-03 11:00:00,2015-01-03 06:00:00,1014.3,21.92
2015-01-03 12:00:00,2015-01-03 07:00:00,1065.1,21.92
2015-01-03 13:00:00,2015-01-03 08:00:00,1094.0,24.08
2015-01-03 14:00:00,2015-01-03 09:00:00,1140.3,28.94
