utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,1069.8,19.4
2015-01-01 06:00:00,2015-01-01 01:00:00,1020.4,19.4
2015-01-01 07:00:00,2015-01-01 02:00:00,982.8,21.2
2015-01-01 08:00:00,2015-01-01 03:00:00,962.1,21.2
2015-01-01 09:00:00,2015-01-01 04:00:00,957.5,21.2
2015-01-01 10:00:00,2015-01-01 05:00:00,972.0,21.2
2015-01-01 11:00:00,2015-01-01 06:00:00,998.9,21.2
2015-01-01 12:00:00,2015-01-01 07:00:00,1006.3,21.2
2015-01-01 13:00:00,2015-01-01 08:00:00,1032.1,21.2
2015-01-01 14:00:00,2015-01-01 09:00:00,1065.2,23.0
2015-01-01 15:00:00,2015-01-01 10:00:00,1096.0,24.8
2015-01-01 16:00:00,2015-01-01 11:00:00,1110.9,26.6
2015-01-01 17:00:00,2015-01-01 12:00:00,1116.1,30.2
2015-01-01 18:00:00,2015-01-01 13:00:00,1114.3,30.2
2015-01-01 19:00:00,2015-01-01 14:00:00,1103.6,32.0
2015-01-01 20:00:00,2015-01-01 15:00:00,1117.5,33.8
2015-01-01 21:00:00,2015-01-01 16:00:00,1194.4,33.8
2015-01-01 22:00:00,2015-01-01 17:00:00,1315.5,33.8
2015-01-01 23:00:00,2015-01-01 18:00:00,1315.7,32.0
2015-01-02 00:00:00,2015-01-01 19:00:00,1290.8,32.0
2015-01-02 01:00:00,2015-01-01 20:00:00,1258.5,33.8
2015-01-02 02:00:00,2015-01-01 21:00:00,1206.6,33.8
2015-01-02 03:00:00,2015-01-01 22:00:00,1126.0,33.8
2015-01-02 04:00:00,2015-01-01 23:00:00,1034.8,33.8
2015-01-02 05:00:00,2015-01-02 00:00:00,964.4,33.8
2015-01-02 06:00:00,2015-01-02 01:00:00,917.7,33.8
2015-01-02 07:00:00,2015-01-02 02:00:00,898.9,32.0
2015-01-02 08:00:00,2015-01-02 03:00:00,891.6,32.0
2015-01-02 09:00:00,2015-01-02 04:00:00,904.0,32.0
2015-01-02 10:00:00,2015-01-02 05:00:00,943.9,32.0
2015-01-02 11:00:00,2015-01-02 06:00:00,1009.4,32.0
2015-01-02 12:00:00,2015-01-02 07:00:00,1073.3,32.0
2015-01-02 13:00:00,2015-01-02 08:00:00,1115.0,33.8
2015-01-02 14:00:00,2015-01-02 09:00:00,1161.5,33.8
