utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,2338.0,24.08
2015-01-01 06:00:00,2015-01-01 01:00:00,2164.1,24.98
2015-01-01 07:00:00,2015-01-01 02:00:00,2060.0,23.0
2015-01-01 08:00:00,2015-01-01 03:00:00,1989.3,24.98
2015-01-01 09:00:00,2015-01-01 04:00:00,1968.8,24.08
2015-01-01 10:00:00,2015-01-01 05:00:00,1986.3,24.08
2015-01-01 11:00:00,2015-01-01 06:00:00,2022.0,24.98
2015-01-01 12:00:00,2015-01-01 07:00:00,2020.8,26.06
2015-01-01 13:00:00,2015-01-01 08:00:00,2060.6,26.06
2015-01-01 14:00:00,2015-01-01 09:00:00,2132.4,28.94
2015-01-01 15:00:00,2015-01-01 10:00:00,2208.0,30.92
2015-01-01 16:00:00,2015-01-01 11:00:00,2261.1,32.0
2015-01-01 17:00:00,2015-01-01 12:00:00,2275.1,33.98
2015-01-01 18:00:00,2015-01-01 13:00:00,2273.0,35.96
2015-01-01 19:00:00,2015-01-01 14:00:00,2274.6,37.04
2015-01-01 20:00:00,2015-01-01 15:00:00,2309.9,37.04
2015-01-01 21:00:00,2015-01-01 16:00:00,2518.0,37.04
2015-01-01 22:00:00,2015-01-01 17:00:00,2845.7,35.06
2015-01-01 23:00:00,2015-01-01 18:00:00,2859.5,37.04
2015-01-02 00:00:00,2015-01-01 19:00:00,2805.8,37.94
2015-01-02 01:00:00,2015-01-01 20:00:00,2743.7,37.94
2015-01-02 02:00:00,2015-01-01 21:00:00,2669.7,37.94
2015-01-02 03:00:00,2015-01-01 22:00:00,2438.0,39.02
2015-01-02 04:00:00,2015-01-01 23:00:00,2220.0,39.02
2015-01-02 05:00:00,2015-01-02 00:00:00,2039.1,37.94
2015-01-02 06:00:00,2015-01-02 01:00:00,1909.6,35.96
2015-01-02 07:00:00,2015-01-02 02:00:00,1838.7,35.96
2015-01-02 08:00:00,2015-01-02 03:00:00,1816.8,33.98
2015-01-02 09:00:00,2015-01-02 04:00:00,1836.7,33.98
2015-01-02 10:00:00,2015-01-02 05:00:00,1931.1,33.98
2015-01-02 11:00:00,2015-01-02 06:00:00,2080.2,35.06
2015-01-02 12:00:00,2015-01-02 07:00:00,2195.5,33.98
2015-01-02 13:00:00,2015-01-02 08:00:00,2281.0,33.98
2015-01-02 14:00:00,2015-01-02 09:00:00,2353.0,37.94
2015-01-02 15:00:00,2015-01-02 10:00:00,2412.0,39.92
2015-01-02 16:00:00,2015-01-02 11:00:00,2419.3,42.98
2015-01-02 17:00:00,2015-01-02 12:00:00,2394.6,42.98
2015-01-02 18:00:00,2015-01-02 13:00:00,2380.8,44.06
2015-01-02 19:00:00,2015-01-02 14:00:00,2376.1,42.08
2015-01-02 20:00:00,2015-01-02 15:00:00,2410.6,42.08
2015-01-02 21:00:00,2015-01-02 16:00:00,2621.2,39.92
2015-01-02 22:00:00,2015-01-02 17:00:00,2914.2,37.04
2015-01-02 23:00:00,2015-01-02 18:00:00,2940.1,37.04
2015-01-03 00:00:00,2015-01-02 19:00:00,2877.5,35.06
2015-01-03 01:00:00,2015-01-02 20:00:00,2825.1,32.0
2015-01-03 02:00:00,2015-01-02 21:00:00,2701.1,33.98
