date,month,hour,dayofweek,tmpc,mw2day,mw7day
2017-01-08 00:00:00,1,0,6,4.094,24192.0,23393.0
2017-01-08 01:00:00,1,1,6,3.899,22472.0,21909.0
2017-01-08 02:00:00,1,2,6,3.748,21530.0,20615.0
2017-01-08 03:00:00,1,3,6,3.577,21168.0,19628.0
2017-01-08 04:00:00,1,4,6,3.386,21070.0,19252.0
2017-01-08 05:00:00,1,5,6,3.245,21391.0,19351.0
2017-01-08 06:00:00,1,6,6,3.137,22452.0,19691.0
2017-01-08 07:00:00,1,7,6,3.174,22804.0,19600.0
2017-01-08 08:00:00,1,8,6,5.111,24629.0,20238.0
2017-01-08 09:00:00,1,9,6,7.614,26449.0,22001.0
2017-01-08 10:00:00,1,10,6,9.685,27131.0,23417.0
2017-01-08 11:00:00,1,11,6,11.483,26852.0,24064.0
2017-01-08 12:00:00,1,12,6,12.659,26987.0,24655.0
2017-01-08 13:00:00,1,13,6,13.226,26313.0,24680.0
2017-01-08 14:00:00,1,14,6,13.201,24900.0,23427.0
2017-01-08 15:00:00,1,15,6,12.064,24261.0,22972.0
2017-01-08 16:00:00,1,16,6,9.676,24628.0,23540.0
2017-01-08 17:00:00,1,17,6,7.948,27130.0,26259.0
2017-01-08 18:00:00,1,18,6,7.068,28605.0,27668.0
2017-01-08 19:00:00,1,19,6,6.343,29498.0,28683.0
2017-01-08 20:00:00,1,20,6,5.728,30080.0,29180.0
2017-01-08 21:00:00,1,21,6,5.243,29736.0,28618.0
2017-01-08 22:00:00,1,22,6,4.933,27790.0,26357.0
2017-01-08 23:00:00,1,23,6,4.688,25934.0,23755.0
2017-01-09 00:00:00,1,0,0,4.467,23897.0,21649.0
2017-01-09 01:00:00,1,1,0,4.221,22395.0,20422.0
2017-01-09 02:00:00,1,2,0,4.038,21554.0,19846.0
2017-01-09 03:00:00,1,3,0,3.847,21337.0,19749.0
2017-01-09 04:00:00,1,4,0,3.655,21578.0,20450.0
