date,tmp,month,hour,dayofweek,poten_2,poten_7
2015-01-08 00:00:00,1.499,1,0,3,2482.4,1309.3999999999996
2015-01-08 01:00:00,1.842,1,1,3,2493.6000000000004,1364.6000000000004
2015-01-08 02:00:00,2.338,1,2,3,2526.2,1271.1999999999998
2015-01-08 03:00:00,2.934,1,3,3,2646.2,1135.1999999999998
2015-01-08 04:00:00,3.446,1,4,3,2930.8,1002.8000000000002
2015-01-08 05:00:00,3.888,1,5,3,3903.8,763.8000000000002
2015-01-08 06:00:00,4.337,1,6,3,4841.8,422.8000000000002
2015-01-08 07:00:00,4.518,1,7,3,5054.6,267.6000000000004
2015-01-08 08:00:00,4.755,1,8,3,4861.0,146.0
2015-01-08 09:00:00,5.151,1,9,3,4445.799999999999,149.79999999999927
2015-01-08 10:00:00,5.671,1,10,3,4131.6,28.600000000000364
2015-01-08 11:00:00,6.149,1,11,3,3747.7999999999993,20.799999999999272
2015-01-08 12:00:00,6.596,1,12,3,3682.0,0.0
2015-01-08 13:00:00,7.009,1,13,3,3773.6,0.0
2015-01-08 14:00:00,7.112,1,14,3,3757.0,0.0
2015-01-08 15:00:00,6.551,1,15,3,3799.6,0.0
2015-01-08 16:00:00,5.457,1,16,3,3932.7999999999993,85.79999999999927
2015-01-08 17:00:00,4.591,1,17,3,3871.4,234.39999999999964
2015-01-08 18:00:00,4.333,1,18,3,3490.0,358.0
2015-01-08 19:00:00,4.37,1,19,3,3160.6000000000004,361.6000000000004
2015-01-08 20:00:00,4.481,1,20,3,2746.2000000000007,462.2000000000007
2015-01-08 21:00:00,4.487,1,21,3,2697.4,721.3999999999996
2015-01-08 22:00:00,4.492,1,22,3,2593.8,872.7999999999993
2015-01-08 23:00:00,4.614,1,23,3,2480.8,890.7999999999993
2015-01-09 00:00:00,4.795,1,0,4,2336.4,826.3999999999996
2015-01-09 01:00:00,4.974,1,1,4,2389.6000000000004,783.6000000000004
2015-01-09 02:00:00,5.073,1,2,4,2491.2,793.1999999999998
2015-01-09 03:00:00,5.023,1,3,4,2571.2,845.1999999999998
2015-01-09 04:00:00,5.338,1,4,4,2876.8,1032.8000000000002
2015-01-09 05:00:00,6.104,1,5,4,3732.8,1335.8000000000002
2015-01-09 06:00:00,6.594,1,6,4,4771.8,1526.8000000000002
2015-01-09 07:00:00,6.985,1,7,4,4944.6,1857.6000000000004
2015-01-09 08:00:00,7.66,1,8,4,4605.0,2049.0
2015-01-09 09:00:00,8.51,1,9,4,4134.799999999999,2029.7999999999995
2015-01-09 10:00:00,9.489,1,10,4,3898.6,1910.6000000000004
2015-01-09 11:00:00,10.286,1,11,4,3508.8,1698.7999999999993
2015-01-09 12:00:00,10.764,1,12,4,3449.0,1494.0
2015-01-09 13:00:00,10.805,1,13,4,3520.6000000000004,1333.6000000000004
2015-01-09 14:00:00,10.62,1,14,4,3532.0,1254.0
2015-01-09 15:00:00,10.23,1,15,4,3594.6000000000004,1342.6000000000004
2015-01-09 16:00:00,9.946,1,16,4,3809.7999999999993,1633.7999999999993
2015-01-09 17:00:00,9.953,1,17,4,3718.4,1749.3999999999996
2015-01-09 18:00:00,10.314,1,18,4,3285.0,1563.0
2015-01-09 19:00:00,11.139,1,19,4,2998.6000000000004,1304.6000000000004
2015-01-09 20:00:00,11.776,1,20,4,2620.2000000000007,1033.2000000000007
2015-01-09 21:00:00,12.046,1,21,4,2476.4,1187.3999999999996
2015-01-09 22:00:00,12.193,1,22,4,2545.8,1250.7999999999993
2015-01-09 23:00:00,12.236,1,23,4,2397.8,1281.7999999999993
2015-01-10 00:00:00,12.17,1,0,5,2344.4,1120.3999999999996
2015-01-10 01:00:00,12.07,1,1,5,2295.6000000000004,1113.6000000000004
2015-01-10 02:00:00,11.918,1,2,5,2275.2,1023.1999999999998
2015-01-10 03:00:00,11.688,1,3,5,2396.2,1104.1999999999998
2015-01-10 04:00:00,11.493,1,4,5,2753.8,1134.8000000000002
2015-01-10 05:00:00,11.357,1,5,5,3612.8,1256.8000000000002
2015-01-10 06:00:00,11.217,1,6,5,4599.8,1310.8000000000002
2015-01-10 07:00:00,11.087,1,7,5,4819.6,1693.6000000000004
2015-01-10 08:00:00,11.13,1,8,5,4660.0,1923.0
2015-01-10 09:00:00,11.36,1,9,5,4398.799999999999,2177.8
2015-01-10 10:00:00,11.692,1,10,5,4216.6,2197.6000000000004
2015-01-10 11:00:00,11.938,1,11,5,3685.7999999999993,2056.8
2015-01-10 12:00:00,12.109,1,12,5,3756.0,1892.0
2015-01-10 13:00:00,11.869,1,13,5,3838.6,1829.6000000000004
2015-01-10 14:00:00,10.696,1,14,5,3801.0,1863.0
2015-01-10 15:00:00,9.135,1,15,5,3776.6,2020.6000000000004
2015-01-10 16:00:00,7.633,1,16,5,3801.7999999999993,1936.7999999999995
2015-01-10 17:00:00,6.343,1,17,5,3646.4,1823.4
2015-01-10 18:00:00,5.078,1,18,5,3196.0,1604.0
2015-01-10 19:00:00,3.935,1,19,5,2864.6000000000004,1480.6000000000004
2015-01-10 20:00:00,3.193,1,20,5,2622.2000000000007,1272.2000000000007
2015-01-10 21:00:00,2.582,1,21,5,2589.4,1250.3999999999996
2015-01-10 22:00:00,2.109,1,22,5,2418.8,1231.7999999999993
2015-01-10 23:00:00,1.814,1,23,5,2345.8,1342.7999999999993
2015-01-11 00:00:00,1.57,1,0,6,2218.4,1272.3999999999996
2015-01-11 01:00:00,1.338,1,1,6,2253.6000000000004,1222.6000000000004
2015-01-11 02:00:00,1.259,1,2,6,2342.2,1197.1999999999998
2015-01-11 03:00:00,1.358,1,3,6,2318.2,1159.1999999999998
2015-01-11 04:00:00,1.585,1,4,6,2721.8,1010.8000000000002
2015-01-11 05:00:00,1.903,1,5,6,3557.8,960.8000000000002
2015-01-11 06:00:00,2.314,1,6,6,4407.8,1063.8000000000002
2015-01-11 07:00:00,2.418,1,7,6,4770.6,1142.6000000000004
