date,tmp,month,hour,dayofweek,poten_2,poten_7
2015-01-08 00:00:00,5.151,1,0,3,920.0,0.0
2015-01-08 01:00:00,4.89,1,1,3,437.7999999999993,1053.7999999999993
2015-01-08 02:00:00,4.67,1,2,3,318.06666666666933,589.0666666666693
2015-01-08 03:00:00,4.455,1,3,3,362.5333333333329,108.53333333333283
2015-01-08 04:00:00,4.295,1,4,3,424.2666666666664,0.0
2015-01-08 05:00:00,4.194,1,5,3,522.2666666666664,0.0
2015-01-08 06:00:00,4.137,1,6,3,631.4666666666672,0.0
2015-01-08 07:00:00,4.223,1,7,3,785.9333333333343,0.0
2015-01-08 08:00:00,5.851,1,8,3,1052.6666666666715,0.0
2015-01-08 09:00:00,7.912,1,9,3,1179.8666666666686,0.0
2015-01-08 10:00:00,9.749,1,10,3,1020.6666666666716,0.0
2015-01-08 11:00:00,11.519,1,11,3,709.0666666666693,0.0
2015-01-08 12:00:00,12.706,1,12,3,379.13333333333503,0.0
2015-01-08 13:00:00,13.274,1,13,3,61.13333333333503,0.0
2015-01-08 14:00:00,13.304,1,14,3,41.9333333333343,0.0
2015-01-08 15:00:00,12.388,1,15,3,103.7333333333372,0.0
2015-01-08 16:00:00,10.281,1,16,3,277.53333333333285,0.0
2015-01-08 17:00:00,8.76,1,17,3,704.133333333335,0.0
2015-01-08 18:00:00,7.831,1,18,3,778.8666666666686,0.0
2015-01-08 19:00:00,7.094,1,19,3,852.6666666666715,0.0
2015-01-08 20:00:00,6.593,1,20,3,1475.5333333333328,0.0
2015-01-08 21:00:00,6.273,1,21,3,1618.8666666666686,200.8666666666686
2015-01-08 22:00:00,5.967,1,22,3,1504.2000000000007,67.20000000000073
2015-01-08 23:00:00,5.748,1,23,3,1164.2666666666664,0.0
2015-01-09 00:00:00,5.561,1,0,4,321.0,0.0
2015-01-09 01:00:00,5.331,1,1,4,348.7999999999993,0.0
2015-01-09 02:00:00,5.098,1,2,4,759.0666666666693,0.0
2015-01-09 03:00:00,4.91,1,3,4,1301.5333333333328,0.0
2015-01-09 04:00:00,4.757,1,4,4,2175.2666666666664,59.26666666666642
2015-01-09 05:00:00,4.726,1,5,4,4637.266666666666,1749.2666666666664
2015-01-09 06:00:00,4.721,1,6,4,8367.466666666667,11338.466666666667
2015-01-09 07:00:00,4.827,1,7,4,11766.933333333334,10973.933333333334
2015-01-09 08:00:00,6.808,1,8,4,12708.666666666672,9629.666666666672
2015-01-09 09:00:00,9.41,1,9,4,12120.866666666669,7720.866666666669
2015-01-09 10:00:00,11.438,1,10,4,11216.666666666672,6624.666666666672
2015-01-09 11:00:00,13.226,1,11,4,10475.06666666667,8031.066666666669
2015-01-09 12:00:00,14.467,1,12,4,9869.133333333337,7670.133333333335
2015-01-09 13:00:00,15.033,1,13,4,8730.133333333335,7862.133333333335
2015-01-09 14:00:00,14.992,1,14,4,9149.933333333334,9130.933333333334
2015-01-09 15:00:00,13.912,1,15,4,9561.733333333335,9712.733333333335
2015-01-09 16:00:00,11.665,1,16,4,9831.533333333333,9420.533333333333
2015-01-09 17:00:00,10.225,1,17,4,9981.133333333337,7077.133333333335
2015-01-09 18:00:00,9.398,1,18,4,9642.866666666669,5583.866666666669
2015-01-09 19:00:00,8.663,1,19,4,8923.666666666672,4685.666666666672
2015-01-09 20:00:00,8.1,1,20,4,7631.533333333333,4249.533333333333
2015-01-09 21:00:00,7.652,1,21,4,5634.866666666669,3493.8666666666686
2015-01-09 22:00:00,7.327,1,22,4,4673.200000000001,3135.2000000000007
2015-01-09 23:00:00,7.148,1,23,4,3831.2666666666655,2852.2666666666664
2015-01-10 00:00:00,7.067,1,0,5,2770.0,1703.0
2015-01-10 01:00:00,6.998,1,1,5,2800.8,1180.7999999999993
2015-01-10 02:00:00,6.879,1,2,5,3186.0666666666693,1266.066666666669
2015-01-10 03:00:00,6.624,1,3,5,3605.533333333333,1384.5333333333328
2015-01-10 04:00:00,6.328,1,4,5,4366.266666666666,1588.2666666666664
2015-01-10 05:00:00,6.077,1,5,5,6641.266666666666,2030.2666666666664
2015-01-10 06:00:00,5.865,1,6,5,11014.466666666667,2742.466666666667
2015-01-10 07:00:00,5.828,1,7,5,14284.933333333334,3895.9333333333343
2015-01-10 08:00:00,7.663,1,8,5,13998.666666666672,4991.666666666672
2015-01-10 09:00:00,10.393,1,9,5,12834.866666666669,5438.866666666669
2015-01-10 10:00:00,12.335,1,10,5,11452.666666666672,4761.666666666672
2015-01-10 11:00:00,14.111,1,11,5,10470.06666666667,3969.066666666669
2015-01-10 12:00:00,15.384,1,12,5,9796.133333333337,3374.133333333335
2015-01-10 13:00:00,15.969,1,13,5,8604.133333333335,3175.133333333335
2015-01-10 14:00:00,15.875,1,14,5,9448.933333333334,3550.9333333333343
2015-01-10 15:00:00,14.558,1,15,5,9782.733333333335,3597.733333333337
2015-01-10 16:00:00,11.959,1,16,5,10101.533333333333,3567.533333333333
2015-01-10 17:00:00,10.407,1,17,5,10256.133333333337,4095.133333333335
2015-01-10 18:00:00,9.58,1,18,5,10053.866666666669,3758.8666666666686
2015-01-10 19:00:00,8.904,1,19,5,9281.666666666672,3493.6666666666715
2015-01-10 20:00:00,8.348,1,20,5,8038.533333333333,3273.533333333333
2015-01-10 21:00:00,7.821,1,21,5,5997.866666666669,2701.8666666666686
2015-01-10 22:00:00,7.341,1,22,5,4680.200000000001,2635.2000000000007
2015-01-10 23:00:00,6.927,1,23,5,4066.2666666666655,2427.2666666666664
2015-01-11 00:00:00,6.592,1,0,6,2941.0,1279.0
2015-01-11 01:00:00,6.331,1,1,6,2972.8,865.7999999999993
2015-01-11 02:00:00,6.146,1,2,6,3343.0666666666693,783.0666666666693
2015-01-11 03:00:00,6.068,1,3,6,3811.533333333333,781.5333333333328
2015-01-11 04:00:00,6.116,1,4,6,4555.266666666666,981.2666666666664
2015-01-11 05:00:00,6.185,1,5,6,6875.266666666666,1072.2666666666664
2015-01-11 06:00:00,6.064,1,6,6,11055.466666666667,1244.4666666666672
2015-01-11 07:00:00,6.033,1,7,6,14395.933333333334,1519.9333333333343
2015-01-11 08:00:00,7.472,1,8,6,14118.666666666672,2000.6666666666715
2015-01-11 09:00:00,9.366,1,9,6,12718.866666666669,2364.8666666666686
2015-01-11 10:00:00,11.19,1,10,6,11213.666666666672,2199.6666666666715
2015-01-11 11:00:00,12.984,1,11,6,10309.06666666667,1724.066666666669
2015-01-11 12:00:00,14.136,1,12,6,9385.133333333337,1588.133333333335
2015-01-11 13:00:00,14.602,1,13,6,7963.133333333335,1676.133333333335
2015-01-11 14:00:00,14.472,1,14,6,8411.933333333334,2000.9333333333343
2015-01-11 15:00:00,13.405,1,15,6,8751.733333333337,2011.7333333333368
2015-01-11 16:00:00,10.954,1,16,6,8793.533333333333,1973.5333333333328
2015-01-11 17:00:00,9.383,1,17,6,8934.133333333335,2354.133333333335
2015-01-11 18:00:00,8.601,1,18,6,8515.866666666669,2251.8666666666686
2015-01-11 19:00:00,7.907,1,19,6,7655.666666666671,2335.6666666666715
2015-01-11 20:00:00,7.245,1,20,6,6583.533333333333,2438.533333333333
2015-01-11 21:00:00,6.625,1,21,6,5338.866666666669,2284.8666666666686
2015-01-11 22:00:00,6.121,1,22,6,4849.200000000001,2185.2000000000007
2015-01-11 23:00:00,5.747,1,23,6,4769.266666666666,1628.2666666666664
2015-01-12 00:00:00,5.519,1,0,0,3522.0,571.0
2015-01-12 01:00:00,5.451,1,1,0,3100.8,408.7999999999993
2015-01-12 02:00:00,5.463,1,2,0,3152.0666666666693,653.0666666666693
2015-01-12 03:00:00,5.43,1,3,0,3132.533333333333,898.5333333333328
2015-01-12 04:00:00,5.392,1,4,0,3179.2666666666664,1479.2666666666664
2015-01-12 05:00:00,5.319,1,5,0,3491.2666666666664,2836.2666666666664
2015-01-12 06:00:00,5.301,1,6,0,4385.466666666667,5096.466666666667
2015-01-12 07:00:00,5.327,1,7,0,5565.933333333334,7460.933333333334
2015-01-12 08:00:00,7.019,1,8,0,6761.666666666672,8719.666666666672
2015-01-12 09:00:00,9.147,1,9,0,6907.866666666669,8230.866666666669
2015-01-12 10:00:00,11.012,1,10,0,5879.666666666672,7007.666666666672
2015-01-12 11:00:00,12.737,1,11,0,5105.066666666669,6018.066666666669
2015-01-12 12:00:00,13.787,1,12,0,4477.133333333335,5494.133333333335
2015-01-12 13:00:00,14.243,1,13,0,3996.133333333335,4771.133333333335
2015-01-12 14:00:00,14.125,1,14,0,3889.9333333333343,4917.933333333334
2015-01-12 15:00:00,13.107,1,15,0,4066.733333333337,5093.733333333337
2015-01-12 16:00:00,10.724,1,16,0,4173.533333333333,4934.533333333333
2015-01-12 17:00:00,9.431,1,17,0,4513.133333333335,4082.133333333335
2015-01-12 18:00:00,8.98,1,18,0,4355.866666666669,2725.8666666666686
2015-01-12 19:00:00,8.52,1,19,0,4026.666666666672,1972.6666666666715
2015-01-12 20:00:00,8.178,1,20,0,3677.533333333333,1841.5333333333328
2015-01-12 21:00:00,7.925,1,21,0,3033.8666666666686,1534.8666666666686
2015-01-12 22:00:00,7.694,1,22,0,2958.2000000000007,1904.2000000000007
2015-01-12 23:00:00,7.598,1,23,0,2780.2666666666664,1913.2666666666664
2015-01-13 00:00:00,7.523,1,0,1,1712.0,920.0
2015-01-13 01:00:00,7.397,1,1,1,1228.7999999999993,437.7999999999993
2015-01-13 02:00:00,7.22,1,2,1,1240.066666666669,318.06666666666933
2015-01-13 03:00:00,6.999,1,3,1,1361.5333333333328,362.5333333333329
2015-01-13 04:00:00,6.752,1,4,1,1586.2666666666664,424.2666666666664
2015-01-13 05:00:00,6.551,1,5,1,1671.2666666666664,522.2666666666664
2015-01-13 06:00:00,6.397,1,6,1,1794.4666666666672,631.4666666666672
2015-01-13 07:00:00,6.336,1,7,1,1990.9333333333343,785.9333333333343
2015-01-13 08:00:00,7.747,1,8,1,2283.6666666666715,1052.6666666666715
2015-01-13 09:00:00,9.518,1,9,1,2408.8666666666686,1179.8666666666686
2015-01-13 10:00:00,11.308,1,10,1,2320.6666666666715,1020.6666666666716
2015-01-13 11:00:00,12.883,1,11,1,2043.066666666669,709.0666666666693
2015-01-13 12:00:00,13.804,1,12,1,1878.133333333335,379.13333333333503
2015-01-13 13:00:00,14.222,1,13,1,1933.133333333335,61.13333333333503
2015-01-13 14:00:00,14.148,1,14,1,1938.9333333333343,41.9333333333343
2015-01-13 15:00:00,13.314,1,15,1,1954.7333333333368,103.7333333333372
2015-01-13 16:00:00,10.934,1,16,1,1920.5333333333328,277.53333333333285
2015-01-13 17:00:00,9.381,1,17,1,2533.133333333335,704.133333333335
2015-01-13 18:00:00,8.764,1,18,1,3164.8666666666686,778.8666666666686
2015-01-13 19:00:00,8.275,1,19,1,3339.6666666666715,852.6666666666715
2015-01-13 20:00:00,7.846,1,20,1,3171.533333333333,1475.5333333333328
2015-01-13 21:00:00,7.472,1,21,1,2704.8666666666686,1618.8666666666686
2015-01-13 22:00:00,7.152,1,22,1,2510.2000000000007,1504.2000000000007
2015-01-13 23:00:00,6.946,1,23,1,2011.2666666666664,1164.2666666666664
2015-01-14 00:00:00,6.816,1,0,2,1144.0,321.0
2015-01-14 01:00:00,6.684,1,1,2,1174.7999999999993,348.7999999999993
2015-01-14 02:00:00,6.575,1,2,2,1645.066666666669,759.0666666666693
2015-01-14 03:00:00,6.516,1,3,2,2182.533333333333,1301.5333333333328
2015-01-14 04:00:00,6.429,1,4,2,2989.2666666666664,2175.2666666666664
2015-01-14 05:00:00,6.285,1,5,2,5761.266666666666,4637.266666666666
2015-01-14 06:00:00,6.059,1,6,2,10188.466666666667,8367.466666666667
2015-01-14 07:00:00,6.029,1,7,2,13498.933333333334,11766.933333333334
2015-01-14 08:00:00,7.491,1,8,2,13395.666666666672,12708.666666666672
2015-01-14 09:00:00,9.204,1,9,2,12041.866666666669,12120.866666666669
2015-01-14 10:00:00,10.835,1,10,2,10615.666666666672,11216.666666666672
2015-01-14 11:00:00,12.237,1,11,2,9796.06666666667,10475.06666666667
2015-01-14 12:00:00,13.12,1,12,2,8969.133333333335,9869.133333333337
2015-01-14 13:00:00,13.572,1,13,2,7876.133333333335,8730.133333333335
2015-01-14 14:00:00,13.586,1,14,2,8551.933333333334,9149.933333333334
2015-01-14 15:00:00,12.808,1,15,2,8997.733333333337,9561.733333333335
2015-01-14 16:00:00,10.615,1,16,2,9151.533333333333,9831.533333333333
