date,tmp,month,hour,dayofweek,poten_2,poten_7
2015-01-08 00:00:00,2.153,1,0,3,2925.2857142857138,244.28571428571377
2015-01-08 01:00:00,2.465,1,1,3,2950.0,159.0
2015-01-08 02:00:00,2.813,1,2,3,3002.642857142857,0.0
2015-01-08 03:00:00,3.286,1,3,3,3045.25,0.0
2015-01-08 04:00:00,3.831,1,4,3,3023.2857142857138,0.0
2015-01-08 05:00:00,4.373,1,5,3,3248.67857142857,0.0
2015-01-08 06:00:00,4.852,1,6,3,3922.071428571429,0.0
2015-01-08 07:00:00,5.341,1,7,3,4655.25,0.0
2015-01-08 08:00:00,5.772,1,8,3,4539.75,0.0
2015-01-08 09:00:00,6.052,1,9,3,4299.5,0.0
2015-01-08 10:00:00,6.312,1,10,3,3969.5357142857138,0.0
2015-01-08 11:00:00,6.461,1,11,3,3984.92857142857,0.0
2015-01-08 12:00:00,6.577,1,12,3,3918.107142857143,0.0
2015-01-08 13:00:00,6.501,1,13,3,4352.821428571429,0.0
2015-01-08 14:00:00,6.015,1,14,3,4431.428571428571,0.0
2015-01-08 15:00:00,5.566,1,15,3,4352.142857142857,0.0
2015-01-08 16:00:00,5.372,1,16,3,4031.321428571429,0.0
2015-01-08 17:00:00,5.049,1,17,3,3293.25,0.0
2015-01-08 18:00:00,4.993,1,18,3,3152.142857142857,0.0
2015-01-08 19:00:00,5.043,1,19,3,2858.2142857142862,0.0
2015-01-08 20:00:00,5.104,1,20,3,2581.7857142857138,0.0
2015-01-08 21:00:00,5.133,1,21,3,2412.7142857142862,0.0
2015-01-08 22:00:00,5.07,1,22,3,2463.5,0.0
2015-01-08 23:00:00,4.951,1,23,3,0.0,0.0
2015-01-09 00:00:00,4.862,1,0,4,0.0,0.0
2015-01-09 01:00:00,4.993,1,1,4,0.0,0.0
2015-01-09 02:00:00,5.262,1,2,4,0.0,0.0
2015-01-09 03:00:00,5.35,1,3,4,0.0,0.0
2015-01-09 04:00:00,5.788,1,4,4,62.285714285713766,0.0
2015-01-09 05:00:00,6.57,1,5,4,425.67857142857065,0.0
2015-01-09 06:00:00,7.331,1,6,4,1001.0714285714294,0.0
2015-01-09 07:00:00,7.939,1,7,4,1284.25,0.0
2015-01-09 08:00:00,8.468,1,8,4,967.75,0.0
2015-01-09 09:00:00,9.06,1,9,4,640.5,0.0
2015-01-09 10:00:00,9.621,1,10,4,395.53571428571377,0.0
2015-01-09 11:00:00,10.017,1,11,4,152.92857142857065,0.0
2015-01-09 12:00:00,10.285,1,12,4,274.1071428571431,0.0
2015-01-09 13:00:00,10.094,1,13,4,449.82142857142935,0.0
2015-01-09 14:00:00,9.666,1,14,4,582.4285714285706,0.0
2015-01-09 15:00:00,9.296,1,15,4,767.1428571428569,0.0
2015-01-09 16:00:00,9.06,1,16,4,929.3214285714294,0.0
2015-01-09 17:00:00,8.955,1,17,4,473.25,0.0
2015-01-09 18:00:00,8.959,1,18,4,416.1428571428569,0.0
2015-01-09 19:00:00,9.384,1,19,4,301.21428571428623,0.0
2015-01-09 20:00:00,10.071,1,20,4,281.78571428571377,44.785714285713766
2015-01-09 21:00:00,10.648,1,21,4,82.71428571428623,119.71428571428623
2015-01-09 22:00:00,11.045,1,22,4,0.0,503.5
2015-01-09 23:00:00,11.192,1,23,4,94.78571428571377,969.7857142857138
2015-01-10 00:00:00,11.15,1,0,5,184.28571428571377,1344.2857142857138
2015-01-10 01:00:00,11.098,1,1,5,210.0,1415.0
2015-01-10 02:00:00,11.05,1,2,5,247.64285714285688,1405.6428571428569
2015-01-10 03:00:00,10.972,1,3,5,265.25,1176.25
2015-01-10 04:00:00,10.827,1,4,5,387.28571428571377,1100.2857142857138
2015-01-10 05:00:00,10.698,1,5,5,707.6785714285706,286.67857142857065
2015-01-10 06:00:00,10.662,1,6,5,1289.0714285714294,0.0
2015-01-10 07:00:00,10.636,1,7,5,1613.25,0.0
2015-01-10 08:00:00,10.667,1,8,5,1494.75,0.0
2015-01-10 09:00:00,10.881,1,9,5,1337.5,0.0
2015-01-10 10:00:00,11.268,1,10,5,1476.5357142857138,40.535714285713766
2015-01-10 11:00:00,11.525,1,11,5,1501.9285714285706,493.92857142857065
2015-01-10 12:00:00,11.222,1,12,5,1659.1071428571431,582.1071428571431
2015-01-10 13:00:00,9.961,1,13,5,1642.8214285714294,926.8214285714294
2015-01-10 14:00:00,8.628,1,14,5,1744.4285714285706,1341.4285714285706
2015-01-10 15:00:00,7.347,1,15,5,1758.1428571428569,1388.1428571428569
2015-01-10 16:00:00,6.311,1,16,5,1375.3214285714294,892.3214285714294
2015-01-10 17:00:00,5.585,1,17,5,1048.25,763.25
2015-01-10 18:00:00,5.105,1,18,5,1006.1428571428568,452.1428571428569
2015-01-10 19:00:00,4.754,1,19,5,914.2142857142862,405.21428571428623
2015-01-10 20:00:00,4.449,1,20,5,736.7857142857138,670.7857142857138
2015-01-10 21:00:00,4.182,1,21,5,539.7142857142862,829.7142857142862
2015-01-10 22:00:00,3.992,1,22,5,386.5,927.5
2015-01-10 23:00:00,3.822,1,23,5,15.785714285713766,1133.7857142857138
2015-01-11 00:00:00,3.733,1,0,6,75.28571428571377,1355.2857142857138
2015-01-11 01:00:00,3.672,1,1,6,73.0,1165.0
2015-01-11 02:00:00,3.675,1,2,6,65.64285714285688,1117.6428571428569
2015-01-11 03:00:00,3.737,1,3,6,109.25,1051.25
2015-01-11 04:00:00,3.804,1,4,6,214.28571428571377,828.2857142857138
2015-01-11 05:00:00,3.894,1,5,6,583.6785714285706,0.0
2015-01-11 06:00:00,3.98,1,6,6,1099.0714285714294,0.0
2015-01-11 07:00:00,4.094,1,7,6,1443.25,0.0
2015-01-11 08:00:00,4.343,1,8,6,1396.75,0.0
2015-01-11 09:00:00,4.811,1,9,6,1226.5,0.0
2015-01-11 10:00:00,5.335,1,10,6,1138.5357142857138,0.0
2015-01-11 11:00:00,5.683,1,11,6,977.9285714285706,0.0
2015-01-11 12:00:00,5.885,1,12,6,979.1071428571432,0.0
2015-01-11 13:00:00,5.878,1,13,6,878.8214285714294,0.0
2015-01-11 14:00:00,5.747,1,14,6,855.4285714285706,0.0
2015-01-11 15:00:00,5.601,1,15,6,948.1428571428568,0.0
2015-01-11 16:00:00,5.561,1,16,6,640.3214285714294,0.0
2015-01-11 17:00:00,5.518,1,17,6,337.25,282.25
2015-01-11 18:00:00,5.512,1,18,6,146.14285714285688,667.1428571428569
2015-01-11 19:00:00,5.636,1,19,6,30.21428571428624,1007.2142857142862
2015-01-11 20:00:00,5.894,1,20,6,0.0,1427.7857142857138
2015-01-11 21:00:00,6.148,1,21,6,0.0,1571.7142857142862
2015-01-11 22:00:00,6.328,1,22,6,42.5,1471.5
2015-01-11 23:00:00,6.434,1,23,6,0.0,1576.7857142857138
2015-01-12 00:00:00,6.446,1,0,0,0.0,1733.2857142857138
2015-01-12 01:00:00,6.498,1,1,0,0.0,1662.0
2015-01-12 02:00:00,6.627,1,2,0,0.0,1731.6428571428569
2015-01-12 03:00:00,6.744,1,3,0,0.0,1886.25
2015-01-12 04:00:00,6.832,1,4,0,0.0,2061.2857142857138
2015-01-12 05:00:00,6.925,1,5,0,0.0,2823.67857142857
2015-01-12 06:00:00,7.026,1,6,0,0.0,3369.0714285714294
2015-01-12 07:00:00,7.092,1,7,0,0.0,4173.25
2015-01-12 08:00:00,7.201,1,8,0,0.0,4207.75
2015-01-12 09:00:00,7.391,1,9,0,0.0,4187.5
2015-01-12 10:00:00,7.64,1,10,0,0.0,4306.535714285714
2015-01-12 11:00:00,7.927,1,11,0,0.0,3251.92857142857
