date,tmp,month,hour,dayofweek,poten_2,poten_7
2015-01-08 00:00:00,4.941,1,0,3,747.503999999999,130.7039999999988
2015-01-08 01:00:00,4.527,1,1,3,616.155999999999,469.15599999999904
2015-01-08 02:00:00,4.24,1,2,3,564.0479999999998,370.348
2015-01-08 03:00:00,3.992,1,3,3,603.5479999999998,195.7479999999996
2015-01-08 04:00:00,3.816,1,4,3,648.5959999999995,64.59599999999955
2015-01-08 05:00:00,3.64,1,5,3,701.6639999999998,0.0
2015-01-08 06:00:00,3.509,1,6,3,890.7359999999999,0.0
2015-01-08 07:00:00,3.405,1,7,3,1433.4119999999994,0.0
2015-01-08 08:00:00,4.284,1,8,3,2000.732,0.0
2015-01-08 09:00:00,6.062,1,9,3,2079.3240000000005,0.0
2015-01-08 10:00:00,7.884,1,10,3,1863.632,0.0
2015-01-08 11:00:00,10.157,1,11,3,1635.5320000000002,0.0
2015-01-08 12:00:00,11.973,1,12,3,1295.62,0.0
2015-01-08 13:00:00,13.065,1,13,3,1279.195999999999,0.0
2015-01-08 14:00:00,13.54,1,14,3,1488.9440000000004,0.0
2015-01-08 15:00:00,13.349,1,15,3,1494.8160000000016,0.0
2015-01-08 16:00:00,11.53,1,16,3,1530.9959999999985,0.0
2015-01-08 17:00:00,9.552,1,17,3,1527.5639999999994,0.0
2015-01-08 18:00:00,8.803,1,18,3,1522.0,0.0
2015-01-08 19:00:00,8.269,1,19,3,1491.6400000000003,0.0
2015-01-08 20:00:00,7.787,1,20,3,1454.836000000002,0.0
2015-01-08 21:00:00,7.263,1,21,3,1407.6720000000005,0.0
2015-01-08 22:00:00,6.79,1,22,3,1217.5719999999992,0.0
2015-01-08 23:00:00,6.485,1,23,3,975.9759999999995,0.0
2015-01-09 00:00:00,6.144,1,0,4,831.9039999999995,20.90399999999954
2015-01-09 01:00:00,5.87,1,1,4,657.655999999999,0.0
2015-01-09 02:00:00,5.569,1,2,4,645.0479999999998,0.0
2015-01-09 03:00:00,5.145,1,3,4,656.2479999999996,0.0
2015-01-09 04:00:00,4.793,1,4,4,688.6959999999999,0.0
2015-01-09 05:00:00,4.511,1,5,4,754.8639999999996,7.763999999999214
2015-01-09 06:00:00,4.155,1,6,4,971.6360000000004,80.53600000000006
2015-01-09 07:00:00,3.896,1,7,4,1593.312,205.8119999999999
2015-01-09 08:00:00,4.651,1,8,4,2164.932,345.6319999999996
2015-01-09 09:00:00,6.533,1,9,4,2256.0240000000003,534.6239999999998
2015-01-09 10:00:00,8.81,1,10,4,2031.132,510.8319999999994
2015-01-09 11:00:00,11.255,1,11,4,1842.932,379.232
2015-01-09 12:00:00,13.182,1,12,4,1570.3199999999997,363.8199999999997
2015-01-09 13:00:00,14.243,1,13,4,1586.0959999999995,394.79599999999937
2015-01-09 14:00:00,14.687,1,14,4,1803.5440000000008,423.9440000000004
2015-01-09 15:00:00,14.478,1,15,4,1869.2160000000013,401.21600000000126
2015-01-09 16:00:00,12.534,1,16,4,1942.9959999999985,433.3959999999979
2015-01-09 17:00:00,10.41,1,17,4,1887.064,651.7639999999992
2015-01-09 18:00:00,9.492,1,18,4,1820.1,661.3000000000002
2015-01-09 19:00:00,8.807,1,19,4,1802.04,628.7400000000007
2015-01-09 20:00:00,8.206,1,20,4,1716.536000000001,568.036000000001
2015-01-09 21:00:00,7.628,1,21,4,1650.072,567.7719999999999
2015-01-09 22:00:00,7.181,1,22,4,1531.0719999999992,537.1719999999996
2015-01-09 23:00:00,6.785,1,23,4,1238.6759999999997,497.97599999999966
2015-01-10 00:00:00,6.46,1,0,5,1054.003999999999,455.90399999999954
2015-01-10 01:00:00,6.111,1,1,5,876.5559999999996,307.0559999999996
2015-01-10 02:00:00,5.845,1,2,5,854.6479999999992,200.14799999999923
2015-01-10 03:00:00,5.664,1,3,5,873.2479999999996,176.34799999999996
2015-01-10 04:00:00,5.529,1,4,5,906.5959999999995,162.89599999999973
2015-01-10 05:00:00,5.467,1,5,5,907.1639999999998,165.96399999999903
2015-01-10 06:00:00,5.445,1,6,5,1088.9360000000006,121.83600000000024
2015-01-10 07:00:00,5.323,1,7,5,1767.2119999999995,55.91199999999935
2015-01-10 08:00:00,6.156,1,8,5,2390.632,11.332000000000336
2015-01-10 09:00:00,8.328,1,9,5,2456.124,62.92399999999998
2015-01-10 10:00:00,10.296,1,10,5,2233.8319999999994,23.331999999999425
2015-01-10 11:00:00,12.33,1,11,5,2048.132,0.0
2015-01-10 12:00:00,14.098,1,12,5,1702.2200000000005,0.0
2015-01-10 13:00:00,14.936,1,13,5,1640.8959999999995,0.0
2015-01-10 14:00:00,15.092,1,14,5,1848.644,0.0
2015-01-10 15:00:00,14.6,1,15,5,1842.7160000000013,0.0
2015-01-10 16:00:00,12.836,1,16,5,1838.2959999999985,0.0
2015-01-10 17:00:00,11.114,1,17,5,1712.963999999999,203.8639999999996
2015-01-10 18:00:00,10.376,1,18,5,1742.3000000000002,401.6999999999998
2015-01-10 19:00:00,9.923,1,19,5,1759.1400000000003,416.54
2015-01-10 20:00:00,9.552,1,20,5,1694.9360000000006,421.1360000000013
2015-01-10 21:00:00,9.272,1,21,5,1652.072,366.77199999999993
2015-01-10 22:00:00,9.133,1,22,5,1527.6719999999996,390.0719999999992
2015-01-10 23:00:00,9.07,1,23,5,1213.8760000000002,409.1759999999995
2015-01-11 00:00:00,8.898,1,0,6,1071.6039999999994,397.2039999999988
2015-01-11 01:00:00,8.406,1,1,6,937.655999999999,232.9559999999992
