date,tmp,month,hour,dayofweek,poten_2,poten_7
2017-01-08 00:00:00,19.2,1,0,6,4353.2307692307695,303.2307692307695
2017-01-08 01:00:00,18.1,1,1,6,4924.384615384615,496.3846153846152
2017-01-08 02:00:00,17.4,1,2,6,5586.923076923076,510.9230769230762
2017-01-08 03:00:00,16.9,1,3,6,5350.153846153846,112.15384615384572
2017-01-08 04:00:00,16.3,1,4,6,6029.307692307692,0.0
2017-01-08 05:00:00,15.4,1,5,6,7076.076923076924,0.0
2017-01-08 06:00:00,15.3,1,6,6,8482.153846153846,0.0
2017-01-08 07:00:00,15.3,1,7,6,8820.692307692309,0.0
2017-01-08 08:00:00,15.3,1,8,6,7919.3076923076915,0.0
2017-01-08 09:00:00,17.2,1,9,6,7508.076923076924,596.0769230769238
2017-01-08 10:00:00,18.1,1,10,6,7670.076923076924,866.0769230769238
2017-01-08 11:00:00,19.8,1,11,6,8116.615384615385,1096.6153846153848
2017-01-08 12:00:00,21.0,1,12,6,7705.384615384615,1279.3846153846152
2017-01-08 13:00:00,22.6,1,13,6,8216.307692307691,1142.3076923076917
2017-01-08 14:00:00,23.9,1,14,6,8924.53846153846,770.5384615384592
2017-01-08 15:00:00,25.0,1,15,6,8455.153846153846,679.1538461538457
2017-01-08 16:00:00,25.2,1,16,6,8170.615384615385,232.6153846153848
2017-01-08 17:00:00,23.7,1,17,6,8037.692307692308,0.0
2017-01-08 18:00:00,19.4,1,18,6,7512.2307692307695,0.0
2017-01-08 19:00:00,19.4,1,19,6,7678.384615384617,0.0
2017-01-08 20:00:00,15.8,1,20,6,7512.2307692307695,0.0
2017-01-08 21:00:00,14.7,1,21,6,7246.384615384617,0.0
2017-01-08 22:00:00,12.9,1,22,6,6731.307692307692,0.0
2017-01-08 23:00:00,12.4,1,23,6,6039.6923076923085,0.0
2017-01-09 00:00:00,11.5,1,0,0,6675.2307692307695,0.0
2017-01-09 01:00:00,11.8,1,1,0,7462.384615384615,0.0
