date,netload,tmp,month,hour,dayofweek,mw_2,mw_7,potential,poten_2,poten_7
2015-01-08 00:00:00,9341,2.153,1,0,3,12082.0,9401.0,184.28571428571377,2925.2857142857138,244.28571428571377
2015-01-08 01:00:00,9008,2.465,1,1,3,11748.0,8957.0,210.0,2950.0,159.0
2015-01-08 02:00:00,8889,2.813,1,2,3,11644.0,8462.0,247.64285714285688,3002.642857142857,0.0
2015-01-08 03:00:00,8929,3.286,1,3,3,11709.0,8156.0,265.25,3045.25,0.0
2015-01-08 04:00:00,9424,3.831,1,4,3,12060.0,8126.0,387.28571428571377,3023.2857142857138,0.0
2015-01-08 05:00:00,10884,4.373,1,5,3,13425.0,8292.0,707.6785714285706,3248.67857142857,0.0
2015-01-08 06:00:00,13364,4.852,1,6,3,15997.0,8638.0,1289.0714285714294,3922.071428571429,0.0
2015-01-08 07:00:00,15053,5.341,1,7,3,18095.0,8927.0,1613.25,4655.25,0.0
2015-01-08 08:00:00,15540,5.772,1,8,3,18585.0,9312.0,1494.75,4539.75,0.0
2015-01-08 09:00:00,15660,6.052,1,9,3,18622.0,9933.0,1337.5,4299.5,0.0
2015-01-08 10:00:00,15894,6.312,1,10,3,18387.0,10432.0,1476.5357142857138,3969.5357142857138,0.0
2015-01-08 11:00:00,15829,6.461,1,11,3,18312.0,11919.0,1501.9285714285706,3984.92857142857,0.0
2015-01-08 12:00:00,15933,6.577,1,12,3,18192.0,11951.0,1659.1071428571431,3918.107142857143,0.0
2015-01-08 13:00:00,15817,6.501,1,13,3,18527.0,12067.0,1642.8214285714294,4352.821428571429,0.0
2015-01-08 14:00:00,15860,6.015,1,14,3,18547.0,11829.0,1744.4285714285706,4431.428571428571,0.0
2015-01-08 15:00:00,16098,5.566,1,15,3,18692.0,12087.0,1758.1428571428569,4352.142857142857,0.0
2015-01-08 16:00:00,16610,5.372,1,16,3,19266.0,12683.0,1375.3214285714294,4031.321428571429,0.0
2015-01-08 17:00:00,15948,5.049,1,17,3,18193.0,12299.0,1048.25,3293.25,0.0
2015-01-08 18:00:00,15354,4.993,1,18,3,17500.0,11716.0,1006.1428571428568,3152.142857142857,0.0
2015-01-08 19:00:00,14468,5.043,1,19,3,16412.0,11365.0,914.2142857142862,2858.2142857142862,0.0
2015-01-08 20:00:00,13324,5.104,1,20,3,15169.0,10878.0,736.7857142857138,2581.7857142857138,0.0
2015-01-08 21:00:00,12140,5.133,1,21,3,14013.0,10563.0,539.7142857142862,2412.7142857142862,0.0
2015-01-08 22:00:00,11063,5.07,1,22,3,13140.0,9824.0,386.5,2463.5,0.0
2015-01-08 23:00:00,9915,4.951,1,23,3,9597.0,8995.0,15.785714285713766,0.0,0.0
2015-01-09 00:00:00,9232,4.862,1,0,4,8933.0,8303.0,75.28571428571377,0.0,0.0
2015-01-09 01:00:00,8871,4.993,1,1,4,8625.0,7876.0,73.0,0.0,0.0
2015-01-09 02:00:00,8707,5.262,1,2,4,8524.0,7700.0,65.64285714285688,0.0,0.0
2015-01-09 03:00:00,8773,5.35,1,3,4,8611.0,7771.0,109.25,0.0,0.0
2015-01-09 04:00:00,9251,5.788,1,4,4,9099.0,8255.0,214.28571428571377,62.285714285713766,0.0
2015-01-09 05:00:00,10760,6.57,1,5,4,10602.0,9355.0,583.6785714285706,425.67857142857065,0.0
2015-01-09 06:00:00,13174,7.331,1,6,4,13076.0,10990.0,1099.0714285714294,1001.0714285714294,0.0
2015-01-09 07:00:00,14883,7.939,1,7,4,14724.0,12458.0,1443.25,1284.25,0.0
2015-01-09 08:00:00,15442,8.468,1,8,4,15013.0,13446.0,1396.75,967.75,0.0
2015-01-09 09:00:00,15549,9.06,1,9,4,14963.0,14038.0,1226.5,640.5,0.0
2015-01-09 10:00:00,15556,9.621,1,10,4,14813.0,14021.0,1138.5357142857138,395.53571428571377,0.0
2015-01-09 11:00:00,15305,10.017,1,11,4,14480.0,13813.0,977.9285714285706,152.92857142857065,0.0
2015-01-09 12:00:00,15253,10.285,1,12,4,14548.0,13566.0,979.1071428571432,274.1071428571431,0.0
2015-01-09 13:00:00,15053,10.094,1,13,4,14624.0,13543.0,878.8214285714294,449.82142857142935,0.0
2015-01-09 14:00:00,14971,9.666,1,14,4,14698.0,13899.0,855.4285714285706,582.4285714285706,0.0
2015-01-09 15:00:00,15288,9.296,1,15,4,15107.0,14181.0,948.1428571428568,767.1428571428569,0.0
2015-01-09 16:00:00,15875,9.06,1,16,4,16164.0,15086.0,640.3214285714294,929.3214285714294,0.0
2015-01-09 17:00:00,15237,8.955,1,17,4,15373.0,14341.0,337.25,473.25,0.0
2015-01-09 18:00:00,14494,8.959,1,18,4,14764.0,13904.0,146.14285714285688,416.1428571428569,0.0
2015-01-09 19:00:00,13584,9.384,1,19,4,13855.0,13403.0,30.214285714286238,301.21428571428623,0.0
2015-01-09 20:00:00,12530,10.071,1,20,4,12869.0,12632.0,0.0,281.78571428571377,44.785714285713766
2015-01-09 21:00:00,11528,10.648,1,21,4,11683.0,11720.0,0.0,82.71428571428623,119.71428571428623
2015-01-09 22:00:00,10719,11.045,1,22,4,10659.0,11180.0,42.5,0.0,503.5
2015-01-09 23:00:00,9853,11.192,1,23,4,9994.0,10869.0,0.0,94.78571428571377,969.7857142857138
2015-01-10 00:00:00,9050,11.15,1,0,5,9341.0,10501.0,0.0,184.28571428571377,1344.2857142857138
2015-01-10 01:00:00,8581,11.098,1,1,5,9008.0,10213.0,0.0,210.0,1415.0
2015-01-10 02:00:00,8330,11.05,1,2,5,8889.0,10047.0,0.0,247.64285714285688,1405.6428571428569
2015-01-10 03:00:00,8219,10.972,1,3,5,8929.0,9840.0,0.0,265.25,1176.25
2015-01-10 04:00:00,8346,10.827,1,4,5,9424.0,10137.0,0.0,387.28571428571377,1100.2857142857138
2015-01-10 05:00:00,8831,10.698,1,5,5,10884.0,10463.0,0.0,707.6785714285706,286.67857142857065
2015-01-10 06:00:00,9831,10.662,1,6,5,13364.0,11022.0,0.0,1289.0714285714294,0.0
2015-01-10 07:00:00,11099,10.636,1,7,5,15053.0,11918.0,0.0,1613.25,0.0
2015-01-10 08:00:00,12161,10.667,1,8,5,15540.0,12980.0,0.0,1494.75,0.0
2015-01-10 09:00:00,12801,10.881,1,9,5,15660.0,13670.0,0.0,1337.5,0.0
2015-01-10 10:00:00,13010,11.268,1,10,5,15894.0,14458.0,0.0,1476.5357142857138,40.535714285713766
2015-01-10 11:00:00,13004,11.525,1,11,5,15829.0,14821.0,0.0,1501.9285714285706,493.92857142857065
2015-01-10 12:00:00,12923,11.222,1,12,5,15933.0,14856.0,0.0,1659.1071428571431,582.1071428571431
2015-01-10 13:00:00,12723,9.961,1,13,5,15817.0,15101.0,0.0,1642.8214285714294,926.8214285714294
2015-01-10 14:00:00,12552,8.628,1,14,5,15860.0,15457.0,0.0,1744.4285714285706,1341.4285714285706
2015-01-10 15:00:00,12654,7.347,1,15,5,16098.0,15728.0,0.0,1758.1428571428569,1388.1428571428569
2015-01-10 16:00:00,13797,6.311,1,16,5,16610.0,16127.0,0.0,1375.3214285714294,892.3214285714294
2015-01-10 17:00:00,13601,5.585,1,17,5,15948.0,15663.0,0.0,1048.25,763.25
2015-01-10 18:00:00,13058,5.105,1,18,5,15354.0,14800.0,0.0,1006.1428571428568,452.1428571428569
2015-01-10 19:00:00,12297,4.754,1,19,5,14468.0,13959.0,0.0,914.2142857142862,405.21428571428623
2015-01-10 20:00:00,11478,4.449,1,20,5,13324.0,13258.0,0.0,736.7857142857138,670.7857142857138
2015-01-10 21:00:00,10813,4.182,1,21,5,12140.0,12430.0,0.0,539.7142857142862,829.7142857142862
2015-01-10 22:00:00,10077,3.992,1,22,5,11063.0,11604.0,0.0,386.5,927.5
2015-01-10 23:00:00,9351,3.822,1,23,5,9915.0,11033.0,0.0,15.785714285713766,1133.7857142857138
2015-01-11 00:00:00,8682,3.733,1,0,6,9232.0,10512.0,0.0,75.28571428571377,1355.2857142857138
2015-01-11 01:00:00,8249,3.672,1,1,6,8871.0,9963.0,0.0,73.0,1165.0
2015-01-11 02:00:00,8020,3.675,1,2,6,8707.0,9759.0,0.0,65.64285714285688,1117.6428571428569
