date,month,hour,dayofweek,netload,tmpc,mw2day,mw7day,potential,poten_2,poten_7
2017-01-08 00:00:00,1,0,6,6731,-8.703,6927.0,6315.0,478.0526315789475,674.0526315789475,62.05263157894751
2017-01-08 01:00:00,1,1,6,6576,-8.503,6730.0,6102.0,485.5263157894733,639.5263157894733,11.5263157894733
2017-01-08 02:00:00,1,2,6,6320,-8.363,6510.0,5830.0,417.0,607.0,0.0
2017-01-08 03:00:00,1,3,6,6218,-8.276,6501.0,5715.0,347.3684210526317,630.3684210526317,0.0
2017-01-08 04:00:00,1,4,6,6355,-8.233,6635.0,5818.0,289.84210526315746,569.8421052631575,0.0
2017-01-08 05:00:00,1,5,6,6478,-8.27,6660.0,5774.0,198.0,380.0,0.0
2017-01-08 06:00:00,1,6,6,7058,-8.396,7177.0,6168.0,183.63157894736835,302.6315789473683,0.0
2017-01-08 07:00:00,1,7,6,7424,-8.179,7598.0,6406.0,157.5263157894733,331.5263157894733,0.0
2017-01-08 08:00:00,1,8,6,7786,-7.313,8004.0,6677.0,143.26315789473665,361.2631578947367,0.0
2017-01-08 09:00:00,1,9,6,8127,-6.375,8294.0,6893.0,239.89473684210495,406.894736842105,0.0
2017-01-08 10:00:00,1,10,6,8330,-5.642,8461.0,6990.0,314.7368421052633,445.73684210526335,0.0
2017-01-08 11:00:00,1,11,6,8136,-5.116,8279.0,6891.0,286.4736842105267,429.4736842105267,0.0
2017-01-08 12:00:00,1,12,6,7912,-4.862,8063.0,6741.0,264.0,415.0,0.0
2017-01-08 13:00:00,1,13,6,7731,-4.945,7953.0,6673.0,209.4210526315792,431.4210526315792,0.0
2017-01-08 14:00:00,1,14,6,7694,-5.772,7923.0,6716.0,183.26315789473665,412.2631578947367,0.0
2017-01-08 15:00:00,1,15,6,7963,-7.24,8201.0,7149.0,221.4736842105267,459.4736842105267,0.0
2017-01-08 16:00:00,1,16,6,8507,-7.979,8704.0,7706.0,327.0526315789475,524.0526315789475,0.0
2017-01-08 17:00:00,1,17,6,8602,-8.486,8734.0,7828.0,396.4736842105267,528.4736842105267,0.0
2017-01-08 18:00:00,1,18,6,8214,-8.883,8362.0,7513.0,400.4210526315792,548.4210526315792,0.0
2017-01-08 19:00:00,1,19,6,7812,-9.13,8018.0,7184.0,359.31578947368416,565.3157894736842,0.0
2017-01-08 20:00:00,1,20,6,7528,-9.313,7648.0,6789.0,474.31578947368416,594.3157894736842,0.0
2017-01-08 21:00:00,1,21,6,7568,-9.426,7815.0,6906.0,463.2631578947367,710.2631578947367,0.0
2017-01-08 22:00:00,1,22,6,7245,-9.449,7532.0,6633.0,510.105263157895,797.105263157895,0.0
2017-01-08 23:00:00,1,23,6,6838,-9.439,7297.0,6353.0,391.78947368421086,850.7894736842109,0.0
2017-01-09 00:00:00,1,0,0,6630,-9.38,7016.0,6138.0,377.0526315789475,763.0526315789475,0.0
2017-01-09 01:00:00,1,1,0,6550,-9.236,6835.0,6042.0,459.5263157894733,744.5263157894733,0.0
2017-01-09 02:00:00,1,2,0,6396,-9.034,6630.0,5914.0,493.0,727.0,11.0
2017-01-09 03:00:00,1,3,0,6598,-8.857,6591.0,6076.0,727.3684210526317,720.3684210526317,205.36842105263167
2017-01-09 04:00:00,1,4,0,7328,-8.733,6794.0,6663.0,1262.8421052631577,728.8421052631575,597.8421052631575
2017-01-09 05:00:00,1,5,0,8376,-8.544,7108.0,7383.0,2096.0,828.0,1103.0
2017-01-09 06:00:00,1,6,0,9488,-8.426,7832.0,8251.0,2613.6315789473683,957.6315789473684,1376.6315789473683
2017-01-09 07:00:00,1,7,0,9909,-7.87,8360.0,8724.0,2642.5263157894733,1093.5263157894733,1457.5263157894733
2017-01-09 08:00:00,1,8,0,10064,-6.548,8587.0,8992.0,2421.2631578947367,944.2631578947368,1349.2631578947369
2017-01-09 09:00:00,1,9,0,10097,-5.16,8624.0,9024.0,2209.894736842105,736.894736842105,1136.894736842105
2017-01-09 10:00:00,1,10,0,10076,-4.144,8636.0,9069.0,2060.736842105264,620.7368421052633,1053.7368421052631
2017-01-09 11:00:00,1,11,0,9960,-3.435,8578.0,8942.0,2110.4736842105267,728.4736842105267,1092.4736842105267
2017-01-09 12:00:00,1,12,0,9915,-3.1,8415.0,8842.0,2267.0,767.0,1194.0
2017-01-09 13:00:00,1,13,0,9831,-3.237,8292.0,8784.0,2309.421052631579,770.4210526315792,1262.4210526315792
2017-01-09 14:00:00,1,14,0,9911,-4.345,8342.0,8842.0,2400.2631578947367,831.2631578947367,1331.2631578947369
2017-01-09 15:00:00,1,15,0,10071,-6.234,8647.0,9192.0,2329.4736842105267,905.4736842105268,1450.4736842105267
2017-01-09 16:00:00,1,16,0,10322,-7.184,9047.0,9516.0,2142.0526315789475,867.0526315789475,1336.0526315789475
2017-01-09 17:00:00,1,17,0,10131,-7.802,8885.0,9374.0,1925.4736842105267,679.4736842105267,1168.4736842105267
2017-01-09 18:00:00,1,18,0,9569,-8.341,8397.0,8790.0,1755.4210526315792,583.4210526315792,976.4210526315792
2017-01-09 19:00:00,1,19,0,9080,-8.859,7917.0,8268.0,1627.3157894736842,464.31578947368416,815.3157894736842
2017-01-09 20:00:00,1,20,0,8559,-9.266,7517.0,7761.0,1505.3157894736842,463.31578947368416,707.3157894736842
2017-01-09 21:00:00,1,21,0,8379,-9.547,7623.0,7707.0,1274.2631578947369,518.2631578947367,602.2631578947367
2017-01-09 22:00:00,1,22,0,7907,-9.773,7354.0,7199.0,1172.105263157895,619.105263157895,464.105263157895
2017-01-09 23:00:00,1,23,0,7540,-9.845,7012.0,6876.0,1093.7894736842109,565.7894736842109,429.78947368421086
2017-01-10 00:00:00,1,0,1,7274,-9.944,6731.0,6606.0,1021.0526315789476,478.0526315789475,353.0526315789475
2017-01-10 01:00:00,1,1,1,7119,-10.3,6576.0,6412.0,1028.5263157894733,485.5263157894733,321.5263157894733
2017-01-10 02:00:00,1,2,1,6976,-10.805,6320.0,6316.0,1073.0,417.0,413.0
2017-01-10 03:00:00,1,3,1,7069,-11.474,6218.0,6455.0,1198.3684210526317,347.3684210526317,584.3684210526317
2017-01-10 04:00:00,1,4,1,7781,-12.132,6355.0,6996.0,1715.8421052631577,289.84210526315746,930.8421052631576
2017-01-10 05:00:00,1,5,1,8858,-12.64,6478.0,7645.0,2578.0,198.0,1365.0
2017-01-10 06:00:00,1,6,1,9935,-13.088,7058.0,8470.0,3060.6315789473683,183.63157894736835,1595.6315789473683
2017-01-10 07:00:00,1,7,1,10252,-12.494,7424.0,8913.0,2985.5263157894733,157.5263157894733,1646.5263157894733
2017-01-10 08:00:00,1,8,1,10330,-10.276,7786.0,9132.0,2687.2631578947367,143.26315789473665,1489.2631578947369
2017-01-10 09:00:00,1,9,1,10358,-8.175,8127.0,9292.0,2470.894736842105,239.89473684210495,1404.894736842105
2017-01-10 10:00:00,1,10,1,10274,-6.993,8330.0,9342.0,2258.736842105264,314.7368421052633,1326.7368421052631
2017-01-10 11:00:00,1,11,1,10096,-6.351,8136.0,9156.0,2246.4736842105267,286.4736842105267,1306.4736842105267
2017-01-10 12:00:00,1,12,1,10014,-6.171,7912.0,9022.0,2366.0,264.0,1374.0
2017-01-10 13:00:00,1,13,1,9897,-6.543,7731.0,8917.0,2375.421052631579,209.4210526315792,1395.4210526315792
2017-01-10 14:00:00,1,14,1,9959,-7.713,7694.0,8910.0,2448.2631578947367,183.26315789473665,1399.2631578947369
2017-01-10 15:00:00,1,15,1,10222,-9.482,7963.0,9289.0,2480.4736842105267,221.4736842105267,1547.4736842105267
2017-01-10 16:00:00,1,16,1,10618,-10.541,8507.0,9758.0,2438.0526315789475,327.0526315789475,1578.0526315789475
2017-01-10 17:00:00,1,17,1,10478,-11.393,8602.0,9659.0,2272.4736842105267,396.4736842105267,1453.4736842105267
2017-01-10 18:00:00,1,18,1,9920,-12.128,8214.0,9094.0,2106.421052631579,400.4210526315792,1280.4210526315792
2017-01-10 19:00:00,1,19,1,9277,-12.643,7812.0,8583.0,1824.315789473684,359.31578947368416,1130.3157894736842
2017-01-10 20:00:00,1,20,1,8672,-12.966,7528.0,7985.0,1618.3157894736842,474.31578947368416,931.3157894736842
2017-01-10 21:00:00,1,21,1,8575,-13.278,7568.0,7867.0,1470.2631578947369,463.2631578947367,762.2631578947367
2017-01-10 22:00:00,1,22,1,8104,-13.548,7245.0,7374.0,1369.105263157895,510.105263157895,639.105263157895
2017-01-10 23:00:00,1,23,1,7789,-13.766,6838.0,7062.0,1342.7894736842109,391.78947368421086,615.7894736842109
2017-01-11 00:00:00,1,0,2,7594,-13.935,6630.0,6808.0,1341.0526315789475,377.0526315789475,555.0526315789475
2017-01-11 01:00:00,1,1,2,7494,-14.057,6550.0,6594.0,1403.5263157894733,459.5263157894733,503.5263157894733
2017-01-11 02:00:00,1,2,2,7300,-14.023,6396.0,6400.0,1397.0,493.0,497.0
2017-01-11 03:00:00,1,3,2,7355,-13.927,6598.0,6561.0,1484.3684210526317,727.3684210526317,690.3684210526317
2017-01-11 04:00:00,1,4,2,7922,-13.852,7328.0,7110.0,1856.8421052631572,1262.8421052631577,1044.8421052631577
2017-01-11 05:00:00,1,5,2,9025,-13.764,8376.0,7884.0,2745.0,2096.0,1604.0
2017-01-11 06:00:00,1,6,2,10068,-13.643,9488.0,8744.0,3193.6315789473683,2613.6315789473683,1869.6315789473683
2017-01-11 07:00:00,1,7,2,10428,-12.373,9909.0,9132.0,3161.5263157894733,2642.5263157894733,1865.5263157894733
2017-01-11 08:00:00,1,8,2,10496,-9.676,10064.0,9408.0,2853.2631578947367,2421.2631578947367,1765.2631578947369
2017-01-11 09:00:00,1,9,2,10476,-7.155,10097.0,9570.0,2588.894736842105,2209.894736842105,1682.894736842105
2017-01-11 10:00:00,1,10,2,10369,-5.434,10076.0,9568.0,2353.736842105264,2060.736842105264,1552.7368421052631
2017-01-11 11:00:00,1,11,2,10161,-4.008,9960.0,9369.0,2311.4736842105267,2110.4736842105267,1519.4736842105267
2017-01-11 12:00:00,1,12,2,10099,-3.263,9915.0,9312.0,2451.0,2267.0,1664.0
2017-01-11 13:00:00,1,13,2,9993,-3.288,9831.0,9302.0,2471.421052631579,2309.421052631579,1780.4210526315792
2017-01-11 14:00:00,1,14,2,10026,-4.769,9911.0,9252.0,2515.2631578947367,2400.2631578947367,1741.2631578947369
2017-01-11 15:00:00,1,15,2,10192,-6.812,10071.0,9555.0,2450.4736842105267,2329.4736842105267,1813.4736842105267
2017-01-11 16:00:00,1,16,2,10538,-7.143,10322.0,9656.0,2358.0526315789475,2142.0526315789475,1476.0526315789475
2017-01-11 17:00:00,1,17,2,10386,-6.789,10131.0,9445.0,2180.4736842105267,1925.4736842105267,1239.4736842105267
2017-01-11 18:00:00,1,18,2,9818,-6.475,9569.0,8893.0,2004.4210526315792,1755.4210526315792,1079.4210526315792
2017-01-11 19:00:00,1,19,2,9270,-6.077,9080.0,8382.0,1817.315789473684,1627.3157894736842,929.3157894736842
2017-01-11 20:00:00,1,20,2,8671,-5.584,8559.0,7922.0,1617.3157894736842,1505.3157894736842,868.3157894736842
2017-01-11 21:00:00,1,21,2,8497,-5.083,8379.0,7820.0,1392.2631578947369,1274.2631578947369,715.2631578947367
2017-01-11 22:00:00,1,22,2,7963,-4.533,7907.0,7399.0,1228.105263157895,1172.105263157895,664.105263157895
2017-01-11 23:00:00,1,23,2,7651,-3.933,7540.0,6970.0,1204.7894736842109,1093.7894736842109,523.7894736842109
2017-01-12 00:00:00,1,0,3,7335,-3.21,7274.0,6655.0,1082.0526315789475,1021.0526315789476,402.0526315789475
2017-01-12 01:00:00,1,1,3,7174,-2.75,7119.0,6572.0,1083.5263157894733,1028.5263157894733,481.5263157894733
2017-01-12 02:00:00,1,2,3,7011,-2.631,6976.0,6386.0,1108.0,1073.0,483.0
2017-01-12 03:00:00,1,3,3,7111,-2.395,7069.0,6476.0,1240.3684210526317,1198.3684210526317,605.3684210526317
