ept,mw,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-01 00:00:00,2078.0600210888274,-5.9,1,0,3,,
2015-01-01 01:00:00,2057.993264716497,-5.8,1,1,3,,
2015-01-01 02:00:00,2039.019542228758,-5.8,1,2,3,,
2015-01-01 03:00:00,2027.431311623848,-5.7,1,3,3,,
2015-01-01 04:00:00,2026.8098894435807,-5.7,1,4,3,,
2015-01-01 05:00:00,2037.2160050554808,-5.8,1,5,3,,
2015-01-01 06:00:00,2039.1674518693185,-5.7,1,6,3,,
2015-01-01 07:00:00,2062.566557301664,-5.5,1,7,3,,
2015-01-01 08:00:00,2070.9137758089496,-5.4,1,8,3,,
2015-01-01 09:00:00,2091.003082956637,-5.4,1,9,3,,
2015-01-01 10:00:00,2097.196107360617,-5.3,1,10,3,,
2015-01-01 11:00:00,2095.7056041942524,-5.2,1,11,3,,
2015-01-01 12:00:00,2073.179554310992,-5.2,1,12,3,,
2015-01-01 13:00:00,2043.7000074512537,-5.1,1,13,3,,
2015-01-01 14:00:00,2037.887428954348,-5.0,1,14,3,,
2015-01-01 15:00:00,2032.343112785897,-4.9,1,15,3,,
2015-01-01 16:00:00,2037.2594643321788,-4.6,1,16,3,,
2015-01-01 17:00:00,2064.682429918745,-4.3,1,17,3,,
2015-01-01 18:00:00,2120.1389566279204,-4.0,1,18,3,,
2015-01-01 19:00:00,2115.143902612158,-3.9,1,19,3,,
2015-01-01 20:00:00,2102.2611568243806,-3.7,1,20,3,,
2015-01-01 21:00:00,2076.241373035987,-3.4,1,21,3,,
2015-01-01 22:00:00,2030.61411900556,-3.1,1,22,3,,
2015-01-01 23:00:00,1984.1708000000003,-3.0,1,23,3,,
2015-01-02 00:00:00,1950.0345074417423,-2.9,1,0,4,,
2015-01-02 01:00:00,1920.2936883504588,-2.9,1,1,4,,
2015-01-02 02:00:00,1914.8352386749807,-2.8,1,2,4,,
2015-01-02 03:00:00,1914.72421026147,-2.7,1,3,4,,
2015-01-02 04:00:00,1917.1032406052016,-2.7,1,4,4,,
2015-01-02 05:00:00,1943.4660832414472,-2.7,1,5,4,,
2015-01-02 06:00:00,1968.817201220614,-2.7,1,6,4,,
2015-01-02 07:00:00,2007.607217028648,-2.6,1,7,4,,
2015-01-02 08:00:00,1999.390057203522,-2.7,1,8,4,,
2015-01-02 09:00:00,2016.948662905704,-2.4,1,9,4,,
2015-01-02 10:00:00,2032.4789400631344,-1.8,1,10,4,,
2015-01-02 11:00:00,2018.3105284672413,-1.6,1,11,4,,
2015-01-02 12:00:00,1956.8160466720915,-1.7,1,12,4,,
2015-01-02 13:00:00,1901.7565684653075,-1.3,1,13,4,,
2015-01-02 14:00:00,1847.1984468364344,-0.9,1,14,4,,
2015-01-02 15:00:00,1815.5602869652143,-0.6,1,15,4,,
2015-01-02 16:00:00,1787.569965752127,-0.5,1,16,4,,
2015-01-02 17:00:00,1773.9855441507548,-0.3,1,17,4,,
2015-01-02 18:00:00,1813.4234906637544,-0.3,1,18,4,,
2015-01-02 19:00:00,1814.2136306614484,-0.3,1,19,4,,
2015-01-02 20:00:00,1770.9663959763027,-0.2,1,20,4,,
2015-01-02 21:00:00,1717.1557033754589,-0.2,1,21,4,,
2015-01-02 22:00:00,1680.10467425743,-0.4,1,22,4,,
2015-01-02 23:00:00,1660.5895,-0.6,1,23,4,,
2015-01-03 00:00:00,1610.548543768237,-0.7,1,0,5,2078.0600210888274,
2015-01-03 01:00:00,1589.927047555392,-0.6,1,1,5,2057.993264716497,
2015-01-03 02:00:00,1587.2284817461727,-0.6,1,2,5,2039.019542228758,
2015-01-03 03:00:00,1583.5242333678775,-0.6,1,3,5,2027.431311623848,
2015-01-03 04:00:00,1584.5328167235764,-0.5,1,4,5,2026.8098894435807,
2015-01-03 05:00:00,1615.336789209778,-0.6,1,5,5,2037.2160050554808,
2015-01-03 06:00:00,1628.8157505476977,-0.6,1,6,5,2039.1674518693185,
2015-01-03 07:00:00,1656.0026389537754,-1.4,1,7,5,2062.566557301664,
2015-01-03 08:00:00,1644.2348575678825,-1.6,1,8,5,2070.9137758089496,
2015-01-03 09:00:00,1611.391457097674,-2.3,1,9,5,2091.003082956637,
2015-01-03 10:00:00,1503.9380604659782,-2.8,1,10,5,2097.196107360617,
2015-01-03 11:00:00,1420.3744847727176,-4.2,1,11,5,2095.7056041942524,
2015-01-03 12:00:00,1415.376068778074,-4.9,1,12,5,2073.179554310992,
2015-01-03 13:00:00,1404.5099827766624,-5.2,1,13,5,2043.7000074512537,
2015-01-03 14:00:00,1402.66533658292,-3.2,1,14,5,2037.887428954348,
2015-01-03 15:00:00,1407.56797089551,-0.4,1,15,5,2032.343112785897,
2015-01-03 16:00:00,1407.071517431195,1.5,1,16,5,2037.2594643321788,
2015-01-03 17:00:00,1459.459412988098,3.0,1,17,5,2064.682429918745,
2015-01-03 18:00:00,1575.8517882727149,5.2,1,18,5,2120.1389566279204,
2015-01-03 19:00:00,1615.2738672696485,7.4,1,19,5,2115.143902612158,
2015-01-03 20:00:00,1623.2789633961056,9.5,1,20,5,2102.2611568243806,
2015-01-03 21:00:00,1614.2847590622289,10.9,1,21,5,2076.241373035987,
2015-01-03 22:00:00,1595.0380178881996,10.8,1,22,5,2030.61411900556,
2015-01-03 23:00:00,1575.41871,9.5,1,23,5,1984.1708000000003,
2015-01-04 00:00:00,1554.482151701615,6.7,1,0,6,1950.0345074417423,
