ept,mw,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-01 00:00:00,6731.301663234526,1.3,1,0,3,,
2015-01-01 01:00:00,6602.935629169919,0.8,1,1,3,,
2015-01-01 02:00:00,6530.663272833682,0.6,1,2,3,,
2015-01-01 03:00:00,6503.367925032924,0.8,1,3,3,,
2015-01-01 04:00:00,6603.22787232566,0.9,1,4,3,,
2015-01-01 05:00:00,6831.09455456147,0.7,1,5,3,,
2015-01-01 06:00:00,7005.667570017158,0.3,1,6,3,,
2015-01-01 07:00:00,7106.925301039428,0.0,1,7,3,,
2015-01-01 08:00:00,7190.772304819125,0.0,1,8,3,,
2015-01-01 09:00:00,7439.083856236339,-0.1,1,9,3,,
2015-01-01 10:00:00,7660.510132649951,-0.4,1,10,3,,
2015-01-01 11:00:00,7819.212244207281,-0.5,1,11,3,,
2015-01-01 12:00:00,7845.8812850453,-0.4,1,12,3,,
2015-01-01 13:00:00,7789.898038047869,-0.3,1,13,3,,
2015-01-01 14:00:00,7657.86392390272,-0.3,1,14,3,,
2015-01-01 15:00:00,7527.252626301768,-0.1,1,15,3,,
2015-01-01 16:00:00,7529.644350274048,0.2,1,16,3,,
2015-01-01 17:00:00,7793.170981005568,0.5,1,17,3,,
2015-01-01 18:00:00,7988.466746419424,0.9,1,18,3,,
2015-01-01 19:00:00,7875.49028062257,1.3,1,19,3,,
2015-01-01 20:00:00,7730.627721370471,1.8,1,20,3,,
2015-01-01 21:00:00,7484.477640766045,1.9,1,21,3,,
2015-01-01 22:00:00,7102.441008767375,2.0,1,22,3,,
2015-01-01 23:00:00,6704.87154,2.0,1,23,3,,
2015-01-02 00:00:00,6372.13869774556,2.0,1,0,4,,
2015-01-02 01:00:00,6161.603823358368,2.1,1,1,4,,
2015-01-02 02:00:00,6084.061093506984,2.1,1,2,4,,
2015-01-02 03:00:00,6085.058530515038,2.1,1,3,4,,
2015-01-02 04:00:00,6212.516205729946,1.8,1,4,4,,
2015-01-02 05:00:00,6532.240788261619,1.4,1,5,4,,
2015-01-02 06:00:00,6926.068975058,1.3,1,6,4,,
2015-01-02 07:00:00,7218.827039591768,1.5,1,7,4,,
2015-01-02 08:00:00,7345.074515537186,1.6,1,8,4,,
2015-01-02 09:00:00,7496.117622200738,1.7,1,9,4,,
2015-01-02 10:00:00,7556.129517993494,1.8,1,10,4,,
2015-01-02 11:00:00,7562.594260253186,1.8,1,11,4,,
2015-01-02 12:00:00,7492.008286629581,1.6,1,12,4,,
2015-01-02 13:00:00,7451.256899912918,1.4,1,13,4,,
2015-01-02 14:00:00,7408.696532446461,1.7,1,14,4,,
2015-01-02 15:00:00,7417.413316427345,2.0,1,15,4,,
2015-01-02 16:00:00,7460.646445104381,2.5,1,16,4,,
2015-01-02 17:00:00,7756.902327930137,2.8,1,17,4,,
2015-01-02 18:00:00,7940.887304034239,3.3,1,18,4,,
2015-01-02 19:00:00,7816.059192379931,3.3,1,19,4,,
2015-01-02 20:00:00,7684.576894582329,2.7,1,20,4,,
2015-01-02 21:00:00,7461.5872835884,2.7,1,21,4,,
2015-01-02 22:00:00,7169.501161641906,2.5,1,22,4,,
2015-01-02 23:00:00,6727.41053,2.2,1,23,4,,
2015-01-03 00:00:00,6331.827124370831,2.1,1,0,5,6731.301663234526,
2015-01-03 01:00:00,6140.793200725632,2.2,1,1,5,6602.935629169919,
2015-01-03 02:00:00,5993.711879720405,2.2,1,2,5,6530.663272833682,
2015-01-03 03:00:00,5923.126343239076,2.3,1,3,5,6503.367925032924,
2015-01-03 04:00:00,5990.526126656749,2.4,1,4,5,6603.22787232566,
2015-01-03 05:00:00,6144.823010442581,2.4,1,5,5,6831.09455456147,
2015-01-03 06:00:00,6426.0357240183,2.4,1,6,5,7005.667570017158,
2015-01-03 07:00:00,6681.655688756725,2.5,1,7,5,7106.925301039428,
