ept,mw,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-01 00:00:00,1470.814721023954,-7.1,1,0,3,,
2015-01-01 01:00:00,1440.832944004364,-6.9,1,1,3,,
2015-01-01 02:00:00,1430.4950438853127,-6.5,1,2,3,,
2015-01-01 03:00:00,1423.8063477930784,-6.1,1,3,3,,
2015-01-01 04:00:00,1428.1808234750183,-5.7,1,4,3,,
2015-01-01 05:00:00,1447.3770521976865,-5.6,1,5,3,,
2015-01-01 06:00:00,1475.9874771756004,-5.4,1,6,3,,
2015-01-01 07:00:00,1499.9117019613095,-5.7,1,7,3,,
2015-01-01 08:00:00,1523.473948884144,-5.9,1,8,3,,
2015-01-01 09:00:00,1545.13794122497,-5.7,1,9,3,,
2015-01-01 10:00:00,1552.415428970305,-5.5,1,10,3,,
2015-01-01 11:00:00,1553.3708060146405,-5.4,1,11,3,,
2015-01-01 12:00:00,1538.9750845910637,-5.2,1,12,3,,
2015-01-01 13:00:00,1514.060661926666,-4.9,1,13,3,,
2015-01-01 14:00:00,1489.650293594117,-4.0,1,14,3,,
2015-01-01 15:00:00,1474.2323309506037,-4.0,1,15,3,,
2015-01-01 16:00:00,1480.7567764550913,-3.6,1,16,3,,
2015-01-01 17:00:00,1514.5904543153126,-3.3,1,17,3,,
2015-01-01 18:00:00,1549.7832135681813,-2.9,1,18,3,,
2015-01-01 19:00:00,1528.6110606530513,-2.6,1,19,3,,
2015-01-01 20:00:00,1497.1442101510695,-2.2,1,20,3,,
2015-01-01 21:00:00,1459.2799905077318,-2.0,1,21,3,,
2015-01-01 22:00:00,1407.451888083551,-1.9,1,22,3,,
2015-01-01 23:00:00,1359.09812,-1.8,1,23,3,,
2015-01-02 00:00:00,1321.6760353895188,-1.8,1,0,4,,
2015-01-02 01:00:00,1305.004365312485,-1.7,1,1,4,,
2015-01-02 02:00:00,1294.491020351143,-1.6,1,2,4,,
2015-01-02 03:00:00,1289.8506869179782,-1.7,1,3,4,,
2015-01-02 04:00:00,1302.5581205239102,-1.5,1,4,4,,
2015-01-02 05:00:00,1340.3071484155748,-1.2,1,5,4,,
2015-01-02 06:00:00,1394.438190990548,-0.9,1,6,4,,
2015-01-02 07:00:00,1440.4505352842857,-0.8,1,7,4,,
2015-01-02 08:00:00,1466.130467939004,-0.7,1,8,4,,
2015-01-02 09:00:00,1496.6855800670985,-0.4,1,9,4,,
2015-01-02 10:00:00,1514.020844542233,-0.4,1,10,4,,
2015-01-02 11:00:00,1509.5263081213318,-0.8,1,11,4,,
2015-01-02 12:00:00,1491.5712153530255,-1.0,1,12,4,,
2015-01-02 13:00:00,1472.9264890803468,-1.2,1,13,4,,
2015-01-02 14:00:00,1459.549521420539,-1.1,1,14,4,,
2015-01-02 15:00:00,1448.900983630154,-0.8,1,15,4,,
2015-01-02 16:00:00,1449.293080392334,-0.6,1,16,4,,
2015-01-02 17:00:00,1471.5237892194823,-0.4,1,17,4,,
2015-01-02 18:00:00,1493.207403551001,-0.4,1,18,4,,
2015-01-02 19:00:00,1473.8559221077471,-0.2,1,19,4,,
2015-01-02 20:00:00,1432.3074288562527,0.1,1,20,4,,
2015-01-02 21:00:00,1381.2342849003262,0.1,1,21,4,,
2015-01-02 22:00:00,1312.0005593452952,0.1,1,22,4,,
2015-01-02 23:00:00,1254.75437,0.2,1,23,4,,
2015-01-03 00:00:00,1210.750289683982,0.2,1,0,5,1470.814721023954,
2015-01-03 01:00:00,1186.019211771475,0.2,1,1,5,1440.832944004364,
2015-01-03 02:00:00,1180.2017143921078,0.3,1,2,5,1430.4950438853127,
2015-01-03 03:00:00,1181.308861461921,0.3,1,3,5,1423.8063477930784,
2015-01-03 04:00:00,1188.474534707125,0.2,1,4,5,1428.1808234750183,
2015-01-03 05:00:00,1215.1477800917812,0.5,1,5,5,1447.3770521976865,
2015-01-03 06:00:00,1249.3935395044812,0.6,1,6,5,1475.9874771756004,
2015-01-03 07:00:00,1294.197806708933,0.8,1,7,5,1499.9117019613095,
2015-01-03 08:00:00,1312.062518593643,1.0,1,8,5,1523.473948884144,
2015-01-03 09:00:00,1281.4737228855415,1.1,1,9,5,1545.13794122497,
2015-01-03 10:00:00,1190.057888737048,1.2,1,10,5,1552.415428970305,
2015-01-03 11:00:00,1085.4383606908873,1.3,1,11,5,1553.3708060146405,
2015-01-03 12:00:00,1023.195587644917,1.1,1,12,5,1538.9750845910637,
2015-01-03 13:00:00,1043.9866739443662,0.6,1,13,5,1514.060661926666,
2015-01-03 14:00:00,1013.20133840152,1.1,1,14,5,1489.650293594117,
2015-01-03 15:00:00,997.4719291820352,2.2,1,15,5,1474.2323309506037,
2015-01-03 16:00:00,1010.907843783634,5.0,1,16,5,1480.7567764550913,
2015-01-03 17:00:00,1051.592098128401,8.6,1,17,5,1514.5904543153126,
2015-01-03 18:00:00,1138.225529470169,9.4,1,18,5,1549.7832135681813,
2015-01-03 19:00:00,1173.9391382517629,9.5,1,19,5,1528.6110606530513,
2015-01-03 20:00:00,1181.684561227367,10.5,1,20,5,1497.1442101510695,
2015-01-03 21:00:00,1181.612205471357,11.3,1,21,5,1459.2799905077318,
2015-01-03 22:00:00,1167.7568861311377,11.3,1,22,5,1407.451888083551,
2015-01-03 23:00:00,1132.34759,9.9,1,23,5,1359.09812,
2015-01-04 00:00:00,1085.632781794016,7.4,1,0,6,1321.6760353895188,
2015-01-04 01:00:00,1082.830695161454,5.7,1,1,6,1305.004365312485,
2015-01-04 02:00:00,1093.207634623829,4.1,1,2,6,1294.491020351143,
2015-01-04 03:00:00,1104.536403467789,3.2,1,3,6,1289.8506869179782,
2015-01-04 04:00:00,1128.5646537762225,3.2,1,4,6,1302.5581205239102,
2015-01-04 05:00:00,1170.7648219315265,3.0,1,5,6,1340.3071484155748,
2015-01-04 06:00:00,1225.0637210955622,1.7,1,6,6,1394.438190990548,
2015-01-04 07:00:00,1281.929946066889,2.1,1,7,6,1440.4505352842857,
2015-01-04 08:00:00,1310.832985883254,2.1,1,8,6,1466.130467939004,
2015-01-04 09:00:00,1288.1429927845152,2.0,1,9,6,1496.6855800670985,
2015-01-04 10:00:00,1239.531237643172,1.8,1,10,6,1514.020844542233,
2015-01-04 11:00:00,1188.5804252060127,1.6,1,11,6,1509.5263081213318,
2015-01-04 12:00:00,1151.0901083372228,-0.8,1,12,6,1491.5712153530255,
2015-01-04 13:00:00,1119.7169779353203,-2.3,1,13,6,1472.9264890803468,
2015-01-04 14:00:00,1100.6846682178632,-2.3,1,14,6,1459.549521420539,
2015-01-04 15:00:00,1095.0187474309253,-1.4,1,15,6,1448.900983630154,
2015-01-04 16:00:00,1104.7121479860118,-0.1,1,16,6,1449.293080392334,
2015-01-04 17:00:00,1179.6188242797944,1.1,1,17,6,1471.5237892194823,
2015-01-04 18:00:00,1287.7646900598936,2.1,1,18,6,1493.207403551001,
2015-01-04 19:00:00,1357.0104463279072,3.3,1,19,6,1473.8559221077471,
2015-01-04 20:00:00,1365.2146483973993,4.0,1,20,6,1432.3074288562527,
2015-01-04 21:00:00,1349.736269169971,4.4,1,21,6,1381.2342849003262,
2015-01-04 22:00:00,1311.611778568324,4.2,1,22,6,1312.0005593452952,
2015-01-04 23:00:00,1275.9827700000003,2.8,1,23,6,1254.75437,
2015-01-05 00:00:00,1259.259216679706,0.1,1,0,0,1210.750289683982,
2015-01-05 01:00:00,1268.922514014543,-1.7,1,1,0,1186.019211771475,
2015-01-05 02:00:00,1286.5158859351138,-2.4,1,2,0,1180.2017143921078,
2015-01-05 03:00:00,1311.8475459291565,-3.1,1,3,0,1181.308861461921,
