ept,mw,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-01 00:00:00,9484,-0.046,1,0,3,,
2015-01-01 01:00:00,9152,-0.302,1,1,3,,
2015-01-01 02:00:00,8799,-0.541,1,2,3,,
2015-01-01 03:00:00,8567,-0.794,1,3,3,,
2015-01-01 04:00:00,8487,-1.053,1,4,3,,
2015-01-01 05:00:00,8428,-1.281,1,5,3,,
2015-01-01 06:00:00,8122,-1.45,1,6,3,,
2015-01-01 07:00:00,8179,-1.571,1,7,3,,
2015-01-01 08:00:00,8340,-1.013,1,8,3,,
2015-01-01 09:00:00,8677,0.187,1,9,3,,
2015-01-01 10:00:00,8899,1.325,1,10,3,,
2015-01-01 11:00:00,9092,2.303,1,11,3,,
2015-01-01 12:00:00,9088,2.879,1,12,3,,
2015-01-01 13:00:00,8940,2.971,1,13,3,,
2015-01-01 14:00:00,8919,2.504,1,14,3,,
2015-01-01 15:00:00,9017,1.631,1,15,3,,
2015-01-01 16:00:00,9664,1.136,1,16,3,,
2015-01-01 17:00:00,9914,0.933,1,17,3,,
2015-01-01 18:00:00,9852,0.85,1,18,3,,
2015-01-01 19:00:00,9573,0.73,1,19,3,,
2015-01-01 20:00:00,9422,0.544,1,20,3,,
2015-01-01 21:00:00,9896,0.443,1,21,3,,
2015-01-01 22:00:00,10062,0.488,1,22,3,,
2015-01-01 23:00:00,9489,0.62,1,23,3,,
2015-01-02 00:00:00,9001,0.851,1,0,4,,
2015-01-02 01:00:00,8571,1.203,1,1,4,,
2015-01-02 02:00:00,8321,1.617,1,2,4,,
2015-01-02 03:00:00,8277,2.086,1,3,4,,
2015-01-02 04:00:00,8517,2.667,1,4,4,,
2015-01-02 05:00:00,9000,3.246,1,5,4,,
2015-01-02 06:00:00,9226,3.908,1,6,4,,
2015-01-02 07:00:00,9769,4.779,1,7,4,,
2015-01-02 08:00:00,10243,5.422,1,8,4,,
2015-01-02 09:00:00,10557,6.199,1,9,4,,
2015-01-02 10:00:00,10781,6.81,1,10,4,,
2015-01-02 11:00:00,10770,7.079,1,11,4,,
2015-01-02 12:00:00,10606,7.168,1,12,4,,
2015-01-02 13:00:00,10320,6.996,1,13,4,,
2015-01-02 14:00:00,10225,6.078,1,14,4,,
2015-01-02 15:00:00,10394,4.194,1,15,4,,
2015-01-02 16:00:00,11212,3.352,1,16,4,,
2015-01-02 17:00:00,11429,2.637,1,17,4,,
2015-01-02 18:00:00,11057,2.076,1,18,4,,
2015-01-02 19:00:00,10516,1.888,1,19,4,,
2015-01-02 20:00:00,9993,2.207,1,20,4,,
2015-01-02 21:00:00,10362,2.238,1,21,4,,
2015-01-02 22:00:00,10440,1.113,1,22,4,,
2015-01-02 23:00:00,9880,0.408,1,23,4,,
2015-01-03 00:00:00,9295,0.884,1,0,5,9484.0,
2015-01-03 01:00:00,8901,1.527,1,1,5,9152.0,
2015-01-03 02:00:00,8551,1.505,1,2,5,8799.0,
2015-01-03 03:00:00,8536,1.291,1,3,5,8567.0,
2015-01-03 04:00:00,8619,1.094,1,4,5,8487.0,
2015-01-03 05:00:00,8921,0.908,1,5,5,8428.0,
2015-01-03 06:00:00,9010,0.867,1,6,5,8122.0,
2015-01-03 07:00:00,9605,0.826,1,7,5,8179.0,
2015-01-03 08:00:00,10117,0.753,1,8,5,8340.0,
2015-01-03 09:00:00,10705,0.76,1,9,5,8677.0,
2015-01-03 10:00:00,11068,0.901,1,10,5,8899.0,
2015-01-03 11:00:00,11128,1.319,1,11,5,9092.0,
2015-01-03 12:00:00,11004,1.622,1,12,5,9088.0,
2015-01-03 13:00:00,10816,1.693,1,13,5,8940.0,
2015-01-03 14:00:00,10834,1.857,1,14,5,8919.0,
2015-01-03 15:00:00,11072,2.011,1,15,5,9017.0,
2015-01-03 16:00:00,11515,2.025,1,16,5,9664.0,
2015-01-03 17:00:00,11503,1.656,1,17,5,9914.0,
2015-01-03 18:00:00,11098,1.105,1,18,5,9852.0,
2015-01-03 19:00:00,10692,-0.041,1,19,5,9573.0,
2015-01-03 20:00:00,10232,-0.345,1,20,5,9422.0,
2015-01-03 21:00:00,10425,0.143,1,21,5,9896.0,
2015-01-03 22:00:00,10421,0.775,1,22,5,10062.0,
2015-01-03 23:00:00,9941,1.339,1,23,5,9489.0,
2015-01-04 00:00:00,9447,1.651,1,0,6,9001.0,
2015-01-04 01:00:00,9010,1.767,1,1,6,8571.0,
2015-01-04 02:00:00,8725,1.377,1,2,6,8321.0,
