utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,6180.82,-8.336,6341.4,5543.79
2017-01-01 01:00:00,1,1,6,6134.29,-8.62,6296.42,5525.45
2017-01-01 02:00:00,1,2,6,6041.86,-8.783,6158.19,5493.74
2017-01-01 03:00:00,1,3,6,5973.1,-9.008,6164.75,5467.27
2017-01-01 04:00:00,1,4,6,5952.18,-9.203,6379.15,5494.38
2017-01-01 05:00:00,1,5,6,5965.92,-9.422,6735.84,5645.19
2017-01-01 06:00:00,1,6,6,5978.12,-9.507,6943.1,5847.68
2017-01-01 07:00:00,1,7,6,5993.71,-9.003,7248.68,6064.51
2017-01-01 08:00:00,1,8,6,6475.71,-7.339,7578.55,6539.14
2017-01-01 09:00:00,1,9,6,6770.17,-5.479,7802.68,6711.06
2017-01-01 10:00:00,1,10,6,6834.83,-3.563,7768.49,6636.46
2017-01-01 11:00:00,1,11,6,6801.54,-1.954,7701.87,6570.14
2017-01-01 12:00:00,1,12,6,6853.51,-1.098,7706.47,6608.13
2017-01-01 13:00:00,1,13,6,6967.47,-1.303,7764.83,6671.8
2017-01-01 14:00:00,1,14,6,7161.32,-3.258,7865.8,6785.49
2017-01-01 15:00:00,1,15,6,7380.24,-5.14,7979.0,6880.62
2017-01-01 16:00:00,1,16,6,7513.15,-5.858,8154.66,6791.51
2017-01-01 17:00:00,1,17,6,7479.88,-6.411,7967.09,6718.46
2017-01-01 18:00:00,1,18,6,7421.55,-6.804,7863.07,6641.97
2017-01-01 19:00:00,1,19,6,7355.47,-7.062,7646.04,6534.5
2017-01-01 20:00:00,1,20,6,7070.87,-7.298,7376.85,6237.43
2017-01-01 21:00:00,1,21,6,6854.91,-7.429,6944.15,6105.8
2017-01-01 22:00:00,1,22,6,6572.25,-7.511,6587.03,5854.95
2017-01-01 23:00:00,1,23,6,6431.34,-7.56,6174.31,5460.32
2017-01-02 00:00:00,1,0,0,6513.09,-7.541,6026.16,5345.08
2017-01-02 01:00:00,1,1,0,6510.84,-7.52,6129.04,5365.88
2017-01-02 02:00:00,1,2,0,6413.68,-7.447,6084.07,5338.78
2017-01-02 03:00:00,1,3,0,6579.82,-7.333,6109.38,5380.9
2017-01-02 04:00:00,1,4,0,7153.27,-7.277,6168.81,5458.71
2017-01-02 05:00:00,1,5,0,8192.51,-7.27,6325.36,5611.46
2017-01-02 06:00:00,1,6,0,8751.33,-7.165,6538.23,5769.57
2017-01-02 07:00:00,1,7,0,9077.82,-6.556,6728.54,6003.51
2017-01-02 08:00:00,1,8,0,9452.08,-5.351,7222.97,6551.8
2017-01-02 09:00:00,1,9,0,9593.07,-4.078,7440.13,6813.86
2017-01-02 10:00:00,1,10,0,9653.85,-2.972,7416.79,6770.11
2017-01-02 11:00:00,1,11,0,9901.81,-2.202,7395.47,6605.17
2017-01-02 12:00:00,1,12,0,9807.43,-1.822,7439.64,6603.72
2017-01-02 13:00:00,1,13,0,9720.87,-1.877,7377.11,6649.41
2017-01-02 14:00:00,1,14,0,9720.53,-2.332,7486.85,6786.71
2017-01-02 15:00:00,1,15,0,9728.33,-2.626,7626.98,6899.03
2017-01-02 16:00:00,1,16,0,9763.17,-2.705,7611.19,6865.41
2017-01-02 17:00:00,1,17,0,9548.15,-2.707,7301.61,6792.14
2017-01-02 18:00:00,1,18,0,9427.38,-2.71,6926.74,6738.96
2017-01-02 19:00:00,1,19,0,9087.16,-2.83,6759.48,6648.47
2017-01-02 20:00:00,1,20,0,8635.19,-3.058,6550.56,6321.29
2017-01-02 21:00:00,1,21,0,8108.84,-3.345,6479.29,6134.14
2017-01-02 22:00:00,1,22,0,7724.86,-3.744,6425.27,5871.03
2017-01-02 23:00:00,1,23,0,7419.92,-4.302,6250.51,5682.88
2017-01-03 00:00:00,1,0,1,7482.06,-4.702,6180.82,5711.07
2017-01-03 01:00:00,1,1,1,7426.77,-4.913,6134.29,5699.05
2017-01-03 02:00:00,1,2,1,7371.87,-4.893,6041.86,5550.69
2017-01-03 03:00:00,1,3,1,7495.82,-4.887,5973.1,5607.61
2017-01-03 04:00:00,1,4,1,7951.44,-4.89,5952.18,5892.09
2017-01-03 05:00:00,1,5,1,9023.93,-4.877,5965.92,6367.64
2017-01-03 06:00:00,1,6,1,9539.29,-4.623,5978.12,6705.37
2017-01-03 07:00:00,1,7,1,9611.87,-3.941,5993.71,7067.39
2017-01-03 08:00:00,1,8,1,9767.64,-2.83,6475.71,7400.8
2017-01-03 09:00:00,1,9,1,9739.43,-1.669,6770.17,7653.24
2017-01-03 10:00:00,1,10,1,9723.22,-0.64,6834.83,7772.89
2017-01-03 11:00:00,1,11,1,9931.81,0.102,6801.54,7762.34
2017-01-03 12:00:00,1,12,1,9877.37,0.385,6853.51,7781.21
2017-01-03 13:00:00,1,13,1,9774.3,0.167,6967.47,7773.17
2017-01-03 14:00:00,1,14,1,9814.42,-0.393,7161.32,7824.2
2017-01-03 15:00:00,1,15,1,9877.31,-0.888,7380.24,7784.94
2017-01-03 16:00:00,1,16,1,9950.55,-1.118,7513.15,7823.76
2017-01-03 17:00:00,1,17,1,9686.51,-1.305,7479.88,7637.82
2017-01-03 18:00:00,1,18,1,9551.2,-1.476,7421.55,7545.44
2017-01-03 19:00:00,1,19,1,9289.85,-1.644,7355.47,7306.69
2017-01-03 20:00:00,1,20,1,8776.39,-1.784,7070.87,6985.32
2017-01-03 21:00:00,1,21,1,8234.89,-1.89,6854.91,6605.05
2017-01-03 22:00:00,1,22,1,7794.61,-1.978,6572.25,6215.02
2017-01-03 23:00:00,1,23,1,7518.72,-1.989,6431.34,5954.63
2017-01-04 00:00:00,1,0,2,7582.46,-1.958,6513.09,5954.89
2017-01-04 01:00:00,1,1,2,7509.9,-1.9,6510.84,5930.61
2017-01-04 02:00:00,1,2,2,7418.81,-1.812,6413.68,5782.76
