utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,2743.04,6.529,2716.49,3041.77
2017-01-01 01:00:00,1,1,6,2594.63,6.564,2638.85,2863.15
2017-01-01 02:00:00,1,2,6,2493.52,6.531,2616.79,2828.01
2017-01-01 03:00:00,1,3,6,2481.93,6.42,2711.48,2818.17
2017-01-01 04:00:00,1,4,6,2483.72,6.297,2856.86,2851.23
2017-01-01 05:00:00,1,5,6,2527.31,6.164,3147.14,2978.22
2017-01-01 06:00:00,1,6,6,2632.95,6.024,3521.18,3050.0
2017-01-01 07:00:00,1,7,6,2755.2,5.895,3875.09,3271.22
2017-01-01 08:00:00,1,8,6,2922.99,5.736,4028.82,3435.5
2017-01-01 09:00:00,1,9,6,3161.06,5.654,4055.65,3561.77
2017-01-01 10:00:00,1,10,6,3318.19,5.603,4063.17,3585.01
2017-01-01 11:00:00,1,11,6,3379.66,5.49,3961.17,3519.23
2017-01-01 12:00:00,1,12,6,3360.72,5.291,3920.67,3444.8
2017-01-01 13:00:00,1,13,6,3386.06,4.98,3847.89,3432.8
2017-01-01 14:00:00,1,14,6,3469.48,4.519,3868.7,3471.66
2017-01-01 15:00:00,1,15,6,3772.72,4.136,4092.97,3600.48
2017-01-01 16:00:00,1,16,6,4103.71,3.851,4363.95,3890.7
2017-01-01 17:00:00,1,17,6,4031.89,3.611,4252.91,3819.87
2017-01-01 18:00:00,1,18,6,3821.21,3.372,3969.69,3652.63
2017-01-01 19:00:00,1,19,6,3545.11,3.119,3646.06,3481.5
2017-01-01 20:00:00,1,20,6,3317.04,2.921,3392.13,3312.49
2017-01-01 21:00:00,1,21,6,3081.59,2.705,3148.71,3124.05
2017-01-01 22:00:00,1,22,6,2820.42,2.487,2881.9,2950.0
2017-01-01 23:00:00,1,23,6,2646.61,2.308,2719.85,2788.89
2017-01-02 00:00:00,1,0,0,2538.1,2.05,2654.88,2562.59
2017-01-02 01:00:00,1,1,0,2527.6,1.786,2589.76,2497.98
2017-01-02 02:00:00,1,2,0,2536.6,1.429,2516.05,2502.97
2017-01-02 03:00:00,1,3,0,2657.25,0.827,2516.55,2547.39
2017-01-02 04:00:00,1,4,0,2928.15,0.458,2511.42,2732.13
2017-01-02 05:00:00,1,5,0,3556.24,0.143,2636.62,2825.48
2017-01-02 06:00:00,1,6,0,4269.67,-0.163,2834.94,3032.73
2017-01-02 07:00:00,1,7,0,4631.27,-0.441,3124.54,3262.87
2017-01-02 08:00:00,1,8,0,4694.16,0.01,3371.41,3306.35
2017-01-02 09:00:00,1,9,0,4758.43,1.169,3523.24,3424.01
2017-01-02 10:00:00,1,10,0,4671.15,1.95,3543.62,3464.15
2017-01-02 11:00:00,1,11,0,4514.16,2.331,3512.0,3467.58
2017-01-02 12:00:00,1,12,0,4523.51,2.335,3535.31,3484.54
2017-01-02 13:00:00,1,13,0,4467.19,1.813,3515.83,3544.01
