utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,23393.0,4.459,23288.0,21851.0
2017-01-01 01:00:00,1,1,6,21909.0,4.173,21967.0,20370.0
2017-01-01 02:00:00,1,2,6,20615.0,3.943,21311.0,19196.0
2017-01-01 03:00:00,1,3,6,19628.0,3.842,21119.0,18512.0
2017-01-01 04:00:00,1,4,6,19252.0,3.624,21576.0,18380.0
2017-01-01 05:00:00,1,5,6,19351.0,3.448,23392.0,18545.0
2017-01-01 06:00:00,1,6,6,19691.0,3.312,26578.0,18946.0
2017-01-01 07:00:00,1,7,6,19600.0,3.287,29337.0,19109.0
2017-01-01 08:00:00,1,8,6,20238.0,4.589,31765.0,20404.0
2017-01-01 09:00:00,1,9,6,22001.0,6.207,32963.0,22488.0
2017-01-01 10:00:00,1,10,6,23417.0,7.858,32865.0,23715.0
2017-01-01 11:00:00,1,11,6,24064.0,9.262,32106.0,23990.0
2017-01-01 12:00:00,1,12,6,24655.0,10.164,31791.0,24026.0
2017-01-01 13:00:00,1,13,6,24680.0,10.632,30749.0,23267.0
2017-01-01 14:00:00,1,14,6,23427.0,10.584,29617.0,21636.0
2017-01-01 15:00:00,1,15,6,22972.0,9.662,29322.0,21237.0
2017-01-01 16:00:00,1,16,6,23540.0,7.328,29984.0,21856.0
2017-01-01 17:00:00,1,17,6,26259.0,6.097,32150.0,24511.0
2017-01-01 18:00:00,1,18,6,27668.0,5.565,32969.0,25670.0
2017-01-01 19:00:00,1,19,6,28683.0,5.089,32987.0,26483.0
2017-01-01 20:00:00,1,20,6,29180.0,4.665,32566.0,26911.0
2017-01-01 21:00:00,1,21,6,28618.0,4.315,30813.0,26663.0
2017-01-01 22:00:00,1,22,6,26357.0,4.138,28390.0,24985.0
2017-01-01 23:00:00,1,23,6,23755.0,4.035,25926.0,22696.0
2017-01-02 00:00:00,1,0,0,21649.0,4.019,23679.0,20729.0
2017-01-02 01:00:00,1,1,0,20422.0,4.088,22090.0,19511.0
2017-01-02 02:00:00,1,2,0,19846.0,4.144,21152.0,18792.0
2017-01-02 03:00:00,1,3,0,19749.0,4.133,20732.0,18574.0
2017-01-02 04:00:00,1,4,0,20450.0,4.128,20794.0,18853.0
2017-01-02 05:00:00,1,5,0,22781.0,4.092,21398.0,19817.0
2017-01-02 06:00:00,1,6,0,25922.0,4.052,22600.0,21274.0
2017-01-02 07:00:00,1,7,0,28485.0,4.088,24132.0,22442.0
2017-01-02 08:00:00,1,8,0,30812.0,5.227,26716.0,24316.0
2017-01-02 09:00:00,1,9,0,32838.0,6.807,28995.0,26125.0
2017-01-02 10:00:00,1,10,0,33448.0,8.341,29453.0,26895.0
2017-01-02 11:00:00,1,11,0,33400.0,9.669,28911.0,26690.0
2017-01-02 12:00:00,1,12,0,33486.0,10.486,28763.0,26985.0
2017-01-02 13:00:00,1,13,0,32622.0,10.898,28142.0,26434.0
2017-01-02 14:00:00,1,14,0,31811.0,10.862,27152.0,25394.0
2017-01-02 15:00:00,1,15,0,31522.0,10.044,26696.0,24851.0
2017-01-02 16:00:00,1,16,0,32181.0,8.209,27334.0,25216.0
