utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,22515.0,2.585,21536.0,20838.0
2017-01-01 01:00:00,1,1,6,21158.0,2.524,20566.0,19194.0
2017-01-01 02:00:00,1,2,6,19807.0,2.464,20225.0,18272.0
2017-01-01 03:00:00,1,3,6,19096.0,2.386,20522.0,17874.0
2017-01-01 04:00:00,1,4,6,19091.0,2.326,21824.0,18182.0
2017-01-01 05:00:00,1,5,6,19766.0,2.278,25199.0,19370.0
2017-01-01 06:00:00,1,6,6,20008.0,2.226,29136.0,20398.0
2017-01-01 07:00:00,1,7,6,20273.0,3.003,32821.0,21513.0
2017-01-01 08:00:00,1,8,6,21531.0,4.866,34830.0,23561.0
2017-01-01 09:00:00,1,9,6,22681.0,6.514,34906.0,25168.0
2017-01-01 10:00:00,1,10,6,23576.0,7.83,34655.0,25745.0
2017-01-01 11:00:00,1,11,6,23886.0,8.638,32880.0,24580.0
2017-01-01 12:00:00,1,12,6,22581.0,8.923,31576.0,21729.0
2017-01-01 13:00:00,1,13,6,21647.0,8.642,31652.0,20331.0
2017-01-01 14:00:00,1,14,6,22111.0,7.364,32197.0,20778.0
2017-01-01 15:00:00,1,15,6,23864.0,5.76,33737.0,22801.0
2017-01-01 16:00:00,1,16,6,27750.0,5.032,37438.0,26409.0
2017-01-01 17:00:00,1,17,6,29075.0,4.602,37838.0,27014.0
2017-01-01 18:00:00,1,18,6,29650.0,4.266,37392.0,27303.0
2017-01-01 19:00:00,1,19,6,29290.0,3.953,35074.0,26905.0
2017-01-01 20:00:00,1,20,6,28143.0,3.703,32522.0,25975.0
2017-01-01 21:00:00,1,21,6,26074.0,3.541,29523.0,24499.0
2017-01-01 22:00:00,1,22,6,23658.0,3.466,26291.0,22409.0
2017-01-01 23:00:00,1,23,6,21252.0,3.424,23366.0,20365.0
2017-01-02 00:00:00,1,0,0,19425.0,3.433,21363.0,18650.0
2017-01-02 01:00:00,1,1,0,18677.0,3.446,20211.0,17896.0
2017-01-02 02:00:00,1,2,0,18466.0,3.414,19737.0,17493.0
2017-01-02 03:00:00,1,3,0,18837.0,3.373,19772.0,17505.0
2017-01-02 04:00:00,1,4,0,20349.0,3.33,20576.0,18106.0
2017-01-02 05:00:00,1,5,0,23999.0,3.297,22775.0,19480.0
2017-01-02 06:00:00,1,6,0,28050.0,3.335,25066.0,20469.0
2017-01-02 07:00:00,1,7,0,31901.0,4.089,27220.0,21540.0
2017-01-02 08:00:00,1,8,0,34179.0,5.724,29185.0,23392.0
2017-01-02 09:00:00,1,9,0,34250.0,7.242,29058.0,24539.0
2017-01-02 10:00:00,1,10,0,34217.0,8.413,28174.0,24951.0
2017-01-02 11:00:00,1,11,0,33340.0,9.119,27523.0,24734.0
2017-01-02 12:00:00,1,12,0,32496.0,9.369,26923.0,23129.0
2017-01-02 13:00:00,1,13,0,33105.0,9.092,27055.0,22383.0
2017-01-02 14:00:00,1,14,0,34180.0,7.86,27667.0,22891.0
2017-01-02 15:00:00,1,15,0,35626.0,6.151,29686.0,24449.0
2017-01-02 16:00:00,1,16,0,39067.0,5.599,34353.0,28195.0
2017-01-02 17:00:00,1,17,0,39233.0,5.364,34836.0,29070.0
2017-01-02 18:00:00,1,18,0,38519.0,5.141,33855.0,29524.0
2017-01-02 19:00:00,1,19,0,36141.0,5.021,31154.0,28874.0
2017-01-02 20:00:00,1,20,0,33400.0,4.973,28342.0,27545.0
2017-01-02 21:00:00,1,21,0,30331.0,4.833,26496.0,25437.0
2017-01-02 22:00:00,1,22,0,27134.0,4.624,25276.0,23198.0
2017-01-02 23:00:00,1,23,0,24458.0,4.425,23663.0,21029.0
2017-01-03 00:00:00,1,0,1,22566.0,4.267,22515.0,19300.0
2017-01-03 01:00:00,1,1,1,21643.0,4.156,21158.0,18454.0
2017-01-03 02:00:00,1,2,1,21230.0,4.003,19807.0,18217.0
