utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,1092.45,-2.526,1146.36,1026.12
2017-01-01 01:00:00,1,1,6,1052.9,-2.485,1109.03,1044.61
2017-01-01 02:00:00,1,2,6,1012.77,-2.458,1103.32,1040.73
2017-01-01 03:00:00,1,3,6,995.55,-2.489,1124.18,1013.44
2017-01-01 04:00:00,1,4,6,1003.98,-2.623,1189.83,1039.5
2017-01-01 05:00:00,1,5,6,1046.67,-2.867,1349.37,1132.8
2017-01-01 06:00:00,1,6,6,1097.43,-3.181,1463.86,1201.61
2017-01-01 07:00:00,1,7,6,1145.35,-2.773,1547.0,1322.34
2017-01-01 08:00:00,1,8,6,1184.56,-0.975,1539.89,1395.32
2017-01-01 09:00:00,1,9,6,1228.04,1.078,1526.27,1434.2
2017-01-01 10:00:00,1,10,6,1205.58,2.831,1481.78,1451.18
2017-01-01 11:00:00,1,11,6,1197.82,4.225,1441.85,1394.29
2017-01-01 12:00:00,1,12,6,1139.71,4.411,1413.38,1296.31
2017-01-01 13:00:00,1,13,6,1156.79,3.348,1405.42,1285.54
2017-01-01 14:00:00,1,14,6,1192.17,0.738,1444.8,1257.09
2017-01-01 15:00:00,1,15,6,1274.05,-1.189,1537.23,1322.36
2017-01-01 16:00:00,1,16,6,1388.09,-1.749,1615.48,1405.25
2017-01-01 17:00:00,1,17,6,1402.5,-2.166,1628.59,1414.34
2017-01-01 18:00:00,1,18,6,1395.24,-2.564,1601.48,1440.41
2017-01-01 19:00:00,1,19,6,1394.32,-3.079,1530.76,1402.35
2017-01-01 20:00:00,1,20,6,1336.45,-3.58,1419.81,1354.58
2017-01-01 21:00:00,1,21,6,1243.51,-4.003,1363.18,1257.27
2017-01-01 22:00:00,1,22,6,1130.11,-4.294,1254.7,1153.63
2017-01-01 23:00:00,1,23,6,1083.06,-4.478,1171.76,1066.46
2017-01-02 00:00:00,1,0,0,1019.99,-4.564,1085.09,1039.56
2017-01-02 01:00:00,1,1,0,1008.73,-4.586,1100.86,1025.19
2017-01-02 02:00:00,1,2,0,990.43,-4.571,1052.24,1023.42
2017-01-02 03:00:00,1,3,0,1019.61,-4.561,1081.21,1009.5
2017-01-02 04:00:00,1,4,0,1058.89,-4.548,1118.79,1055.97
2017-01-02 05:00:00,1,5,0,1143.18,-4.458,1201.37,1137.97
2017-01-02 06:00:00,1,6,0,1261.87,-3.902,1310.19,1251.26
2017-01-02 07:00:00,1,7,0,1356.08,-2.696,1419.54,1347.74
2017-01-02 08:00:00,1,8,0,1416.8,-0.787,1456.92,1389.8
2017-01-02 09:00:00,1,9,0,1416.3,0.786,1439.05,1378.56
2017-01-02 10:00:00,1,10,0,1419.47,2.399,1414.11,1341.67
2017-01-02 11:00:00,1,11,0,1381.8,3.583,1386.83,1337.89
2017-01-02 12:00:00,1,12,0,1334.55,3.938,1362.8,1268.69
2017-01-02 13:00:00,1,13,0,1334.13,3.434,1355.01,1273.49
2017-01-02 14:00:00,1,14,0,1346.63,2.14,1391.84,1282.13
2017-01-02 15:00:00,1,15,0,1425.04,1.229,1503.62,1393.08
2017-01-02 16:00:00,1,16,0,1539.27,1.201,1618.55,1472.3
2017-01-02 17:00:00,1,17,0,1557.4,0.924,1599.11,1489.68
2017-01-02 18:00:00,1,18,0,1560.59,0.428,1511.35,1454.41
2017-01-02 19:00:00,1,19,0,1517.38,0.31,1398.49,1441.97
2017-01-02 20:00:00,1,20,0,1418.12,-0.017,1310.82,1353.77
