date,netload,potential
2019-01-08 00:00:00,18954,2583.4736842105285
2019-01-08 01:00:00,19656,3549.78947368421
2019-01-08 02:00:00,19224,3163.2631578947367
2019-01-08 03:00:00,18900,2856.315789473684
2019-01-08 04:00:00,19926,3717.473684210529
2019-01-08 05:00:00,20952,4521.78947368421
2019-01-08 06:00:00,22572,5743.894736842107
2019-01-08 07:00:00,22788,5516.526315789473
2019-01-08 08:00:00,21654,4470.63157894737
2019-01-08 09:00:00,19494,3285.4736842105285
2019-01-08 10:00:00,18360,3006.947368421052
2019-01-08 11:00:00,18090,3356.5263157894715
2019-01-08 12:00:00,17658,3345.1578947368416
2019-01-08 13:00:00,17874,4101.157894736842
2019-01-08 14:00:00,18306,4808.842105263158
2019-01-08 15:00:00,18900,4990.736842105263
2019-01-08 16:00:00,19980,5061.78947368421
2019-01-08 17:00:00,20844,4419.473684210527
2019-01-08 18:00:00,20952,3575.36842105263
2019-01-08 19:00:00,20736,3132.0
2019-01-08 20:00:00,20088,2282.21052631579
2019-01-08 21:00:00,19062,1389.78947368421
2019-01-08 22:00:00,18360,1119.78947368421
2019-01-08 23:00:00,16956,0.0
2019-01-09 00:00:00,16740,369.4736842105285
2019-01-09 01:00:00,17118,1011.78947368421
2019-01-09 02:00:00,17064,1003.2631578947368
2019-01-09 03:00:00,16848,804.3157894736833
2019-01-09 04:00:00,17550,1341.4736842105283
2019-01-09 05:00:00,19386,2955.78947368421
2019-01-09 06:00:00,21222,4393.894736842107
2019-01-09 07:00:00,22032,4760.526315789473
2019-01-09 08:00:00,20736,3552.63157894737
2019-01-09 09:00:00,19062,2853.4736842105285
2019-01-09 10:00:00,18414,3060.947368421052
2019-01-09 11:00:00,18576,3842.526315789472
2019-01-09 12:00:00,18090,3777.1578947368416
2019-01-09 13:00:00,17658,3885.1578947368416
2019-01-09 14:00:00,18252,4754.842105263158
2019-01-09 15:00:00,18954,5044.736842105263
2019-01-09 16:00:00,20898,5979.78947368421
2019-01-09 17:00:00,23112,6687.473684210527
2019-01-09 18:00:00,24570,7193.36842105263
2019-01-09 19:00:00,24570,6966.0
2019-01-09 20:00:00,24192,6386.21052631579
2019-01-09 21:00:00,23544,5871.78947368421
2019-01-09 22:00:00,22464,5223.78947368421
