date,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,11.1,1.0,0.0,3.0,10311.614248568025,9844.20026759714
2015-01-08 01:00:00,11.2,1.0,1.0,3.0,10153.95529745421,9653.45626869012
2015-01-08 02:00:00,9.2,1.0,2.0,3.0,10107.504102300156,9502.299658821694
2015-01-08 03:00:00,7.9,1.0,3.0,3.0,10198.666935609968,9474.47803556729
2015-01-08 04:00:00,7.0,1.0,4.0,3.0,10535.15157698741,9554.37048868239
2015-01-08 05:00:00,6.1,1.0,5.0,3.0,11337.83235880477,9741.106981382149
2015-01-08 06:00:00,4.9,1.0,6.0,3.0,12340.064320763044,9867.968014191529
2015-01-08 07:00:00,3.8,1.0,7.0,3.0,12402.470954651122,9903.340771174422
2015-01-08 08:00:00,2.8,1.0,8.0,3.0,11916.13037591043,10027.948683020284
2015-01-08 09:00:00,1.9,1.0,9.0,3.0,11500.641668620608,10365.792157723532
2015-01-08 10:00:00,1.1,1.0,10.0,3.0,11077.182995550802,10703.621443230792
2015-01-08 11:00:00,0.7,1.0,11.0,3.0,10651.477631574397,10897.493837499756
2015-01-08 12:00:00,0.2,1.0,12.0,3.0,10291.851492976411,10929.630982861916
2015-01-08 13:00:00,-0.1,1.0,13.0,3.0,10045.261231982911,10838.469989359226
2015-01-08 14:00:00,0.2,1.0,14.0,3.0,9802.177836792536,10731.549948650723
2015-01-08 15:00:00,1.1,1.0,15.0,3.0,9654.937343876,10669.174415211864
2015-01-08 16:00:00,2.7,1.0,16.0,3.0,9645.770646837738,10751.430866875524
2015-01-08 17:00:00,4.2,1.0,17.0,3.0,10094.841253310622,11216.552025352605
2015-01-08 18:00:00,5.1,1.0,18.0,3.0,10670.468000027658,11355.271730008491
2015-01-08 19:00:00,5.9,1.0,19.0,3.0,10724.365762551624,11193.949638249083
2015-01-08 20:00:00,5.8,1.0,20.0,3.0,10665.864847774365,10976.154934050342
2015-01-08 21:00:00,5.7,1.0,21.0,3.0,10378.518962125869,10684.951054754796
2015-01-08 22:00:00,5.6,1.0,22.0,3.0,9852.748872429716,10240.35384935634
2015-01-08 23:00:00,5.3,1.0,23.0,3.0,9321.8114,9740.2865
2015-01-09 00:00:00,5.0,1.0,0.0,4.0,8991.474419248778,9309.724694239349
2015-01-09 01:00:00,5.0,1.0,1.0,4.0,8864.33704288824,9044.78623372105
2015-01-09 02:00:00,5.2,1.0,2.0,4.0,8803.160481392288,8910.154863375701
2015-01-09 03:00:00,5.4,1.0,3.0,4.0,8848.088675631332,8914.614286578259
2015-01-09 04:00:00,5.6,1.0,4.0,4.0,9153.717875316876,9093.417104426431
2015-01-09 05:00:00,5.6,1.0,5.0,4.0,9899.888592861536,9506.316924879611
2015-01-09 06:00:00,5.4,1.0,6.0,4.0,10824.226347556658,10003.939793971613
2015-01-09 07:00:00,4.3,1.0,7.0,4.0,11028.138981555268,10295.597471449735
2015-01-09 08:00:00,4.3,1.0,8.0,4.0,10880.907625522515,10428.875766152578
2015-01-09 09:00:00,4.4,1.0,9.0,4.0,10902.107617049767,10640.762026738752
2015-01-09 10:00:00,4.7,1.0,10.0,4.0,10894.694149778075,10766.879498170398
2015-01-09 11:00:00,5.0,1.0,11.0,4.0,10777.730648640638,10699.7007734751
2015-01-09 12:00:00,5.4,1.0,12.0,4.0,10557.418661149,10638.388830025764
2015-01-09 13:00:00,5.8,1.0,13.0,4.0,10438.845211068812,10567.23140308468
2015-01-09 14:00:00,5.6,1.0,14.0,4.0,10346.843550283753,10456.46105612301
2015-01-09 15:00:00,5.7,1.0,15.0,4.0,10332.183500173023,10371.232987655438
2015-01-09 16:00:00,5.5,1.0,16.0,4.0,10456.16559176554,10392.534700362332
