date,month,hour,dayofweek,tmpc,mw2day,mw7day
2017-01-08 00:00:00,1,0,6,5.261,5597.6,5076.7
2017-01-08 01:00:00,1,1,6,4.923,5210.0,4874.7
2017-01-08 02:00:00,1,2,6,4.598,4979.5,4561.2
2017-01-08 03:00:00,1,3,6,4.166,4858.4,4270.9
2017-01-08 04:00:00,1,4,6,3.775,4806.7,4092.2
2017-01-08 05:00:00,1,5,6,3.454,4895.4,3998.5
2017-01-08 06:00:00,1,6,6,3.196,5242.9,3979.7
2017-01-08 07:00:00,1,7,6,2.934,5909.5,3849.3
2017-01-08 08:00:00,1,8,6,3.797,6649.4,3816.2
2017-01-08 09:00:00,1,9,6,5.869,7049.7,4169.2
2017-01-08 10:00:00,1,10,6,8.014,7110.1,4630.6
2017-01-08 11:00:00,1,11,6,10.367,7176.9,5047.0
2017-01-08 12:00:00,1,12,6,12.058,6927.7,5218.0
2017-01-08 13:00:00,1,13,6,12.963,6761.3,4989.2
2017-01-08 14:00:00,1,14,6,13.303,6826.4,4776.8
2017-01-08 15:00:00,1,15,6,13.013,6700.2,4766.9
2017-01-08 16:00:00,1,16,6,11.132,6616.4,4884.3
2017-01-08 17:00:00,1,17,6,9.081,6918.0,5433.9
2017-01-08 18:00:00,1,18,6,8.182,7441.9,5977.2
2017-01-08 19:00:00,1,19,6,7.465,7547.9,6144.3
2017-01-08 20:00:00,1,20,6,6.885,7404.3,6206.5
2017-01-08 21:00:00,1,21,6,6.489,7110.9,6061.9
2017-01-08 22:00:00,1,22,6,6.231,6761.0,5845.9
2017-01-08 23:00:00,1,23,6,5.982,6210.7,5281.8
2017-01-09 00:00:00,1,0,0,5.761,5620.7,4772.1
2017-01-09 01:00:00,1,1,0,5.45,5186.0,4404.5
2017-01-09 02:00:00,1,2,0,5.183,4893.6,4174.6
2017-01-09 03:00:00,1,3,0,5.068,4750.8,4056.5
2017-01-09 04:00:00,1,4,0,4.95,4676.7,4092.9
2017-01-09 05:00:00,1,5,0,4.844,4661.7,4208.3
2017-01-09 06:00:00,1,6,0,4.69,4735.1,4543.1
2017-01-09 07:00:00,1,7,0,4.461,4840.6,4988.8
2017-01-09 08:00:00,1,8,0,5.301,5110.7,5756.8
2017-01-09 09:00:00,1,9,0,7.327,5671.8,6441.8
2017-01-09 10:00:00,1,10,0,9.391,5925.8,6812.0
2017-01-09 11:00:00,1,11,0,11.594,6003.7,7099.0
2017-01-09 12:00:00,1,12,0,13.181,6012.4,7159.1
2017-01-09 13:00:00,1,13,0,14.112,5862.6,7142.0
2017-01-09 14:00:00,1,14,0,14.434,5718.2,7263.7
2017-01-09 15:00:00,1,15,0,13.945,5629.1,7171.5
2017-01-09 16:00:00,1,16,0,11.992,5592.1,7133.8
2017-01-09 17:00:00,1,17,0,10.087,6081.1,7406.7
2017-01-09 18:00:00,1,18,0,9.582,6854.2,7703.7
2017-01-09 19:00:00,1,19,0,9.214,7022.3,7803.9
2017-01-09 20:00:00,1,20,0,8.927,6926.1,7663.6
2017-01-09 21:00:00,1,21,0,8.788,6594.5,7334.9
2017-01-09 22:00:00,1,22,0,8.717,6268.6,6907.5
2017-01-09 23:00:00,1,23,0,8.722,5830.6,6201.4
2017-01-10 00:00:00,1,0,1,8.589,5305.3,5563.0
2017-01-10 01:00:00,1,1,1,8.212,4877.9,5144.1
2017-01-10 02:00:00,1,2,1,7.929,4592.1,4899.2
2017-01-10 03:00:00,1,3,1,7.776,4448.6,4786.8
2017-01-10 04:00:00,1,4,1,8.088,4349.0,4722.3
2017-01-10 05:00:00,1,5,1,8.41,4369.2,4814.3
2017-01-10 06:00:00,1,6,1,8.659,4431.4,5136.1
2017-01-10 07:00:00,1,7,1,8.86,4419.1,5814.6
2017-01-10 08:00:00,1,8,1,9.715,4548.0,6552.9
2017-01-10 09:00:00,1,9,1,11.042,5023.2,7075.7
2017-01-10 10:00:00,1,10,1,12.292,5397.2,7264.2
2017-01-10 11:00:00,1,11,1,13.441,5670.9,7398.7
2017-01-10 12:00:00,1,12,1,14.205,5800.4,7246.1
2017-01-10 13:00:00,1,13,1,14.43,5606.2,7143.4
2017-01-10 14:00:00,1,14,1,14.239,5361.1,7276.7
2017-01-10 15:00:00,1,15,1,13.687,5251.3,7143.5
2017-01-10 16:00:00,1,16,1,12.789,5230.5,7091.9
2017-01-10 17:00:00,1,17,1,11.655,5745.0,7322.2
2017-01-10 18:00:00,1,18,1,11.265,6594.6,7697.5
2017-01-10 19:00:00,1,19,1,11.037,6899.2,7816.4
2017-01-10 20:00:00,1,20,1,10.765,6936.3,7661.6
2017-01-10 21:00:00,1,21,1,10.468,6677.2,7352.2
2017-01-10 22:00:00,1,22,1,10.172,6359.0,6966.6
2017-01-10 23:00:00,1,23,1,9.925,5736.1,6227.9
2017-01-11 00:00:00,1,0,2,9.769,5212.8,5553.8
2017-01-11 01:00:00,1,1,2,9.7,4843.6,5128.1
2017-01-11 02:00:00,1,2,2,9.631,4622.8,4932.5
2017-01-11 03:00:00,1,3,2,9.494,4530.7,4785.1
2017-01-11 04:00:00,1,4,2,9.278,4512.9,4753.9
2017-01-11 05:00:00,1,5,2,9.073,4605.7,4819.6
2017-01-11 06:00:00,1,6,2,8.964,5043.1,5195.7
2017-01-11 07:00:00,1,7,2,8.824,5804.0,5848.9
2017-01-11 08:00:00,1,8,2,9.518,6666.7,6572.1
2017-01-11 09:00:00,1,9,2,11.083,7201.8,7061.0
2017-01-11 10:00:00,1,10,2,12.795,7326.9,7165.3
2017-01-11 11:00:00,1,11,2,14.459,7383.3,7286.6
2017-01-11 12:00:00,1,12,2,15.749,7146.0,7114.6
2017-01-11 13:00:00,1,13,2,16.591,7001.0,6975.0
2017-01-11 14:00:00,1,14,2,16.942,7117.9,7126.1
2017-01-11 15:00:00,1,15,2,16.714,6959.5,6972.6
2017-01-11 16:00:00,1,16,2,15.163,6870.6,6900.9
2017-01-11 17:00:00,1,17,2,13.24,7157.5,7150.8
2017-01-11 18:00:00,1,18,2,12.526,7758.6,7606.8
2017-01-11 19:00:00,1,19,2,12.049,7957.9,7722.5
2017-01-11 20:00:00,1,20,2,11.701,7858.5,7563.3
2017-01-11 21:00:00,1,21,2,11.557,7526.2,7242.0
2017-01-11 22:00:00,1,22,2,11.386,7080.9,6870.7
2017-01-11 23:00:00,1,23,2,10.999,6356.0,6186.8
2017-01-12 00:00:00,1,0,3,10.48,5674.7,5539.1
2017-01-12 01:00:00,1,1,3,9.992,5235.5,5143.3
2017-01-12 02:00:00,1,2,3,9.479,5020.5,4898.0
2017-01-12 03:00:00,1,3,3,8.98,4915.3,4788.2
2017-01-12 04:00:00,1,4,3,8.713,4884.6,4749.9
2017-01-12 05:00:00,1,5,3,8.682,4952.1,4820.4
2017-01-12 06:00:00,1,6,3,8.739,5315.6,5142.5
2017-01-12 07:00:00,1,7,3,8.931,6045.2,5824.8
2017-01-12 08:00:00,1,8,3,9.59,6845.2,6620.4
2017-01-12 09:00:00,1,9,3,10.619,7367.5,7078.7
2017-01-12 10:00:00,1,10,3,11.572,7481.1,7171.1
2017-01-12 11:00:00,1,11,3,12.552,7572.9,7241.0
2017-01-12 12:00:00,1,12,3,13.289,7373.3,7041.2
2017-01-12 13:00:00,1,13,3,13.754,7250.4,6928.6
2017-01-12 14:00:00,1,14,3,13.888,7369.1,7005.1
2017-01-12 15:00:00,1,15,3,13.693,7211.4,6830.2
2017-01-12 16:00:00,1,16,3,12.897,7179.6,6787.0
2017-01-12 17:00:00,1,17,3,11.527,7415.5,7093.7
2017-01-12 18:00:00,1,18,3,11.335,7918.7,7595.6
2017-01-12 19:00:00,1,19,3,11.248,8086.5,7746.8
2017-01-12 20:00:00,1,20,3,11.095,7938.5,7591.0
2017-01-12 21:00:00,1,21,3,10.915,7553.7,7271.6
2017-01-12 22:00:00,1,22,3,10.707,7170.9,6898.9
2017-01-12 23:00:00,1,23,3,10.339,6405.8,6205.4
2017-01-13 00:00:00,1,0,4,9.958,5696.7,5597.6
2017-01-13 01:00:00,1,1,4,9.54,5273.4,5210.0
2017-01-13 02:00:00,1,2,4,9.234,5057.4,4979.5
2017-01-13 03:00:00,1,3,4,8.925,4922.6,4858.4
2017-01-13 04:00:00,1,4,4,8.579,4890.7,4806.7
2017-01-13 05:00:00,1,5,4,8.07,4961.5,4895.4
2017-01-13 06:00:00,1,6,4,7.613,5319.6,5242.9
2017-01-13 07:00:00,1,7,4,7.192,6039.6,5909.5
2017-01-13 08:00:00,1,8,4,7.795,6818.2,6649.4
2017-01-13 09:00:00,1,9,4,9.088,7210.0,7049.7
2017-01-13 10:00:00,1,10,4,10.222,7217.1,7110.1
2017-01-13 11:00:00,1,11,4,11.027,7257.3,7176.9
2017-01-13 12:00:00,1,12,4,11.526,6995.6,6927.7
2017-01-13 13:00:00,1,13,4,11.776,6851.9,6761.3
2017-01-13 14:00:00,1,14,4,11.773,6942.1,6826.4
2017-01-13 15:00:00,1,15,4,11.443,6794.5,6700.2
2017-01-13 16:00:00,1,16,4,10.541,6721.9,6616.4
2017-01-13 17:00:00,1,17,4,8.751,6958.4,6918.0
2017-01-13 18:00:00,1,18,4,7.918,7551.4,7441.9
2017-01-13 19:00:00,1,19,4,7.348,7747.9,7547.9
2017-01-13 20:00:00,1,20,4,6.886,7650.6,7404.3
2017-01-13 21:00:00,1,21,4,6.483,7357.0,7110.9
2017-01-13 22:00:00,1,22,4,6.149,6965.4,6761.0
2017-01-13 23:00:00,1,23,4,5.878,6250.8,6210.7
2017-01-14 00:00:00,1,0,5,5.651,5563.6,5620.7
2017-01-14 01:00:00,1,1,5,5.477,5179.1,5186.0
2017-01-14 02:00:00,1,2,5,5.286,4976.9,4893.6
2017-01-14 03:00:00,1,3,5,5.031,4869.3,4750.8
2017-01-14 04:00:00,1,4,5,4.806,4829.2,4676.7
2017-01-14 05:00:00,1,5,5,4.592,4836.5,4661.7
2017-01-14 06:00:00,1,6,5,4.407,5259.5,4735.1
2017-01-14 07:00:00,1,7,5,4.197,5927.5,4840.6
2017-01-14 08:00:00,1,8,5,4.974,6774.2,5110.7
2017-01-14 09:00:00,1,9,5,6.697,7247.3,5671.8
2017-01-14 10:00:00,1,10,5,8.611,7386.0,5925.8
2017-01-14 11:00:00,1,11,5,10.187,7511.5,6003.7
2017-01-14 12:00:00,1,12,5,11.165,7314.6,6012.4
2017-01-14 13:00:00,1,13,5,11.752,7183.6,5862.6
2017-01-14 14:00:00,1,14,5,11.97,7293.7,5718.2
2017-01-14 15:00:00,1,15,5,11.761,7086.8,5629.1
2017-01-14 16:00:00,1,16,5,10.362,7006.8,5592.1
2017-01-14 17:00:00,1,17,5,8.029,7178.1,6081.1
2017-01-14 18:00:00,1,18,5,7.388,7668.2,6854.2
2017-01-14 19:00:00,1,19,5,6.955,7812.6,7022.3
2017-01-14 20:00:00,1,20,5,6.577,7662.4,6926.1
2017-01-14 21:00:00,1,21,5,6.147,7358.2,6594.5
2017-01-14 22:00:00,1,22,5,5.682,6931.3,6268.6
2017-01-14 23:00:00,1,23,5,5.277,6229.1,5830.6
2017-01-15 00:00:00,1,0,6,4.961,5596.5,5305.3
2017-01-15 01:00:00,1,1,6,4.695,5190.5,4877.9
2017-01-15 02:00:00,1,2,6,4.446,4970.8,4592.1
2017-01-15 03:00:00,1,3,6,4.216,4852.8,4448.6
2017-01-15 04:00:00,1,4,6,4.056,4841.9,4349.0
2017-01-15 05:00:00,1,5,6,3.922,4919.2,4369.2
2017-01-15 06:00:00,1,6,6,3.826,5274.0,4431.4
2017-01-15 07:00:00,1,7,6,3.705,5983.8,4419.1
2017-01-15 08:00:00,1,8,6,4.846,6664.9,4548.0
2017-01-15 09:00:00,1,9,6,6.684,7071.1,5023.2
2017-01-15 10:00:00,1,10,6,8.734,7138.1,5397.2
2017-01-15 11:00:00,1,11,6,10.873,7187.8,5670.9
2017-01-15 12:00:00,1,12,6,12.042,6966.7,5800.4
2017-01-15 13:00:00,1,13,6,12.665,6845.1,5606.2
2017-01-15 14:00:00,1,14,6,12.883,6962.5,5361.1
2017-01-15 15:00:00,1,15,6,12.571,6870.5,5251.3
2017-01-15 16:00:00,1,16,6,10.976,6763.1,5230.5
2017-01-15 17:00:00,1,17,6,8.593,6946.1,5745.0
2017-01-15 18:00:00,1,18,6,7.869,7566.0,6594.6
2017-01-15 19:00:00,1,19,6,7.356,7724.0,6899.2
2017-01-15 20:00:00,1,20,6,6.819,7594.2,6936.3
2017-01-15 21:00:00,1,21,6,6.394,7277.8,6677.2
2017-01-15 22:00:00,1,22,6,6.076,6902.6,6359.0
2017-01-15 23:00:00,1,23,6,5.795,6283.5,5736.1
2017-01-16 00:00:00,1,0,0,5.591,5661.2,5212.8
2017-01-16 01:00:00,1,1,0,5.445,5196.4,4843.6
2017-01-16 02:00:00,1,2,0,5.326,4922.1,4622.8
2017-01-16 03:00:00,1,3,0,5.221,4776.9,4530.7
2017-01-16 04:00:00,1,4,0,5.09,4700.5,4512.9
2017-01-16 05:00:00,1,5,0,4.999,4695.3,4605.7
2017-01-16 06:00:00,1,6,0,4.944,4787.8,5043.1
2017-01-16 07:00:00,1,7,0,4.907,4912.5,5804.0
2017-01-16 08:00:00,1,8,0,5.748,5242.2,6666.7
2017-01-16 09:00:00,1,9,0,7.339,5733.9,7201.8
2017-01-16 10:00:00,1,10,0,9.313,5999.1,7326.9
2017-01-16 11:00:00,1,11,0,11.381,6089.7,7383.3
2017-01-16 12:00:00,1,12,0,12.948,6111.4,7146.0
2017-01-16 13:00:00,1,13,0,13.829,5962.7,7001.0
2017-01-16 14:00:00,1,14,0,14.118,5813.3,7117.9
2017-01-16 15:00:00,1,15,0,13.922,5731.0,6959.5
2017-01-16 16:00:00,1,16,0,12.36,5688.2,6870.6
2017-01-16 17:00:00,1,17,0,10.179,6070.6,7157.5
2017-01-16 18:00:00,1,18,0,9.334,6951.2,7758.6
2017-01-16 19:00:00,1,19,0,8.759,7207.4,7957.9
2017-01-16 20:00:00,1,20,0,8.272,7100.7,7858.5
2017-01-16 21:00:00,1,21,0,7.871,6736.1,7526.2
2017-01-16 22:00:00,1,22,0,7.525,6385.6,7080.9
2017-01-16 23:00:00,1,23,0,7.249,5902.2,6356.0
2017-01-17 00:00:00,1,0,1,6.971,5352.0,5674.7
2017-01-17 01:00:00,1,1,1,6.743,4891.6,5235.5
