date,tmp,month,hour,dayofweek,poten_2,poten_7
2015-01-08 00:00:00,4.327,1,0,3,0.0,0.0
2015-01-08 01:00:00,4.118,1,1,3,0.0,0.0
2015-01-08 02:00:00,3.929,1,2,3,0.0,0.0
2015-01-08 03:00:00,3.746,1,3,3,0.0,0.0
2015-01-08 04:00:00,3.636,1,4,3,0.0,0.0
2015-01-08 05:00:00,3.56,1,5,3,0.0,0.0
2015-01-08 06:00:00,3.552,1,6,3,0.0,0.0
2015-01-08 07:00:00,4.337,1,7,3,0.0,0.0
2015-01-08 08:00:00,6.001,1,8,3,0.0,0.0
2015-01-08 09:00:00,7.466,1,9,3,0.0,0.0
2015-01-08 10:00:00,8.525,1,10,3,0.0,0.0
2015-01-08 11:00:00,9.24,1,11,3,0.0,0.0
2015-01-08 12:00:00,9.577,1,12,3,0.0,0.0
2015-01-08 13:00:00,9.463,1,13,3,0.0,0.0
2015-01-08 14:00:00,8.534,1,14,3,0.0,0.0
2015-01-08 15:00:00,6.862,1,15,3,0.0,0.0
2015-01-08 16:00:00,6.094,1,16,3,0.0,0.0
2015-01-08 17:00:00,5.828,1,17,3,0.0,0.0
2015-01-08 18:00:00,5.551,1,18,3,0.0,0.0
2015-01-08 19:00:00,5.349,1,19,3,0.0,0.0
2015-01-08 20:00:00,5.193,1,20,3,0.0,0.0
2015-01-08 21:00:00,4.998,1,21,3,0.0,0.0
2015-01-08 22:00:00,4.822,1,22,3,0.0,0.0
2015-01-08 23:00:00,4.607,1,23,3,0.0,0.0
2015-01-09 00:00:00,4.444,1,0,4,0.0,0.0
2015-01-09 01:00:00,4.416,1,1,4,0.0,0.0
2015-01-09 02:00:00,4.436,1,2,4,0.0,0.0
2015-01-09 03:00:00,4.52,1,3,4,0.0,0.0
2015-01-09 04:00:00,4.507,1,4,4,0.0,0.0
2015-01-09 05:00:00,4.42,1,5,4,3913.459999999999,0.0
2015-01-09 06:00:00,4.461,1,6,4,8554.32,212.3199999999997
2015-01-09 07:00:00,5.448,1,7,4,11325.419999999998,1105.4199999999985
2015-01-09 08:00:00,7.188,1,8,4,11883.86,1319.8600000000006
2015-01-09 09:00:00,8.395,1,9,4,11263.2,644.2000000000007
2015-01-09 10:00:00,9.206,1,10,4,11029.14,320.1399999999994
2015-01-09 11:00:00,9.74,1,11,4,9267.1,322.09999999999854
2015-01-09 12:00:00,10.226,1,12,4,10407.4,697.4000000000015
2015-01-09 13:00:00,10.15,1,13,4,12199.94,1902.9399999999987
2015-01-09 14:00:00,9.182,1,14,4,12826.86,2896.8600000000006
2015-01-09 15:00:00,7.452,1,15,4,13102.88,3995.880000000001
2015-01-09 16:00:00,6.653,1,16,4,12184.72,5210.720000000001
2015-01-09 17:00:00,6.36,1,17,4,9627.059999999998,3913.0599999999977
2015-01-09 18:00:00,6.143,1,18,4,7956.879999999997,3167.8799999999974
2015-01-09 19:00:00,6.024,1,19,4,6755.760000000002,1988.760000000002
2015-01-09 20:00:00,5.917,1,20,4,5749.779999999999,1276.7799999999988
2015-01-09 21:00:00,5.981,1,21,4,4112.32,216.3199999999997
2015-01-09 22:00:00,6.154,1,22,4,3094.9399999999987,0.0
2015-01-09 23:00:00,6.425,1,23,4,2436.0200000000004,0.0
2015-01-10 00:00:00,6.754,1,0,5,846.7999999999993,0.0
2015-01-10 01:00:00,6.99,1,1,5,1052.5999999999983,0.0
2015-01-10 02:00:00,7.078,1,2,5,1365.0400000000009,0.0
