date,tmp,month,hour,dayofweek,poten_2,poten_7
2015-01-08 00:00:00,-13.9,1,0,3,39.91923076923069,78.9192307692307
2015-01-08 01:00:00,-14.2,1,1,3,43.98461538461538,72.0846153846154
2015-01-08 02:00:00,-14.8,1,2,3,39.23461538461538,57.83461538461541
2015-01-08 03:00:00,-15.6,1,3,3,27.49230769230769,53.49230769230769
2015-01-08 04:00:00,-16.0,1,4,3,40.74230769230769,44.942307692307736
2015-01-08 05:00:00,-17.0,1,5,3,79.24615384615379,47.44615384615384
2015-01-08 06:00:00,-17.8,1,6,3,134.75,36.55000000000007
2015-01-08 07:00:00,-18.1,1,7,3,187.28076923076924,11.780769230769238
2015-01-08 08:00:00,-19.0,1,8,3,173.88076923076926,0.0
2015-01-08 09:00:00,-19.7,1,9,3,173.88461538461536,0.0
2015-01-08 10:00:00,-20.4,1,10,3,173.43846153846152,1.4384615384615245
2015-01-08 11:00:00,-20.8,1,11,3,168.11538461538464,12.01538461538462
2015-01-08 12:00:00,-20.9,1,12,3,170.05384615384605,16.953846153846143
2015-01-08 13:00:00,-18.0,1,13,3,172.5038461538461,19.30384615384605
2015-01-08 14:00:00,-13.5,1,14,3,163.93076923076922,18.13076923076926
2015-01-08 15:00:00,-11.6,1,15,3,162.8499999999999,15.649999999999975
2015-01-08 16:00:00,-9.7,1,16,3,170.79615384615374,20.296153846153743
2015-01-08 17:00:00,-8.4,1,17,3,173.85384615384623,34.65384615384619
2015-01-08 18:00:00,-7.4,1,18,3,172.7230769230771,29.723076923077087
2015-01-08 19:00:00,-7.1,1,19,3,174.45384615384614,32.05384615384605
2015-01-08 20:00:00,-7.4,1,20,3,162.9846153846155,39.28461538461545
2015-01-08 21:00:00,-8.5,1,21,3,141.80769230769215,47.10769230769222
2015-01-08 22:00:00,-9.2,1,22,3,109.78076923076924,49.08076923076919
2015-01-08 23:00:00,-9.3,1,23,3,94.37692307692303,44.176923076923
2015-01-09 00:00:00,-9.4,1,0,4,64.81923076923078,18.11923076923074
2015-01-09 01:00:00,-9.6,1,1,4,64.88461538461547,16.78461538461545
2015-01-09 02:00:00,-10.4,1,2,4,63.03461538461545,11.834615384615404
2015-01-09 03:00:00,-10.9,1,3,4,75.29230769230765,15.592307692307712
2015-01-09 04:00:00,-10.3,1,4,4,70.44230769230774,8.74230769230769
2015-01-09 05:00:00,-10.1,1,5,4,106.14615384615388,24.84615384615381
2015-01-09 06:00:00,-10.0,1,6,4,164.95000000000005,44.35000000000002
2015-01-09 07:00:00,-9.3,1,7,4,209.78076923076924,60.38076923076926
2015-01-09 08:00:00,-8.1,1,8,4,196.28076923076924,73.78076923076924
2015-01-09 09:00:00,-8.2,1,9,4,190.68461538461543,87.28461538461534
2015-01-09 10:00:00,-8.4,1,10,4,181.03846153846155,92.43846153846152
2015-01-09 11:00:00,-8.3,1,11,4,172.01538461538462,88.21538461538466
2015-01-09 12:00:00,-8.2,1,12,4,171.05384615384605,88.65384615384608
2015-01-09 13:00:00,-7.9,1,13,4,177.40384615384608,83.20384615384603
2015-01-09 14:00:00,-7.3,1,14,4,177.43076923076922,72.03076923076924
2015-01-09 15:00:00,-6.2,1,15,4,187.75,71.94999999999993
2015-01-09 16:00:00,-4.3,1,16,4,191.0961538461538,76.09615384615381
2015-01-09 17:00:00,-3.3,1,17,4,218.05384615384628,84.25384615384621
2015-01-09 18:00:00,-2.3,1,18,4,220.12307692307704,74.72307692307709
2015-01-09 19:00:00,-2.4,1,19,4,224.65384615384608,67.85384615384612
2015-01-09 20:00:00,-2.7,1,20,4,218.08461538461552,67.68461538461543
2015-01-09 21:00:00,-3.6,1,21,4,199.20769230769224,67.5076923076922
2015-01-09 22:00:00,-4.1,1,22,4,174.5807692307692,65.28076923076924
2015-01-09 23:00:00,-4.3,1,23,4,157.676923076923,60.176923076923
2015-01-10 00:00:00,-5.1,1,0,5,125.11923076923074,30.91923076923069
2015-01-10 01:00:00,-6.0,1,1,5,121.48461538461538,24.684615384615427
2015-01-10 02:00:00,-6.9,1,2,5,116.43461538461544,18.934615384615427
2015-01-10 03:00:00,-7.7,1,3,5,123.59230769230771,19.192307692307736
2015-01-10 04:00:00,-8.2,1,4,5,127.34230769230771,18.14230769230778
2015-01-10 05:00:00,-8.5,1,5,5,150.94615384615383,24.14615384615388
2015-01-10 06:00:00,-9.1,1,6,5,208.1500000000001,24.950000000000045
2015-01-10 07:00:00,-9.5,1,7,5,255.48076923076928,22.980769230769283
2015-01-10 08:00:00,-10.0,1,8,5,243.5807692307693,23.080769230769302
2015-01-10 09:00:00,-10.4,1,9,5,234.7846153846153,35.584615384615404
2015-01-10 10:00:00,-10.6,1,10,5,227.53846153846155,47.63846153846157
2015-01-10 11:00:00,-11.1,1,11,5,210.4153846153846,57.61538461538464
2015-01-10 12:00:00,-11.9,1,12,5,202.9538461538461,69.05384615384605
2015-01-10 13:00:00,-11.1,1,13,5,201.80384615384605,78.0038461538461
2015-01-10 14:00:00,-10.3,1,14,5,198.53076923076924,85.93076923076922
2015-01-10 15:00:00,-9.5,1,15,5,200.15,85.84999999999991
2015-01-10 16:00:00,-8.6,1,16,5,212.0961538461538,93.89615384615377
2015-01-10 17:00:00,-7.9,1,17,5,217.05384615384628,78.35384615384623
2015-01-10 18:00:00,-7.2,1,18,5,216.12307692307704,67.62307692307706
2015-01-10 19:00:00,-6.7,1,19,5,219.8538461538461,67.2538461538461
2015-01-10 20:00:00,-6.5,1,20,5,211.08461538461552,62.984615384615495
2015-01-10 21:00:00,-7.2,1,21,5,196.40769230769217,58.80769230769215
2015-01-10 22:00:00,-8.2,1,22,5,164.68076923076922,55.680769230769215
2015-01-10 23:00:00,-9.4,1,23,5,133.47692307692307,52.87692307692305
2015-01-11 00:00:00,-10.3,1,0,6,98.11923076923074,21.819230769230785
2015-01-11 01:00:00,-10.1,1,1,6,93.5846153846154,13.584615384615404
2015-01-11 02:00:00,-10.1,1,2,6,83.93461538461543,0.2346153846153811
2015-01-11 03:00:00,-10.0,1,3,6,94.29230769230765,0.0
2015-01-11 04:00:00,-10.1,1,4,6,96.44230769230774,0.0
2015-01-11 05:00:00,-10.5,1,5,6,120.8461538461538,0.0
2015-01-11 06:00:00,-11.2,1,6,6,179.35000000000002,0.0
2015-01-11 07:00:00,-11.2,1,7,6,235.0807692307693,0.0
2015-01-11 08:00:00,-12.2,1,8,6,213.0807692307693,0.0
2015-01-11 09:00:00,-12.5,1,9,6,210.0846153846154,0.0
2015-01-11 10:00:00,-11.6,1,10,6,208.1384615384616,5.4384615384615245
2015-01-11 11:00:00,-10.6,1,11,6,191.21538461538464,19.315384615384687
2015-01-11 12:00:00,-10.0,1,12,6,173.2538461538461,30.85384615384612
2015-01-11 13:00:00,-9.2,1,13,6,171.5038461538461,42.10384615384601
2015-01-11 14:00:00,-8.2,1,14,6,164.03076923076924,41.03076923076924
2015-01-11 15:00:00,-6.8,1,15,6,164.25,36.25
2015-01-11 16:00:00,-5.3,1,16,6,157.69615384615383,48.396153846153766
2015-01-11 17:00:00,-4.2,1,17,6,164.45384615384626,44.55384615384628
2015-01-11 18:00:00,-3.8,1,18,6,161.42307692307702,37.22307692307709
2015-01-11 19:00:00,-3.4,1,19,6,152.35384615384612,34.653846153846075
2015-01-11 20:00:00,-3.1,1,20,6,144.9846153846155,33.28461538461545
2015-01-11 21:00:00,-2.9,1,21,6,140.60769230769222,19.5076923076922
2015-01-11 22:00:00,-2.9,1,22,6,130.88076923076915,4.780769230769238
2015-01-11 23:00:00,-2.8,1,23,6,124.176923076923,0.0
2015-01-12 00:00:00,-2.9,1,0,0,100.11923076923074,0.0
2015-01-12 01:00:00,-3.0,1,1,0,95.88461538461549,0.0
2015-01-12 02:00:00,-2.0,1,2,0,85.63461538461547,0.0
2015-01-12 03:00:00,-1.3,1,3,0,89.49230769230769,0.0
2015-01-12 04:00:00,-0.7,1,4,0,89.44230769230774,0.0
2015-01-12 05:00:00,-0.6,1,5,0,97.3461538461538,24.14615384615388
2015-01-12 06:00:00,-0.5,1,6,0,102.75,85.85000000000002
2015-01-12 07:00:00,-1.9,1,7,0,111.28076923076924,132.5807692307693
2015-01-12 08:00:00,-2.5,1,8,0,128.38076923076926,115.0807692307693
2015-01-12 09:00:00,-2.6,1,9,0,133.0846153846154,108.5846153846154
2015-01-12 10:00:00,-2.2,1,10,0,126.43846153846152,99.43846153846152
2015-01-12 11:00:00,-1.9,1,11,0,128.71538461538466,92.81538461538469
2015-01-12 12:00:00,-1.4,1,12,0,123.35384615384612,98.95384615384614
2015-01-12 13:00:00,-0.8,1,13,0,108.90384615384608,102.20384615384604
2015-01-12 14:00:00,-0.2,1,14,0,97.43076923076922,101.8307692307692
2015-01-12 15:00:00,0.2,1,15,0,91.44999999999992,107.25
