date,tmp,month,hour,dayofweek,mw_2,mw_7,poten_2,poten_7
2015-01-08 00:00:00,-0.927,1,0,3,5577.53,5226.83,665.1234090909074,314.4234090909076
2015-01-08 01:00:00,-0.99,1,1,3,5342.29,5226.83,628.4806818181823,513.0206818181823
2015-01-08 02:00:00,-1.046,1,2,3,5158.07,4987.34,587.8861363636352,417.1561363636356
2015-01-08 03:00:00,-1.198,1,3,3,5151.0,4879.48,571.6836363636367,300.1636363636362
2015-01-08 04:00:00,-1.348,1,4,3,5253.96,4909.53,449.3277272727282,104.89772727272792
2015-01-08 05:00:00,-1.311,1,5,3,5513.38,4950.78,336.25136363636466,0.0
2015-01-08 06:00:00,-0.367,1,6,3,5836.38,5132.31,298.88431818181743,0.0
2015-01-08 07:00:00,1.186,1,7,3,6281.0,5738.7,243.04363636363723,0.0
2015-01-08 08:00:00,2.248,1,8,3,6652.42,6471.0,296.3643181818179,114.94431818181783
2015-01-08 09:00:00,3.223,1,9,3,7104.75,7046.0,533.4038636363639,474.6538636363639
2015-01-08 10:00:00,4.018,1,10,3,7433.61,7237.59,791.9943181818171,595.9743181818176
2015-01-08 11:00:00,4.547,1,11,3,7363.31,6912.52,820.5602272727265,369.7702272727265
2015-01-08 12:00:00,4.763,1,12,3,6822.75,6268.75,633.3229545454551,79.3229545454551
2015-01-08 13:00:00,4.641,1,13,3,6913.04,6330.41,664.851136363638,82.22113636363792
2015-01-08 14:00:00,3.794,1,14,3,6949.97,6452.48,716.5886363636364,219.0986363636357
2015-01-08 15:00:00,2.65,1,15,3,7197.79,6621.23,768.7659090909092,192.2059090909088
2015-01-08 16:00:00,2.387,1,16,3,7841.73,7120.62,788.5777272727255,67.46772727272582
2015-01-08 17:00:00,2.248,1,17,3,7882.23,7204.24,742.8097727272725,64.81977272727272
2015-01-08 18:00:00,2.075,1,18,3,7857.93,7167.5,792.4954545454566,102.0654545454563
2015-01-08 19:00:00,1.902,1,19,3,7582.71,6928.06,839.1599999999999,184.51000000000025
2015-01-08 20:00:00,1.708,1,20,3,7121.96,6494.62,896.4077272727272,269.0677272727271
2015-01-08 21:00:00,1.578,1,21,3,6771.38,6215.31,932.636136363637,376.56613636363727
2015-01-08 22:00:00,1.397,1,22,3,6161.77,5696.3,850.1284090909076,384.6584090909073
2015-01-08 23:00:00,1.074,1,23,3,5592.88,5213.72,746.8743181818172,367.71431818181736
2015-01-09 00:00:00,0.874,1,0,4,5605.11,5132.99,692.7034090909074,220.58340909090748
2015-01-09 01:00:00,0.763,1,1,4,5396.53,4942.68,682.7206818181821,228.87068181818267
2015-01-09 02:00:00,0.743,1,2,4,5250.28,4787.06,680.0961363636352,216.87613636363585
2015-01-09 03:00:00,0.702,1,3,4,5308.04,4757.97,728.7236363636366,178.6536363636369
2015-01-09 04:00:00,0.749,1,4,4,5697.59,4934.66,892.9577272727283,130.02772727272804
2015-01-09 05:00:00,0.819,1,5,4,6449.47,5291.6,1272.3413636363648,114.47136363636491
2015-01-09 06:00:00,1.815,1,6,4,7130.25,5727.2,1592.754318181817,189.7043181818172
2015-01-09 07:00:00,3.932,1,7,4,7893.44,6385.61,1855.4836363636368,347.6536363636369
2015-01-09 08:00:00,5.381,1,8,4,8276.45,6911.15,1920.3943181818183,555.0943181818175
2015-01-09 09:00:00,6.573,1,9,4,8432.23,7095.88,1860.883863636364,524.533863636364
2015-01-09 10:00:00,7.361,1,10,4,8450.15,7179.54,1808.534318181817,537.9243181818174
2015-01-09 11:00:00,7.886,1,11,4,8407.89,7181.97,1865.1402272727253,639.2202272727263
2015-01-09 12:00:00,8.117,1,12,4,8098.11,6933.15,1908.6829545454548,743.7229545454547
2015-01-09 13:00:00,7.877,1,13,4,8149.56,7050.34,1901.3711363636385,802.1511363636382
2015-01-09 14:00:00,6.552,1,14,4,8125.24,7015.88,1891.858636363636,782.4986363636363
2015-01-09 15:00:00,5.343,1,15,4,8396.25,7295.86,1967.2259090909088,866.8359090909089
2015-01-09 16:00:00,5.15,1,16,4,9086.15,7897.36,2032.9977272727256,844.2077272727256
2015-01-09 17:00:00,5.038,1,17,4,9107.75,7895.72,1968.329772727273,756.2997727272732
2015-01-09 18:00:00,4.917,1,18,4,8987.4,7790.29,1921.965454545456,724.8554545454563
2015-01-09 19:00:00,4.785,1,19,4,8421.77,7495.98,1678.2200000000005,752.4299999999994
2015-01-09 20:00:00,4.599,1,20,4,7685.57,7027.67,1460.017727272727,802.1177272727273
2015-01-09 21:00:00,4.549,1,21,4,7173.01,6636.47,1334.266136363637,797.7261363636371
2015-01-09 22:00:00,4.628,1,22,4,6563.47,6090.96,1251.8284090909074,779.3184090909072
2015-01-09 23:00:00,4.677,1,23,4,5890.13,5442.14,1044.1243181818172,596.1343181818174
2015-01-10 00:00:00,4.71,1,0,5,5869.19,5406.84,956.7834090909072,494.43340909090784
2015-01-10 01:00:00,4.675,1,1,5,5707.95,5229.44,994.1406818181822,515.630681818182
2015-01-10 02:00:00,4.73,1,2,5,5552.57,5044.1,982.3861363636352,473.9161363636358
2015-01-10 03:00:00,5.005,1,3,5,5562.97,4996.77,983.6536363636368,417.4536363636371
2015-01-10 04:00:00,5.232,1,4,5,6053.18,5191.65,1248.5477272727285,387.0177272727278
2015-01-10 05:00:00,5.417,1,5,5,6986.42,5475.09,1809.2913636363648,297.9613636363647
2015-01-10 06:00:00,6.375,1,6,5,7539.8,5907.55,2002.3043181818173,370.0543181818175
2015-01-10 07:00:00,8.321,1,7,5,8177.02,6641.61,2139.0636363636377,603.6536363636369
2015-01-10 08:00:00,9.726,1,8,5,8527.33,7012.75,2171.2743181818178,656.6943181818178
2015-01-10 09:00:00,10.951,1,9,5,8616.09,7245.57,2044.743863636364,674.2238636363636
2015-01-10 10:00:00,11.989,1,10,5,8536.0,7343.98,1894.3843181818168,702.364318181817
2015-01-10 11:00:00,12.676,1,11,5,8635.83,7262.09,2093.080227272726,719.3402272727262
2015-01-10 12:00:00,12.901,1,12,5,8297.53,6996.61,2108.102954545456,807.1829545454548
2015-01-10 13:00:00,12.376,1,13,5,8399.09,7088.39,2150.901136363638,840.2011363636384
2015-01-10 14:00:00,10.562,1,14,5,8398.32,7086.37,2164.938636363636,852.988636363636
2015-01-10 15:00:00,9.019,1,15,5,8620.88,7389.71,2191.8559090909084,960.6859090909091
2015-01-10 16:00:00,8.683,1,16,5,9311.05,8092.54,2257.897727272725,1039.387727272726
2015-01-10 17:00:00,8.411,1,17,5,9358.3,8098.46,2218.879772727272,959.039772727273
2015-01-10 18:00:00,8.116,1,18,5,9195.11,7905.61,2129.675454545457,840.175454545456
2015-01-10 19:00:00,7.855,1,19,5,8527.51,7498.59,1783.96,755.04
2015-01-10 20:00:00,7.641,1,20,5,7729.75,6986.86,1504.1977272727272,761.3077272727269
2015-01-10 21:00:00,7.471,1,21,5,7149.88,6538.12,1311.136136363637,699.3761363636368
2015-01-10 22:00:00,7.352,1,22,5,6447.5,5968.61,1135.8584090909071,656.9684090909068
2015-01-10 23:00:00,7.273,1,23,5,5845.02,5449.99,999.0143181818175,603.9843181818169
2015-01-11 00:00:00,7.2,1,0,6,5780.98,5384.37,868.5734090909073,471.9634090909076
2015-01-11 01:00:00,7.139,1,1,6,5559.55,5178.39,845.7406818181826,464.5806818181827
2015-01-11 02:00:00,7.126,1,2,6,5460.26,4935.51,890.0761363636357,365.32613636363567
2015-01-11 03:00:00,7.156,1,3,6,5522.06,4870.59,942.743636363637,291.2736363636368
2015-01-11 04:00:00,7.107,1,4,6,5994.61,4952.56,1189.977727272728,147.9277272727286
2015-01-11 05:00:00,7.027,1,5,6,6980.34,5042.67,1803.2113636363647,0.0
2015-01-11 06:00:00,8.143,1,6,6,7482.3,5239.72,1944.8043181818173,0.0
2015-01-11 07:00:00,10.525,1,7,6,8020.41,5805.75,1982.453636363637,0.0
2015-01-11 08:00:00,12.09,1,8,6,8144.37,6441.29,1788.3143181818175,85.2343181818178
2015-01-11 09:00:00,13.487,1,9,6,8111.44,6884.88,1540.0938636363635,313.533863636364
2015-01-11 10:00:00,14.609,1,10,6,8058.17,7079.63,1416.5543181818175,438.0143181818176
2015-01-11 11:00:00,15.051,1,11,6,7926.17,6897.41,1383.4202272727262,354.66022727272593
2015-01-11 12:00:00,14.932,1,12,6,7635.8,6454.93,1446.3729545454553,265.5029545454554
2015-01-11 13:00:00,14.163,1,13,6,7883.21,6574.62,1635.021136363638,326.431136363638
2015-01-11 14:00:00,12.451,1,14,6,7882.51,6600.45,1649.1286363636364,367.068636363636
2015-01-11 15:00:00,11.028,1,15,6,8204.75,6835.0,1775.7259090909092,405.9759090909092
2015-01-11 16:00:00,10.595,1,16,6,8932.33,7401.63,1879.1777272727256,348.47772727272604
2015-01-11 17:00:00,10.352,1,17,6,8922.91,7414.87,1783.4897727272728,275.44977272727283
2015-01-11 18:00:00,10.164,1,18,6,8757.8,7406.55,1692.3654545454556,341.1154545454565
2015-01-11 19:00:00,9.953,1,19,6,8098.53,7167.66,1354.9799999999996,424.1099999999997
2015-01-11 20:00:00,9.775,1,20,6,7414.27,6688.01,1188.7177272727276,462.4577272727274
2015-01-11 21:00:00,9.711,1,21,6,6877.47,6306.89,1038.7261363636371,468.1461363636372
2015-01-11 22:00:00,9.684,1,22,6,6271.42,5647.76,959.7784090909072,336.11840909090733
2015-01-11 23:00:00,9.77,1,23,6,5675.33,5083.62,829.324318181817,237.614318181817
2015-01-12 00:00:00,9.868,1,0,0,5619.62,5000.99,707.2134090909076,88.58340909090748
2015-01-12 01:00:00,9.962,1,1,0,5412.24,4809.78,698.4306818181822,95.97068181818211
2015-01-12 02:00:00,9.533,1,2,0,5211.11,4656.95,640.9261363636351,86.76613636363527
2015-01-12 03:00:00,9.047,1,3,0,5168.75,4690.82,589.4336363636367,111.50363636363636
2015-01-12 04:00:00,8.654,1,4,0,5308.18,5086.23,503.5477272727285,281.5977272727277
2015-01-12 05:00:00,8.21,1,5,0,5647.81,5708.51,470.68136363636495,531.3813636363648
2015-01-12 06:00:00,8.744,1,6,0,6176.14,6389.33,638.6443181818177,851.8343181818173
2015-01-12 07:00:00,9.564,1,7,0,6969.39,7223.59,931.4336363636376,1185.6336363636374
2015-01-12 08:00:00,9.349,1,8,0,7333.14,7674.11,977.0843181818182,1318.0543181818175
2015-01-12 09:00:00,8.511,1,9,0,7358.55,7842.75,787.2038636363641,1271.403863636364
2015-01-12 10:00:00,8.424,1,10,0,7313.45,7966.01,671.8343181818173,1324.3943181818177
2015-01-12 11:00:00,8.8,1,11,0,7195.85,7989.03,653.1002272727264,1446.2802272727258
2015-01-12 12:00:00,9.01,1,12,0,6899.57,7778.74,710.1429545454548,1589.3129545454549
2015-01-12 13:00:00,8.648,1,13,0,7017.61,7876.84,769.4211363636377,1628.6511363636382
2015-01-12 14:00:00,7.593,1,14,0,7020.26,7917.14,786.8786363636364,1683.7586363636365
2015-01-12 15:00:00,6.168,1,15,0,7281.01,8009.2,851.9859090909094,1580.175909090909
2015-01-12 16:00:00,5.419,1,16,0,7930.42,8457.32,877.267727272726,1404.1677272727256
2015-01-12 17:00:00,4.868,1,17,0,7920.4,8464.13,780.9797727272726,1324.709772727272
2015-01-12 18:00:00,4.447,1,18,0,7719.07,8390.48,653.635454545456,1325.045454545456
2015-01-12 19:00:00,4.193,1,19,0,7318.3,7897.98,574.75,1154.4299999999994
2015-01-12 20:00:00,4.007,1,20,0,6802.26,7237.17,576.7077272727274,1011.6177272727272
2015-01-12 21:00:00,3.8,1,21,0,6399.75,6776.19,561.0061363636369,937.4461363636364
2015-01-12 22:00:00,3.624,1,22,0,5837.29,6428.52,525.6484090909071,1116.8784090909076
2015-01-12 23:00:00,3.492,1,23,0,5347.66,5636.34,501.65431818181696,790.3343181818173
2015-01-13 00:00:00,3.421,1,0,1,5283.97,5577.53,371.563409090908,665.1234090909074
2015-01-13 01:00:00,3.313,1,1,1,5009.79,5342.29,295.98068181818235,628.4806818181823
2015-01-13 02:00:00,3.192,1,2,1,4807.5,5158.07,237.31613636363545,587.8861363636352
2015-01-13 03:00:00,3.128,1,3,1,4757.45,5151.0,178.13363636363647,571.6836363636367
2015-01-13 04:00:00,3.073,1,4,1,4856.42,5253.96,51.78772727272826,449.3277272727282
2015-01-13 05:00:00,3.089,1,5,1,5000.37,5513.38,0.0,336.25136363636466
2015-01-13 06:00:00,3.984,1,6,1,5180.97,5836.38,0.0,298.88431818181743
2015-01-13 07:00:00,5.344,1,7,1,5625.08,6281.0,0.0,243.04363636363723
2015-01-13 08:00:00,6.419,1,8,1,6038.81,6652.42,0.0,296.3643181818179
2015-01-13 09:00:00,7.262,1,9,1,6339.16,7104.75,0.0,533.4038636363639
2015-01-13 10:00:00,7.877,1,10,1,6443.47,7433.61,0.0,791.9943181818171
2015-01-13 11:00:00,8.235,1,11,1,6240.87,7363.31,0.0,820.5602272727265
2015-01-13 12:00:00,8.165,1,12,1,5796.86,6822.75,0.0,633.3229545454551
2015-01-13 13:00:00,7.882,1,13,1,5862.66,6913.04,0.0,664.851136363638
2015-01-13 14:00:00,6.798,1,14,1,5943.66,6949.97,0.0,716.5886363636364
2015-01-13 15:00:00,5.654,1,15,1,6299.2,7197.79,0.0,768.7659090909092
2015-01-13 16:00:00,5.484,1,16,1,7031.83,7841.73,0.0,788.5777272727255
2015-01-13 17:00:00,5.421,1,17,1,7115.07,7882.23,0.0,742.8097727272725
2015-01-13 18:00:00,5.353,1,18,1,7064.38,7857.93,0.0,792.4954545454566
2015-01-13 19:00:00,5.227,1,19,1,6829.6,7582.71,86.05000000000018,839.1599999999999
2015-01-13 20:00:00,5.101,1,20,1,6332.57,7121.96,107.01772727272692,896.4077272727272
2015-01-13 21:00:00,5.024,1,21,1,5869.07,6771.38,30.32613636363658,932.636136363637
2015-01-13 22:00:00,4.922,1,22,1,5286.17,6161.77,0.0,850.1284090909076
2015-01-13 23:00:00,4.883,1,23,1,4772.82,5592.88,0.0,746.8743181818172
2015-01-14 00:00:00,4.949,1,0,2,4734.98,5605.11,0.0,692.7034090909074
