date,tmp,month,hour,dayofweek,mw_2,mw_7,poten_2,poten_7
2015-01-08 00:00:00,-13.9,1,0,3,333.6,336.5,55.52727272727276,58.42727272727274
2015-01-08 01:00:00,-14.2,1,1,3,323.6,317.7,56.95454545454544,51.054545454545405
2015-01-08 02:00:00,-14.8,1,2,3,317.7,307.0,55.4309090909091,44.73090909090911
2015-01-08 03:00:00,-15.6,1,3,3,314.1,300.6,55.46000000000004,41.96000000000004
2015-01-08 04:00:00,-16.0,1,4,3,320.7,298.4,58.64727272727271,36.347272727272696
2015-01-08 05:00:00,-17.0,1,5,3,342.8,304.1,65.59636363636372,26.89636363636373
2015-01-08 06:00:00,-17.8,1,6,3,387.5,311.4,83.59818181818179,7.498181818181763
2015-01-08 07:00:00,-18.1,1,7,3,412.6,313.9,88.66181818181815,0.0
2015-01-08 08:00:00,-19.0,1,8,3,391.6528333,303.9180115,81.81454545454545,0.0
2015-01-08 09:00:00,-19.7,1,9,3,377.9677343,328.7855451,79.98545454545456,0.0
2015-01-08 10:00:00,-20.4,1,10,3,377.721399,332.5021834,91.47090909090912,12.370909090909151
2015-01-08 11:00:00,-20.8,1,11,3,376.9801687,319.306558,98.2636363636363,18.66363636363627
2015-01-08 12:00:00,-20.9,1,12,3,374.5629552,317.0225787,98.82545454545452,19.725454545454568
2015-01-08 13:00:00,-18.0,1,13,3,377.9370801,328.8419865,99.17272727272716,17.972727272727184
2015-01-08 14:00:00,-13.5,1,14,3,383.4240518,335.8092605,95.22909090909091,14.02909090909094
2015-01-08 15:00:00,-11.6,1,15,3,405.2986986,338.0240241,95.71999999999996,11.120000000000005
2015-01-08 16:00:00,-9.7,1,16,3,448.5521564,370.2,101.09090909090912,22.09090909090912
2015-01-08 17:00:00,-8.4,1,17,3,490.7,408.2,112.77090909090911,30.27090909090913
2015-01-08 18:00:00,-7.4,1,18,3,509.7,412.5,123.1563636363635,25.956363636363506
2015-01-08 19:00:00,-7.1,1,19,3,508.7,404.8,127.92181818181814,24.02181818181816
2015-01-08 20:00:00,-7.4,1,20,3,489.2,394.3,118.48727272727264,23.587272727272648
2015-01-08 21:00:00,-8.5,1,21,3,457.4,377.0,108.41636363636373,28.01636363636373
2015-01-08 22:00:00,-9.2,1,22,3,412.0,345.9,90.87999999999994,24.77999999999992
2015-01-08 23:00:00,-9.3,1,23,3,369.9,320.3,75.9581818181818,26.35818181818184
2015-01-09 00:00:00,-9.4,1,0,4,350.4,290.4,72.32727272727271,12.327272727272714
2015-01-09 01:00:00,-9.6,1,1,4,341.5,273.2,74.85454545454542,6.554545454545405
2015-01-09 02:00:00,-10.4,1,2,4,330.7,264.4,68.4309090909091,2.130909090909085
2015-01-09 03:00:00,-10.9,1,3,4,327.2,266.4,68.56,7.759999999999991
2015-01-09 04:00:00,-10.3,1,4,4,337.0,274.0,74.94727272727272,11.947272727272718
2015-01-09 05:00:00,-10.1,1,5,4,359.0,288.8,81.79636363636371,11.59636363636372
2015-01-09 06:00:00,-10.0,1,6,4,405.1,311.5,101.1981818181818,7.598181818181786
2015-01-09 07:00:00,-9.3,1,7,4,429.5,330.3,105.56181818181813,6.361818181818137
2015-01-09 08:00:00,-8.1,1,8,4,404.7781124,341.7832289,94.31454545454544,16.814545454545453
2015-01-09 09:00:00,-8.2,1,9,4,382.3995943,343.9866742,83.28545454545457,26.185454545454547
2015-01-09 10:00:00,-8.4,1,10,4,379.7667969,326.4615131,92.27090909090911,27.87090909090915
2015-01-09 11:00:00,-8.3,1,11,4,367.2355016,331.5415382,87.66363636363627,23.06363636363625
2015-01-09 12:00:00,-8.2,1,12,4,371.375093,326.187504,94.62545454545456,27.52545454545452
2015-01-09 13:00:00,-7.9,1,13,4,374.0069226,311.646941,94.47272727272718,22.17272727272717
2015-01-09 14:00:00,-7.3,1,14,4,387.9129627,321.6604519,98.32909090909097,21.02909090909094
2015-01-09 15:00:00,-6.2,1,15,4,414.2141879,345.1426174,103.71999999999996,17.620000000000005
2015-01-09 16:00:00,-4.3,1,16,4,457.3707155,370.9,112.69090909090914,22.79090909090911
2015-01-09 17:00:00,-3.3,1,17,4,518.9,410.3,140.97090909090912,32.37090909090915
2015-01-09 18:00:00,-2.3,1,18,4,536.7,414.3,150.15636363636355,27.75636363636352
