date,month,hour,dayofweek,tmpc,mw2day,mw7day,poten_2,poten_7
2017-01-08 00:00:00,1,0,6,-9.067,1364.66,1092.45,332.5185714285715,60.30857142857144
2017-01-08 01:00:00,1,1,6,-8.876,1337.68,1052.9,323.6785714285717,38.8985714285717
2017-01-08 02:00:00,1,2,6,-8.747,1357.71,1012.77,378.4100000000001,33.47000000000003
2017-01-08 03:00:00,1,3,6,-8.722,1383.71,995.55,404.1600000000001,16.0
2017-01-08 04:00:00,1,4,6,-8.759,1509.46,1003.98,499.2914285714288,0.0
2017-01-08 05:00:00,1,5,6,-8.783,1769.82,1046.67,691.6457142857141,0.0
2017-01-08 06:00:00,1,6,6,-8.78,1940.96,1097.43,793.3799999999999,0.0
2017-01-08 07:00:00,1,7,6,-8.367,1962.33,1145.35,739.9028571428571,0.0
2017-01-08 08:00:00,1,8,6,-7.319,1934.99,1184.56,640.7600000000002,0.0
2017-01-08 09:00:00,1,9,6,-5.544,1926.15,1228.04,605.8171428571429,0.0
2017-01-08 10:00:00,1,10,6,-4.1,1920.48,1205.58,570.72,0.0
2017-01-08 11:00:00,1,11,6,-3.056,1901.72,1197.82,575.1514285714286,0.0
2017-01-08 12:00:00,1,12,6,-2.483,1896.07,1139.71,609.312857142857,0.0
2017-01-08 13:00:00,1,13,6,-2.463,1842.61,1156.79,574.7457142857143,0.0
2017-01-08 14:00:00,1,14,6,-3.437,1880.79,1192.17,605.6628571428571,0.0
2017-01-08 15:00:00,1,15,6,-5.518,1950.17,1274.05,610.8485714285712,0.0
2017-01-08 16:00:00,1,16,6,-6.378,2043.87,1388.09,597.3114285714285,0.0
2017-01-08 17:00:00,1,17,6,-7.008,2025.93,1402.5,552.037142857143,0.0
2017-01-08 18:00:00,1,18,6,-7.566,1992.22,1395.24,511.8714285714289,0.0
2017-01-08 19:00:00,1,19,6,-8.006,1907.9,1394.32,461.22285714285726,0.0
2017-01-08 20:00:00,1,20,6,-8.296,1743.8,1336.45,378.8785714285716,0.0
2017-01-08 21:00:00,1,21,6,-8.434,1686.21,1243.51,405.6657142857141,0.0
2017-01-08 22:00:00,1,22,6,-8.555,1559.58,1130.11,373.8499999999999,0.0
2017-01-08 23:00:00,1,23,6,-8.664,1472.69,1083.06,364.01571428571447,0.0
2017-01-09 00:00:00,1,0,0,-8.607,1427.4,1019.99,395.2585714285715,0.0
2017-01-09 01:00:00,1,1,0,-8.513,1366.37,1008.73,352.3685714285715,0.0
2017-01-09 02:00:00,1,2,0,-8.394,1385.18,990.43,405.8800000000001,11.129999999999995
2017-01-09 03:00:00,1,3,0,-8.418,1373.88,1019.61,394.33000000000015,40.06000000000006
2017-01-09 04:00:00,1,4,0,-8.578,1400.33,1058.89,390.1614285714287,48.72142857142887
2017-01-09 05:00:00,1,5,0,-8.704,1535.77,1143.18,457.59571428571417,65.00571428571425
2017-01-09 06:00:00,1,6,0,-8.851,1672.25,1261.87,524.6699999999998,114.28999999999974
2017-01-09 07:00:00,1,7,0,-7.724,1812.0,1356.08,589.5728571428572,133.6528571428571
2017-01-09 08:00:00,1,8,0,-4.981,1844.0,1416.8,549.7700000000002,122.57000000000016
2017-01-09 09:00:00,1,9,0,-2.638,1835.72,1416.3,515.3871428571429,95.9671428571428
2017-01-09 10:00:00,1,10,0,-0.793,1807.73,1419.47,457.97,69.71000000000004
2017-01-09 11:00:00,1,11,0,0.185,1768.75,1381.8,442.18142857142857,55.23142857142852
2017-01-09 12:00:00,1,12,0,0.553,1726.46,1334.55,439.70285714285706,47.792857142856974
2017-01-09 13:00:00,1,13,0,0.239,1676.86,1334.13,408.9957142857143,66.26571428571447
2017-01-09 14:00:00,1,14,0,-1.078,1687.37,1346.63,412.242857142857,71.50285714285724
2017-01-09 15:00:00,1,15,0,-3.347,1759.37,1425.04,420.048571428571,85.71857142857107
2017-01-09 16:00:00,1,16,0,-4.564,1861.46,1539.27,414.9014285714286,92.71142857142854
2017-01-09 17:00:00,1,17,0,-5.591,1861.77,1557.4,387.87714285714287,83.50714285714298
2017-01-09 18:00:00,1,18,0,-6.357,1840.86,1560.59,360.5114285714287,80.24142857142874
2017-01-09 19:00:00,1,19,0,-7.038,1737.48,1517.38,290.8028571428572,70.70285714285728
2017-01-09 20:00:00,1,20,0,-7.449,1651.95,1418.12,287.0285714285717,53.19857142857154
2017-01-09 21:00:00,1,21,0,-7.613,1538.17,1325.22,257.62571428571414,44.67571428571409
2017-01-09 22:00:00,1,22,0,-7.847,1432.18,1215.0,246.45000000000005,29.269999999999985
2017-01-09 23:00:00,1,23,0,-8.043,1323.8,1141.72,215.1257142857144,33.04571428571444
2017-01-10 00:00:00,1,0,1,-8.228,1252.91,1076.03,220.76857142857148,43.88857142857137
