date,netload
2015-01-08 00:00:00,6357
2015-01-08 01:00:00,6360
2015-01-08 02:00:00,6417
2015-01-08 03:00:00,6302
2015-01-08 04:00:00,6601
2015-01-08 05:00:00,7193
2015-01-08 06:00:00,7686
2015-01-08 07:00:00,8061
2015-01-08 08:00:00,8289
2015-01-08 09:00:00,7662
2015-01-08 10:00:00,7548
2015-01-08 11:00:00,7753
2015-01-08 12:00:00,7959
2015-01-08 13:00:00,8037
2015-01-08 14:00:00,7986
2015-01-08 15:00:00,8117
2015-01-08 16:00:00,8256
2015-01-08 17:00:00,8340
2015-01-08 18:00:00,8259
2015-01-08 19:00:00,7917
2015-01-08 20:00:00,7268
2015-01-08 21:00:00,7185
2015-01-08 22:00:00,7322
2015-01-08 23:00:00,6851
2015-01-09 00:00:00,6560
2015-01-09 01:00:00,6468
2015-01-09 02:00:00,6526
2015-01-09 03:00:00,6398
2015-01-09 04:00:00,6978
2015-01-09 05:00:00,7006
2015-01-09 06:00:00,6886
2015-01-09 07:00:00,6947
2015-01-09 08:00:00,6750
2015-01-09 09:00:00,6491
2015-01-09 10:00:00,6067
2015-01-09 11:00:00,5986
2015-01-09 12:00:00,6146
2015-01-09 13:00:00,6583
2015-01-09 14:00:00,6228
2015-01-09 15:00:00,6776
2015-01-09 16:00:00,6768
2015-01-09 17:00:00,6714
2015-01-09 18:00:00,6382
2015-01-09 19:00:00,5702
2015-01-09 20:00:00,5410
2015-01-09 21:00:00,5596
2015-01-09 22:00:00,5627
2015-01-09 23:00:00,5731
2015-01-10 00:00:00,5658
2015-01-10 01:00:00,4936
2015-01-10 02:00:00,5118
2015-01-10 03:00:00,5352
2015-01-10 04:00:00,5493
2015-01-10 05:00:00,5650
2015-01-10 06:00:00,6385
2015-01-10 07:00:00,6803
2015-01-10 08:00:00,6964
2015-01-10 09:00:00,6717
2015-01-10 10:00:00,6530
2015-01-10 11:00:00,6348
2015-01-10 12:00:00,5962
2015-01-10 13:00:00,5782
2015-01-10 14:00:00,5737
2015-01-10 15:00:00,5600
2015-01-10 16:00:00,5831
2015-01-10 17:00:00,5776
2015-01-10 18:00:00,5800
2015-01-10 19:00:00,5172
2015-01-10 20:00:00,4819
2015-01-10 21:00:00,4645
2015-01-10 22:00:00,5453
2015-01-10 23:00:00,5400
2015-01-11 00:00:00,5087
2015-01-11 01:00:00,4926
2015-01-11 02:00:00,4802
2015-01-11 03:00:00,4790
2015-01-11 04:00:00,4952
2015-01-11 05:00:00,5213
2015-01-11 06:00:00,5369
2015-01-11 07:00:00,5763
2015-01-11 08:00:00,5593
2015-01-11 09:00:00,5984
2015-01-11 10:00:00,6279
2015-01-11 11:00:00,6274
2015-01-11 12:00:00,6368
2015-01-11 13:00:00,6093
2015-01-11 14:00:00,5993
2015-01-11 15:00:00,6008
2015-01-11 16:00:00,5950
2015-01-11 17:00:00,6162
2015-01-11 18:00:00,5888
2015-01-11 19:00:00,5921
2015-01-11 20:00:00,5476
2015-01-11 21:00:00,5397
2015-01-11 22:00:00,5312
2015-01-11 23:00:00,6690
2015-01-12 00:00:00,6415
2015-01-12 01:00:00,6087
2015-01-12 02:00:00,6016
2015-01-12 03:00:00,5964
2015-01-12 04:00:00,6289
2015-01-12 05:00:00,6769
2015-01-12 06:00:00,7328
2015-01-12 07:00:00,7398
2015-01-12 08:00:00,7519
2015-01-12 09:00:00,8163
2015-01-12 10:00:00,7990
2015-01-12 11:00:00,7814
2015-01-12 12:00:00,7616
2015-01-12 13:00:00,7749
2015-01-12 14:00:00,7512
2015-01-12 15:00:00,7579
2015-01-12 16:00:00,7741
2015-01-12 17:00:00,7798
2015-01-12 18:00:00,7297
2015-01-12 19:00:00,7148
2015-01-12 20:00:00,7028
2015-01-12 21:00:00,6834
2015-01-12 22:00:00,6920
2015-01-12 23:00:00,7043
2015-01-13 00:00:00,6696
2015-01-13 01:00:00,6503
2015-01-13 02:00:00,6221
2015-01-13 03:00:00,6299
2015-01-13 04:00:00,6887
2015-01-13 05:00:00,7639
2015-01-13 06:00:00,8537
2015-01-13 07:00:00,8875
2015-01-13 08:00:00,8835
2015-01-13 09:00:00,8860
2015-01-13 10:00:00,8676
2015-01-13 11:00:00,8316
2015-01-13 12:00:00,8128
2015-01-13 13:00:00,8096
2015-01-13 14:00:00,7914
2015-01-13 15:00:00,7876
2015-01-13 16:00:00,7835
2015-01-13 17:00:00,7704
2015-01-13 18:00:00,7179
2015-01-13 19:00:00,7205
2015-01-13 20:00:00,7082
2015-01-13 21:00:00,6988
2015-01-13 22:00:00,7115
2015-01-13 23:00:00,7124
2015-01-14 00:00:00,6850
2015-01-14 01:00:00,6760
2015-01-14 02:00:00,6642
2015-01-14 03:00:00,6585
2015-01-14 04:00:00,6816
2015-01-14 05:00:00,7741
2015-01-14 06:00:00,8667
2015-01-14 07:00:00,8261
2015-01-14 08:00:00,8452
2015-01-14 09:00:00,8469
2015-01-14 10:00:00,8323
2015-01-14 11:00:00,8304
2015-01-14 12:00:00,8082
2015-01-14 13:00:00,8109
2015-01-14 14:00:00,7987
2015-01-14 15:00:00,8147
2015-01-14 16:00:00,8851
2015-01-14 17:00:00,8539
2015-01-14 18:00:00,7891
2015-01-14 19:00:00,8110
2015-01-14 20:00:00,7831
2015-01-14 21:00:00,7491
2015-01-14 22:00:00,7139
2015-01-14 23:00:00,6226
2015-01-15 00:00:00,6100
2015-01-15 01:00:00,6234
2015-01-15 02:00:00,6201
2015-01-15 03:00:00,6615
2015-01-15 04:00:00,7405
2015-01-15 05:00:00,8481
2015-01-15 06:00:00,8850
2015-01-15 07:00:00,9016
2015-01-15 08:00:00,9086
2015-01-15 09:00:00,9208
2015-01-15 10:00:00,9314
2015-01-15 11:00:00,8999
2015-01-15 12:00:00,9090
2015-01-15 13:00:00,8880
2015-01-15 14:00:00,8748
2015-01-15 15:00:00,9048
2015-01-15 16:00:00,9189
2015-01-15 17:00:00,8991
2015-01-15 18:00:00,8898
2015-01-15 19:00:00,8568
2015-01-15 20:00:00,8426
2015-01-15 21:00:00,8293
2015-01-15 22:00:00,7676
2015-01-15 23:00:00,6988
2015-01-16 00:00:00,6765
2015-01-16 01:00:00,6734
2015-01-16 02:00:00,6638
2015-01-16 03:00:00,6742
2015-01-16 04:00:00,7412
2015-01-16 05:00:00,7975
2015-01-16 06:00:00,8596
2015-01-16 07:00:00,8737
2015-01-16 08:00:00,8928
2015-01-16 09:00:00,8976
2015-01-16 10:00:00,9289
2015-01-16 11:00:00,9002
2015-01-16 12:00:00,8911
2015-01-16 13:00:00,8241
2015-01-16 14:00:00,8197
2015-01-16 15:00:00,8478
2015-01-16 16:00:00,8864
2015-01-16 17:00:00,8547
2015-01-16 18:00:00,8087
2015-01-16 19:00:00,7714
2015-01-16 20:00:00,7449
2015-01-16 21:00:00,7636
2015-01-16 22:00:00,6900
2015-01-16 23:00:00,6626
2015-01-17 00:00:00,6342
2015-01-17 01:00:00,6230
2015-01-17 02:00:00,6071
2015-01-17 03:00:00,5924
2015-01-17 04:00:00,6224
2015-01-17 05:00:00,6447
2015-01-17 06:00:00,7091
2015-01-17 07:00:00,7575
2015-01-17 08:00:00,7904
2015-01-17 09:00:00,8004
2015-01-17 10:00:00,7950
2015-01-17 11:00:00,7569
2015-01-17 12:00:00,7622
2015-01-17 13:00:00,7011
2015-01-17 14:00:00,7209
2015-01-17 15:00:00,7318
2015-01-17 16:00:00,7341
2015-01-17 17:00:00,7612
2015-01-17 18:00:00,7280
2015-01-17 19:00:00,7294
2015-01-17 20:00:00,7066
2015-01-17 21:00:00,7098
2015-01-17 22:00:00,6791
2015-01-17 23:00:00,6536
2015-01-18 00:00:00,6175
2015-01-18 01:00:00,6069
2015-01-18 02:00:00,5918
2015-01-18 03:00:00,5916
2015-01-18 04:00:00,6111
2015-01-18 05:00:00,6310
2015-01-18 06:00:00,6779
2015-01-18 07:00:00,7125
2015-01-18 08:00:00,7435
2015-01-18 09:00:00,7795
2015-01-18 10:00:00,7888
2015-01-18 11:00:00,7746
2015-01-18 12:00:00,7504
2015-01-18 13:00:00,7309
2015-01-18 14:00:00,6994
2015-01-18 15:00:00,7087
2015-01-18 16:00:00,7534
2015-01-18 17:00:00,7421
2015-01-18 18:00:00,7422
2015-01-18 19:00:00,7162
2015-01-18 20:00:00,6883
2015-01-18 21:00:00,6910
2015-01-18 22:00:00,7094
2015-01-18 23:00:00,6131
2015-01-19 00:00:00,5824
2015-01-19 01:00:00,5472
2015-01-19 02:00:00,5304
2015-01-19 03:00:00,5580
2015-01-19 04:00:00,5738
2015-01-19 05:00:00,6436
2015-01-19 06:00:00,8040
2015-01-19 07:00:00,8442
2015-01-19 08:00:00,8018
2015-01-19 09:00:00,7672
2015-01-19 10:00:00,7965
2015-01-19 11:00:00,7450
2015-01-19 12:00:00,7694
2015-01-19 13:00:00,7653
2015-01-19 14:00:00,7832
2015-01-19 15:00:00,8113
2015-01-19 16:00:00,8312
2015-01-19 17:00:00,8309
2015-01-19 18:00:00,8016
2015-01-19 19:00:00,6750
2015-01-19 20:00:00,5834
2015-01-19 21:00:00,5494
2015-01-19 22:00:00,5021
2015-01-19 23:00:00,6656
2015-01-20 00:00:00,6418
2015-01-20 01:00:00,6234
2015-01-20 02:00:00,6095
2015-01-20 03:00:00,6342
2015-01-20 04:00:00,6938
2015-01-20 05:00:00,7732
2015-01-20 06:00:00,8226
2015-01-20 07:00:00,8555
2015-01-20 08:00:00,8524
2015-01-20 09:00:00,8545
2015-01-20 10:00:00,8338
2015-01-20 11:00:00,8262
2015-01-20 12:00:00,8141
2015-01-20 13:00:00,8148
2015-01-20 14:00:00,8202
2015-01-20 15:00:00,8279
2015-01-20 16:00:00,8483
2015-01-20 17:00:00,8572
2015-01-20 18:00:00,8163
2015-01-20 19:00:00,7844
2015-01-20 20:00:00,7505
2015-01-20 21:00:00,7443
2015-01-20 22:00:00,6948
2015-01-20 23:00:00,4553
2015-01-21 00:00:00,4357
2015-01-21 01:00:00,4022
2015-01-21 02:00:00,3767
2015-01-21 03:00:00,3970
2015-01-21 04:00:00,4602
2015-01-21 05:00:00,6310
2015-01-21 06:00:00,7976
2015-01-21 07:00:00,8613
2015-01-21 08:00:00,8447
2015-01-21 09:00:00,8058
2015-01-21 10:00:00,7948
2015-01-21 11:00:00,7726
2015-01-21 12:00:00,7620
2015-01-21 13:00:00,7706
2015-01-21 14:00:00,7846
2015-01-21 15:00:00,7934
2015-01-21 16:00:00,8088
2015-01-21 17:00:00,8475
2015-01-21 18:00:00,8048
2015-01-21 19:00:00,6841
2015-01-21 20:00:00,5725
2015-01-21 21:00:00,5867
2015-01-21 22:00:00,5448
2015-01-21 23:00:00,4884
2015-01-22 00:00:00,4797
2015-01-22 01:00:00,4713
2015-01-22 02:00:00,4640
2015-01-22 03:00:00,4589
2015-01-22 04:00:00,5086
2015-01-22 05:00:00,6371
2015-01-22 06:00:00,8068
2015-01-22 07:00:00,7862
2015-01-22 08:00:00,7672
2015-01-22 09:00:00,7739
2015-01-22 10:00:00,7658
2015-01-22 11:00:00,7919
2015-01-22 12:00:00,7848
2015-01-22 13:00:00,7685
2015-01-22 14:00:00,7700
2015-01-22 15:00:00,7780
