ept,netload,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,16801.433,-11.0,1,0,3,11653.532,12571.309,7008.475634920633
2015-01-08 01:00:00,16847.443,-11.4,1,1,3,11515.498,12449.182,7268.915666666668
2015-01-08 02:00:00,16997.13,-11.9,1,2,3,11580.872,12295.476,7494.304222222221
2015-01-08 03:00:00,17259.598,-12.4,1,3,3,11693.593,12354.318,7710.359777777781
2015-01-08 04:00:00,17653.417,-12.9,1,4,3,12210.393999999998,12542.606000000002,7855.071063492067
2015-01-08 05:00:00,18389.831,-13.4,1,5,3,13126.631,12868.438999999998,8038.022365079361
2015-01-08 06:00:00,19419.599,-13.9,1,6,3,14432.311000000002,13225.308,8253.731142857143
2015-01-08 07:00:00,19747.3511985,-14.2,1,7,3,14992.78516974,13208.9802379,8205.121793650791
2015-01-08 08:00:00,18809.7773235,-14.3,1,8,3,14048.3168364,12274.224494199998,7545.307746031751
2015-01-08 09:00:00,16928.224670999996,-14.7,1,9,3,13219.718513999998,11161.276056,6906.167650793652
2015-01-08 10:00:00,16216.403862,-14.8,1,10,3,12259.532336,10220.841164,6325.414587301584
2015-01-08 11:00:00,15049.390361,-14.9,1,11,3,11710.63605,9536.161369,5837.041873015874
2015-01-08 12:00:00,14289.025642,-14.6,1,12,3,10820.200043,9108.231806,5386.707
2015-01-08 13:00:00,14085.653123,-14.2,1,13,3,10464.817156,8793.395245,5018.706587301587
2015-01-08 14:00:00,14454.6331497,-12.9,1,14,3,10750.174878,8932.905902999999,4803.740730158728
2015-01-08 15:00:00,14656.5519861,-11.7,1,15,3,11266.620379,9534.419621,4681.941158730164
2015-01-08 16:00:00,15679.3490075,-10.2,1,16,3,12402.3611847,10735.9100222,4944.386190476191
2015-01-08 17:00:00,17100.578999999998,-8.6,1,17,3,14034.045,12378.294,5356.16712698413
2015-01-08 18:00:00,17596.09,-7.2,1,18,3,14417.815,12594.156,5551.612015873016
2015-01-08 19:00:00,17610.471,-6.4,1,19,3,14455.218,12509.209,5653.387079365077
2015-01-08 20:00:00,17404.515,-6.2,1,20,3,14321.197,12318.473,5643.185555555558
2015-01-08 21:00:00,17005.74,-6.6,1,21,3,13942.109,11959.303999999998,5654.1951428571465
2015-01-08 22:00:00,16259.395,-7.4,1,22,3,13223.861,11414.268999999998,5482.285761904763
2015-01-08 23:00:00,15485.786,-7.6,1,23,3,12691.138,10810.596,5269.282793650798
2015-01-09 00:00:00,15113.688999999998,-7.8,1,0,4,12369.371,10351.569,5320.731634920632
2015-01-09 01:00:00,14891.707,-8.2,1,1,4,12298.817,10056.496,5313.179666666669
2015-01-09 02:00:00,14753.638,-8.3,1,2,4,12223.193,9992.108,5250.812222222221
2015-01-09 03:00:00,14692.335,-8.1,1,3,4,12360.369,10023.023,5143.096777777779
2015-01-09 04:00:00,14897.097,-8.1,1,4,4,12850.378,10307.645,5098.751063492065
2015-01-09 05:00:00,15416.67,-7.7,1,5,4,13609.763,10921.037,5064.861365079363
2015-01-09 06:00:00,16067.521,-7.0,1,6,4,14752.338,11626.327,4901.653142857145
2015-01-09 07:00:00,16310.841,-6.7,1,7,4,15134.0813768,12109.368823301,4646.446793650792
2015-01-09 08:00:00,15760.5150118,-6.4,1,8,4,14275.3311162,11872.1506638,4221.095746031751
2015-01-09 09:00:00,15246.28294903,-6.0,1,9,4,13358.780228,11351.104275499998,3755.466650793651
