date,netload,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,10671.66450942941,11.1,1,0,3,10311.614248568025,9844.20026759714,1759.298263154713
2015-01-08 01:00:00,10685.756321022123,11.2,1,1,3,10153.95529745421,9653.45626869012,1965.750164147976
2015-01-08 02:00:00,10816.410605902656,9.2,1,2,3,10107.504102300156,9502.299658821694,2192.6094163295147
2015-01-08 03:00:00,11045.887947494612,7.9,1,3,3,10198.666935609968,9474.47803556729,2412.83810400135
2015-01-08 04:00:00,11485.110028528215,7.0,1,4,3,10535.15157698741,9554.37048868239,2669.9208702496417
2015-01-08 05:00:00,12372.704384533348,6.1,1,5,3,11337.83235880477,9741.106981382149,3076.796306285385
2015-01-08 06:00:00,13430.679117198571,4.9,1,6,3,12340.064320763044,9867.968014191529,3454.0963711888817
2015-01-08 07:00:00,13641.884595523044,3.8,1,7,3,12402.470954651122,9903.340771174422,3406.200389818132
2015-01-08 08:00:00,13344.348301764603,2.8,1,8,3,11916.13037591043,10027.948683020284,3060.6284423808866
2015-01-08 09:00:00,13076.185306734298,1.9,1,9,3,11500.641668620608,10365.792157723532,2716.074160012744
2015-01-08 10:00:00,12749.660718536135,1.1,1,10,3,11077.182995550802,10703.621443230792,2366.856481932042
2015-01-08 11:00:00,12380.267314277897,0.7,1,11,3,10651.477631574397,10897.493837499756,2034.251423155112
2015-01-08 12:00:00,11973.460986809649,0.2,1,12,3,10291.851492976411,10929.630982861916,1698.5292270292412
2015-01-08 13:00:00,11768.339907565518,-0.1,1,13,3,10045.261231982911,10838.469989359226,1524.4918114668235
2015-01-08 14:00:00,11557.94116363143,0.2,1,14,3,9802.177836792536,10731.549948650723,1382.378086869969
2015-01-08 15:00:00,11606.450381277498,1.1,1,15,3,9654.937343876,10669.174415211864,1490.7178362742816
2015-01-08 16:00:00,11851.206099247149,2.7,1,16,3,9645.770646837738,10751.430866875524,1759.4435173847996
2015-01-08 17:00:00,12454.135518696385,4.2,1,17,3,10094.841253310622,11216.552025352605,2177.974857069017
2015-01-08 18:00:00,12993.357038472011,5.1,1,18,3,10670.468000027658,11355.271730008491,2335.785240257668
2015-01-08 19:00:00,13003.75848126456,5.9,1,19,3,10724.365762551624,11193.949638249083,2384.013609646392
2015-01-08 20:00:00,12870.566615911956,5.8,1,20,3,10665.864847774365,10976.154934050342,2408.26903019121
2015-01-08 21:00:00,12386.117489240256,5.7,1,21,3,10378.518962125869,10684.951054754796,2231.3985187999406
2015-01-08 22:00:00,11662.042754143838,5.6,1,22,3,9852.748872429716,10240.35384935634,1988.7512743691584
2015-01-08 23:00:00,10979.0927,5.3,1,23,3,9321.8114,9740.2865,1802.770450525772
2015-01-09 00:00:00,10514.317590129163,5.0,1,0,4,8991.474419248778,9309.724694239349,1601.9513438544654
2015-01-09 01:00:00,10271.03211135839,5.0,1,1,4,8864.33704288824,9044.78623372105,1551.025954484243
2015-01-09 02:00:00,10152.451343104156,5.2,1,2,4,8803.160481392288,8910.154863375701,1528.6501535310144
2015-01-09 03:00:00,10171.408623428437,5.4,1,3,4,8848.088675631332,8914.614286578259,1538.358779935175
2015-01-09 04:00:00,10452.242392231636,5.6,1,4,4,9153.717875316876,9093.417104426431,1637.053233953062
2015-01-09 05:00:00,11127.516017981608,5.6,1,5,4,9899.888592861536,9506.316924879611,1831.6079397336453
2015-01-09 06:00:00,12068.04842455475,5.4,1,6,4,10824.226347556658,10003.939793971613,2091.4656785450607
2015-01-09 07:00:00,12416.221994183348,4.3,1,7,4,11028.138981555268,10295.597471449735,2180.537788478436
2015-01-09 08:00:00,12468.96781177681,4.3,1,8,4,10880.907625522515,10428.875766152578,2185.2479523930942
2015-01-09 09:00:00,12644.31124152921,4.4,1,9,4,10902.107617049767,10640.762026738752,2284.200094807657
2015-01-09 10:00:00,12834.433367733762,4.7,1,10,4,10894.694149778075,10766.879498170398,2451.629131129668
2015-01-09 11:00:00,12921.410016849171,5.0,1,11,4,10777.730648640638,10699.7007734751,2575.394125726387
2015-01-09 12:00:00,12858.915262499264,5.4,1,12,4,10557.418661149,10638.388830025764,2583.9835027188565
2015-01-09 13:00:00,12885.266975463524,5.8,1,13,4,10438.845211068812,10567.23140308468,2641.41887936483
2015-01-09 14:00:00,12857.32896541699,5.6,1,14,4,10346.843550283753,10456.46105612301,2681.7658886555278
2015-01-09 15:00:00,12919.291850432724,5.7,1,15,4,10332.183500173023,10371.232987655438,2803.559305429508
2015-01-09 16:00:00,13115.01661632533,5.5,1,16,4,10456.16559176554,10392.534700362332,3023.254034462981
2015-01-09 17:00:00,13409.26726090991,5.3,1,17,4,11135.424832844406,10757.826058223243,3133.1065992825424
2015-01-09 18:00:00,13566.65061482836,5.1,1,18,4,11831.487518173995,10763.741920718589,2909.0788166140173
2015-01-09 19:00:00,13367.14932540223,5.0,1,19,4,12012.619046368944,10553.479334427077,2747.404453784062
2015-01-09 20:00:00,13113.41625332422,4.5,1,20,4,12065.60189530076,10373.874870026855,2651.118667603474
2015-01-09 21:00:00,12701.32996441408,4.4,1,21,4,11857.425165079048,10029.119461468925,2546.6109939737653
2015-01-09 22:00:00,12117.37498611614,4.2,1,22,4,11363.476615904952,9584.856237646978,2444.08350634146
2015-01-09 23:00:00,11564.9423,3.8,1,23,4,10882.6796,9083.590499999998,2388.620050525773
2015-01-10 00:00:00,11100.775266489063,3.6,1,0,5,10671.66450942941,8693.039110003236,2188.409020214365
2015-01-10 01:00:00,10809.245845724045,3.0,1,1,5,10685.756321022123,8512.326715190675,2089.239688849897
2015-01-10 02:00:00,10661.375102344202,2.7,1,2,5,10816.410605902656,8431.733641628358,2037.5739127710603
2015-01-10 03:00:00,10624.574672983008,2.3,1,3,5,11045.887947494612,8383.964019123814,1991.5248294897465
2015-01-10 04:00:00,10695.87648799339,2.2,1,4,5,11485.110028528215,8435.10941966916,1880.687329714816
2015-01-10 05:00:00,10903.340337712878,2.0,1,5,5,12372.704384533348,8597.553784866077,1607.4322594649148
2015-01-10 06:00:00,11278.777150876103,1.8,1,6,5,13430.679117198571,8870.820687055111,1302.1944048664136
2015-01-10 07:00:00,11633.461333559591,1.9,1,7,5,13641.884595523044,9139.249107139576,1397.7771278546788
2015-01-10 08:00:00,11929.35819341933,2.0,1,8,5,13344.348301764603,9420.797133961736,1645.6383340356133
2015-01-10 09:00:00,12224.299108430983,2.0,1,9,5,13076.185306734298,9772.681116341018,1864.1879617094287
2015-01-10 10:00:00,12348.548896287355,2.0,1,10,5,12749.660718536135,10066.764931076312,1965.7446596832613
2015-01-10 11:00:00,12322.190741184651,2.1,1,11,5,12380.267314277897,10208.246510879777,1976.174850061867
2015-01-10 12:00:00,12247.239293907938,2.2,1,12,5,11973.460986809649,10212.137571478224,1972.3075341275307
2015-01-10 13:00:00,12212.444927448165,2.2,1,13,5,11768.339907565518,9983.852789873266,1968.5968313494704
2015-01-10 14:00:00,12177.593510566352,2.4,1,14,5,11557.94116363143,9711.159690217548,2002.03043380489
2015-01-10 15:00:00,12240.004471260683,2.8,1,15,5,11606.450381277498,9417.504908572912,2124.2719262574665
2015-01-10 16:00:00,12356.25801878482,3.0,1,16,5,11851.206099247149,9214.279939313335,2264.4954369224706
2015-01-10 17:00:00,12711.146257795262,3.2,1,17,5,12454.135518696385,9608.249605027922,2434.985596167895
2015-01-10 18:00:00,12913.407643484938,3.3,1,18,5,12993.357038472011,10323.785133427718,2255.8358452705943
2015-01-10 19:00:00,12759.864179297676,3.7,1,19,5,13003.75848126456,10438.368050925856,2140.119307679508
2015-01-10 20:00:00,12510.71801873196,3.8,1,20,5,12870.566615911956,10466.617310810498,2048.4204330112134
2015-01-10 21:00:00,12069.10686018122,3.7,1,21,5,12386.117489240256,10381.053481151032,1914.387889740905
2015-01-10 22:00:00,11591.28756104228,3.7,1,22,5,11662.042754143838,10137.06181019455,1917.9960812676
2015-01-10 23:00:00,11125.2901,3.8,1,23,5,10979.0927,9809.0049,1948.9678505257723
2015-01-11 00:00:00,10657.718203480004,3.6,1,0,6,10514.317590129163,9480.98952537187,1745.3519572053065
2015-01-11 01:00:00,10368.830100116991,3.4,1,1,6,10271.03211135839,9293.837293125096,1648.8239432428436
2015-01-11 02:00:00,10193.182004154556,3.5,1,2,6,10152.451343104156,9185.799533304298,1569.3808145814146
2015-01-11 03:00:00,10101.692101485169,3.4,1,3,6,10171.408623428437,9155.72236241376,1468.6422579919072
2015-01-11 04:00:00,10081.765908153076,3.6,1,4,6,10452.242392231636,9220.453328556849,1266.5767498745026
2015-01-11 05:00:00,10159.10441066489,3.6,1,5,6,11127.516017981608,9363.688717559648,863.1963324169265
2015-01-11 06:00:00,10379.472585521204,3.8,1,6,6,12068.04842455475,9605.961939862404,402.88983951151386
