date,netload,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,17453.598476588722,3.0,1,0,3,13179.59404424588,13640.024978163396,7390.563597498442
2015-01-08 01:00:00,17277.881195792186,1.6,1,1,3,12956.58798132593,13425.121940789684,7437.000105577163
2015-01-08 02:00:00,17309.339711359204,0.2,1,2,3,12929.64347791807,13286.0709089682,7520.122857548506
2015-01-08 03:00:00,17505.01049014211,-1.3,1,3,3,13128.7601264883,13310.892590131753,7614.476994606923
2015-01-08 04:00:00,18022.341786312503,-2.4,1,4,3,13670.681358231024,13423.34550338422,7792.640358239207
2015-01-08 05:00:00,19072.09587845269,-3.5,1,5,3,14928.957132679956,13736.274293099304,8064.60662009246
2015-01-08 06:00:00,20665.70861523752,-4.1,1,6,3,16605.843882476987,14103.954131657343,8490.84061549632
2015-01-08 07:00:00,21055.6792606472,-4.7,1,7,3,17083.55408571452,14389.456069359476,8285.157999159677
2015-01-08 08:00:00,20073.06929865805,-5.2,1,8,3,16335.773639278104,14644.761453858177,7394.193150566694
2015-01-08 09:00:00,19209.03261886181,-5.7,1,9,3,15104.958743885763,15155.421895572998,6729.69466555554
2015-01-08 10:00:00,18433.60366305925,-6.1,1,10,3,14140.97470604335,15547.055337715856,6227.253948052026
2015-01-08 11:00:00,17634.16551448558,-6.6,1,11,3,13357.533457300056,15739.632844948444,5765.946753406013
2015-01-08 12:00:00,16835.739169863635,-7.0,1,12,3,12676.31785727966,15721.294564153795,5282.859642175259
2015-01-08 13:00:00,16138.774026299066,-7.2,1,13,3,12185.924999993162,15498.074235235948,4857.010032456799
2015-01-08 14:00:00,15526.13237955377,-5.2,1,14,3,11667.33482983893,15243.146222620624,4491.178837879797
2015-01-08 15:00:00,15317.573650023603,-3.4,1,15,3,11365.557470644162,15118.845725027062,4433.491542942402
2015-01-08 16:00:00,15619.238935968588,-1.7,1,16,3,11484.59606583617,15297.12274896952,4703.969860708694
2015-01-08 17:00:00,16814.561657839004,0.0,1,17,3,12285.586577128684,15841.854314476108,5500.732079017567
2015-01-08 18:00:00,17970.804503294356,1.7,1,18,3,13390.43014396511,16008.438523619472,5926.321156276616
2015-01-08 19:00:00,18080.835159418075,3.0,1,19,3,13521.724576663888,15736.493138767955,5997.577955610563
2015-01-08 20:00:00,17905.361855446885,3.8,1,20,3,13603.192458629745,15436.932675203654,5977.382867817601
2015-01-08 21:00:00,17375.63750867019,4.2,1,21,3,13388.841814085656,14903.89779640361,5817.809216556672
2015-01-08 22:00:00,16352.040642849028,4.1,1,22,3,12725.572398320675,14201.568814206485,5470.499272167619
2015-01-08 23:00:00,15508.801799999996,3.6,1,23,3,12075.446400000004,13461.5105,5323.356517115619
2015-01-09 00:00:00,15014.1196540693,3.0,1,0,4,11803.47861912833,12879.835177155372,4951.084774979019
2015-01-09 01:00:00,14798.48758709808,2.2,1,1,4,11768.620997714248,12491.895349917444,4957.606496883056
2015-01-09 02:00:00,14706.17623550492,1.7,1,2,4,11978.387624351892,12339.455550924202,4916.9593816942215
