date,netload,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,4987.0,-12.111,1,0,3,4532.0,4585.0,747.1609195402298
2015-01-08 01:00:00,4918.0,-12.294,1,1,3,4487.0,4585.0,735.7701149425284
2015-01-08 02:00:00,4964.0,-12.553,1,2,3,4519.0,4440.0,778.8965517241377
2015-01-08 03:00:00,5081.0,-12.86,1,3,3,4678.0,4418.0,783.2873563218391
2015-01-08 04:00:00,5570.0,-13.264,1,4,3,5190.0,4393.0,942.7586206896548
2015-01-08 05:00:00,6138.0,-13.63,1,5,3,5722.0,4441.0,1108.6091954022986
2015-01-08 06:00:00,6483.0,-12.987,1,6,3,6106.0,4637.0,1054.919540229885
2015-01-08 07:00:00,6683.0,-11.009,1,7,3,6236.0,4834.0,1038.068965517241
2015-01-08 08:00:00,6619.0,-8.232,1,8,3,6189.0,4983.0,1001.35632183908
2015-01-08 09:00:00,6549.0,-6.388,1,9,3,6122.0,5020.0,1003.64367816092
2015-01-08 10:00:00,6393.0,-5.159,1,10,3,6012.0,5000.0,983.4367816091954
2015-01-08 11:00:00,6387.0,-4.453,1,11,3,5938.0,4891.0,1058.8275862068967
2015-01-08 12:00:00,6252.0,-4.273,1,12,3,5933.0,4760.0,1002.045977011494
2015-01-08 13:00:00,6294.0,-4.568,1,13,3,6013.0,4838.0,1033.6781609195396
2015-01-08 14:00:00,6409.0,-5.806,1,14,3,6132.0,5072.0,1013.689655172414
2015-01-08 15:00:00,6765.0,-7.388,1,15,3,6491.0,5573.0,1011.8850574712642
2015-01-08 16:00:00,7100.0,-8.435,1,16,3,6758.0,5816.0,1033.7471264367814
2015-01-08 17:00:00,7081.0,-9.28,1,17,3,6728.0,5764.0,1080.3908045977014
2015-01-08 18:00:00,6835.0,-10.024,1,18,3,6491.0,5667.0,1081.379310344828
2015-01-08 19:00:00,6566.0,-10.767,1,19,3,6219.0,5486.0,1075.8965517241377
2015-01-08 20:00:00,6377.0,-11.233,1,20,3,6093.0,5442.0,1043.7701149425284
2015-01-08 21:00:00,5976.0,-11.435,1,21,3,5739.0,5196.0,970.4137931034484
2015-01-08 22:00:00,5474.0,-11.463,1,22,3,5252.0,4811.0,856.7931034482763
2015-01-08 23:00:00,5200.0,-11.533,1,23,3,4921.0,4544.0,846.6091954022986
2015-01-09 00:00:00,5032.0,-11.54,1,0,4,4806.0,4356.0,792.1609195402298
2015-01-09 01:00:00,5005.0,-11.476,1,1,4,4740.0,4317.0,822.7701149425284
2015-01-09 02:00:00,5034.0,-11.275,1,2,4,4781.0,4315.0,848.8965517241377
2015-01-09 03:00:00,5206.0,-11.067,1,3,4,4917.0,4350.0,908.2873563218392
2015-01-09 04:00:00,5674.0,-10.89,1,4,4,5417.0,4444.0,1046.758620689655
2015-01-09 05:00:00,6185.0,-10.658,1,5,4,6005.0,4682.0,1155.6091954022986
2015-01-09 06:00:00,6571.0,-9.279,1,6,4,6341.0,5118.0,1142.919540229885
2015-01-09 07:00:00,6702.0,-6.099,1,7,4,6525.0,5513.0,1057.068965517241
2015-01-09 08:00:00,6614.0,-3.289,1,8,4,6464.0,5653.0,996.35632183908
2015-01-09 09:00:00,6563.0,-1.201,1,9,4,6330.0,5704.0,1017.64367816092
2015-01-09 10:00:00,6433.0,0.206,1,10,4,6163.0,5612.0,1023.4367816091954
2015-01-09 11:00:00,6372.0,0.943,1,11,4,6100.0,5461.0,1043.8275862068967
2015-01-09 12:00:00,6284.0,1.202,1,12,4,6027.0,5350.0,1034.045977011494
2015-01-09 13:00:00,6195.0,1.09,1,13,4,6104.0,5328.0,934.6781609195396
2015-01-09 14:00:00,6264.0,0.16,1,14,4,6298.0,5520.0,868.689655172414
2015-01-09 15:00:00,6595.0,-0.463,1,15,4,6718.0,5995.0,841.8850574712642
2015-01-09 16:00:00,6841.0,-0.295,1,16,4,6992.0,6217.0,774.7471264367814
2015-01-09 17:00:00,6773.0,-0.235,1,17,4,6943.0,6099.0,772.3908045977014
2015-01-09 18:00:00,6431.0,-0.491,1,18,4,6667.0,5905.0,677.3793103448279
2015-01-09 19:00:00,6173.0,-0.897,1,19,4,6438.0,5662.0,682.8965517241377
2015-01-09 20:00:00,6005.0,-1.24,1,20,4,6255.0,5575.0,671.7701149425284
2015-01-09 21:00:00,5681.0,-1.236,1,21,4,5895.0,5356.0,675.4137931034484
2015-01-09 22:00:00,5192.0,-1.048,1,22,4,5443.0,4910.0,574.7931034482763
2015-01-09 23:00:00,4910.0,-0.775,1,23,4,5151.0,4573.0,556.6091954022986
2015-01-10 00:00:00,4716.0,-0.346,1,0,5,4987.0,4388.0,476.16091954022977
2015-01-10 01:00:00,4690.0,0.056,1,1,5,4918.0,4307.0,507.7701149425284
2015-01-10 02:00:00,4622.0,0.56,1,2,5,4964.0,4251.0,436.8965517241377
2015-01-10 03:00:00,4677.0,0.916,1,3,5,5081.0,4257.0,379.2873563218391
2015-01-10 04:00:00,4819.0,1.047,1,4,5,5570.0,4332.0,191.7586206896549
2015-01-10 05:00:00,5061.0,1.126,1,5,5,6138.0,4541.0,31.60919540229861
2015-01-10 06:00:00,5496.0,1.443,1,6,5,6483.0,4988.0,67.91954022988466
2015-01-10 07:00:00,5851.0,2.328,1,7,5,6683.0,5295.0,206.0689655172409
2015-01-10 08:00:00,5978.0,3.166,1,8,5,6619.0,5388.0,360.35632183908
2015-01-10 09:00:00,5943.0,3.877,1,9,5,6549.0,5357.0,397.64367816092
2015-01-10 10:00:00,5763.0,4.532,1,10,5,6393.0,5269.0,353.4367816091953
2015-01-10 11:00:00,5588.0,4.936,1,11,5,6387.0,5106.0,259.82758620689674
2015-01-10 12:00:00,5469.0,4.98,1,12,5,6252.0,5026.0,219.045977011494
2015-01-10 13:00:00,5409.0,4.397,1,13,5,6294.0,5045.0,148.67816091953955
2015-01-10 14:00:00,5583.0,2.942,1,14,5,6409.0,5249.0,187.68965517241395
2015-01-10 15:00:00,6004.0,2.045,1,15,5,6765.0,5789.0,250.8850574712642
2015-01-10 16:00:00,6235.0,2.037,1,16,5,7100.0,5972.0,168.7471264367814
2015-01-10 17:00:00,6062.0,2.085,1,17,5,7081.0,5916.0,61.39080459770139
2015-01-10 18:00:00,5762.0,2.03,1,18,5,6835.0,5650.0,8.3793103448279
2015-01-10 19:00:00,5434.0,1.837,1,19,5,6566.0,5433.0,0.0
2015-01-10 20:00:00,5381.0,1.684,1,20,5,6377.0,5374.0,47.77011494252838
2015-01-10 21:00:00,5140.0,1.663,1,21,5,5976.0,5112.0,134.41379310344837
2015-01-10 22:00:00,4768.0,1.622,1,22,5,5474.0,4772.0,150.79310344827627
2015-01-10 23:00:00,4476.0,1.702,1,23,5,5200.0,4452.0,122.6091954022986
2015-01-11 00:00:00,4328.0,1.855,1,0,6,5032.0,4286.0,88.16091954022977
