ept,netload,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,6047.2,4.941,1,0,3,5740.7,5123.9,1054.003999999999
2015-01-08 01:00:00,5531.3,4.527,1,1,3,5270.9,5123.9,876.5559999999996
2015-01-08 02:00:00,5255.4,4.24,1,2,3,4964.8,4771.1,854.6479999999992
2015-01-08 03:00:00,5121.0,3.992,1,3,3,4851.3,4443.5,873.2479999999996
2015-01-08 04:00:00,5076.9,3.816,1,4,3,4818.9,4234.9,906.5959999999995
2015-01-08 05:00:00,5082.6,3.64,1,5,3,4877.1,4118.2,907.1639999999998
2015-01-08 06:00:00,5396.1,3.509,1,6,3,5197.9,4073.8,1088.9360000000006
2015-01-08 07:00:00,6189.2,3.405,1,7,3,5855.4,3920.8,1767.2119999999995
2015-01-08 08:00:00,7083.4,4.284,1,8,3,6693.5,3883.8,2390.632
2015-01-08 09:00:00,7637.9,6.062,1,9,3,7261.1,4234.7,2456.124
2015-01-08 10:00:00,7776.2,7.884,1,10,3,7406.0,4633.4,2233.8319999999994
2015-01-08 11:00:00,7878.9,10.157,1,11,3,7466.3,4989.1,2048.132
2015-01-08 12:00:00,7641.8,11.973,1,12,3,7235.2,5165.2,1702.2200000000005
2015-01-08 13:00:00,7417.1,13.065,1,13,3,7055.4,4934.6,1640.8959999999995
2015-01-08 14:00:00,7510.2,13.54,1,14,3,7150.5,4685.4,1848.644
2015-01-08 15:00:00,7415.0,13.349,1,15,3,7067.1,4634.8,1842.7160000000013
2015-01-08 16:00:00,7396.8,11.53,1,16,3,7089.5,4685.5,1838.2959999999985
2015-01-08 17:00:00,7636.2,9.552,1,17,3,7450.8,5295.0,1712.963999999999
2015-01-08 18:00:00,8302.5,8.803,1,18,3,8082.2,6025.2,1742.3000000000002
2015-01-08 19:00:00,8535.0,8.269,1,19,3,8267.5,6235.6,1759.1400000000003
2015-01-08 20:00:00,8445.8,7.787,1,20,3,8205.7,6307.9,1694.9360000000006
2015-01-08 21:00:00,8149.7,7.263,1,21,3,7905.3,6197.8,1652.072
2015-01-08 22:00:00,7681.0,6.79,1,22,3,7370.9,5997.7,1527.6719999999996
2015-01-08 23:00:00,6811.6,6.485,1,23,3,6573.7,5522.4,1213.8760000000002
2015-01-09 00:00:00,6064.8,6.144,1,0,4,5825.1,5014.1,1071.6039999999994
2015-01-09 01:00:00,5592.4,5.87,1,1,4,5312.4,4617.6,937.655999999999
2015-01-09 02:00:00,5300.3,5.569,1,2,4,5045.8,4338.6,899.5479999999998
2015-01-09 03:00:00,5149.5,5.145,1,3,4,4904.0,4192.2,901.7479999999996
2015-01-09 04:00:00,5096.7,4.793,1,4,4,4859.0,4132.6,926.3959999999996
2015-01-09 05:00:00,5155.9,4.511,1,5,4,4930.3,4183.2,980.463999999999
2015-01-09 06:00:00,5491.0,4.155,1,6,4,5278.8,4387.7,1183.8360000000002
2015-01-09 07:00:00,6184.6,3.896,1,7,4,6015.3,4627.8,1762.612
2015-01-09 08:00:00,7066.1,4.651,1,8,4,6857.7,5038.4,2373.3320000000003
2015-01-09 09:00:00,7562.1,6.533,1,9,4,7437.8,5716.4,2380.3240000000005
2015-01-09 10:00:00,7654.6,8.81,1,10,4,7573.5,6053.2,2112.232
2015-01-09 11:00:00,7706.2,11.255,1,11,4,7673.7,6210.0,1875.432
2015-01-09 12:00:00,7490.3,13.182,1,12,4,7509.9,6303.4,1550.7200000000005
2015-01-09 13:00:00,7315.2,14.243,1,13,4,7362.3,6171.0,1538.9959999999992
2015-01-09 14:00:00,7310.0,14.687,1,14,4,7465.1,6085.5,1648.4440000000004
2015-01-09 15:00:00,7214.3,14.478,1,15,4,7441.5,5973.5,1642.0160000000014
2015-01-09 16:00:00,7140.9,12.534,1,16,4,7501.5,5991.9,1582.395999999998
2015-01-09 17:00:00,7370.6,10.41,1,17,4,7810.3,6575.0,1447.3639999999996
2015-01-09 18:00:00,8019.0,9.492,1,18,4,8380.3,7221.5,1458.8000000000002
2015-01-09 19:00:00,8195.6,8.807,1,19,4,8577.9,7404.6,1419.7400000000007
2015-01-09 20:00:00,8068.5,8.206,1,20,4,8467.4,7318.9,1317.636000000001
2015-01-09 21:00:00,7770.0,7.628,1,21,4,8147.7,7065.4,1272.3720000000003
2015-01-09 22:00:00,7418.3,7.181,1,22,4,7684.4,6690.5,1264.9719999999998
2015-01-09 23:00:00,6706.5,6.785,1,23,4,6836.4,6095.7,1108.7759999999998
2015-01-10 00:00:00,6004.3,6.46,1,0,5,6047.2,5449.1,1011.1039999999994
2015-01-10 01:00:00,5534.1,6.111,1,1,5,5531.3,4961.8,879.3559999999998
2015-01-10 02:00:00,5212.8,5.845,1,2,5,5255.4,4600.9,812.0479999999998
2015-01-10 03:00:00,5049.5,5.664,1,3,5,5121.0,4424.1,801.7479999999996
2015-01-10 04:00:00,4948.3,5.529,1,4,5,5076.9,4333.2,777.9960000000001
2015-01-10 05:00:00,4873.0,5.467,1,5,5,5082.6,4341.4,697.5639999999994
2015-01-10 06:00:00,4892.8,5.445,1,6,5,5396.1,4429.0,585.6360000000004
2015-01-10 07:00:00,5033.1,5.323,1,7,5,6189.2,4477.9,611.1120000000001
2015-01-10 08:00:00,5251.6,6.156,1,8,5,7083.4,4704.1,558.8320000000003
2015-01-10 09:00:00,5817.6,8.328,1,9,5,7637.9,5244.7,635.8240000000005
2015-01-10 10:00:00,6110.1,10.296,1,10,5,7776.2,5565.7,567.732
2015-01-10 11:00:00,6169.5,12.33,1,11,5,7878.9,5697.4,338.732
2015-01-10 12:00:00,6183.7,14.098,1,12,5,7641.8,5783.7,244.1199999999999
2015-01-10 13:00:00,6071.7,14.936,1,13,5,7417.1,5692.8,295.4959999999992
2015-01-10 14:00:00,5991.8,15.092,1,14,5,7510.2,5591.2,330.2440000000006
2015-01-10 15:00:00,5904.6,14.6,1,15,5,7415.0,5505.7,332.3160000000016
2015-01-10 16:00:00,5867.4,12.836,1,16,5,7396.8,5466.9,308.8959999999979
2015-01-10 17:00:00,6387.2,11.114,1,17,5,7636.2,6127.1,463.96399999999903
2015-01-10 18:00:00,7278.9,10.376,1,18,5,8302.5,6961.9,718.6999999999998
2015-01-10 19:00:00,7524.0,9.923,1,19,5,8535.0,7192.4,748.1400000000003
2015-01-10 20:00:00,7412.6,9.552,1,20,5,8445.8,7172.0,661.7360000000017
