date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,potential
2015-01-08 00:00:00,310.394275,35.96,1,0,3,253.264593054,412.615360276,56.10327174614278
2015-01-08 01:00:00,282.033191668,39.92,1,1,3,248.170986948,404.935956943,41.923678492857135
2015-01-08 02:00:00,264.792191666,39.92,1,2,3,266.301315836,394.277283613,26.34956690414282
2015-01-08 03:00:00,258.46202361,46.94,1,3,3,267.87226,402.20924278,20.449241545285787
2015-01-08 04:00:00,245.055921112,46.04,1,4,3,284.251484166,406.39751778,5.043079525428595
2015-01-08 05:00:00,246.212475001,46.94,1,5,3,285.403110278,408.112414167,3.773883890000008
2015-01-08 06:00:00,253.072088333,39.92,1,6,3,305.897483333,400.833351668,11.602599641571487
2015-01-08 07:00:00,288.272580557,44.06,1,7,3,330.363699443,413.745204725,36.7293651994286
2015-01-08 08:00:00,375.239204999,42.08,1,8,3,423.139978891,403.569810557,106.36580658571432
2015-01-08 09:00:00,430.985588336,42.98,1,9,3,455.365482499,393.774434722,162.8441979785714
2015-01-08 10:00:00,382.430515552,44.06,1,10,3,386.574917502,338.383722776,145.847387536
2015-01-08 11:00:00,312.287436388,44.96,1,11,3,317.976925556,318.611621946,122.1880358727143
2015-01-08 12:00:00,261.977633891,46.04,1,12,3,273.89344472,256.955909724,118.82643730285712
2015-01-08 13:00:00,204.377213889,46.04,1,13,3,265.270578892,196.103395555,76.28298825342858
2015-01-08 14:00:00,215.350815559,46.04,1,14,3,233.572385833,203.71666139,102.81733555785718
2015-01-08 15:00:00,245.192622498,44.96,1,15,3,259.656065836,201.548430001,124.10359436299998
2015-01-08 16:00:00,253.068196113,41.0,1,16,3,288.013074445,230.749581669,100.0924666282857
2015-01-08 17:00:00,252.537199443,35.06,1,17,3,279.499213056,290.738437778,60.20716892742854
2015-01-08 18:00:00,300.084674722,33.98,1,18,3,317.471726666,323.186359446,52.33310400814287
2015-01-08 19:00:00,355.018411943,32.0,1,19,3,339.972443887,358.333589446,55.61181809442854
2015-01-08 20:00:00,336.437578331,26.06,1,20,3,315.624661387,347.466470831,56.36133130728575
2015-01-08 21:00:00,349.122330833,24.08,1,21,3,295.666867778,367.29193222,77.8586998004285
2015-01-08 22:00:00,348.025441945,23.0,1,22,3,312.058726113,359.392053335,80.62912892785715
2015-01-08 23:00:00,328.024246945,21.02,1,23,3,299.214584721,358.468188054,65.83292349314291
2015-01-09 00:00:00,314.751501387,19.04,1,0,4,264.77631944,355.827648611,60.460498133142806
2015-01-09 01:00:00,310.019469444,17.96,1,1,4,264.269096947,329.594720835,69.90995626885714
2015-01-09 02:00:00,311.103648612,17.96,1,2,4,279.482778611,342.086787777,72.66102385014278
2015-01-09 03:00:00,316.003435831,17.96,1,3,4,291.211625278,354.657750835,77.99065376628576
2015-01-09 04:00:00,315.858867497,19.04,1,4,4,305.317736391,343.996459446,75.84602591042861
2015-01-09 05:00:00,306.180154719,19.04,1,5,4,314.984001664,357.894262775,63.74156360799998
2015-01-09 06:00:00,319.286106665,15.98,1,6,4,304.195066668,358.67377,77.81661797357145
2015-01-09 07:00:00,339.354594446,15.08,1,7,4,337.232167224,354.735708888,87.8113790884286
2015-01-09 08:00:00,427.037328611,17.96,1,8,4,421.961772224,404.502918057,158.16393019771436
2015-01-09 09:00:00,482.891827499,19.94,1,9,4,504.306546109,391.26738833,214.7504371415714
2015-01-09 10:00:00,426.950723611,21.92,1,10,4,450.748668335,347.495078054,190.367595595
2015-01-09 11:00:00,382.854683608,24.08,1,11,4,434.752226945,310.381016942,192.7552830927143
2015-01-09 12:00:00,358.110524163,24.08,1,12,4,396.89517111,242.416565277,214.95932757485716
2015-01-09 13:00:00,366.214644166,24.08,1,13,4,379.651451669,214.875075276,238.12041853042865
2015-01-09 14:00:00,352.359460277,28.04,1,14,4,352.420924723,165.101111108,239.82598027585715
2015-01-09 15:00:00,344.346450283,28.04,1,15,4,340.039454447,163.962387776,223.257422148
2015-01-09 16:00:00,312.625182502,24.98,1,16,4,306.075483056,169.001655554,159.64945301728568
2015-01-09 17:00:00,312.749123336,24.08,1,17,4,289.936617499,209.677783059,120.41909282042856
2015-01-09 18:00:00,392.162482778,24.08,1,18,4,331.805177499,278.571431114,144.4109120641429
2015-01-09 19:00:00,426.401141111,24.08,1,19,4,384.65340361,324.206528613,126.99454726242855
2015-01-09 20:00:00,386.512583891,23.0,1,20,4,366.622209998,334.774319722,106.43633686728576
2015-01-09 21:00:00,337.009754721,21.92,1,21,4,374.76913861,349.007161943,65.7461236884285
2015-01-09 22:00:00,338.654063057,19.04,1,22,4,379.018928611,362.275908887,71.25775003985711
2015-01-09 23:00:00,328.950197775,19.04,1,23,4,361.368804166,353.874861387,66.75887432314289
2015-01-10 00:00:00,310.749576389,21.92,1,0,5,310.394275,361.823360833,56.458573135142814
2015-01-10 01:00:00,301.519198335,23.0,1,1,5,282.033191668,357.531675,61.40968515985716
2015-01-10 02:00:00,288.217559998,23.0,1,2,5,264.792191666,349.96540611,49.77493523614282
2015-01-10 03:00:00,287.646595559,24.08,1,3,5,258.46202361,348.236620555,49.63381349428576
2015-01-10 04:00:00,286.067545835,24.98,1,4,5,245.055921112,336.333731667,46.05470424842858
2015-01-10 05:00:00,283.021150002,30.02,1,5,5,246.212475001,360.536769162,40.58255889100002
2015-01-10 06:00:00,280.620086389,35.96,1,6,5,253.072088333,346.761620837,39.15059769757147
2015-01-10 07:00:00,285.645350558,37.94,1,7,5,288.272580557,357.143053051,34.10213520042859
2015-01-10 08:00:00,279.067141948,33.08,1,8,5,375.239204999,374.483734723,10.193743534714372
2015-01-10 09:00:00,271.118980276,37.94,1,9,5,430.985588336,380.227710835,2.977589918571425
2015-01-10 10:00:00,275.99911389,46.04,1,10,5,382.430515552,304.006118055,39.415985874
2015-01-10 11:00:00,249.857811668,53.96,1,11,5,312.287436388,268.315925556,59.7584111527143
2015-01-10 12:00:00,198.984275835,55.04,1,12,5,261.977633891,252.113940556,55.83307924685715
2015-01-10 13:00:00,176.218260835,55.94,1,13,5,204.377213889,237.489329166,48.12403519942859
2015-01-10 14:00:00,126.76840389,50.0,1,14,5,215.350815559,236.164777219,14.234923888857168
2015-01-10 15:00:00,141.647845556,50.0,1,15,5,245.192622498,256.850510558,20.558817420999983
2015-01-10 16:00:00,189.906431111,48.02,1,16,5,253.068196113,299.43311722,36.930701626285696
2015-01-10 17:00:00,215.189077225,37.94,1,17,5,252.537199443,357.097428056,22.859046709428554
2015-01-10 18:00:00,265.24982639,35.96,1,18,5,300.084674722,406.662218889,17.49825567614289
2015-01-10 19:00:00,307.134035,33.98,1,19,5,355.018411943,413.404856946,7.727441151428536
2015-01-10 20:00:00,267.096525277,35.06,1,20,5,336.437578331,414.299603332,0.0
2015-01-10 21:00:00,268.615545556,35.96,1,21,5,349.122330833,418.85486222,0.0
2015-01-10 22:00:00,274.464622775,35.96,1,22,5,348.025441945,436.620835554,7.068309757857151
2015-01-10 23:00:00,270.967753056,35.06,1,23,5,328.024246945,434.905970002,8.77642960414289
2015-01-11 00:00:00,264.898505277,33.08,1,0,6,314.751501387,424.233697226,10.607502023142814
2015-01-11 01:00:00,269.049967779,30.92,1,1,6,310.019469444,420.929784445,28.940454603857148
2015-01-11 02:00:00,271.951719724,30.92,1,2,6,311.103648612,421.702396386,33.5090949621428
2015-01-11 03:00:00,261.687278887,30.02,1,3,6,316.003435831,430.508571946,23.67449682228576
2015-01-11 04:00:00,268.445217502,32.0,1,4,6,315.858867497,433.159506112,28.432375915428597
2015-01-11 05:00:00,281.260904999,30.92,1,5,6,306.180154719,407.269235556,38.822313888
2015-01-11 06:00:00,278.297174999,28.04,1,6,6,319.286106665,404.015538333,36.82768630757147
2015-01-11 07:00:00,292.903921387,30.92,1,7,6,339.354594446,424.231284725,41.3607060294286
2015-01-11 08:00:00,300.037287222,33.98,1,8,6,427.037328611,427.88273528,31.16388880871432
2015-01-11 09:00:00,284.16831861,35.06,1,9,6,482.891827499,411.194863888,16.026928252571395
2015-01-11 10:00:00,324.217495278,35.96,1,10,6,426.950723611,390.042502498,87.63436726200001
2015-01-11 11:00:00,307.277527499,39.02,1,11,6,382.854683608,338.700715833,117.17812698371426
2015-01-11 12:00:00,298.878838057,37.94,1,12,6,358.110524163,308.310354442,155.72764146885714
2015-01-11 13:00:00,265.339199722,39.92,1,13,6,366.214644166,262.241418612,137.24497408642858
2015-01-11 14:00:00,193.426835554,39.92,1,14,6,352.359460277,219.501576944,80.89335555285717
2015-01-11 15:00:00,205.798596946,39.02,1,15,6,344.346450283,188.064850832,84.709568811
2015-01-11 16:00:00,228.272702224,37.94,1,16,6,312.625182502,210.084992223,75.2969727392857
2015-01-11 17:00:00,242.749053888,37.04,1,17,6,312.749123336,271.919545277,50.41902337242854
2015-01-11 18:00:00,254.400251946,33.98,1,18,6,392.162482778,340.916953892,6.648681232142877
2015-01-11 19:00:00,283.694766947,33.08,1,19,6,426.401141111,367.300638058,0.0
2015-01-11 20:00:00,289.888885837,32.0,1,20,6,386.512583891,350.80582417,9.81263881328573
2015-01-11 21:00:00,309.015262778,30.02,1,21,6,337.009754721,355.896115832,37.75163174542854
2015-01-11 22:00:00,306.271136389,28.94,1,22,6,338.654063057,367.959654444,38.87482337185713
2015-01-11 23:00:00,316.190450831,28.04,1,23,6,328.950197775,371.875632222,53.99912737914292
2015-01-12 00:00:00,293.687467223,26.96,1,0,0,310.749576389,365.197253055,39.39646396914279
2015-01-12 01:00:00,293.031134442,26.06,1,1,0,301.519198335,371.685756671,52.92162126685716
2015-01-12 02:00:00,286.670359998,24.08,1,2,0,288.217559998,380.112568892,48.22773523614279
2015-01-12 03:00:00,307.113770277,21.92,1,3,0,287.646595559,386.549492223,69.10098821228578
2015-01-12 04:00:00,293.425315558,21.92,1,4,0,286.067545835,382.652796665,53.41247397142863
2015-01-12 05:00:00,326.675504447,23.0,1,5,0,283.021150002,391.739513611,84.23691333599999
2015-01-12 06:00:00,326.246907778,21.92,1,6,0,280.620086389,377.318041388,84.77741908657146
2015-01-12 07:00:00,344.876570553,21.92,1,7,0,285.645350558,418.400866115,93.3333551954286
2015-01-12 08:00:00,446.656911111,21.92,1,8,0,279.067141948,487.317692775,177.78351269771434
2015-01-12 09:00:00,494.35502028,24.08,1,9,0,271.118980276,525.629490557,226.21362992257144
2015-01-12 10:00:00,502.581996945,24.98,1,10,0,275.99911389,518.151211946,265.998868929
2015-01-12 11:00:00,479.036594166,26.06,1,11,0,249.857811668,495.963509999,288.9371936507143
2015-01-12 12:00:00,424.771187498,26.96,1,12,0,198.984275835,438.559726666,281.6199909098572
2015-01-12 13:00:00,431.629747778,28.04,1,13,0,176.218260835,415.832974998,303.5355221424286
2015-01-12 14:00:00,416.830031668,26.96,1,14,0,126.76840389,370.383864724,304.2965516668572
2015-01-12 15:00:00,382.314657777,26.06,1,15,0,141.647845556,344.119484999,261.22562964199994
2015-01-12 16:00:00,396.621106668,26.06,1,16,0,189.906431111,323.105221388,243.6453771832857
2015-01-12 17:00:00,383.123173887,24.08,1,17,0,215.189077225,316.800704167,190.79314337142856
2015-01-12 18:00:00,414.394900557,23.0,1,18,0,265.24982639,353.875775278,166.6433298431429
2015-01-12 19:00:00,435.239875275,21.92,1,19,0,307.134035,370.711912224,135.83328142642853
