date,month,hour,dayofweek,netload,tmpc,mw2day,mw7day,potential
2017-01-01 00:00:00,1,0,6,6180.82,-8.336,6341.4,5543.79,396.3600000000006
2017-01-01 01:00:00,1,1,6,6134.29,-8.62,6296.42,5525.45,395.0633333333335
2017-01-01 02:00:00,1,2,6,6041.86,-8.783,6158.19,5493.74,435.7033333333329
2017-01-01 03:00:00,1,3,6,5973.1,-9.008,6164.75,5467.27,418.6166666666668
2017-01-01 04:00:00,1,4,6,5952.18,-9.203,6379.15,5494.38,403.1599999999999
2017-01-01 05:00:00,1,5,6,5965.92,-9.422,6735.84,5645.19,419.8399999999992
2017-01-01 06:00:00,1,6,6,5978.12,-9.507,6943.1,5847.68,409.003333333334
2017-01-01 07:00:00,1,7,6,5993.71,-9.003,7248.68,6064.51,410.1066666666675
2017-01-01 08:00:00,1,8,6,6475.71,-7.339,7578.55,6539.14,433.0566666666673
2017-01-01 09:00:00,1,9,6,6770.17,-5.479,7802.68,6711.06,355.6066666666675
2017-01-01 10:00:00,1,10,6,6834.83,-3.563,7768.49,6636.46,265.60333333333347
2017-01-01 11:00:00,1,11,6,6801.54,-1.954,7701.87,6570.14,159.17000000000007
2017-01-01 12:00:00,1,12,6,6853.51,-1.098,7706.47,6608.13,153.34666666666635
2017-01-01 13:00:00,1,13,6,6967.47,-1.303,7764.83,6671.8,243.67000000000007
2017-01-01 14:00:00,1,14,6,7161.32,-3.258,7865.8,6785.49,298.8866666666663
2017-01-01 15:00:00,1,15,6,7380.24,-5.14,7979.0,6880.62,327.4899999999998
2017-01-01 16:00:00,1,16,6,7513.15,-5.858,8154.66,6791.51,417.16666666666606
2017-01-01 17:00:00,1,17,6,7479.88,-6.411,7967.09,6718.46,405.7433333333338
2017-01-01 18:00:00,1,18,6,7421.55,-6.804,7863.07,6641.97,366.4566666666669
2017-01-01 19:00:00,1,19,6,7355.47,-7.062,7646.04,6534.5,397.3833333333341
2017-01-01 20:00:00,1,20,6,7070.87,-7.298,7376.85,6237.43,426.02999999999975
2017-01-01 21:00:00,1,21,6,6854.91,-7.429,6944.15,6105.8,362.4399999999996
2017-01-01 22:00:00,1,22,6,6572.25,-7.511,6587.03,5854.95,380.34000000000015
2017-01-01 23:00:00,1,23,6,6431.34,-7.56,6174.31,5460.32,437.0500000000002
2017-01-02 00:00:00,1,0,0,6513.09,-7.541,6026.16,5345.08,728.630000000001
2017-01-02 01:00:00,1,1,0,6510.84,-7.52,6129.04,5365.88,771.6133333333337
2017-01-02 02:00:00,1,2,0,6413.68,-7.447,6084.07,5338.78,807.5233333333335
2017-01-02 03:00:00,1,3,0,6579.82,-7.333,6109.38,5380.9,1025.336666666666
2017-01-02 04:00:00,1,4,0,7153.27,-7.277,6168.81,5458.71,1604.25
2017-01-02 05:00:00,1,5,0,8192.51,-7.27,6325.36,5611.46,2646.4299999999994
2017-01-02 06:00:00,1,6,0,8751.33,-7.165,6538.23,5769.57,3182.213333333334
2017-01-02 07:00:00,1,7,0,9077.82,-6.556,6728.54,6003.51,3494.216666666667
2017-01-02 08:00:00,1,8,0,9452.08,-5.351,7222.97,6551.8,3409.426666666667
2017-01-02 09:00:00,1,9,0,9593.07,-4.078,7440.13,6813.86,3178.506666666667
2017-01-02 10:00:00,1,10,0,9653.85,-2.972,7416.79,6770.11,3084.623333333334
