date,netload,tmpf,month,hour,dayofweek,kw2day,kw7day,potential,poten_2,poten_7
2019-01-08 00:00:00,18954,45.0,1,0,1,17226,13824,2583.4736842105285,855.4736842105285,0.0
2019-01-08 01:00:00,19656,44.8,1,1,1,16632,13824,3549.78947368421,525.78947368421,0.0
2019-01-08 02:00:00,19224,44.6,1,2,1,16794,13878,3163.2631578947367,733.2631578947367,0.0
2019-01-08 03:00:00,18900,45.1,1,3,1,17064,13770,2856.3157894736837,1020.3157894736833,0.0
2019-01-08 04:00:00,19926,46.0,1,4,1,17226,14040,3717.473684210529,1017.4736842105284,0.0
2019-01-08 05:00:00,20952,45.9,1,5,1,17820,13824,4521.78947368421,1389.78947368421,0.0
2019-01-08 06:00:00,22572,44.6,1,6,1,18468,13932,5743.894736842107,1639.8947368421068,0.0
2019-01-08 07:00:00,22788,43.0,1,7,1,18900,13446,5516.526315789473,1628.5263157894733,0.0
2019-01-08 08:00:00,21654,41.9,1,8,1,18576,13554,4470.63157894737,1392.63157894737,0.0
2019-01-08 09:00:00,19494,45.9,1,9,1,16740,14040,3285.4736842105285,531.4736842105285,0.0
2019-01-08 10:00:00,18360,50.5,1,10,1,15228,14094,3006.947368421052,0.0,0.0
2019-01-08 11:00:00,18090,55.8,1,11,1,14148,14526,3356.5263157894715,0.0,0.0
2019-01-08 12:00:00,17658,62.2,1,12,1,14040,14850,3345.1578947368416,0.0,537.1578947368416
2019-01-08 13:00:00,17874,65.8,1,13,1,13554,14418,4101.157894736842,0.0,645.1578947368416
2019-01-08 14:00:00,18306,67.8,1,14,1,13392,15066,4808.842105263158,0.0,1568.8421052631584
2019-01-08 15:00:00,18900,67.1,1,15,1,13716,14850,4990.736842105263,0.0,940.7368421052632
2019-01-08 16:00:00,19980,68.4,1,16,1,15066,14958,5061.78947368421,147.78947368420995,39.78947368420995
2019-01-08 17:00:00,20844,64.6,1,17,1,15552,15390,4419.473684210527,0.0,0.0
2019-01-08 18:00:00,20952,62.2,1,18,1,16092,15498,3575.36842105263,0.0,0.0
2019-01-08 19:00:00,20736,59.4,1,19,1,16524,14958,3132.0,0.0,0.0
2019-01-08 20:00:00,20088,61.3,1,20,1,16794,14310,2282.21052631579,0.0,0.0
2019-01-08 21:00:00,19062,60.4,1,21,1,16686,13824,1389.78947368421,0.0,0.0
2019-01-08 22:00:00,18360,60.8,1,22,1,16308,12798,1119.78947368421,0.0,0.0
2019-01-08 23:00:00,16956,59.0,1,23,1,16254,12744,0.0,0.0,0.0
2019-01-09 00:00:00,16740,58.3,1,0,2,16740,13014,369.4736842105285,369.4736842105285,0.0
