ept,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,-12.111,1,0,3,4532.0,4585.0
2015-01-08 01:00:00,-12.294,1,1,3,4487.0,4585.0
2015-01-08 02:00:00,-12.553,1,2,3,4519.0,4440.0
2015-01-08 03:00:00,-12.86,1,3,3,4678.0,4418.0
2015-01-08 04:00:00,-13.264,1,4,3,5190.0,4393.0
2015-01-08 05:00:00,-13.63,1,5,3,5722.0,4441.0
2015-01-08 06:00:00,-12.987,1,6,3,6106.0,4637.0
2015-01-08 07:00:00,-11.009,1,7,3,6236.0,4834.0
2015-01-08 08:00:00,-8.232,1,8,3,6189.0,4983.0
2015-01-08 09:00:00,-6.388,1,9,3,6122.0,5020.0
2015-01-08 10:00:00,-5.159,1,10,3,6012.0,5000.0
2015-01-08 11:00:00,-4.453,1,11,3,5938.0,4891.0
2015-01-08 12:00:00,-4.273,1,12,3,5933.0,4760.0
2015-01-08 13:00:00,-4.568,1,13,3,6013.0,4838.0
2015-01-08 14:00:00,-5.806,1,14,3,6132.0,5072.0
2015-01-08 15:00:00,-7.388,1,15,3,6491.0,5573.0
2015-01-08 16:00:00,-8.435,1,16,3,6758.0,5816.0
2015-01-08 17:00:00,-9.28,1,17,3,6728.0,5764.0
2015-01-08 18:00:00,-10.024,1,18,3,6491.0,5667.0
2015-01-08 19:00:00,-10.767,1,19,3,6219.0,5486.0
2015-01-08 20:00:00,-11.233,1,20,3,6093.0,5442.0
2015-01-08 21:00:00,-11.435,1,21,3,5739.0,5196.0
2015-01-08 22:00:00,-11.463,1,22,3,5252.0,4811.0
2015-01-08 23:00:00,-11.533,1,23,3,4921.0,4544.0
2015-01-09 00:00:00,-11.54,1,0,4,4806.0,4356.0
2015-01-09 01:00:00,-11.476,1,1,4,4740.0,4317.0
2015-01-09 02:00:00,-11.275,1,2,4,4781.0,4315.0
2015-01-09 03:00:00,-11.067,1,3,4,4917.0,4350.0
2015-01-09 04:00:00,-10.89,1,4,4,5417.0,4444.0
2015-01-09 05:00:00,-10.658,1,5,4,6005.0,4682.0
2015-01-09 06:00:00,-9.279,1,6,4,6341.0,5118.0
2015-01-09 07:00:00,-6.099,1,7,4,6525.0,5513.0
2015-01-09 08:00:00,-3.289,1,8,4,6464.0,5653.0
2015-01-09 09:00:00,-1.201,1,9,4,6330.0,5704.0
2015-01-09 10:00:00,0.206,1,10,4,6163.0,5612.0
2015-01-09 11:00:00,0.943,1,11,4,6100.0,5461.0
2015-01-09 12:00:00,1.202,1,12,4,6027.0,5350.0
2015-01-09 13:00:00,1.09,1,13,4,6104.0,5328.0
2015-01-09 14:00:00,0.16,1,14,4,6298.0,5520.0
2015-01-09 15:00:00,-0.463,1,15,4,6718.0,5995.0
2015-01-09 16:00:00,-0.295,1,16,4,6992.0,6217.0
2015-01-09 17:00:00,-0.235,1,17,4,6943.0,6099.0
2015-01-09 18:00:00,-0.491,1,18,4,6667.0,5905.0
2015-01-09 19:00:00,-0.897,1,19,4,6438.0,5662.0
2015-01-09 20:00:00,-1.24,1,20,4,6255.0,5575.0
2015-01-09 21:00:00,-1.236,1,21,4,5895.0,5356.0
2015-01-09 22:00:00,-1.048,1,22,4,5443.0,4910.0
2015-01-09 23:00:00,-0.775,1,23,4,5151.0,4573.0
2015-01-10 00:00:00,-0.346,1,0,5,4987.0,4388.0
2015-01-10 01:00:00,0.056,1,1,5,4918.0,4307.0
2015-01-10 02:00:00,0.56,1,2,5,4964.0,4251.0
2015-01-10 03:00:00,0.916,1,3,5,5081.0,4257.0
2015-01-10 04:00:00,1.047,1,4,5,5570.0,4332.0
2015-01-10 05:00:00,1.126,1,5,5,6138.0,4541.0
2015-01-10 06:00:00,1.443,1,6,5,6483.0,4988.0
2015-01-10 07:00:00,2.328,1,7,5,6683.0,5295.0
2015-01-10 08:00:00,3.166,1,8,5,6619.0,5388.0
2015-01-10 09:00:00,3.877,1,9,5,6549.0,5357.0
2015-01-10 10:00:00,4.532,1,10,5,6393.0,5269.0
2015-01-10 11:00:00,4.936,1,11,5,6387.0,5106.0
2015-01-10 12:00:00,4.98,1,12,5,6252.0,5026.0
2015-01-10 13:00:00,4.397,1,13,5,6294.0,5045.0
2015-01-10 14:00:00,2.942,1,14,5,6409.0,5249.0
2015-01-10 15:00:00,2.045,1,15,5,6765.0,5789.0
2015-01-10 16:00:00,2.037,1,16,5,7100.0,5972.0
2015-01-10 17:00:00,2.085,1,17,5,7081.0,5916.0
2015-01-10 18:00:00,2.03,1,18,5,6835.0,5650.0
2015-01-10 19:00:00,1.837,1,19,5,6566.0,5433.0
2015-01-10 20:00:00,1.684,1,20,5,6377.0,5374.0
2015-01-10 21:00:00,1.663,1,21,5,5976.0,5112.0
2015-01-10 22:00:00,1.622,1,22,5,5474.0,4772.0
2015-01-10 23:00:00,1.702,1,23,5,5200.0,4452.0
2015-01-11 00:00:00,1.855,1,0,6,5032.0,4286.0
2015-01-11 01:00:00,2.02,1,1,6,5005.0,4220.0
2015-01-11 02:00:00,2.143,1,2,6,5034.0,4176.0
2015-01-11 03:00:00,2.16,1,3,6,5206.0,4190.0
2015-01-11 04:00:00,2.117,1,4,6,5674.0,4281.0
2015-01-11 05:00:00,2.037,1,5,6,6185.0,4419.0
2015-01-11 06:00:00,3.048,1,6,6,6571.0,4866.0
2015-01-11 07:00:00,5.179,1,7,6,6702.0,5225.0
2015-01-11 08:00:00,6.922,1,8,6,6614.0,5493.0
2015-01-11 09:00:00,8.369,1,9,6,6563.0,5643.0
2015-01-11 10:00:00,9.569,1,10,6,6433.0,5696.0
2015-01-11 11:00:00,10.081,1,11,6,6372.0,5616.0
2015-01-11 12:00:00,9.767,1,12,6,6284.0,5533.0
2015-01-11 13:00:00,8.211,1,13,6,6195.0,5574.0
2015-01-11 14:00:00,5.905,1,14,6,6264.0,5744.0
2015-01-11 15:00:00,4.678,1,15,6,6595.0,6236.0
2015-01-11 16:00:00,4.45,1,16,6,6841.0,6404.0
2015-01-11 17:00:00,4.343,1,17,6,6773.0,6283.0
2015-01-11 18:00:00,4.343,1,18,6,6431.0,6013.0
2015-01-11 19:00:00,4.358,1,19,6,6173.0,5718.0
2015-01-11 20:00:00,4.227,1,20,6,6005.0,5496.0
2015-01-11 21:00:00,3.624,1,21,6,5681.0,5228.0
2015-01-11 22:00:00,2.542,1,22,6,5192.0,4730.0
2015-01-11 23:00:00,1.673,1,23,6,4910.0,4494.0
2015-01-12 00:00:00,0.668,1,0,0,4716.0,4337.0
2015-01-12 01:00:00,-0.267,1,1,0,4690.0,4228.0
2015-01-12 02:00:00,-0.851,1,2,0,4622.0,4282.0
2015-01-12 03:00:00,-0.953,1,3,0,4677.0,4456.0
2015-01-12 04:00:00,-0.862,1,4,0,4819.0,4992.0
2015-01-12 05:00:00,-0.854,1,5,0,5061.0,5535.0
2015-01-12 06:00:00,-0.796,1,6,0,5496.0,5932.0
2015-01-12 07:00:00,-0.345,1,7,0,5851.0,6137.0
2015-01-12 08:00:00,0.244,1,8,0,5978.0,6063.0
2015-01-12 09:00:00,0.82,1,9,0,5943.0,6039.0
2015-01-12 10:00:00,1.412,1,10,0,5763.0,5885.0
2015-01-12 11:00:00,1.924,1,11,0,5588.0,5843.0
2015-01-12 12:00:00,2.105,1,12,0,5469.0,5833.0
2015-01-12 13:00:00,1.741,1,13,0,5409.0,5876.0
2015-01-12 14:00:00,-0.143,1,14,0,5583.0,6008.0
2015-01-12 15:00:00,-1.921,1,15,0,6004.0,6303.0
2015-01-12 16:00:00,-2.336,1,16,0,6235.0,6576.0
2015-01-12 17:00:00,-2.765,1,17,0,6062.0,6610.0
2015-01-12 18:00:00,-3.176,1,18,0,5762.0,6329.0
2015-01-12 19:00:00,-3.458,1,19,0,5434.0,6081.0
2015-01-12 20:00:00,-3.623,1,20,0,5381.0,5935.0
2015-01-12 21:00:00,-3.759,1,21,0,5140.0,5514.0
2015-01-12 22:00:00,-3.862,1,22,0,4768.0,5038.0
2015-01-12 23:00:00,-3.987,1,23,0,4476.0,4704.0
