utc,month,hour,dayofweek,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,-2.199,7028.14,6411.16
2017-01-01 01:00:00,1,1,6,-2.462,6804.46,6540.96
2017-01-01 02:00:00,1,2,6,-2.649,6829.45,6416.65
2017-01-01 03:00:00,1,3,6,-2.755,6908.92,6439.13
2017-01-01 04:00:00,1,4,6,-2.871,7032.88,6367.92
2017-01-01 05:00:00,1,5,6,-2.96,6909.28,6351.28
2017-01-01 06:00:00,1,6,6,-3.036,6625.65,6104.71
2017-01-01 07:00:00,1,7,6,-3.077,6822.41,6001.83
2017-01-01 08:00:00,1,8,6,-1.757,7172.74,6199.75
2017-01-01 09:00:00,1,9,6,0.327,7459.76,6419.74
2017-01-01 10:00:00,1,10,6,2.253,7541.15,6518.11
2017-01-01 11:00:00,1,11,6,3.402,7351.98,6572.67
2017-01-01 12:00:00,1,12,6,3.904,7467.09,6540.01
2017-01-01 13:00:00,1,13,6,3.583,7343.05,6697.1
2017-01-01 14:00:00,1,14,6,2.094,7185.07,6627.73
2017-01-01 15:00:00,1,15,6,0.419,7132.02,6533.76
2017-01-01 16:00:00,1,16,6,-0.475,7379.99,6381.79
2017-01-01 17:00:00,1,17,6,-0.934,7869.92,6413.14
2017-01-01 18:00:00,1,18,6,-1.324,7935.18,6528.01
2017-01-01 19:00:00,1,19,6,-1.687,7733.34,6399.08
2017-01-01 20:00:00,1,20,6,-2.04,7401.55,6193.43
2017-01-01 21:00:00,1,21,6,-2.264,7044.47,6141.26
2017-01-01 22:00:00,1,22,6,-2.404,7021.15,6423.93
2017-01-01 23:00:00,1,23,6,-2.613,6863.33,6372.48
2017-01-02 00:00:00,1,0,0,-2.807,6828.08,6569.9
2017-01-02 01:00:00,1,1,0,-2.991,6754.82,6511.23
2017-01-02 02:00:00,1,2,0,-3.123,7150.58,6550.05
2017-01-02 03:00:00,1,3,0,-3.293,7136.63,6542.99
2017-01-02 04:00:00,1,4,0,-3.489,7133.4,6493.11
2017-01-02 05:00:00,1,5,0,-3.681,6977.15,6546.76
2017-01-02 06:00:00,1,6,0,-3.817,6898.74,6462.42
2017-01-02 07:00:00,1,7,0,-3.691,6513.37,6403.67
2017-01-02 08:00:00,1,8,0,-2.651,6592.85,6380.8
2017-01-02 09:00:00,1,9,0,-1.136,6846.92,6402.67
2017-01-02 10:00:00,1,10,0,0.123,6944.6,6289.4
2017-01-02 11:00:00,1,11,0,0.834,6882.2,6071.86
2017-01-02 12:00:00,1,12,0,0.929,7081.74,6227.36
2017-01-02 13:00:00,1,13,0,0.49,7074.77,6160.39
2017-01-02 14:00:00,1,14,0,-0.295,6993.26,6264.91
2017-01-02 15:00:00,1,15,0,-1.215,7031.44,6122.26
2017-01-02 16:00:00,1,16,0,-1.702,7301.88,6291.74
2017-01-02 17:00:00,1,17,0,-2.085,7700.92,6811.31
2017-01-02 18:00:00,1,18,0,-2.447,7635.39,6854.55
2017-01-02 19:00:00,1,19,0,-2.845,7347.04,6596.9
2017-01-02 20:00:00,1,20,0,-3.276,7000.02,6387.24
2017-01-02 21:00:00,1,21,0,-3.865,6759.7,6209.31
2017-01-02 22:00:00,1,22,0,-4.345,6816.56,6217.31
2017-01-02 23:00:00,1,23,0,-4.73,6816.25,5963.58
2017-01-03 00:00:00,1,0,1,-5.059,6536.4,6060.55
2017-01-03 01:00:00,1,1,1,-5.326,6901.98,6423.95
2017-01-03 02:00:00,1,2,1,-5.493,6986.62,6700.56
2017-01-03 03:00:00,1,3,1,-5.648,6910.0,6662.03
2017-01-03 04:00:00,1,4,1,-5.802,6692.75,6656.03
2017-01-03 05:00:00,1,5,1,-5.989,6550.12,6781.93
2017-01-03 06:00:00,1,6,1,-6.294,6195.15,6400.93
2017-01-03 07:00:00,1,7,1,-6.354,5897.84,6459.06
2017-01-03 08:00:00,1,8,1,-5.033,6315.82,6881.25
2017-01-03 09:00:00,1,9,1,-3.361,6470.45,7123.07
2017-01-03 10:00:00,1,10,1,-1.893,6451.24,7113.82
2017-01-03 11:00:00,1,11,1,-0.854,6145.94,6941.57
2017-01-03 12:00:00,1,12,1,-0.336,6524.99,6947.9
2017-01-03 13:00:00,1,13,1,-0.387,6484.46,6944.9
2017-01-03 14:00:00,1,14,1,-1.204,6205.06,6826.25
2017-01-03 15:00:00,1,15,1,-3.114,6134.75,6768.56
2017-01-03 16:00:00,1,16,1,-4.372,6482.73,7001.12
2017-01-03 17:00:00,1,17,1,-5.161,6931.22,7619.42
2017-01-03 18:00:00,1,18,1,-5.79,6984.5,7734.85
2017-01-03 19:00:00,1,19,1,-6.302,6889.04,7458.71
2017-01-03 20:00:00,1,20,1,-6.665,6681.62,7102.26
2017-01-03 21:00:00,1,21,1,-6.759,6507.32,6858.15
2017-01-03 22:00:00,1,22,1,-6.563,6387.2,7009.22
2017-01-03 23:00:00,1,23,1,-6.272,6832.11,6793.9
2017-01-04 00:00:00,1,0,2,-6.124,6679.02,6655.9
2017-01-04 01:00:00,1,1,2,-6.043,6914.53,6890.83
2017-01-04 02:00:00,1,2,2,-5.919,6932.46,6924.93
2017-01-04 03:00:00,1,3,2,-5.715,6853.41,7077.55
2017-01-04 04:00:00,1,4,2,-5.413,6773.1,6977.4
2017-01-04 05:00:00,1,5,2,-5.139,6831.61,7102.16
2017-01-04 06:00:00,1,6,2,-4.962,6372.11,7022.96
2017-01-04 07:00:00,1,7,2,-4.835,6131.32,6846.13
2017-01-04 08:00:00,1,8,2,-3.577,6398.94,7056.78
2017-01-04 09:00:00,1,9,2,-2.003,6661.87,7221.46
2017-01-04 10:00:00,1,10,2,-0.913,6803.01,7228.77
2017-01-04 11:00:00,1,11,2,-0.422,6663.22,7020.81
2017-01-04 12:00:00,1,12,2,-0.447,6888.26,7106.26
2017-01-04 13:00:00,1,13,2,-0.788,6755.83,7233.87
2017-01-04 14:00:00,1,14,2,-1.318,6601.96,6957.33
2017-01-04 15:00:00,1,15,2,-1.943,6604.97,6790.68
2017-01-04 16:00:00,1,16,2,-2.378,6926.09,7140.19
2017-01-04 17:00:00,1,17,2,-2.714,7465.56,7698.18
2017-01-04 18:00:00,1,18,2,-3.02,7549.97,7826.89
2017-01-04 19:00:00,1,19,2,-3.246,7320.37,7595.61
