date,tmpf,month,hour,dayofweek,mw2day,mw7day,poten_2,poten_7
2019-01-08 00:00:00,42.1,1,0,1,9974.077,9088.189,157.40615999999864,0.0
2019-01-08 01:00:00,43.0,1,1,1,9833.499,8684.294,222.28543999999965,0.0
2019-01-08 02:00:00,43.0,1,2,1,9796.119,8323.87,265.60548000000017,0.0
2019-01-08 03:00:00,44.1,1,3,1,9816.19,8164.973,258.7057999999997,0.0
2019-01-08 04:00:00,43.0,1,4,1,9973.63,8126.982,200.8236399999987,0.0
2019-01-08 05:00:00,43.0,1,5,1,10288.781,8273.913,17.08260000000155,0.0
2019-01-08 06:00:00,43.0,1,6,1,10672.712,8469.216,0.0,0.0
2019-01-08 07:00:00,43.0,1,7,1,11018.66,8619.65,0.0,0.0
2019-01-08 08:00:00,44.1,1,8,1,11147.418,8758.063,0.0,0.0
2019-01-08 09:00:00,46.0,1,9,1,10738.496,9161.13,0.0,0.0
2019-01-08 10:00:00,48.9,1,10,1,10274.497,9452.693,0.0,0.0
2019-01-08 11:00:00,53.1,1,11,1,9991.717,9583.262,0.0,0.0
2019-01-08 12:00:00,57.0,1,12,1,9843.514,9517.417,0.0,0.0
2019-01-08 13:00:00,60.1,1,13,1,9767.762,9568.256,0.0,0.0
2019-01-08 14:00:00,61.0,1,14,1,9617.681,9573.961,0.0,0.0
2019-01-08 15:00:00,62.1,1,15,1,9677.869,9662.869,0.0,0.0
2019-01-08 16:00:00,63.0,1,16,1,10119.522,10009.888,0.0,0.0
2019-01-08 17:00:00,61.0,1,17,1,11169.575,10911.42,0.0,0.0
2019-01-08 18:00:00,59.0,1,18,1,11683.197,11000.56,0.0,0.0
2019-01-08 19:00:00,59.0,1,19,1,11668.189,10891.08,0.0,0.0
2019-01-08 20:00:00,57.9,1,20,1,11631.365,10718.838,0.0,0.0
2019-01-08 21:00:00,59.0,1,21,1,11360.992,10350.834,0.0,0.0
2019-01-08 22:00:00,57.9,1,22,1,10842.608,9853.355,0.0,0.0
2019-01-08 23:00:00,57.9,1,23,1,10376.752,9366.895,0.0,0.0
2019-01-09 00:00:00,57.9,1,0,2,10162.782,9080.596,346.11115999999856,0.0
2019-01-09 01:00:00,57.0,1,1,2,10102.667,8919.886,491.4534399999993,0.0
2019-01-09 02:00:00,55.0,1,2,2,10159.607,8997.022,629.0934799999995,0.0
2019-01-09 03:00:00,53.1,1,3,2,10407.385,9186.951,849.9007999999994,0.0
2019-01-09 04:00:00,48.9,1,4,2,10935.96,9565.748,1163.1536399999986,0.0
2019-01-09 05:00:00,46.9,1,5,2,11873.007,10417.153,1601.3086000000003,145.45460000000094
2019-01-09 06:00:00,45.0,1,6,2,13124.473,11463.406,2121.5830800000003,460.5160800000013
2019-01-09 07:00:00,45.0,1,7,2,13667.074,12021.22,2204.6834400000025,558.8294400000013
2019-01-09 08:00:00,44.1,1,8,2,13359.092,12066.87,1862.3564400000007,570.1344400000016
2019-01-09 09:00:00,46.9,1,9,2,12992.348,11989.572,1647.4741200000008,644.6981200000009
2019-01-09 10:00:00,48.9,1,10,2,12793.014,11906.07,1650.9419999999973,763.9979999999978
2019-01-09 11:00:00,50.0,1,11,2,12533.412,11838.321,1582.679,887.5879999999997
2019-01-09 12:00:00,51.1,1,12,2,12319.9,11728.029,1545.8868000000002,954.015800000001
2019-01-09 13:00:00,51.1,1,13,2,12204.402,11677.557,1562.5103199999994,1035.66532
2019-01-09 14:00:00,50.0,1,14,2,12117.919,11578.303,1577.3265200000003,1037.7105200000003
2019-01-09 15:00:00,50.0,1,15,2,12254.059,11713.269,1648.8401600000016,1108.0501600000025
2019-01-09 16:00:00,48.9,1,16,2,12772.863,12131.809,1767.6231200000002,1126.56912
2019-01-09 17:00:00,44.1,1,17,2,13638.797,12839.897,1832.73984,1033.8398400000003
2019-01-09 18:00:00,42.1,1,18,2,13922.909,12823.815,1873.79392,774.6999200000009
2019-01-09 19:00:00,39.0,1,19,2,13654.231,12653.409,1686.660359999998,685.8383599999979
2019-01-09 20:00:00,37.9,1,20,2,13337.023,12338.827,1541.081119999999,542.885119999999
2019-01-09 21:00:00,37.0,1,21,2,12706.081,11725.814,1276.1025599999994,295.83555999999953
2019-01-09 22:00:00,37.0,1,22,2,12015.155,11022.148,1091.8906400000014,98.88364
2019-01-09 23:00:00,36.0,1,23,2,11175.905,10378.031,745.6910800000005,0.0
2019-01-10 00:00:00,35.1,1,0,3,10744.236,9900.216,927.56516,83.54515999999967
2019-01-10 01:00:00,34.0,1,1,3,10506.516,9678.226,895.3024399999995,67.01244000000042
2019-01-10 02:00:00,33.1,1,2,3,10353.785,9570.797,823.2714799999994,40.28348000000005
2019-01-10 03:00:00,33.1,1,3,3,10339.569,9581.105,782.0847999999987,23.62079999999878
2019-01-10 04:00:00,30.9,1,4,3,10653.223,9898.245,880.4166399999995,125.4386400000003
2019-01-10 05:00:00,30.0,1,5,3,11353.36,10575.1,1081.6616000000013,303.40160000000105
2019-01-10 06:00:00,28.9,1,6,3,12460.216,11509.539,1457.3260800000007,506.64908000000105
2019-01-10 07:00:00,28.9,1,7,3,12941.334,11973.431,1478.9434400000027,511.0404400000025
2019-01-10 08:00:00,28.9,1,8,3,12640.678,11853.222,1143.9424400000007,356.4864400000006
2019-01-10 09:00:00,32.0,1,9,3,12194.677,11764.915,849.8031200000005,420.0411200000017
2019-01-10 10:00:00,33.1,1,10,3,11763.381,11634.389,621.3089999999975,492.3169999999973
2019-01-10 11:00:00,36.0,1,11,3,11248.196,11468.829,297.46299999999974,518.0959999999995
2019-01-10 12:00:00,37.9,1,12,3,10718.027,11314.055,0.0,540.0418000000009
2019-01-10 13:00:00,37.9,1,13,3,10479.933,11239.054,0.0,597.1623199999995
2019-01-10 14:00:00,39.0,1,14,3,10225.832,11153.515,0.0,612.9225200000001
2019-01-10 15:00:00,39.0,1,15,3,10222.563,11231.103,0.0,625.8841600000014
2019-01-10 16:00:00,37.9,1,16,3,10643.367,11604.905,0.0,599.6651200000015
2019-01-10 17:00:00,36.0,1,17,3,11529.274,12536.555,0.0,730.49784
2019-01-10 18:00:00,34.0,1,18,3,11789.899,12677.334,0.0,628.2189200000012
2019-01-10 19:00:00,33.1,1,19,3,11674.447,12637.885,0.0,670.3143599999985
2019-01-10 20:00:00,32.0,1,20,3,11381.29,12488.265,0.0,692.3231199999991
2019-01-10 21:00:00,30.0,1,21,3,10873.201,12124.96,0.0,694.9815599999984
