utc,netload,potential
2017-01-01 00:00:00,4579.0,476.958333333333
2017-01-01 01:00:00,4423.0,376.8333333333335
2017-01-01 02:00:00,4331.0,278.7916666666665
2017-01-01 03:00:00,4286.0,135.58333333333303
2017-01-01 04:00:00,4282.0,0.0
2017-01-01 05:00:00,4353.0,0.0
2017-01-01 06:00:00,4558.0,0.0
2017-01-01 07:00:00,4799.0,0.0
2017-01-01 08:00:00,4951.0,0.0
2017-01-01 09:00:00,4992.0,0.0
2017-01-01 10:00:00,4960.0,0.0
2017-01-01 11:00:00,4826.0,0.0
2017-01-01 12:00:00,4698.0,0.0
2017-01-01 13:00:00,4700.0,0.0
2017-01-01 14:00:00,4879.0,0.0
2017-01-01 15:00:00,5401.0,0.0
2017-01-01 16:00:00,5601.0,0.0
2017-01-01 17:00:00,5549.0,0.0
2017-01-01 18:00:00,5395.0,0.0
2017-01-01 19:00:00,5239.0,0.0
2017-01-01 20:00:00,5250.0,36.79166666666697
2017-01-01 21:00:00,5006.0,122.91666666666696
2017-01-01 22:00:00,4657.0,142.45833333333303
2017-01-01 23:00:00,4426.0,166.29166666666697
2017-01-02 00:00:00,4287.0,184.95833333333303
2017-01-02 01:00:00,4225.0,178.83333333333348
2017-01-02 02:00:00,4235.0,182.7916666666665
2017-01-02 03:00:00,4290.0,139.58333333333303
2017-01-02 04:00:00,4404.0,0.0
2017-01-02 05:00:00,4671.0,0.0
2017-01-02 06:00:00,5041.0,0.0
2017-01-02 07:00:00,5361.0,0.0
2017-01-02 08:00:00,5414.0,0.0
2017-01-02 09:00:00,5334.0,0.0
2017-01-02 10:00:00,5189.0,0.0
2017-01-02 11:00:00,5023.0,0.0
2017-01-02 12:00:00,4942.0,0.0
2017-01-02 13:00:00,5011.0,0.0
2017-01-02 14:00:00,5295.0,1.875
2017-01-02 15:00:00,5849.0,195.54166666666697
2017-01-02 16:00:00,6150.0,234.66666666666697
2017-01-02 17:00:00,6059.0,207.25
2017-01-02 18:00:00,5881.0,249.66666666666697
2017-01-02 19:00:00,5601.0,228.16666666666697
2017-01-02 20:00:00,5496.0,282.79166666666697
2017-01-02 21:00:00,5217.0,333.91666666666697
2017-01-02 22:00:00,4880.0,365.458333333333
2017-01-02 23:00:00,4582.0,322.29166666666697
2017-01-03 00:00:00,4460.0,357.95833333333303
2017-01-03 01:00:00,4404.0,357.8333333333335
2017-01-03 02:00:00,4435.0,382.7916666666665
2017-01-03 03:00:00,4601.0,450.583333333333
2017-01-03 04:00:00,4998.0,544.125
2017-01-03 05:00:00,5532.0,682.666666666667
2017-01-03 06:00:00,6075.0,820.375
2017-01-03 07:00:00,6361.0,862.791666666667
2017-01-03 08:00:00,6318.0,836.0
2017-01-03 09:00:00,6197.0,783.5
2017-01-03 10:00:00,6029.0,744.5
2017-01-03 11:00:00,5923.0,697.0
2017-01-03 12:00:00,5841.0,692.0
2017-01-03 13:00:00,5884.0,719.375
2017-01-03 14:00:00,6038.0,744.875
2017-01-03 15:00:00,6379.0,725.541666666667
2017-01-03 16:00:00,6602.0,686.666666666667
2017-01-03 17:00:00,6526.0,674.25
2017-01-03 18:00:00,6251.0,619.666666666667
2017-01-03 19:00:00,5993.0,620.166666666667
2017-01-03 20:00:00,5806.0,592.791666666667
2017-01-03 21:00:00,5456.0,572.916666666667
2017-01-03 22:00:00,5011.0,496.458333333333
2017-01-03 23:00:00,4754.0,494.29166666666697
2017-01-04 00:00:00,4598.0,495.958333333333
2017-01-04 01:00:00,4536.0,489.8333333333335
2017-01-04 02:00:00,4564.0,511.7916666666665
2017-01-04 03:00:00,4707.0,556.583333333333
2017-01-04 04:00:00,5095.0,641.125
2017-01-04 05:00:00,5599.0,749.666666666667
2017-01-04 06:00:00,6097.0,842.375
2017-01-04 07:00:00,6344.0,845.791666666667
2017-01-04 08:00:00,6297.0,815.0
2017-01-04 09:00:00,6216.0,802.5
2017-01-04 10:00:00,6090.0,805.5
2017-01-04 11:00:00,5977.0,751.0
2017-01-04 12:00:00,5866.0,717.0
2017-01-04 13:00:00,5882.0,717.375
2017-01-04 14:00:00,5999.0,705.875
2017-01-04 15:00:00,6366.0,712.541666666667
2017-01-04 16:00:00,6620.0,704.666666666667
2017-01-04 17:00:00,6557.0,705.25
2017-01-04 18:00:00,6291.0,659.666666666667
2017-01-04 19:00:00,6027.0,654.166666666667
2017-01-04 20:00:00,5853.0,639.791666666667
2017-01-04 21:00:00,5470.0,586.916666666667
2017-01-04 22:00:00,5044.0,529.458333333333
2017-01-04 23:00:00,4753.0,493.29166666666697
2017-01-05 00:00:00,4614.0,511.958333333333
2017-01-05 01:00:00,4563.0,516.8333333333335
2017-01-05 02:00:00,4586.0,533.7916666666665
2017-01-05 03:00:00,4707.0,556.583333333333
2017-01-05 04:00:00,5092.0,638.125
2017-01-05 05:00:00,5565.0,715.666666666667
2017-01-05 06:00:00,6066.0,811.375
2017-01-05 07:00:00,6338.0,839.791666666667
2017-01-05 08:00:00,6333.0,851.0
2017-01-05 09:00:00,6295.0,881.5
2017-01-05 10:00:00,6191.0,906.5
2017-01-05 11:00:00,6163.0,937.0
2017-01-05 12:00:00,6115.0,966.0
2017-01-05 13:00:00,6173.0,1008.375
2017-01-05 14:00:00,6275.0,981.875
2017-01-05 15:00:00,6493.0,839.541666666667
2017-01-05 16:00:00,6683.0,767.666666666667
2017-01-05 17:00:00,6622.0,770.25
2017-01-05 18:00:00,6324.0,692.666666666667
2017-01-05 19:00:00,6062.0,689.166666666667
2017-01-05 20:00:00,5919.0,705.791666666667
2017-01-05 21:00:00,5587.0,703.916666666667
2017-01-05 22:00:00,5145.0,630.458333333333
2017-01-05 23:00:00,4833.0,573.291666666667
2017-01-06 00:00:00,4674.0,571.958333333333
2017-01-06 01:00:00,4546.0,499.8333333333335
2017-01-06 02:00:00,4500.0,447.7916666666665
2017-01-06 03:00:00,4567.0,416.583333333333
2017-01-06 04:00:00,4851.0,397.125
2017-01-06 05:00:00,5333.0,483.66666666666697
2017-01-06 06:00:00,5898.0,643.375
2017-01-06 07:00:00,6297.0,798.791666666667
2017-01-06 08:00:00,6446.0,964.0
2017-01-06 09:00:00,6541.0,1127.5
2017-01-06 10:00:00,6478.0,1193.5
2017-01-06 11:00:00,6511.0,1285.0
2017-01-06 12:00:00,6393.0,1244.0
2017-01-06 13:00:00,6422.0,1257.375
2017-01-06 14:00:00,6505.0,1211.875
2017-01-06 15:00:00,6778.0,1124.541666666667
2017-01-06 16:00:00,6963.0,1047.666666666667
2017-01-06 17:00:00,6891.0,1039.25
2017-01-06 18:00:00,6600.0,968.666666666667
2017-01-06 19:00:00,6334.0,961.166666666667
2017-01-06 20:00:00,6211.0,997.791666666667
2017-01-06 21:00:00,5915.0,1031.916666666667
2017-01-06 22:00:00,5306.0,791.458333333333
2017-01-06 23:00:00,5192.0,932.291666666667
2017-01-07 00:00:00,5132.0,1029.958333333333
2017-01-07 01:00:00,5116.0,1069.8333333333337
2017-01-07 02:00:00,5163.0,1110.7916666666663
2017-01-07 03:00:00,5295.0,1144.583333333333
2017-01-07 04:00:00,5547.0,1093.125
2017-01-07 05:00:00,5975.0,1125.666666666667
2017-01-07 06:00:00,6353.0,1098.375
2017-01-07 07:00:00,6564.0,1065.791666666667
2017-01-07 08:00:00,6643.0,1161.0
2017-01-07 09:00:00,6605.0,1191.5
2017-01-07 10:00:00,6482.0,1197.5
2017-01-07 11:00:00,6390.0,1164.0
2017-01-07 12:00:00,6395.0,1246.0
2017-01-07 13:00:00,6523.0,1358.375
2017-01-07 14:00:00,6943.0,1649.875
2017-01-07 15:00:00,7120.0,1466.541666666667
2017-01-07 16:00:00,6938.0,1022.666666666667
2017-01-07 17:00:00,6687.0,835.25
2017-01-07 18:00:00,6440.0,808.666666666667
