ept,netload,potential
2019-01-08 00:00:00,41168.876,0.0
2019-01-08 01:00:00,39909.717,0.0
2019-01-08 02:00:00,39171.759,0.0
2019-01-08 03:00:00,39085.17,0.0
2019-01-08 04:00:00,39584.978,0.0
2019-01-08 05:00:00,41744.206,0.0
2019-01-08 06:00:00,45602.884,980.0325555555536
2019-01-08 07:00:00,48164.216,1323.700814814816
2019-01-08 08:00:00,48458.389,763.1511111111176
2019-01-08 09:00:00,48130.982,23.852000000013504
2019-01-08 10:00:00,47803.112,0.0
2019-01-08 11:00:00,47469.546,0.0
2019-01-08 12:00:00,46874.619,0.0
2019-01-08 13:00:00,46524.141,0.0
2019-01-08 14:00:00,45935.997,0.0
2019-01-08 15:00:00,45658.582,0.0
2019-01-08 16:00:00,46354.06,0.0
2019-01-08 17:00:00,48633.264,0.0
2019-01-08 18:00:00,50327.942,188.4735925925997
2019-01-08 19:00:00,50134.155,355.30577777777944
2019-01-08 20:00:00,49622.18,500.72981481482566
2019-01-08 21:00:00,48553.595,638.9260740740792
2019-01-08 22:00:00,46643.614,523.4519629629649
2019-01-08 23:00:00,44603.54,484.7043703703748
2019-01-09 00:00:00,43054.198,881.1282222222217
2019-01-09 01:00:00,42196.355,1062.2791851851798
2019-01-09 02:00:00,42125.592,1546.6601481481484
2019-01-09 03:00:00,42406.578,1994.41855555556
2019-01-09 04:00:00,43382.473,2518.960666666673
2019-01-09 05:00:00,45977.163,3727.392851851851
2019-01-09 06:00:00,50135.036,5512.184555555556
2019-01-09 07:00:00,53480.658,6640.142814814819
2019-01-09 08:00:00,54230.367,6535.129111111113
2019-01-09 09:00:00,54412.773,6305.643000000011
2019-01-09 10:00:00,54760.741,6440.827407407414
2019-01-09 11:00:00,54736.081,6590.374740740743
2019-01-09 12:00:00,54863.54,7025.785518518518
2019-01-09 13:00:00,55049.495,7697.449444444443
2019-01-09 14:00:00,54848.279,7996.720444444436
2019-01-09 15:00:00,54936.344,8348.866074074074
2019-01-09 16:00:00,55702.995,8614.09103703704
2019-01-09 17:00:00,57720.729,8671.400222222212
2019-01-09 18:00:00,59117.701,8978.232592592598
2019-01-09 19:00:00,58751.464,8972.61477777778
2019-01-09 20:00:00,58052.834,8931.383814814828
2019-01-09 21:00:00,56557.396,8642.727074074079
2019-01-09 22:00:00,54213.823,8093.66096296296
2019-01-09 23:00:00,51829.984,7711.148370370371
2019-01-10 00:00:00,50281.262,8108.192222222227
2019-01-10 01:00:00,49445.284,8311.208185185176
2019-01-10 02:00:00,49155.432,8576.500148148152
2019-01-10 03:00:00,49147.629,8735.469555555559
2019-01-10 04:00:00,50114.14,9250.627666666674
2019-01-10 05:00:00,52334.149,10084.378851851849
2019-01-10 06:00:00,56000.034,11377.182555555555
2019-01-10 07:00:00,58982.728,12142.21281481482
2019-01-10 08:00:00,59399.771,11704.533111111115
2019-01-10 09:00:00,59094.252,10987.12200000001
2019-01-10 10:00:00,58840.563,10520.649407407414
2019-01-10 11:00:00,58308.644,10162.937740740745
2019-01-10 12:00:00,57818.464,9980.709518518515
2019-01-10 13:00:00,57433.425,10081.379444444445
2019-01-10 14:00:00,56875.71,10024.151444444433
2019-01-10 15:00:00,56532.406,9944.92807407408
2019-01-10 16:00:00,56870.973,9782.069037037036
2019-01-10 17:00:00,58848.708,9799.379222222213
2019-01-10 18:00:00,60105.072,9965.603592592595
2019-01-10 19:00:00,59527.136,9748.28677777778
2019-01-10 20:00:00,58902.042,9780.591814814828
2019-01-10 21:00:00,57310.829,9396.160074074076
2019-01-10 22:00:00,54902.731,8782.568962962963
2019-01-10 23:00:00,52401.38,8282.544370370371
2019-01-11 00:00:00,50661.126,8488.056222222222
