ept,mw,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-01 00:00:00,3607.904502880765,5.8,1,0,3,,
2015-01-01 01:00:00,3609.619438404625,5.7,1,1,3,,
2015-01-01 02:00:00,3573.15836331026,5.8,1,2,3,,
2015-01-01 03:00:00,3538.420320152908,5.7,1,3,3,,
2015-01-01 04:00:00,3542.905393926578,5.4,1,4,3,,
2015-01-01 05:00:00,3590.3443472559006,5.2,1,5,3,,
2015-01-01 06:00:00,3669.451533701773,5.0,1,6,3,,
2015-01-01 07:00:00,3682.712543494673,4.7,1,7,3,,
2015-01-01 08:00:00,3744.364302599496,4.6,1,8,3,,
2015-01-01 09:00:00,3859.062895184358,4.7,1,9,3,,
2015-01-01 10:00:00,3937.9367764989775,4.6,1,10,3,,
2015-01-01 11:00:00,3969.953126742439,4.5,1,11,3,,
2015-01-01 12:00:00,3967.556123531037,4.5,1,12,3,,
2015-01-01 13:00:00,3920.763788442516,4.6,1,13,3,,
2015-01-01 14:00:00,3878.5784253955007,4.7,1,14,3,,
2015-01-01 15:00:00,3858.698855828256,5.0,1,15,3,,
2015-01-01 16:00:00,3875.5403116582174,5.4,1,16,3,,
2015-01-01 17:00:00,3987.037034305128,5.5,1,17,3,,
2015-01-01 18:00:00,4141.517713087753,5.6,1,18,3,,
2015-01-01 19:00:00,4116.605547048075,5.8,1,19,3,,
2015-01-01 20:00:00,4087.276012627725,5.9,1,20,3,,
2015-01-01 21:00:00,4002.026837045764,6.2,1,21,3,,
2015-01-01 22:00:00,3849.898227360785,6.3,1,22,3,,
2015-01-01 23:00:00,3666.6517,6.2,1,23,3,,
2015-01-02 00:00:00,3509.6163806719446,6.2,1,0,4,,
2015-01-02 01:00:00,3385.177676263378,6.2,1,1,4,,
2015-01-02 02:00:00,3312.469778332398,6.2,1,2,4,,
2015-01-02 03:00:00,3285.934531733172,6.1,1,3,4,,
2015-01-02 04:00:00,3314.376455564336,6.2,1,4,4,,
2015-01-02 05:00:00,3419.7322252039,6.3,1,5,4,,
2015-01-02 06:00:00,3603.6270714018815,6.3,1,6,4,,
2015-01-02 07:00:00,3726.3280098909822,6.3,1,7,4,,
2015-01-02 08:00:00,3800.1695948605056,6.3,1,8,4,,
2015-01-02 09:00:00,3886.2633977663154,6.3,1,9,4,,
2015-01-02 10:00:00,3953.8406987687554,6.4,1,10,4,,
2015-01-02 11:00:00,3951.435613447949,6.3,1,11,4,,
2015-01-02 12:00:00,3913.321955941139,6.3,1,12,4,,
2015-01-02 13:00:00,3866.447224380197,6.3,1,13,4,,
2015-01-02 14:00:00,3810.5841901987023,6.7,1,14,4,,
2015-01-02 15:00:00,3773.4405835889447,7.1,1,15,4,,
2015-01-02 16:00:00,3787.3038827941127,7.4,1,16,4,,
2015-01-02 17:00:00,3876.0730428498086,7.7,1,17,4,,
2015-01-02 18:00:00,4010.934291978564,7.8,1,18,4,,
2015-01-02 19:00:00,3996.2975431305376,8.0,1,19,4,,
2015-01-02 20:00:00,3937.632078677399,8.3,1,20,4,,
2015-01-02 21:00:00,3839.4379564936153,8.5,1,21,4,,
2015-01-02 22:00:00,3707.213331545587,8.6,1,22,4,,
2015-01-02 23:00:00,3535.2514,8.6,1,23,4,,
2015-01-03 00:00:00,3391.2229834804725,8.7,1,0,5,3607.904502880765,
2015-01-03 01:00:00,3272.867768127608,8.8,1,1,5,3609.619438404625,
2015-01-03 02:00:00,3181.2050820513973,8.9,1,2,5,3573.15836331026,
2015-01-03 03:00:00,3125.574468753276,8.9,1,3,5,3538.420320152908,
2015-01-03 04:00:00,3127.6909813854645,8.6,1,4,5,3542.905393926578,
2015-01-03 05:00:00,3188.894968079669,8.5,1,5,5,3590.3443472559006,
2015-01-03 06:00:00,3295.547713371762,8.3,1,6,5,3669.451533701773,
2015-01-03 07:00:00,3379.4571160670457,8.0,1,7,5,3682.712543494673,
2015-01-03 08:00:00,3464.1425881019763,7.9,1,8,5,3744.364302599496,
2015-01-03 09:00:00,3533.5185015913703,8.1,1,9,5,3859.062895184358,
2015-01-03 10:00:00,3527.4665474641606,8.0,1,10,5,3937.9367764989775,
2015-01-03 11:00:00,3459.262196779722,8.0,1,11,5,3969.953126742439,
2015-01-03 12:00:00,3406.557125672716,8.1,1,12,5,3967.556123531037,
2015-01-03 13:00:00,3301.162105703855,8.2,1,13,5,3920.763788442516,
2015-01-03 14:00:00,3146.3332836579,8.6,1,14,5,3878.5784253955007,
2015-01-03 15:00:00,2989.478905584974,9.2,1,15,5,3858.698855828256,
2015-01-03 16:00:00,2888.739104281511,9.6,1,16,5,3875.5403116582174,
2015-01-03 17:00:00,2927.9248790199026,9.7,1,17,5,3987.037034305128,
2015-01-03 18:00:00,3224.109439123495,10.1,1,18,5,4141.517713087753,
2015-01-03 19:00:00,3322.209899181199,10.4,1,19,5,4116.605547048075,
2015-01-03 20:00:00,3377.3841448152257,11.4,1,20,5,4087.276012627725,
2015-01-03 21:00:00,3402.368052645756,12.4,1,21,5,4002.026837045764,
2015-01-03 22:00:00,3375.77303099286,12.9,1,22,5,3849.898227360785,
2015-01-03 23:00:00,3288.7618000000007,12.3,1,23,5,3666.6517,
2015-01-04 00:00:00,3206.254842512676,10.6,1,0,6,3509.6163806719446,
2015-01-04 01:00:00,3145.586293542164,9.6,1,1,6,3385.177676263378,
2015-01-04 02:00:00,3103.3587984618,9.1,1,2,6,3312.469778332398,
2015-01-04 03:00:00,3087.6846570377047,8.3,1,3,6,3285.934531733172,
2015-01-04 04:00:00,3108.010205618303,7.7,1,4,6,3314.376455564336,
2015-01-04 05:00:00,3184.3569885793386,7.2,1,5,6,3419.7322252039,
2015-01-04 06:00:00,3301.3648266512578,6.9,1,6,6,3603.6270714018815,
2015-01-04 07:00:00,3388.169890348957,6.4,1,7,6,3726.3280098909822,
2015-01-04 08:00:00,3458.6595107476,6.3,1,8,6,3800.1695948605056,
2015-01-04 09:00:00,3456.893347981807,6.1,1,9,6,3886.2633977663154,
2015-01-04 10:00:00,3377.4677669670195,7.1,1,10,6,3953.8406987687554,
2015-01-04 11:00:00,3233.3399370261523,7.2,1,11,6,3951.435613447949,
2015-01-04 12:00:00,3086.954953337825,5.9,1,12,6,3913.321955941139,
2015-01-04 13:00:00,2973.3051733735592,5.5,1,13,6,3866.447224380197,
2015-01-04 14:00:00,2857.111010138969,7.5,1,14,6,3810.5841901987023,
