ept,kw,tmp,month,hour,dayofweek,kw_2,kw_7
2017-01-01 00:00:00,15984.0,48.0,1,0,6,,
2017-01-01 01:00:00,15984.0,46.8,1,1,6,,
2017-01-01 02:00:00,15822.0,46.8,1,2,6,,
2017-01-01 03:00:00,15336.0,46.8,1,3,6,,
2017-01-01 04:00:00,15228.0,46.0,1,4,6,,
2017-01-01 05:00:00,15336.0,46.6,1,5,6,,
2017-01-01 06:00:00,15714.0,46.6,1,6,6,,
2017-01-01 07:00:00,16038.0,46.0,1,7,6,,
2017-01-01 08:00:00,16470.0,45.5,1,8,6,,
2017-01-01 09:00:00,16848.0,41.4,1,9,6,,
2017-01-01 10:00:00,16470.0,42.8,1,10,6,,
2017-01-01 11:00:00,16254.0,43.9,1,11,6,,
2017-01-01 12:00:00,16200.0,45.5,1,12,6,,
2017-01-01 13:00:00,15606.0,46.4,1,13,6,,
2017-01-01 14:00:00,15066.0,48.7,1,14,6,,
2017-01-01 15:00:00,15282.0,49.6,1,15,6,,
2017-01-01 16:00:00,15552.0,50.4,1,16,6,,
2017-01-01 17:00:00,16362.0,50.0,1,17,6,,
2017-01-01 18:00:00,16362.0,49.6,1,18,6,,
2017-01-01 19:00:00,16092.0,50.0,1,19,6,,
2017-01-01 20:00:00,15930.0,48.7,1,20,6,,
2017-01-01 21:00:00,15444.0,48.6,1,21,6,,
2017-01-01 22:00:00,14796.0,48.6,1,22,6,,
2017-01-01 23:00:00,14040.0,48.7,1,23,6,,
2017-01-02 00:00:00,13230.0,49.1,1,0,0,,
2017-01-02 01:00:00,12798.0,50.4,1,1,0,,
2017-01-02 02:00:00,12690.0,51.1,1,2,0,,
2017-01-02 03:00:00,12528.0,51.4,1,3,0,,
2017-01-02 04:00:00,12582.0,52.2,1,4,0,,
2017-01-02 05:00:00,13122.0,52.7,1,5,0,,
2017-01-02 06:00:00,13986.0,52.7,1,6,0,,
2017-01-02 07:00:00,14202.0,51.8,1,7,0,,
2017-01-02 08:00:00,14040.0,51.1,1,8,0,,
2017-01-02 09:00:00,14580.0,51.1,1,9,0,,
2017-01-02 10:00:00,15930.0,52.0,1,10,0,,
2017-01-02 11:00:00,15660.0,53.1,1,11,0,,
2017-01-02 12:00:00,15390.0,53.6,1,12,0,,
2017-01-02 13:00:00,14904.0,54.1,1,13,0,,
2017-01-02 14:00:00,15012.0,53.8,1,14,0,,
2017-01-02 15:00:00,14904.0,53.8,1,15,0,,
2017-01-02 16:00:00,15606.0,53.2,1,16,0,,
2017-01-02 17:00:00,16740.0,52.3,1,17,0,,
2017-01-02 18:00:00,17064.0,51.4,1,18,0,,
2017-01-02 19:00:00,16956.0,50.9,1,19,0,,
2017-01-02 20:00:00,17064.0,50.2,1,20,0,,
2017-01-02 21:00:00,15930.0,49.1,1,21,0,,
2017-01-02 22:00:00,15282.0,48.7,1,22,0,,
2017-01-02 23:00:00,15066.0,48.6,1,23,0,,
2017-01-03 00:00:00,15498.0,48.2,1,0,1,15984.0,
2017-01-03 01:00:00,16200.0,48.2,1,1,1,15984.0,
2017-01-03 02:00:00,16524.0,48.2,1,2,1,15822.0,
2017-01-03 03:00:00,16740.0,48.2,1,3,1,15336.0,
2017-01-03 04:00:00,17334.0,48.2,1,4,1,15228.0,
2017-01-03 05:00:00,18630.0,48.4,1,5,1,15336.0,
2017-01-03 06:00:00,20358.0,48.7,1,6,1,15714.0,
2017-01-03 07:00:00,20844.0,49.1,1,7,1,16038.0,
2017-01-03 08:00:00,20574.0,50.2,1,8,1,16470.0,
2017-01-03 09:00:00,20574.0,50.5,1,9,1,16848.0,
2017-01-03 10:00:00,20628.0,50.9,1,10,1,16470.0,
2017-01-03 11:00:00,19818.0,52.7,1,11,1,16254.0,
2017-01-03 12:00:00,19548.0,55.4,1,12,1,16200.0,
2017-01-03 13:00:00,19764.0,58.1,1,13,1,15606.0,
2017-01-03 14:00:00,19332.0,59.0,1,14,1,15066.0,
2017-01-03 15:00:00,19332.0,59.5,1,15,1,15282.0,
2017-01-03 16:00:00,19602.0,59.9,1,16,1,15552.0,
2017-01-03 17:00:00,20520.0,58.8,1,17,1,16362.0,
2017-01-03 18:00:00,21060.0,57.0,1,18,1,16362.0,
2017-01-03 19:00:00,21222.0,55.9,1,19,1,16092.0,
2017-01-03 20:00:00,20196.0,56.5,1,20,1,15930.0,
2017-01-03 21:00:00,19440.0,56.5,1,21,1,15444.0,
2017-01-03 22:00:00,18738.0,54.7,1,22,1,14796.0,
