utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,2961.0,-7.233,2875.0,2722.0
2017-01-01 01:00:00,1,1,6,2871.0,-7.338,2818.0,2634.0
2017-01-01 02:00:00,1,2,6,2834.0,-7.512,2797.0,2636.0
2017-01-01 03:00:00,1,3,6,2832.0,-7.792,2865.0,2643.0
2017-01-01 04:00:00,1,4,6,2840.0,-8.081,2961.0,2670.0
2017-01-01 05:00:00,1,5,6,2854.0,-8.267,3154.0,2727.0
2017-01-01 06:00:00,1,6,6,2867.0,-8.445,3245.0,2770.0
2017-01-01 07:00:00,1,7,6,2932.0,-8.023,3345.0,2901.0
2017-01-01 08:00:00,1,8,6,3135.0,-6.658,3427.0,3088.0
2017-01-01 09:00:00,1,9,6,3200.0,-5.024,3424.0,3116.0
2017-01-01 10:00:00,1,10,6,3284.0,-3.744,3436.0,3147.0
2017-01-01 11:00:00,1,11,6,3254.0,-2.876,3422.0,3080.0
2017-01-01 12:00:00,1,12,6,3218.0,-2.658,3490.0,3060.0
2017-01-01 13:00:00,1,13,6,3155.0,-3.345,3491.0,2976.0
2017-01-01 14:00:00,1,14,6,3181.0,-5.658,3484.0,3000.0
2017-01-01 15:00:00,1,15,6,3370.0,-7.495,3590.0,3160.0
2017-01-01 16:00:00,1,16,6,3430.0,-8.208,3662.0,3191.0
2017-01-01 17:00:00,1,17,6,3439.0,-8.602,3607.0,3170.0
2017-01-01 18:00:00,1,18,6,3389.0,-8.838,3564.0,3148.0
2017-01-01 19:00:00,1,19,6,3411.0,-8.909,3527.0,3138.0
2017-01-01 20:00:00,1,20,6,3313.0,-9.165,3395.0,3073.0
2017-01-01 21:00:00,1,21,6,3173.0,-9.411,3268.0,2971.0
2017-01-01 22:00:00,1,22,6,3026.0,-9.575,3121.0,2850.0
2017-01-01 23:00:00,1,23,6,3003.0,-9.642,3009.0,2801.0
2017-01-02 00:00:00,1,0,0,2914.0,-9.72,2871.0,2676.0
2017-01-02 01:00:00,1,1,0,2856.0,-9.781,2805.0,2591.0
2017-01-02 02:00:00,1,2,0,2859.0,-9.8,2822.0,2567.0
2017-01-02 03:00:00,1,3,0,2952.0,-9.819,2860.0,2612.0
2017-01-02 04:00:00,1,4,0,3129.0,-9.811,2916.0,2650.0
2017-01-02 05:00:00,1,5,0,3460.0,-9.84,2994.0,2731.0
2017-01-02 06:00:00,1,6,0,3636.0,-9.9,3072.0,2787.0
2017-01-02 07:00:00,1,7,0,3823.0,-9.193,3224.0,2935.0
2017-01-02 08:00:00,1,8,0,3961.0,-7.601,3442.0,3104.0
2017-01-02 09:00:00,1,9,0,3988.0,-5.974,3511.0,3173.0
2017-01-02 10:00:00,1,10,0,4034.0,-4.432,3572.0,3204.0
2017-01-02 11:00:00,1,11,0,4017.0,-3.272,3517.0,3105.0
2017-01-02 12:00:00,1,12,0,4070.0,-2.66,3458.0,3099.0
2017-01-02 13:00:00,1,13,0,4022.0,-2.868,3403.0,3049.0
2017-01-02 14:00:00,1,14,0,4005.0,-4.339,3409.0,3052.0
2017-01-02 15:00:00,1,15,0,4084.0,-5.404,3572.0,3159.0
2017-01-02 16:00:00,1,16,0,4096.0,-5.591,3601.0,3226.0
2017-01-02 17:00:00,1,17,0,4067.0,-5.496,3494.0,3232.0
2017-01-02 18:00:00,1,18,0,4018.0,-5.325,3374.0,3195.0
2017-01-02 19:00:00,1,19,0,3903.0,-5.143,3303.0,3149.0
2017-01-02 20:00:00,1,20,0,3752.0,-5.062,3223.0,3069.0
2017-01-02 21:00:00,1,21,0,3587.0,-5.113,3162.0,2983.0
2017-01-02 22:00:00,1,22,0,3441.0,-5.2,3115.0,2828.0
2017-01-02 23:00:00,1,23,0,3326.0,-5.213,3038.0,2758.0
2017-01-03 00:00:00,1,0,1,3216.0,-5.18,2961.0,2656.0
2017-01-03 01:00:00,1,1,1,3145.0,-5.193,2871.0,2594.0
2017-01-03 02:00:00,1,2,1,3133.0,-5.389,2834.0,2581.0
2017-01-03 03:00:00,1,3,1,3221.0,-5.703,2832.0,2635.0
2017-01-03 04:00:00,1,4,1,3348.0,-6.269,2840.0,2757.0
2017-01-03 05:00:00,1,5,1,3634.0,-6.96,2854.0,2967.0
2017-01-03 06:00:00,1,6,1,3775.0,-7.613,2867.0,3078.0
2017-01-03 07:00:00,1,7,1,3949.0,-6.78,2932.0,3232.0
2017-01-03 08:00:00,1,8,1,4039.0,-4.782,3135.0,3392.0
2017-01-03 09:00:00,1,9,1,4049.0,-2.969,3200.0,3459.0
2017-01-03 10:00:00,1,10,1,4108.0,-1.856,3284.0,3514.0
2017-01-03 11:00:00,1,11,1,4077.0,-1.327,3254.0,3456.0
2017-01-03 12:00:00,1,12,1,4085.0,-1.111,3218.0,3514.0
2017-01-03 13:00:00,1,13,1,4015.0,-1.312,3155.0,3483.0
2017-01-03 14:00:00,1,14,1,4004.0,-2.351,3181.0,3468.0
2017-01-03 15:00:00,1,15,1,4118.0,-3.32,3370.0,3535.0
2017-01-03 16:00:00,1,16,1,4138.0,-3.76,3430.0,3528.0
2017-01-03 17:00:00,1,17,1,4074.0,-3.987,3439.0,3478.0
2017-01-03 18:00:00,1,18,1,4042.0,-3.987,3389.0,3432.0
2017-01-03 19:00:00,1,19,1,3951.0,-4.092,3411.0,3382.0
2017-01-03 20:00:00,1,20,1,3759.0,-4.372,3313.0,3241.0
2017-01-03 21:00:00,1,21,1,3594.0,-4.388,3173.0,3121.0
2017-01-03 22:00:00,1,22,1,3434.0,-4.27,3026.0,2998.0667
2017-01-03 23:00:00,1,23,1,3330.0,-4.23,3003.0,2875.1333
2017-01-04 00:00:00,1,0,2,3230.0,-4.221,2914.0,2752.2
2017-01-04 01:00:00,1,1,2,3175.0,-4.193,2856.0,2698.0
2017-01-04 02:00:00,1,2,2,3160.0,-4.086,2859.0,2687.0
2017-01-04 03:00:00,1,3,2,3238.0,-3.836,2952.0,2716.0
2017-01-04 04:00:00,1,4,2,3385.0,-3.516,3129.0,2840.0
2017-01-04 05:00:00,1,5,2,3658.0,-3.237,3460.0,3041.0
2017-01-04 06:00:00,1,6,2,3835.0,-3.011,3636.0,3141.0
2017-01-04 07:00:00,1,7,2,3977.0,-2.719,3823.0,3255.0
2017-01-04 08:00:00,1,8,2,4098.0,-2.31,3961.0,3347.0
2017-01-04 09:00:00,1,9,2,4105.0,-1.84,3988.0,3408.0
2017-01-04 10:00:00,1,10,2,4167.0,-1.316,4034.0,3506.0
2017-01-04 11:00:00,1,11,2,4092.0,-0.765,4017.0,3447.0
2017-01-04 12:00:00,1,12,2,4110.0,-0.382,4070.0,3477.0
2017-01-04 13:00:00,1,13,2,4068.0,-0.345,4022.0,3469.0
2017-01-04 14:00:00,1,14,2,4017.0,-0.988,4005.0,3435.0
2017-01-04 15:00:00,1,15,2,4104.0,-1.681,4084.0,3533.0
2017-01-04 16:00:00,1,16,2,4133.0,-1.894,4096.0,3588.0
2017-01-04 17:00:00,1,17,2,4104.0,-1.934,4067.0,3518.0
2017-01-04 18:00:00,1,18,2,4034.0,-1.647,4018.0,3489.0
2017-01-04 19:00:00,1,19,2,3960.0,-1.483,3903.0,3444.0
2017-01-04 20:00:00,1,20,2,3783.0,-1.626,3752.0,3312.0
2017-01-04 21:00:00,1,21,2,3614.0,-1.86,3587.0,3174.0
2017-01-04 22:00:00,1,22,2,3464.0,-2.291,3441.0,3017.0
2017-01-04 23:00:00,1,23,2,3357.0,-2.873,3326.0,2907.0
2017-01-05 00:00:00,1,0,3,3220.0,-3.371,3216.0,2830.0
2017-01-05 01:00:00,1,1,3,3148.0,-3.764,3145.0,2753.0
2017-01-05 02:00:00,1,2,3,3153.0,-4.078,3133.0,2727.0
2017-01-05 03:00:00,1,3,3,3208.0,-4.296,3221.0,2781.0
2017-01-05 04:00:00,1,4,3,3359.0,-4.453,3348.0,2895.0
2017-01-05 05:00:00,1,5,3,3651.0,-4.641,3634.0,3068.0
2017-01-05 06:00:00,1,6,3,3766.0,-4.872,3775.0,3143.0
2017-01-05 07:00:00,1,7,3,3866.0,-4.458,3949.0,3275.0
2017-01-05 08:00:00,1,8,3,3967.0,-3.695,4039.0,3343.0
2017-01-05 09:00:00,1,9,3,3991.0,-3.516,4049.0,3333.0
2017-01-05 10:00:00,1,10,3,4057.0,-3.827,4108.0,3362.0
2017-01-05 11:00:00,1,11,3,4044.0,-4.296,4077.0,3329.0
2017-01-05 12:00:00,1,12,3,4077.0,-4.88,4085.0,3381.0
2017-01-05 13:00:00,1,13,3,4042.0,-5.594,4015.0,3420.0
2017-01-05 14:00:00,1,14,3,4028.0,-6.361,4004.0,3429.0
2017-01-05 15:00:00,1,15,3,4150.9,-6.949,4118.0,3546.0
2017-01-05 16:00:00,1,16,3,4201.0,-7.332,4138.0,3604.0
2017-01-05 17:00:00,1,17,3,4133.0,-7.706,4074.0,3565.0
2017-01-05 18:00:00,1,18,3,4080.0,-8.179,4042.0,3509.0
2017-01-05 19:00:00,1,19,3,4013.0,-8.695,3951.0,3478.0
2017-01-05 20:00:00,1,20,3,3837.0,-9.197,3759.0,3347.0
2017-01-05 21:00:00,1,21,3,3685.0,-9.763,3594.0,3199.0
2017-01-05 22:00:00,1,22,3,3527.0,-10.413,3434.0,3074.0
2017-01-05 23:00:00,1,23,3,3438.0,-10.978,3330.0,2986.0
2017-01-06 00:00:00,1,0,4,3324.0,-11.441,3230.0,2875.0
2017-01-06 01:00:00,1,1,4,3268.0,-11.903,3175.0,2818.0
2017-01-06 02:00:00,1,2,4,3262.0,-12.311,3160.0,2797.0
2017-01-06 03:00:00,1,3,4,3279.0,-12.615,3238.0,2865.0
2017-01-06 04:00:00,1,4,4,3307.0,-12.789,3385.0,2961.0
2017-01-06 05:00:00,1,5,4,3386.0,-12.873,3658.0,3154.0
2017-01-06 06:00:00,1,6,4,3440.0,-13.005,3835.0,3245.0
2017-01-06 07:00:00,1,7,4,3581.0,-12.601,3977.0,3345.0
2017-01-06 08:00:00,1,8,4,3733.0,-11.815,4098.0,3427.0
2017-01-06 09:00:00,1,9,4,3841.0,-11.255,4105.0,3424.0
2017-01-06 10:00:00,1,10,4,3914.0,-10.86,4167.0,3436.0
2017-01-06 11:00:00,1,11,4,3825.0,-10.729,4092.0,3422.0
2017-01-06 12:00:00,1,12,4,3817.0,-10.861,4110.0,3490.0
2017-01-06 13:00:00,1,13,4,3797.0,-11.313,4068.0,3491.0
2017-01-06 14:00:00,1,14,4,3772.0,-12.112,4017.0,3484.0
2017-01-06 15:00:00,1,15,4,3886.0,-13.078,4104.0,3590.0
2017-01-06 16:00:00,1,16,4,3959.0,-13.814,4133.0,3662.0
2017-01-06 17:00:00,1,17,4,3935.0,-14.387,4104.0,3607.0
2017-01-06 18:00:00,1,18,4,3884.0,-14.923,4034.0,3564.0
2017-01-06 19:00:00,1,19,4,3847.0,-15.428,3960.0,3527.0
2017-01-06 20:00:00,1,20,4,3729.0,-15.931,3783.0,3395.0
2017-01-06 21:00:00,1,21,4,3617.0,-16.356,3614.0,3268.0
2017-01-06 22:00:00,1,22,4,3497.0,-16.716,3464.0,3121.0
2017-01-06 23:00:00,1,23,4,3362.0,-17.099,3357.0,3009.0
2017-01-07 00:00:00,1,0,5,3229.0,-17.492,3220.0,2871.0
