ept,mw,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-01 00:00:00,9088.189,64,1,0,1,,
2019-01-01 01:00:00,8684.294,66,1,1,1,,
2019-01-01 02:00:00,8323.87,66.9,1,2,1,,
2019-01-01 03:00:00,8164.973,66.9,1,3,1,,
2019-01-01 04:00:00,8126.982,66,1,4,1,,
2019-01-01 05:00:00,8273.913,66.9,1,5,1,,
2019-01-01 06:00:00,8469.216,68,1,6,1,,
2019-01-01 07:00:00,8619.65,66.9,1,7,1,,
2019-01-01 08:00:00,8758.063,66.9,1,8,1,,
2019-01-01 09:00:00,9161.13,66,1,9,1,,
2019-01-01 10:00:00,9452.693,66,1,10,1,,
2019-01-01 11:00:00,9583.262,64.9,1,11,1,,
2019-01-01 12:00:00,9517.417,66,1,12,1,,
2019-01-01 13:00:00,9568.256,66,1,13,1,,
2019-01-01 14:00:00,9573.961,66,1,14,1,,
2019-01-01 15:00:00,9662.869,64.9,1,15,1,,
2019-01-01 16:00:00,10009.888,64,1,16,1,,
2019-01-01 17:00:00,10911.42,61,1,17,1,,
2019-01-01 18:00:00,11000.56,57,1,18,1,,
2019-01-01 19:00:00,10891.08,55,1,19,1,,
2019-01-01 20:00:00,10718.838,52,1,20,1,,
2019-01-01 21:00:00,10350.834,51.1,1,21,1,,
2019-01-01 22:00:00,9853.355,50,1,22,1,,
2019-01-01 23:00:00,9366.895,46.9,1,23,1,,
2019-01-02 00:00:00,9080.596,48,1,0,2,,
2019-01-02 01:00:00,8919.886,46.9,1,1,2,,
2019-01-02 02:00:00,8997.022,44.1,1,2,2,,
2019-01-02 03:00:00,9186.951,43,1,3,2,,
2019-01-02 04:00:00,9565.748,43,1,4,2,,
2019-01-02 05:00:00,10417.153,41,1,5,2,,
2019-01-02 06:00:00,11463.406,39.9,1,6,2,,
2019-01-02 07:00:00,12021.22,41,1,7,2,,
2019-01-02 08:00:00,12066.87,41,1,8,2,,
2019-01-02 09:00:00,11989.572,44.1,1,9,2,,
2019-01-02 10:00:00,11906.07,45,1,10,2,,
2019-01-02 11:00:00,11838.321,46,1,11,2,,
2019-01-02 12:00:00,11728.029,46.9,1,12,2,,
2019-01-02 13:00:00,11677.557,46.9,1,13,2,,
2019-01-02 14:00:00,11578.303,48,1,14,2,,
2019-01-02 15:00:00,11713.269,48.9,1,15,2,,
2019-01-02 16:00:00,12131.809,48.9,1,16,2,,
2019-01-02 17:00:00,12839.897,46.9,1,17,2,,
2019-01-02 18:00:00,12823.815,46.9,1,18,2,,
2019-01-02 19:00:00,12653.409,46.9,1,19,2,,
2019-01-02 20:00:00,12338.827,46,1,20,2,,
2019-01-02 21:00:00,11725.814,46,1,21,2,,
2019-01-02 22:00:00,11022.148,45,1,22,2,,
2019-01-02 23:00:00,10378.031,45,1,23,2,,
2019-01-03 00:00:00,9900.216,44.1,1,0,3,9088.189,
2019-01-03 01:00:00,9678.226,44.1,1,1,3,8684.294,
2019-01-03 02:00:00,9570.797,44.1,1,2,3,8323.87,
2019-01-03 03:00:00,9581.105,44.1,1,3,3,8164.973,
2019-01-03 04:00:00,9898.245,45,1,4,3,8126.982,
2019-01-03 05:00:00,10575.1,46,1,5,3,8273.913,
2019-01-03 06:00:00,11509.539,46.9,1,6,3,8469.216,
2019-01-03 07:00:00,11973.431,48,1,7,3,8619.65,
2019-01-03 08:00:00,11853.222,48,1,8,3,8758.063,
2019-01-03 09:00:00,11764.915,48.9,1,9,3,9161.13,
2019-01-03 10:00:00,11634.389,48.9,1,10,3,9452.693,
