date,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,-13.9,1,0,3,1057.1,1069.8
2015-01-08 01:00:00,-14.2,1,1,3,1026.3,1020.4
2015-01-08 02:00:00,-14.8,1,2,3,1009.9,982.8
2015-01-08 03:00:00,-15.6,1,3,3,1004.1,962.1
2015-01-08 04:00:00,-16.0,1,4,3,1023.2,957.5
2015-01-08 05:00:00,-17.0,1,5,3,1085.7,972.0
2015-01-08 06:00:00,-17.8,1,6,3,1195.1,998.9
2015-01-08 07:00:00,-18.1,1,7,3,1272.9,1006.3
2015-01-08 08:00:00,-19.0,1,8,3,1235.96598,1023.250446
2015-01-08 09:00:00,-19.7,1,9,3,1200.621236,989.8608303
2015-01-08 10:00:00,-20.4,1,10,3,1185.41427,984.371008
2015-01-08 11:00:00,-20.8,1,11,3,1172.512401,987.7096401
2015-01-08 12:00:00,-20.9,1,12,3,1162.069767,1034.57813
2015-01-08 13:00:00,-18.0,1,13,3,1163.981577,978.401078
2015-01-08 14:00:00,-13.5,1,14,3,1177.575239,1049.932699
2015-01-08 15:00:00,-11.6,1,15,3,1238.154896,1088.015176
2015-01-08 16:00:00,-9.7,1,16,3,1362.8,1194.4
2015-01-08 17:00:00,-8.4,1,17,3,1484.2,1315.5
2015-01-08 18:00:00,-7.4,1,18,3,1509.0,1315.7
2015-01-08 19:00:00,-7.1,1,19,3,1490.6,1290.8
2015-01-08 20:00:00,-7.4,1,20,3,1456.7,1258.5
2015-01-08 21:00:00,-8.5,1,21,3,1382.5,1206.6
2015-01-08 22:00:00,-9.2,1,22,3,1269.9,1126.0
2015-01-08 23:00:00,-9.3,1,23,3,1166.4,1034.8
2015-01-09 00:00:00,-9.4,1,0,4,1097.3,964.4
2015-01-09 01:00:00,-9.6,1,1,4,1061.5,917.7
2015-01-09 02:00:00,-10.4,1,2,4,1044.3,898.9
2015-01-09 03:00:00,-10.9,1,3,4,1030.2,891.6
2015-01-09 04:00:00,-10.3,1,4,4,1035.4,904.0
2015-01-09 05:00:00,-10.1,1,5,4,1073.7,943.9
2015-01-09 06:00:00,-10.0,1,6,4,1198.2,1009.4
2015-01-09 07:00:00,-9.3,1,7,4,1267.1,1073.3
2015-01-09 08:00:00,-8.1,1,8,4,1221.920907,1039.012398
2015-01-09 09:00:00,-8.2,1,9,4,1180.816656,1029.637413
2015-01-09 10:00:00,-8.4,1,10,4,1146.211897,1007.980428
2015-01-09 11:00:00,-8.3,1,11,4,1132.028326,995.1019206
2015-01-09 12:00:00,-8.2,1,12,4,1127.906525,993.8952289
2015-01-09 13:00:00,-7.9,1,13,4,1141.854811,1052.131857
2015-01-09 14:00:00,-7.3,1,14,4,1183.985965,1061.835781
2015-01-09 15:00:00,-6.2,1,15,4,1253.619518,1079.820188
2015-01-09 16:00:00,-4.3,1,16,4,1398.8,1210.7
2015-01-09 17:00:00,-3.3,1,17,4,1533.5,1312.8
2015-01-09 18:00:00,-2.3,1,18,4,1556.3,1315.5
2015-01-09 19:00:00,-2.4,1,19,4,1539.3,1291.8
2015-01-09 20:00:00,-2.7,1,20,4,1503.5,1262.2
2015-01-09 21:00:00,-3.6,1,21,4,1438.2,1215.5
2015-01-09 22:00:00,-4.1,1,22,4,1331.4,1135.3
2015-01-09 23:00:00,-4.3,1,23,4,1240.2,1058.4
2015-01-10 00:00:00,-5.1,1,0,5,1177.7,985.1
2015-01-10 01:00:00,-6.0,1,1,5,1140.2,941.5
2015-01-10 02:00:00,-6.9,1,2,5,1122.8,919.0
2015-01-10 03:00:00,-7.7,1,3,5,1119.9,910.8
2015-01-10 04:00:00,-8.2,1,4,5,1138.0,913.6
2015-01-10 05:00:00,-8.5,1,5,5,1202.5,932.5
2015-01-10 06:00:00,-9.1,1,6,5,1301.6,977.2
2015-01-10 07:00:00,-9.5,1,7,5,1357.4,1015.9
2015-01-10 08:00:00,-10.0,1,8,5,1322.401668,981.3127515
2015-01-10 09:00:00,-10.4,1,9,5,1248.300515,977.3475469
2015-01-10 10:00:00,-10.6,1,10,5,1218.530397,977.376148
2015-01-10 11:00:00,-11.1,1,11,5,1195.84626,984.6457212
2015-01-10 12:00:00,-11.9,1,12,5,1174.882036,1004.891969
2015-01-10 13:00:00,-11.1,1,13,5,1154.680028,1038.392732
2015-01-10 14:00:00,-10.3,1,14,5,1176.42621,1080.676777
2015-01-10 15:00:00,-9.5,1,15,5,1244.41697,1144.393971
2015-01-10 16:00:00,-8.6,1,16,5,1382.213876,1276.4
2015-01-10 17:00:00,-7.9,1,17,5,1499.8,1351.7
2015-01-10 18:00:00,-7.2,1,18,5,1515.3,1340.2
2015-01-10 19:00:00,-6.7,1,19,5,1499.4,1305.5
2015-01-10 20:00:00,-6.5,1,20,5,1464.6,1260.1
2015-01-10 21:00:00,-7.2,1,21,5,1397.3,1190.7
2015-01-10 22:00:00,-8.2,1,22,5,1284.2,1109.6
2015-01-10 23:00:00,-9.4,1,23,5,1181.1,1025.4
2015-01-11 00:00:00,-10.3,1,0,6,1121.0,945.6
2015-01-11 01:00:00,-10.1,1,1,6,1097.1,900.5
2015-01-11 02:00:00,-10.1,1,2,6,1070.0,873.2
2015-01-11 03:00:00,-10.0,1,3,6,1064.7,856.8
2015-01-11 04:00:00,-10.1,1,4,6,1080.9,857.0
2015-01-11 05:00:00,-10.5,1,5,6,1135.1,868.9
2015-01-11 06:00:00,-11.2,1,6,6,1227.5,901.4
2015-01-11 07:00:00,-11.2,1,7,6,1295.2,942.2
2015-01-11 08:00:00,-12.2,1,8,6,1307.669376,990.2754174
2015-01-11 09:00:00,-12.5,1,9,6,1283.240928,934.2312215
2015-01-11 10:00:00,-11.6,1,10,6,1258.054847,949.5397222
2015-01-11 11:00:00,-10.6,1,11,6,1230.178287,969.8073162
2015-01-11 12:00:00,-10.0,1,12,6,1263.154474,1015.584945
2015-01-11 13:00:00,-9.2,1,13,6,1293.410239,1036.0485
2015-01-11 14:00:00,-8.2,1,14,6,1273.570238,1026.159624
2015-01-11 15:00:00,-6.8,1,15,6,1263.924205,1124.333051
2015-01-11 16:00:00,-5.3,1,16,6,1322.94108,1224.0
2015-01-11 17:00:00,-4.2,1,17,6,1426.8,1297.4
2015-01-11 18:00:00,-3.8,1,18,6,1427.3,1286.9
2015-01-11 19:00:00,-3.4,1,19,6,1402.4,1247.5
2015-01-11 20:00:00,-3.1,1,20,6,1368.6,1196.7
2015-01-11 21:00:00,-2.9,1,21,6,1316.4,1112.8
2015-01-11 22:00:00,-2.9,1,22,6,1241.2,1022.6
2015-01-11 23:00:00,-2.8,1,23,6,1163.1,935.5
2015-01-12 00:00:00,-2.9,1,0,0,1093.9,868.0
2015-01-12 01:00:00,-3.0,1,1,0,1057.3,843.5
2015-01-12 02:00:00,-2.0,1,2,0,1040.5,830.2
2015-01-12 03:00:00,-1.3,1,3,0,1035.9,826.8
2015-01-12 04:00:00,-0.7,1,4,0,1041.4,848.3
2015-01-12 05:00:00,-0.6,1,5,0,1073.0,924.7
2015-01-12 06:00:00,-0.5,1,6,0,1123.1,1050.3
2015-01-12 07:00:00,-1.9,1,7,0,1170.6,1117.3
2015-01-12 08:00:00,-2.5,1,8,0,1154.957805,1128.832616
2015-01-12 09:00:00,-2.6,1,9,0,1130.860109,1109.827947
2015-01-12 10:00:00,-2.2,1,10,0,1108.212382,1042.363008
2015-01-12 11:00:00,-1.9,1,11,0,1085.485103,1094.098174
2015-01-12 12:00:00,-1.4,1,12,0,1073.574949,1009.087715
2015-01-12 13:00:00,-0.8,1,13,0,1107.168572,1038.52568
2015-01-12 14:00:00,-0.2,1,14,0,1090.463377,1047.762018
2015-01-12 15:00:00,0.2,1,15,0,1152.068728,1129.402855
2015-01-12 16:00:00,0.2,1,16,0,1278.141054,1280.6
2015-01-12 17:00:00,0.2,1,17,0,1413.0,1416.7
2015-01-12 18:00:00,0.6,1,18,0,1430.2,1441.3
2015-01-12 19:00:00,0.7,1,19,0,1405.1,1424.8
2015-01-12 20:00:00,0.7,1,20,0,1380.3,1396.1
2015-01-12 21:00:00,0.4,1,21,0,1333.1,1324.3
2015-01-12 22:00:00,0.3,1,22,0,1264.7,1218.6
2015-01-12 23:00:00,0.2,1,23,0,1190.1,1117.8
2015-01-13 00:00:00,0.2,1,0,1,1120.2,1057.1
2015-01-13 01:00:00,0.5,1,1,1,1078.7,1026.3
2015-01-13 02:00:00,0.8,1,2,1,1056.3,1009.9
2015-01-13 03:00:00,0.5,1,3,1,1045.5,1004.1
2015-01-13 04:00:00,0.0,1,4,1,1047.4,1023.2
2015-01-13 05:00:00,-0.2,1,5,1,1062.3,1085.7
2015-01-13 06:00:00,-0.4,1,6,1,1098.6,1195.1
2015-01-13 07:00:00,-0.9,1,7,1,1132.0,1272.9
2015-01-13 08:00:00,-2.2,1,8,1,1175.994796,1235.96598
2015-01-13 09:00:00,-4.2,1,9,1,1185.494121,1200.621236
2015-01-13 10:00:00,-6.0,1,10,1,1240.16732,1185.41427
2015-01-13 11:00:00,-7.7,1,11,1,1240.309835,1172.512401
2015-01-13 12:00:00,-9.7,1,12,1,1278.807999,1162.069767
2015-01-13 13:00:00,-11.2,1,13,1,1270.935376,1163.981577
2015-01-13 14:00:00,-11.5,1,14,1,1263.034947,1177.575239
2015-01-13 15:00:00,-11.4,1,15,1,1240.455183,1238.154896
2015-01-13 16:00:00,-11.2,1,16,1,1310.320023,1362.8
2015-01-13 17:00:00,-11.0,1,17,1,1409.8,1484.2
2015-01-13 18:00:00,-10.6,1,18,1,1405.1,1509.0
2015-01-13 19:00:00,-10.8,1,19,1,1372.0,1490.6
2015-01-13 20:00:00,-10.9,1,20,1,1319.6,1456.7
2015-01-13 21:00:00,-11.7,1,21,1,1247.3,1382.5
2015-01-13 22:00:00,-12.8,1,22,1,1152.3,1269.9
2015-01-13 23:00:00,-13.7,1,23,1,1063.4,1166.4
2015-01-14 00:00:00,-14.2,1,0,2,994.3,1097.3
2015-01-14 01:00:00,-14.7,1,1,2,952.9,1061.5
2015-01-14 02:00:00,-15.2,1,2,2,936.1,1044.3
2015-01-14 03:00:00,-16.1,1,3,2,941.9,1030.2
2015-01-14 04:00:00,-17.0,1,4,2,963.8,1035.4
2015-01-14 05:00:00,-17.9,1,5,2,1015.1,1073.7
2015-01-14 06:00:00,-18.7,1,6,2,1093.2,1198.2
2015-01-14 07:00:00,-19.1,1,7,2,1170.9,1267.1
2015-01-14 08:00:00,-19.3,1,8,2,1202.578169,1221.920907
2015-01-14 09:00:00,-19.4,1,9,2,1205.658912,1180.816656
2015-01-14 10:00:00,-19.4,1,10,2,1270.290295,1146.211897
2015-01-14 11:00:00,-19.2,1,11,2,1237.011871,1132.028326
2015-01-14 12:00:00,-18.4,1,12,2,1264.376721,1127.906525
2015-01-14 13:00:00,-16.8,1,13,2,1212.634343,1141.854811
2015-01-14 14:00:00,-15.3,1,14,2,1263.264834,1183.985965
2015-01-14 15:00:00,-13.0,1,15,2,1278.801995,1253.619518
2015-01-14 16:00:00,-10.2,1,16,2,1346.252217,1398.8
