utc,month,hour,dayofweek,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,-4.64,6394.0,5535.0
2017-01-01 01:00:00,1,1,6,-4.691,6246.0,5352.0
2017-01-01 02:00:00,1,2,6,-4.762,6107.0,5181.0
2017-01-01 03:00:00,1,3,6,-4.806,6187.0,5222.0
2017-01-01 04:00:00,1,4,6,-4.848,6636.0,5388.0
2017-01-01 05:00:00,1,5,6,-4.976,7159.0,5555.0
2017-01-01 06:00:00,1,6,6,-5.166,7865.0,6089.0
2017-01-01 07:00:00,1,7,6,-4.771,8256.0,6507.0
2017-01-01 08:00:00,1,8,6,-3.013,8412.0,6988.0
2017-01-01 09:00:00,1,9,6,-0.914,8345.0,7330.0
2017-01-01 10:00:00,1,10,6,0.554,8280.0,7460.0
2017-01-01 11:00:00,1,11,6,1.653,8081.0,7166.0
2017-01-01 12:00:00,1,12,6,2.039,7908.0,6817.0
2017-01-01 13:00:00,1,13,6,1.456,7767.0,6635.0
2017-01-01 14:00:00,1,14,6,-0.516,7832.0,6703.0
2017-01-01 15:00:00,1,15,6,-2.462,8329.0,6946.0
2017-01-01 16:00:00,1,16,6,-3.35,8815.0,7212.0
2017-01-01 17:00:00,1,17,6,-3.887,8717.0,7212.0
2017-01-01 18:00:00,1,18,6,-4.251,8245.0,6964.0
2017-01-01 19:00:00,1,19,6,-4.507,7757.0,6690.0
2017-01-01 20:00:00,1,20,6,-4.846,7223.0,6366.0
2017-01-01 21:00:00,1,21,6,-5.195,7235.0,6480.0
2017-01-01 22:00:00,1,22,6,-5.427,6806.0,6101.0
2017-01-01 23:00:00,1,23,6,-5.674,6460.0,5767.0
2017-01-02 00:00:00,1,0,0,-5.936,6190.0,5536.0
2017-01-02 01:00:00,1,1,0,-6.094,6029.0,5370.0
2017-01-02 02:00:00,1,2,0,-6.032,5866.0,5164.0
2017-01-02 03:00:00,1,3,0,-5.895,5855.0,5191.0
2017-01-02 04:00:00,1,4,0,-5.824,6089.0,5438.0
2017-01-02 05:00:00,1,5,0,-5.877,6329.0,5640.0
2017-01-02 06:00:00,1,6,0,-5.956,6978.0,6185.0
2017-01-02 07:00:00,1,7,0,-5.251,7371.0,6544.0
2017-01-02 08:00:00,1,8,0,-3.108,7583.0,6904.0
2017-01-02 09:00:00,1,9,0,-0.996,7615.0,7099.0
2017-01-02 10:00:00,1,10,0,0.501,7486.0,7198.0
2017-01-02 11:00:00,1,11,0,1.351,7382.0,6937.0
2017-01-02 12:00:00,1,12,0,1.474,7131.0,6667.0
2017-01-02 13:00:00,1,13,0,0.831,7050.0,6598.0
2017-01-02 14:00:00,1,14,0,-0.67,7067.0,6623.0
2017-01-02 15:00:00,1,15,0,-1.862,7523.0,7016.0
2017-01-02 16:00:00,1,16,0,-2.106,8024.0,7333.0
2017-01-02 17:00:00,1,17,0,-2.251,7942.0,7373.0
2017-01-02 18:00:00,1,18,0,-2.364,7436.0,7067.0
2017-01-02 19:00:00,1,19,0,-2.566,7031.0,6746.0
2017-01-02 20:00:00,1,20,0,-2.814,6711.0,6418.0
2017-01-02 21:00:00,1,21,0,-3.046,6963.0,6522.0
2017-01-02 22:00:00,1,22,0,-3.32,6728.0,6109.0
2017-01-02 23:00:00,1,23,0,-3.527,6572.0,5804.0
2017-01-03 00:00:00,1,0,1,-3.681,6315.0,5571.0
2017-01-03 01:00:00,1,1,1,-3.968,6102.0,5443.0
2017-01-03 02:00:00,1,2,1,-4.33,5830.0,5289.0
