ept,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-01 00:00:00,64.0,1,0,1,,
2019-01-01 01:00:00,66.0,1,1,1,,
2019-01-01 02:00:00,66.9,1,2,1,,
2019-01-01 03:00:00,66.9,1,3,1,,
2019-01-01 04:00:00,66.0,1,4,1,,
2019-01-01 05:00:00,66.9,1,5,1,,
2019-01-01 06:00:00,68.0,1,6,1,,
2019-01-01 07:00:00,66.9,1,7,1,,
2019-01-01 08:00:00,66.9,1,8,1,,
2019-01-01 09:00:00,66.0,1,9,1,,
2019-01-01 10:00:00,66.0,1,10,1,,
2019-01-01 11:00:00,64.9,1,11,1,,
2019-01-01 12:00:00,66.0,1,12,1,,
2019-01-01 13:00:00,66.0,1,13,1,,
2019-01-01 14:00:00,66.0,1,14,1,,
2019-01-01 15:00:00,64.9,1,15,1,,
2019-01-01 16:00:00,64.0,1,16,1,,
2019-01-01 17:00:00,61.0,1,17,1,,
2019-01-01 18:00:00,57.0,1,18,1,,
2019-01-01 19:00:00,55.0,1,19,1,,
2019-01-01 20:00:00,52.0,1,20,1,,
2019-01-01 21:00:00,51.1,1,21,1,,
2019-01-01 22:00:00,50.0,1,22,1,,
2019-01-01 23:00:00,46.9,1,23,1,,
2019-01-02 00:00:00,48.0,1,0,2,,
2019-01-02 01:00:00,46.9,1,1,2,,
2019-01-02 02:00:00,44.1,1,2,2,,
2019-01-02 03:00:00,43.0,1,3,2,,
2019-01-02 04:00:00,43.0,1,4,2,,
2019-01-02 05:00:00,41.0,1,5,2,,
2019-01-02 06:00:00,39.9,1,6,2,,
2019-01-02 07:00:00,41.0,1,7,2,,
2019-01-02 08:00:00,41.0,1,8,2,,
2019-01-02 09:00:00,44.1,1,9,2,,
2019-01-02 10:00:00,45.0,1,10,2,,
2019-01-02 11:00:00,46.0,1,11,2,,
2019-01-02 12:00:00,46.9,1,12,2,,
2019-01-02 13:00:00,46.9,1,13,2,,
2019-01-02 14:00:00,48.0,1,14,2,,
2019-01-02 15:00:00,48.9,1,15,2,,
2019-01-02 16:00:00,48.9,1,16,2,,
2019-01-02 17:00:00,46.9,1,17,2,,
2019-01-02 18:00:00,46.9,1,18,2,,
2019-01-02 19:00:00,46.9,1,19,2,,
2019-01-02 20:00:00,46.0,1,20,2,,
2019-01-02 21:00:00,46.0,1,21,2,,
2019-01-02 22:00:00,45.0,1,22,2,,
2019-01-02 23:00:00,45.0,1,23,2,,
2019-01-03 00:00:00,44.1,1,0,3,9088.189,
2019-01-03 01:00:00,44.1,1,1,3,8684.294,
2019-01-03 02:00:00,44.1,1,2,3,8323.87,
2019-01-03 03:00:00,44.1,1,3,3,8164.973,
2019-01-03 04:00:00,45.0,1,4,3,8126.982,
2019-01-03 05:00:00,46.0,1,5,3,8273.913,
2019-01-03 06:00:00,46.9,1,6,3,8469.216,
2019-01-03 07:00:00,48.0,1,7,3,8619.65,
2019-01-03 08:00:00,48.0,1,8,3,8758.063,
2019-01-03 09:00:00,48.9,1,9,3,9161.13,
2019-01-03 10:00:00,48.9,1,10,3,9452.693,
2019-01-03 11:00:00,51.1,1,11,3,9583.262,
2019-01-03 12:00:00,53.1,1,12,3,9517.417,
2019-01-03 13:00:00,51.1,1,13,3,9568.256,
2019-01-03 14:00:00,51.1,1,14,3,9573.961,
2019-01-03 15:00:00,51.1,1,15,3,9662.869,
2019-01-03 16:00:00,50.0,1,16,3,10009.888,
2019-01-03 17:00:00,48.9,1,17,3,10911.42,
2019-01-03 18:00:00,46.9,1,18,3,11000.56,
2019-01-03 19:00:00,45.0,1,19,3,10891.08,
2019-01-03 20:00:00,43.0,1,20,3,10718.838,
2019-01-03 21:00:00,41.0,1,21,3,10350.834,
2019-01-03 22:00:00,39.0,1,22,3,9853.355,
2019-01-03 23:00:00,39.9,1,23,3,9366.895,
2019-01-04 00:00:00,39.9,1,0,4,9080.596,
2019-01-04 01:00:00,43.0,1,1,4,8919.886,
2019-01-04 02:00:00,42.1,1,2,4,8997.022,
2019-01-04 03:00:00,41.0,1,3,4,9186.951,
2019-01-04 04:00:00,41.0,1,4,4,9565.748,
2019-01-04 05:00:00,41.0,1,5,4,10417.153,
2019-01-04 06:00:00,41.0,1,6,4,11463.406,
2019-01-04 07:00:00,41.0,1,7,4,12021.22,
2019-01-04 08:00:00,42.1,1,8,4,12066.87,
2019-01-04 09:00:00,43.0,1,9,4,11989.572,
2019-01-04 10:00:00,46.0,1,10,4,11906.07,
2019-01-04 11:00:00,46.9,1,11,4,11838.321,
2019-01-04 12:00:00,48.0,1,12,4,11728.029,
2019-01-04 13:00:00,48.0,1,13,4,11677.557,
2019-01-04 14:00:00,48.0,1,14,4,11578.303,
2019-01-04 15:00:00,48.9,1,15,4,11713.269,
2019-01-04 16:00:00,48.9,1,16,4,12131.809,
2019-01-04 17:00:00,48.9,1,17,4,12839.897,
2019-01-04 18:00:00,48.0,1,18,4,12823.815,
2019-01-04 19:00:00,48.0,1,19,4,12653.409,
2019-01-04 20:00:00,50.0,1,20,4,12338.827,
2019-01-04 21:00:00,48.9,1,21,4,11725.814,
2019-01-04 22:00:00,48.9,1,22,4,11022.148,
2019-01-04 23:00:00,48.0,1,23,4,10378.031,
2019-01-05 00:00:00,48.0,1,0,5,9900.216,
2019-01-05 01:00:00,48.0,1,1,5,9678.226,
2019-01-05 02:00:00,48.0,1,2,5,9570.797,
2019-01-05 03:00:00,48.9,1,3,5,9581.105,
2019-01-05 04:00:00,48.0,1,4,5,9898.245,
2019-01-05 05:00:00,48.0,1,5,5,10575.1,
2019-01-05 06:00:00,48.9,1,6,5,11509.539,
2019-01-05 07:00:00,48.9,1,7,5,11973.431,
2019-01-05 08:00:00,48.0,1,8,5,11853.222,
2019-01-05 09:00:00,48.0,1,9,5,11764.915,
2019-01-05 10:00:00,50.0,1,10,5,11634.389,
2019-01-05 11:00:00,52.0,1,11,5,11468.829,
2019-01-05 12:00:00,55.9,1,12,5,11314.055,
2019-01-05 13:00:00,57.0,1,13,5,11239.054,
2019-01-05 14:00:00,57.0,1,14,5,11153.515,
2019-01-05 15:00:00,57.9,1,15,5,11231.103,
2019-01-05 16:00:00,57.9,1,16,5,11604.905,
2019-01-05 17:00:00,57.0,1,17,5,12536.555,
2019-01-05 18:00:00,54.0,1,18,5,12677.334,
2019-01-05 19:00:00,51.1,1,19,5,12637.885,
2019-01-05 20:00:00,52.0,1,20,5,12488.265,
2019-01-05 21:00:00,50.0,1,21,5,12124.96,
2019-01-05 22:00:00,48.9,1,22,5,11530.56,
2019-01-05 23:00:00,46.9,1,23,5,10999.174,
2019-01-06 00:00:00,43.0,1,0,6,10602.172,
2019-01-06 01:00:00,39.0,1,1,6,10436.975,
2019-01-06 02:00:00,39.0,1,2,6,10389.897,
2019-01-06 03:00:00,44.1,1,3,6,10438.127,
2019-01-06 04:00:00,46.0,1,4,6,10870.249,
2019-01-06 05:00:00,46.9,1,5,6,11637.269,
2019-01-06 06:00:00,46.9,1,6,6,12695.447,
2019-01-06 07:00:00,46.9,1,7,6,13162.429,
2019-01-06 08:00:00,46.9,1,8,6,13014.396,
2019-01-06 09:00:00,50.0,1,9,6,12804.985,
2019-01-06 10:00:00,54.0,1,10,6,12514.9,
2019-01-06 11:00:00,57.0,1,11,6,12208.581,
2019-01-06 12:00:00,61.0,1,12,6,12084.653,
2019-01-06 13:00:00,64.0,1,13,6,11933.521,
2019-01-06 14:00:00,62.1,1,14,6,11744.677,
2019-01-06 15:00:00,61.0,1,15,6,11721.983,
2019-01-06 16:00:00,60.1,1,16,6,12019.49,
2019-01-06 17:00:00,55.0,1,17,6,12570.593,
2019-01-06 18:00:00,50.0,1,18,6,12438.658,
2019-01-06 19:00:00,48.9,1,19,6,12124.233,
2019-01-06 20:00:00,48.0,1,20,6,11773.65,
2019-01-06 21:00:00,46.0,1,21,6,11313.129,
2019-01-06 22:00:00,45.0,1,22,6,10775.066,
2019-01-06 23:00:00,44.1,1,23,6,10153.298,
2019-01-07 00:00:00,43.0,1,0,0,9669.839,
