ept,mw
2015-01-01 00:00:00,3100.02
2015-01-01 01:00:00,3100.02
2015-01-01 02:00:00,2980.39
2015-01-01 03:00:00,2933.49
2015-01-01 04:00:00,2941.54
2015-01-01 05:00:00,2999.89
2015-01-01 06:00:00,3176.8
2015-01-01 07:00:00,3292.27
2015-01-01 08:00:00,3378.64
2015-01-01 09:00:00,3562.9
2015-01-01 10:00:00,3736.05
2015-01-01 11:00:00,3837.81
2015-01-01 12:00:00,3878.28
2015-01-01 13:00:00,3856.4
2015-01-01 14:00:00,3985.15
2015-01-01 15:00:00,4262.07
2015-01-01 16:00:00,4495.76
2015-01-01 17:00:00,4491.8
2015-01-01 18:00:00,4290.82
2015-01-01 19:00:00,4047.51
2015-01-01 20:00:00,3857.01
2015-01-01 21:00:00,3588.33
2015-01-01 22:00:00,3412.59
2015-01-01 23:00:00,3212.1
2015-01-02 00:00:00,2996.22
2015-01-02 01:00:00,2942.88
2015-01-02 02:00:00,2944.18
2015-01-02 03:00:00,3019.46
2015-01-02 04:00:00,3104.17
2015-01-02 05:00:00,3523.94
2015-01-02 06:00:00,3868.58
2015-01-02 07:00:00,4190.57
2015-01-02 08:00:00,4337.33
2015-01-02 09:00:00,4515.6
2015-01-02 10:00:00,4523.41
2015-01-02 11:00:00,4474.24
2015-01-02 12:00:00,4449.32
2015-01-02 13:00:00,4396.41
2015-01-02 14:00:00,4429.72
2015-01-02 15:00:00,4741.13
2015-01-02 16:00:00,5178.7
2015-01-02 17:00:00,5091.42
2015-01-02 18:00:00,4725.76
2015-01-02 19:00:00,4319.18
2015-01-02 20:00:00,4131.82
2015-01-02 21:00:00,3823.52
2015-01-02 22:00:00,3530.62
2015-01-02 23:00:00,3391.71
2015-01-03 00:00:00,3277.54
2015-01-03 01:00:00,3116.86
2015-01-03 02:00:00,3041.39
2015-01-03 03:00:00,3015.66
2015-01-03 04:00:00,3078.47
2015-01-03 05:00:00,3322.07
2015-01-03 06:00:00,3636.03
2015-01-03 07:00:00,3888.58
2015-01-03 08:00:00,4062.27
2015-01-03 09:00:00,4177.13
2015-01-03 10:00:00,4136.56
2015-01-03 11:00:00,4073.81
2015-01-03 12:00:00,4048.1
2015-01-03 13:00:00,3986.69
2015-01-03 14:00:00,3967.88
2015-01-03 15:00:00,4337.85
2015-01-03 16:00:00,4825.59
2015-01-03 17:00:00,4751.57
2015-01-03 18:00:00,4325.66
2015-01-03 19:00:00,4048.36
2015-01-03 20:00:00,3792.96
2015-01-03 21:00:00,3570.88
2015-01-03 22:00:00,3377.74
2015-01-03 23:00:00,3186.15
2015-01-04 00:00:00,3058.45
2015-01-04 01:00:00,2963.9
2015-01-04 02:00:00,2949.49
2015-01-04 03:00:00,2961.16
2015-01-04 04:00:00,2977.69
2015-01-04 05:00:00,3115.01
2015-01-04 06:00:00,3343.84
2015-01-04 07:00:00,3643.23
2015-01-04 08:00:00,3897.32
2015-01-04 09:00:00,4042.52
2015-01-04 10:00:00,4104.91
2015-01-04 11:00:00,4035.38
2015-01-04 12:00:00,3959.05
2015-01-04 13:00:00,3920.59
2015-01-04 14:00:00,3974.44
2015-01-04 15:00:00,4452.74
2015-01-04 16:00:00,4939.97
2015-01-04 17:00:00,4815.78
2015-01-04 18:00:00,4470.47
2015-01-04 19:00:00,4139.33
2015-01-04 20:00:00,3909.8
2015-01-04 21:00:00,3512.29
2015-01-04 22:00:00,3348.25
2015-01-04 23:00:00,3190.45
2015-01-05 00:00:00,3079.55
2015-01-05 01:00:00,2973.79
2015-01-05 02:00:00,2944.5
2015-01-05 03:00:00,3001.08
2015-01-05 04:00:00,3311.06
2015-01-05 05:00:00,4047.1
2015-01-05 06:00:00,4814.13
2015-01-05 07:00:00,5047.54
2015-01-05 08:00:00,5088.35
2015-01-05 09:00:00,5145.24
2015-01-05 10:00:00,5104.36
2015-01-05 11:00:00,5021.55
2015-01-05 12:00:00,5024.23
2015-01-05 13:00:00,4985.56
2015-01-05 14:00:00,4912.72
2015-01-05 15:00:00,5149.11
2015-01-05 16:00:00,5524.92
2015-01-05 17:00:00,5257.0
2015-01-05 18:00:00,4904.15
2015-01-05 19:00:00,4557.88
2015-01-05 20:00:00,4230.98
2015-01-05 21:00:00,3850.42
2015-01-05 22:00:00,3486.25
2015-01-05 23:00:00,3249.55
2015-01-06 00:00:00,3137.68
2015-01-06 01:00:00,3102.22
2015-01-06 02:00:00,3088.44
2015-01-06 03:00:00,3168.03
2015-01-06 04:00:00,3426.04
2015-01-06 05:00:00,4117.36
2015-01-06 06:00:00,4892.08
2015-01-06 07:00:00,5165.19
2015-01-06 08:00:00,5122.75
2015-01-06 09:00:00,5174.32
2015-01-06 10:00:00,5187.91
2015-01-06 11:00:00,5127.24
2015-01-06 12:00:00,5152.66
2015-01-06 13:00:00,5083.22
2015-01-06 14:00:00,5011.63
2015-01-06 15:00:00,5223.81
2015-01-06 16:00:00,5567.03
2015-01-06 17:00:00,5295.01
2015-01-06 18:00:00,4947.21
2015-01-06 19:00:00,4616.41
2015-01-06 20:00:00,4312.37
2015-01-06 21:00:00,3949.68
2015-01-06 22:00:00,3610.63
2015-01-06 23:00:00,3356.6
2015-01-07 00:00:00,3253.28
2015-01-07 01:00:00,3169.58
2015-01-07 02:00:00,3158.67
2015-01-07 03:00:00,3240.57
2015-01-07 04:00:00,3490.13
2015-01-07 05:00:00,4191.94
2015-01-07 06:00:00,4962.36
2015-01-07 07:00:00,5198.09
2015-01-07 08:00:00,5107.86
2015-01-07 09:00:00,5092.62
