ept,mw
2015-01-01 00:00:00,1280.8
2015-01-01 01:00:00,1230.8
2015-01-01 02:00:00,1198.5
2015-01-01 03:00:00,1188.9
2015-01-01 04:00:00,1190.9
2015-01-01 05:00:00,1211.6
2015-01-01 06:00:00,1240.7
2015-01-01 07:00:00,1269.8
2015-01-01 08:00:00,1314.356085
2015-01-01 09:00:00,1351.82866
2015-01-01 10:00:00,1359.882224
2015-01-01 11:00:00,1371.149418
2015-01-01 12:00:00,1409.824545
2015-01-01 13:00:00,1369.474107
2015-01-01 14:00:00,1378.181503
2015-01-01 15:00:00,1367.693635
2015-01-01 16:00:00,1487.2
2015-01-01 17:00:00,1594.9
2015-01-01 18:00:00,1582.9
2015-01-01 19:00:00,1549.3
2015-01-01 20:00:00,1496.8
2015-01-01 21:00:00,1425.8
2015-01-01 22:00:00,1330.2
2015-01-01 23:00:00,1239.9
2015-01-02 00:00:00,1179.4
2015-01-02 01:00:00,1147.4
2015-01-02 02:00:00,1134.3
2015-01-02 03:00:00,1118.3
2015-01-02 04:00:00,1126.8
2015-01-02 05:00:00,1172.0
2015-01-02 06:00:00,1272.4
2015-01-02 07:00:00,1349.3
2015-01-02 08:00:00,1362.410027
2015-01-02 09:00:00,1363.574918
2015-01-02 10:00:00,1367.925991
2015-01-02 11:00:00,1362.772344
2015-01-02 12:00:00,1351.097225
2015-01-02 13:00:00,1351.283451
2015-01-02 14:00:00,1360.736224
2015-01-02 15:00:00,1409.768204
2015-01-02 16:00:00,1538.1
2015-01-02 17:00:00,1631.3
2015-01-02 18:00:00,1608.6
2015-01-02 19:00:00,1567.4
2015-01-02 20:00:00,1517.3
2015-01-02 21:00:00,1443.6
2015-01-02 22:00:00,1357.9
2015-01-02 23:00:00,1267.0
2015-01-03 00:00:00,1197.1
2015-01-03 01:00:00,1156.3
2015-01-03 02:00:00,1134.3
2015-01-03 03:00:00,1128.3
2015-01-03 04:00:00,1142.4
2015-01-03 05:00:00,1180.6
2015-01-03 06:00:00,1242.1
2015-01-03 07:00:00,1308.8
2015-01-03 08:00:00,1342.196151
2015-01-03 09:00:00,1369.419087
2015-01-03 10:00:00,1361.932125
2015-01-03 11:00:00,1402.203484
2015-01-03 12:00:00,1369.106514
2015-01-03 13:00:00,1390.566242
2015-01-03 14:00:00,1432.139139
2015-01-03 15:00:00,1468.710871
2015-01-03 16:00:00,1578.2
2015-01-03 17:00:00,1654.4
2015-01-03 18:00:00,1631.6
2015-01-03 19:00:00,1584.8
2015-01-03 20:00:00,1527.1
2015-01-03 21:00:00,1435.6
2015-01-03 22:00:00,1347.2
2015-01-03 23:00:00,1259.3
2015-01-04 00:00:00,1185.7
2015-01-04 01:00:00,1134.3
2015-01-04 02:00:00,1107.4
2015-01-04 03:00:00,1099.1
2015-01-04 04:00:00,1094.6
2015-01-04 05:00:00,1118.0
2015-01-04 06:00:00,1152.8
2015-01-04 07:00:00,1195.4
2015-01-04 08:00:00,1232.205495
2015-01-04 09:00:00,1280.010087
2015-01-04 10:00:00,1271.002289
2015-01-04 11:00:00,1370.636153
2015-01-04 12:00:00,1316.062785
2015-01-04 13:00:00,1325.798129
2015-01-04 14:00:00,1343.742152
2015-01-04 15:00:00,1387.645708
2015-01-04 16:00:00,1514.9
2015-01-04 17:00:00,1578.9
2015-01-04 18:00:00,1552.5
2015-01-04 19:00:00,1503.7
2015-01-04 20:00:00,1440.1
2015-01-04 21:00:00,1334.2
2015-01-04 22:00:00,1237.8
2015-01-04 23:00:00,1150.8
2015-01-05 00:00:00,1093.0
2015-01-05 01:00:00,1070.5
2015-01-05 02:00:00,1053.8
2015-01-05 03:00:00,1060.3
2015-01-05 04:00:00,1104.9
2015-01-05 05:00:00,1203.7
2015-01-05 06:00:00,1385.4
2015-01-05 07:00:00,1484.3
2015-01-05 08:00:00,1485.901904
2015-01-05 09:00:00,1491.260837
2015-01-05 10:00:00,1491.537656
2015-01-05 11:00:00,1488.836344
2015-01-05 12:00:00,1506.918813
2015-01-05 13:00:00,1532.079383
2015-01-05 14:00:00,1526.210725
2015-01-05 15:00:00,1559.18202
2015-01-05 16:00:00,1652.1
2015-01-05 17:00:00,1783.0
2015-01-05 18:00:00,1793.4
2015-01-05 19:00:00,1763.1
2015-01-05 20:00:00,1705.6
2015-01-05 21:00:00,1603.2
2015-01-05 22:00:00,1476.7
2015-01-05 23:00:00,1373.2
2015-01-06 00:00:00,1319.8
2015-01-06 01:00:00,1291.2
2015-01-06 02:00:00,1273.3
2015-01-06 03:00:00,1277.6
2015-01-06 04:00:00,1313.5
2015-01-06 05:00:00,1398.2
2015-01-06 06:00:00,1568.4
2015-01-06 07:00:00,1659.1
2015-01-06 08:00:00,1652.520987
2015-01-06 09:00:00,1641.841146
2015-01-06 10:00:00,1641.362981
2015-01-06 11:00:00,1625.699201
2015-01-06 12:00:00,1618.372295
2015-01-06 13:00:00,1584.452244
2015-01-06 14:00:00,1568.297706
2015-01-06 15:00:00,1636.260867
2015-01-06 16:00:00,1711.9
2015-01-06 17:00:00,1830.8
2015-01-06 18:00:00,1835.8
2015-01-06 19:00:00,1814.2
2015-01-06 20:00:00,1760.2
2015-01-06 21:00:00,1664.9
2015-01-06 22:00:00,1535.4
2015-01-06 23:00:00,1430.5
2015-01-07 00:00:00,1359.7
2015-01-07 01:00:00,1324.6
2015-01-07 02:00:00,1309.6
2015-01-07 03:00:00,1308.7
2015-01-07 04:00:00,1333.1
2015-01-07 05:00:00,1417.5
2015-01-07 06:00:00,1587.7
2015-01-07 07:00:00,1673.4
2015-01-07 08:00:00,1640.165898
2015-01-07 09:00:00,1573.940497
2015-01-07 10:00:00,1555.739278
2015-01-07 11:00:00,1526.873501
2015-01-07 12:00:00,1517.58774
2015-01-07 13:00:00,1517.119404
2015-01-07 14:00:00,1572.823802
2015-01-07 15:00:00,1642.24604
2015-01-07 16:00:00,1757.8
2015-01-07 17:00:00,1914.7
2015-01-07 18:00:00,1924.6
2015-01-07 19:00:00,1891.4
2015-01-07 20:00:00,1837.4
2015-01-07 21:00:00,1781.2
2015-01-07 22:00:00,1671.2
2015-01-07 23:00:00,1552.1
2015-01-08 00:00:00,1529.9
2015-01-08 01:00:00,1538.5
2015-01-08 02:00:00,1478.5
2015-01-08 03:00:00,1456.9
2015-01-08 04:00:00,1484.0
2015-01-08 05:00:00,1570.1
2015-01-08 06:00:00,1701.6
2015-01-08 07:00:00,1818.9
2015-01-08 08:00:00,1829.517605
2015-01-08 09:00:00,1835.296534
2015-01-08 10:00:00,1785.800431
2015-01-08 11:00:00,1772.441798
2015-01-08 12:00:00,1723.468471
2015-01-08 13:00:00,1702.178118
2015-01-08 14:00:00,1619.88103
2015-01-08 15:00:00,1663.282217
2015-01-08 16:00:00,1796.2
2015-01-08 17:00:00,1905.0
2015-01-08 18:00:00,1901.6
2015-01-08 19:00:00,1872.8
2015-01-08 20:00:00,1815.2
2015-01-08 21:00:00,1718.7
2015-01-08 22:00:00,1587.6
2015-01-08 23:00:00,1479.4
2015-01-09 00:00:00,1419.0
2015-01-09 01:00:00,1393.0
2015-01-09 02:00:00,1379.1
2015-01-09 03:00:00,1380.2
2015-01-09 04:00:00,1407.1
2015-01-09 05:00:00,1473.4
2015-01-09 06:00:00,1623.3
2015-01-09 07:00:00,1711.9
2015-01-09 08:00:00,1694.943746
2015-01-09 09:00:00,1660.653198
2015-01-09 10:00:00,1637.243185
2015-01-09 11:00:00,1592.304194
2015-01-09 12:00:00,1599.676135
2015-01-09 13:00:00,1557.905219
2015-01-09 14:00:00,1542.540072
2015-01-09 15:00:00,1577.362641
2015-01-09 16:00:00,1672.2
2015-01-09 17:00:00,1779.3
2015-01-09 18:00:00,1765.8
2015-01-09 19:00:00,1727.5
2015-01-09 20:00:00,1681.2
2015-01-09 21:00:00,1620.1
2015-01-09 22:00:00,1526.6
2015-01-09 23:00:00,1436.5
2015-01-10 00:00:00,1363.8
2015-01-10 01:00:00,1328.1
2015-01-10 02:00:00,1308.9
2015-01-10 03:00:00,1308.1
2015-01-10 04:00:00,1320.7
2015-01-10 05:00:00,1352.5
2015-01-10 06:00:00,1421.0
2015-01-10 07:00:00,1487.1
2015-01-10 08:00:00,1541.14072
2015-01-10 09:00:00,1523.625157
2015-01-10 10:00:00,1495.820169
2015-01-10 11:00:00,1478.640419
2015-01-10 12:00:00,1510.574916
2015-01-10 13:00:00,1480.635842
2015-01-10 14:00:00,1506.760702
2015-01-10 15:00:00,1527.699801
2015-01-10 16:00:00,1651.3
2015-01-10 17:00:00,1764.8
2015-01-10 18:00:00,1768.2
2015-01-10 19:00:00,1733.9
2015-01-10 20:00:00,1702.7
2015-01-10 21:00:00,1645.0
2015-01-10 22:00:00,1565.8
2015-01-10 23:00:00,1480.5
2015-01-11 00:00:00,1420.3
2015-01-11 01:00:00,1375.2
2015-01-11 02:00:00,1355.2
2015-01-11 03:00:00,1349.2
2015-01-11 04:00:00,1357.4
2015-01-11 05:00:00,1383.0
2015-01-11 06:00:00,1424.5
2015-01-11 07:00:00,1480.4
2015-01-11 08:00:00,1527.768635
2015-01-11 09:00:00,1567.213136
2015-01-11 10:00:00,1609.887581
2015-01-11 11:00:00,1611.82825
2015-01-11 12:00:00,1614.039398
2015-01-11 13:00:00,1598.080114
2015-01-11 14:00:00,1549.271618
2015-01-11 15:00:00,1585.767333
2015-01-11 16:00:00,1684.2
2015-01-11 17:00:00,1786.0
2015-01-11 18:00:00,1765.9
2015-01-11 19:00:00,1721.4
2015-01-11 20:00:00,1653.0
2015-01-11 21:00:00,1552.2
2015-01-11 22:00:00,1441.7
2015-01-11 23:00:00,1341.3
2015-01-12 00:00:00,1294.5
2015-01-12 01:00:00,1264.4
2015-01-12 02:00:00,1250.4
2015-01-12 03:00:00,1251.5
2015-01-12 04:00:00,1276.9
2015-01-12 05:00:00,1357.5
2015-01-12 06:00:00,1501.6
2015-01-12 07:00:00,1584.5
2015-01-12 08:00:00,1582.839449
2015-01-12 09:00:00,1594.179383
2015-01-12 10:00:00,1602.398475
2015-01-12 11:00:00,1607.020147
2015-01-12 12:00:00,1584.483592
2015-01-12 13:00:00,1490.667047
2015-01-12 14:00:00,1495.338922
2015-01-12 15:00:00,1523.367302
2015-01-12 16:00:00,1630.4
2015-01-12 17:00:00,1736.5
2015-01-12 18:00:00,1734.2
2015-01-12 19:00:00,1690.6
2015-01-12 20:00:00,1626.9
2015-01-12 21:00:00,1523.8
2015-01-12 22:00:00,1412.0
2015-01-12 23:00:00,1310.8
2015-01-13 00:00:00,1250.7
2015-01-13 01:00:00,1230.2
2015-01-13 02:00:00,1225.9
2015-01-13 03:00:00,1246.3
2015-01-13 04:00:00,1287.2
2015-01-13 05:00:00,1397.6
2015-01-13 06:00:00,1565.3
2015-01-13 07:00:00,1661.9
2015-01-13 08:00:00,1665.000723
2015-01-13 09:00:00,1670.827934
2015-01-13 10:00:00,1672.588609
2015-01-13 11:00:00,1669.345899
2015-01-13 12:00:00,1641.374841
2015-01-13 13:00:00,1633.715444
2015-01-13 14:00:00,1631.195096
2015-01-13 15:00:00,1647.298341
2015-01-13 16:00:00,1733.4
2015-01-13 17:00:00,1894.1
2015-01-13 18:00:00,1921.6
2015-01-13 19:00:00,1904.4
2015-01-13 20:00:00,1829.2
2015-01-13 21:00:00,1730.7
2015-01-13 22:00:00,1622.6
2015-01-13 23:00:00,1524.4
2015-01-14 00:00:00,1459.9
2015-01-14 01:00:00,1431.2
2015-01-14 02:00:00,1417.8
2015-01-14 03:00:00,1417.6
2015-01-14 04:00:00,1448.5
2015-01-14 05:00:00,1542.1
2015-01-14 06:00:00,1711.6
2015-01-14 07:00:00,1809.8
2015-01-14 08:00:00,1806.295106
2015-01-14 09:00:00,1780.982233
2015-01-14 10:00:00,1775.034154
2015-01-14 11:00:00,1745.310843
2015-01-14 12:00:00,1708.191392
2015-01-14 13:00:00,1655.626103
2015-01-14 14:00:00,1650.14287
2015-01-14 15:00:00,1653.091461
2015-01-14 16:00:00,1731.7
2015-01-14 17:00:00,1867.1
2015-01-14 18:00:00,1868.1
2015-01-14 19:00:00,1834.8
2015-01-14 20:00:00,1762.9
2015-01-14 21:00:00,1663.0
2015-01-14 22:00:00,1543.4
2015-01-14 23:00:00,1439.4
2015-01-15 00:00:00,1369.0
2015-01-15 01:00:00,1338.8
2015-01-15 02:00:00,1314.7
2015-01-15 03:00:00,1316.9
2015-01-15 04:00:00,1337.8
2015-01-15 05:00:00,1418.1
2015-01-15 06:00:00,1591.5
2015-01-15 07:00:00,1675.2
2015-01-15 08:00:00,1659.497219
2015-01-15 09:00:00,1643.656726
2015-01-15 10:00:00,1621.763039
2015-01-15 11:00:00,1580.530272
2015-01-15 12:00:00,1566.842324
2015-01-15 13:00:00,1522.264637
2015-01-15 14:00:00,1528.773797
2015-01-15 15:00:00,1538.823191
2015-01-15 16:00:00,1634.2
2015-01-15 17:00:00,1767.4
2015-01-15 18:00:00,1774.3
2015-01-15 19:00:00,1750.2
2015-01-15 20:00:00,1707.9
2015-01-15 21:00:00,1614.0
2015-01-15 22:00:00,1484.6
2015-01-15 23:00:00,1383.7
2015-01-16 00:00:00,1326.5
2015-01-16 01:00:00,1295.3
2015-01-16 02:00:00,1275.3
2015-01-16 03:00:00,1276.5
2015-01-16 04:00:00,1291.8
2015-01-16 05:00:00,1362.8
2015-01-16 06:00:00,1530.9
2015-01-16 07:00:00,1606.2
2015-01-16 08:00:00,1569.173107
2015-01-16 09:00:00,1529.877003
2015-01-16 10:00:00,1555.294856
2015-01-16 11:00:00,1481.917719
2015-01-16 12:00:00,1501.408006
2015-01-16 13:00:00,1515.37872
2015-01-16 14:00:00,1477.287639
2015-01-16 15:00:00,1569.65813
2015-01-16 16:00:00,1646.692557
2015-01-16 17:00:00,1761.2
2015-01-16 18:00:00,1764.2
2015-01-16 19:00:00,1730.3
2015-01-16 20:00:00,1688.3
2015-01-16 21:00:00,1624.1
2015-01-16 22:00:00,1534.9
2015-01-16 23:00:00,1448.0
2015-01-17 00:00:00,1391.6
2015-01-17 01:00:00,1361.5
2015-01-17 02:00:00,1347.4
2015-01-17 03:00:00,1347.3
2015-01-17 04:00:00,1366.5
2015-01-17 05:00:00,1393.9
2015-01-17 06:00:00,1464.3
2015-01-17 07:00:00,1535.2
2015-01-17 08:00:00,1552.693808
2015-01-17 09:00:00,1548.787502
2015-01-17 10:00:00,1522.526064
2015-01-17 11:00:00,1521.34799
2015-01-17 12:00:00,1483.647528
2015-01-17 13:00:00,1451.895288
2015-01-17 14:00:00,1456.028365
2015-01-17 15:00:00,1498.936144
2015-01-17 16:00:00,1613.125308
2015-01-17 17:00:00,1735.8
2015-01-17 18:00:00,1723.8
2015-01-17 19:00:00,1681.7
2015-01-17 20:00:00,1633.8
2015-01-17 21:00:00,1575.6
2015-01-17 22:00:00,1498.2
2015-01-17 23:00:00,1411.8
2015-01-18 00:00:00,1348.5
2015-01-18 01:00:00,1308.4
2015-01-18 02:00:00,1284.1
2015-01-18 03:00:00,1270.9
2015-01-18 04:00:00,1271.8
2015-01-18 05:00:00,1287.3
2015-01-18 06:00:00,1322.5
2015-01-18 07:00:00,1370.4
2015-01-18 08:00:00,1394.507928
2015-01-18 09:00:00,1415.653311
2015-01-18 10:00:00,1420.512956
2015-01-18 11:00:00,1424.493877
2015-01-18 12:00:00,1488.038916
2015-01-18 13:00:00,1444.608187
2015-01-18 14:00:00,1470.159515
2015-01-18 15:00:00,1508.393407
2015-01-18 16:00:00,1575.123723
2015-01-18 17:00:00,1632.7
2015-01-18 18:00:00,1601.5
2015-01-18 19:00:00,1553.5
2015-01-18 20:00:00,1492.9
2015-01-18 21:00:00,1408.3
2015-01-18 22:00:00,1319.4
2015-01-18 23:00:00,1229.6
2015-01-19 00:00:00,1176.0
2015-01-19 01:00:00,1144.6
2015-01-19 02:00:00,1133.5
2015-01-19 03:00:00,1134.5
2015-01-19 04:00:00,1154.9
2015-01-19 05:00:00,1214.9
2015-01-19 06:00:00,1310.8
2015-01-19 07:00:00,1389.3
2015-01-19 08:00:00,1435.583648
2015-01-19 09:00:00,1484.55093
2015-01-19 10:00:00,1429.210552
2015-01-19 11:00:00,1472.125299
2015-01-19 12:00:00,1462.231299
2015-01-19 13:00:00,1461.578233
2015-01-19 14:00:00,1428.270798
2015-01-19 15:00:00,1483.17171
2015-01-19 16:00:00,1576.479247
2015-01-19 17:00:00,1690.8
2015-01-19 18:00:00,1688.2
2015-01-19 19:00:00,1653.7
2015-01-19 20:00:00,1589.9
2015-01-19 21:00:00,1489.7
2015-01-19 22:00:00,1376.4
2015-01-19 23:00:00,1282.7
2015-01-20 00:00:00,1223.1
2015-01-20 01:00:00,1191.2
2015-01-20 02:00:00,1175.7
2015-01-20 03:00:00,1181.7
2015-01-20 04:00:00,1214.9
2015-01-20 05:00:00,1306.8
2015-01-20 06:00:00,1486.3
2015-01-20 07:00:00,1569.3
2015-01-20 08:00:00,1534.079559
2015-01-20 09:00:00,1458.678349
2015-01-20 10:00:00,1460.961892
2015-01-20 11:00:00,1387.358944
2015-01-20 12:00:00,1364.626394
2015-01-20 13:00:00,1363.041317
2015-01-20 14:00:00,1386.131538
2015-01-20 15:00:00,1440.157366
2015-01-20 16:00:00,1550.942425
2015-01-20 17:00:00,1705.4
2015-01-20 18:00:00,1731.8
2015-01-20 19:00:00,1703.7
2015-01-20 20:00:00,1650.3
2015-01-20 21:00:00,1568.6
2015-01-20 22:00:00,1450.4
