ept,mw
2015-01-01 00:00:00,1069.8
2015-01-01 01:00:00,1020.4
2015-01-01 02:00:00,982.8
2015-01-01 03:00:00,962.1
2015-01-01 04:00:00,957.5
2015-01-01 05:00:00,972.0
2015-01-01 06:00:00,998.9
2015-01-01 07:00:00,1006.3
2015-01-01 08:00:00,1023.250446
2015-01-01 09:00:00,989.8608303
2015-01-01 10:00:00,984.371008
2015-01-01 11:00:00,987.7096401
2015-01-01 12:00:00,1034.57813
2015-01-01 13:00:00,978.401078
2015-01-01 14:00:00,1049.932699
2015-01-01 15:00:00,1088.015176
2015-01-01 16:00:00,1194.4
2015-01-01 17:00:00,1315.5
2015-01-01 18:00:00,1315.7
2015-01-01 19:00:00,1290.8
2015-01-01 20:00:00,1258.5
2015-01-01 21:00:00,1206.6
2015-01-01 22:00:00,1126.0
2015-01-01 23:00:00,1034.8
2015-01-02 00:00:00,964.4
2015-01-02 01:00:00,917.7
2015-01-02 02:00:00,898.9
2015-01-02 03:00:00,891.6
2015-01-02 04:00:00,904.0
2015-01-02 05:00:00,943.9
2015-01-02 06:00:00,1009.4
2015-01-02 07:00:00,1073.3
2015-01-02 08:00:00,1039.012398
2015-01-02 09:00:00,1029.637413
2015-01-02 10:00:00,1007.980428
2015-01-02 11:00:00,995.1019206
2015-01-02 12:00:00,993.8952289
2015-01-02 13:00:00,1052.131857
2015-01-02 14:00:00,1061.835781
2015-01-02 15:00:00,1079.820188
2015-01-02 16:00:00,1210.7
2015-01-02 17:00:00,1312.8
2015-01-02 18:00:00,1315.5
2015-01-02 19:00:00,1291.8
2015-01-02 20:00:00,1262.2
2015-01-02 21:00:00,1215.5
2015-01-02 22:00:00,1135.3
2015-01-02 23:00:00,1058.4
2015-01-03 00:00:00,985.1
2015-01-03 01:00:00,941.5
2015-01-03 02:00:00,919.0
2015-01-03 03:00:00,910.8
2015-01-03 04:00:00,913.6
2015-01-03 05:00:00,932.5
2015-01-03 06:00:00,977.2
2015-01-03 07:00:00,1015.9
2015-01-03 08:00:00,981.3127515
2015-01-03 09:00:00,977.3475469
2015-01-03 10:00:00,977.376148
2015-01-03 11:00:00,984.6457212
2015-01-03 12:00:00,1004.891969
2015-01-03 13:00:00,1038.392732
2015-01-03 14:00:00,1080.676777
2015-01-03 15:00:00,1144.393971
2015-01-03 16:00:00,1276.4
2015-01-03 17:00:00,1351.7
2015-01-03 18:00:00,1340.2
2015-01-03 19:00:00,1305.5
2015-01-03 20:00:00,1260.1
2015-01-03 21:00:00,1190.7
2015-01-03 22:00:00,1109.6
2015-01-03 23:00:00,1025.4
2015-01-04 00:00:00,945.6
2015-01-04 01:00:00,900.5
2015-01-04 02:00:00,873.2
2015-01-04 03:00:00,856.8
2015-01-04 04:00:00,857.0
2015-01-04 05:00:00,868.9
2015-01-04 06:00:00,901.4
2015-01-04 07:00:00,942.2
2015-01-04 08:00:00,990.2754174
2015-01-04 09:00:00,934.2312215
2015-01-04 10:00:00,949.5397222
2015-01-04 11:00:00,969.8073162
2015-01-04 12:00:00,1015.584945
2015-01-04 13:00:00,1036.0485
2015-01-04 14:00:00,1026.159624
2015-01-04 15:00:00,1124.333051
2015-01-04 16:00:00,1224.0
2015-01-04 17:00:00,1297.4
2015-01-04 18:00:00,1286.9
2015-01-04 19:00:00,1247.5
2015-01-04 20:00:00,1196.7
2015-01-04 21:00:00,1112.8
2015-01-04 22:00:00,1022.6
2015-01-04 23:00:00,935.5
2015-01-05 00:00:00,868.0
2015-01-05 01:00:00,843.5
2015-01-05 02:00:00,830.2
2015-01-05 03:00:00,826.8
2015-01-05 04:00:00,848.3
2015-01-05 05:00:00,924.7
2015-01-05 06:00:00,1050.3
2015-01-05 07:00:00,1117.3
2015-01-05 08:00:00,1128.832616
2015-01-05 09:00:00,1109.827947
2015-01-05 10:00:00,1042.363008
2015-01-05 11:00:00,1094.098174
2015-01-05 12:00:00,1009.087715
2015-01-05 13:00:00,1038.52568
2015-01-05 14:00:00,1047.762018
2015-01-05 15:00:00,1129.402855
2015-01-05 16:00:00,1280.6
2015-01-05 17:00:00,1416.7
2015-01-05 18:00:00,1441.3
2015-01-05 19:00:00,1424.8
2015-01-05 20:00:00,1396.1
2015-01-05 21:00:00,1324.3
2015-01-05 22:00:00,1218.6
2015-01-05 23:00:00,1117.8
2015-01-06 00:00:00,1057.1
2015-01-06 01:00:00,1026.3
2015-01-06 02:00:00,1009.9
2015-01-06 03:00:00,1004.1
2015-01-06 04:00:00,1023.2
2015-01-06 05:00:00,1085.7
2015-01-06 06:00:00,1195.1
2015-01-06 07:00:00,1272.9
2015-01-06 08:00:00,1235.96598
2015-01-06 09:00:00,1200.621236
2015-01-06 10:00:00,1185.41427
2015-01-06 11:00:00,1172.512401
2015-01-06 12:00:00,1162.069767
2015-01-06 13:00:00,1163.981577
2015-01-06 14:00:00,1177.575239
2015-01-06 15:00:00,1238.154896
2015-01-06 16:00:00,1362.8
2015-01-06 17:00:00,1484.2
2015-01-06 18:00:00,1509.0
2015-01-06 19:00:00,1490.6
2015-01-06 20:00:00,1456.7
2015-01-06 21:00:00,1382.5
2015-01-06 22:00:00,1269.9
2015-01-06 23:00:00,1166.4
2015-01-07 00:00:00,1097.3
2015-01-07 01:00:00,1061.5
2015-01-07 02:00:00,1044.3
2015-01-07 03:00:00,1030.2
2015-01-07 04:00:00,1035.4
2015-01-07 05:00:00,1073.7
2015-01-07 06:00:00,1198.2
2015-01-07 07:00:00,1267.1
2015-01-07 08:00:00,1221.920907
2015-01-07 09:00:00,1180.816656
2015-01-07 10:00:00,1146.211897
2015-01-07 11:00:00,1132.028326
2015-01-07 12:00:00,1127.906525
2015-01-07 13:00:00,1141.854811
2015-01-07 14:00:00,1183.985965
2015-01-07 15:00:00,1253.619518
2015-01-07 16:00:00,1398.8
2015-01-07 17:00:00,1533.5
2015-01-07 18:00:00,1556.3
2015-01-07 19:00:00,1539.3
2015-01-07 20:00:00,1503.5
2015-01-07 21:00:00,1438.2
2015-01-07 22:00:00,1331.4
2015-01-07 23:00:00,1240.2
2015-01-08 00:00:00,1177.7
2015-01-08 01:00:00,1140.2
2015-01-08 02:00:00,1122.8
2015-01-08 03:00:00,1119.9
2015-01-08 04:00:00,1138.0
2015-01-08 05:00:00,1202.5
2015-01-08 06:00:00,1301.6
2015-01-08 07:00:00,1357.4
2015-01-08 08:00:00,1322.401668
2015-01-08 09:00:00,1248.300515
2015-01-08 10:00:00,1218.530397
2015-01-08 11:00:00,1195.84626
2015-01-08 12:00:00,1174.882036
2015-01-08 13:00:00,1154.680028
2015-01-08 14:00:00,1176.42621
2015-01-08 15:00:00,1244.41697
2015-01-08 16:00:00,1382.213876
2015-01-08 17:00:00,1499.8
2015-01-08 18:00:00,1515.3
2015-01-08 19:00:00,1499.4
2015-01-08 20:00:00,1464.6
2015-01-08 21:00:00,1397.3
2015-01-08 22:00:00,1284.2
2015-01-08 23:00:00,1181.1
2015-01-09 00:00:00,1121.0
2015-01-09 01:00:00,1097.1
2015-01-09 02:00:00,1070.0
2015-01-09 03:00:00,1064.7
2015-01-09 04:00:00,1080.9
2015-01-09 05:00:00,1135.1
2015-01-09 06:00:00,1227.5
2015-01-09 07:00:00,1295.2
2015-01-09 08:00:00,1307.669376
2015-01-09 09:00:00,1283.240928
2015-01-09 10:00:00,1258.054847
2015-01-09 11:00:00,1230.178287
2015-01-09 12:00:00,1263.154474
2015-01-09 13:00:00,1293.410239
2015-01-09 14:00:00,1273.570238
2015-01-09 15:00:00,1263.924205
2015-01-09 16:00:00,1322.94108
2015-01-09 17:00:00,1426.8
2015-01-09 18:00:00,1427.3
2015-01-09 19:00:00,1402.4
2015-01-09 20:00:00,1368.6
2015-01-09 21:00:00,1316.4
2015-01-09 22:00:00,1241.2
2015-01-09 23:00:00,1163.1
2015-01-10 00:00:00,1093.9
2015-01-10 01:00:00,1057.3
2015-01-10 02:00:00,1040.5
2015-01-10 03:00:00,1035.9
2015-01-10 04:00:00,1041.4
2015-01-10 05:00:00,1073.0
2015-01-10 06:00:00,1123.1
2015-01-10 07:00:00,1170.6
2015-01-10 08:00:00,1154.957805
2015-01-10 09:00:00,1130.860109
2015-01-10 10:00:00,1108.212382
2015-01-10 11:00:00,1085.485103
2015-01-10 12:00:00,1073.574949
2015-01-10 13:00:00,1107.168572
2015-01-10 14:00:00,1090.463377
2015-01-10 15:00:00,1152.068728
2015-01-10 16:00:00,1278.141054
2015-01-10 17:00:00,1413.0
2015-01-10 18:00:00,1430.2
2015-01-10 19:00:00,1405.1
2015-01-10 20:00:00,1380.3
2015-01-10 21:00:00,1333.1
2015-01-10 22:00:00,1264.7
2015-01-10 23:00:00,1190.1
2015-01-11 00:00:00,1120.2
2015-01-11 01:00:00,1078.7
2015-01-11 02:00:00,1056.3
2015-01-11 03:00:00,1045.5
2015-01-11 04:00:00,1047.4
2015-01-11 05:00:00,1062.3
2015-01-11 06:00:00,1098.6
2015-01-11 07:00:00,1132.0
2015-01-11 08:00:00,1175.994796
2015-01-11 09:00:00,1185.494121
2015-01-11 10:00:00,1240.16732
2015-01-11 11:00:00,1240.309835
2015-01-11 12:00:00,1278.807999
2015-01-11 13:00:00,1270.935376
2015-01-11 14:00:00,1263.034947
2015-01-11 15:00:00,1240.455183
2015-01-11 16:00:00,1310.320023
2015-01-11 17:00:00,1409.8
2015-01-11 18:00:00,1405.1
2015-01-11 19:00:00,1372.0
2015-01-11 20:00:00,1319.6
2015-01-11 21:00:00,1247.3
2015-01-11 22:00:00,1152.3
2015-01-11 23:00:00,1063.4
2015-01-12 00:00:00,994.3
2015-01-12 01:00:00,952.9
2015-01-12 02:00:00,936.1
2015-01-12 03:00:00,941.9
2015-01-12 04:00:00,963.8
2015-01-12 05:00:00,1015.1
2015-01-12 06:00:00,1093.2
2015-01-12 07:00:00,1170.9
2015-01-12 08:00:00,1202.578169
2015-01-12 09:00:00,1205.658912
2015-01-12 10:00:00,1270.290295
2015-01-12 11:00:00,1237.011871
2015-01-12 12:00:00,1264.376721
2015-01-12 13:00:00,1212.634343
2015-01-12 14:00:00,1263.264834
2015-01-12 15:00:00,1278.801995
2015-01-12 16:00:00,1346.252217
2015-01-12 17:00:00,1417.2
2015-01-12 18:00:00,1408.3
2015-01-12 19:00:00,1369.4
2015-01-12 20:00:00,1320.4
2015-01-12 21:00:00,1240.5
2015-01-12 22:00:00,1144.8
2015-01-12 23:00:00,1056.3
2015-01-13 00:00:00,989.4
2015-01-13 01:00:00,955.8
2015-01-13 02:00:00,932.4
2015-01-13 03:00:00,949.7
2015-01-13 04:00:00,971.0
2015-01-13 05:00:00,1042.4
2015-01-13 06:00:00,1177.6
2015-01-13 07:00:00,1246.5
2015-01-13 08:00:00,1260.5
2015-01-13 09:00:00,1253.903999
2015-01-13 10:00:00,1242.801953
2015-01-13 11:00:00,1236.011029
2015-01-13 12:00:00,1201.292017
2015-01-13 13:00:00,1212.418085
2015-01-13 14:00:00,1223.167236
2015-01-13 15:00:00,1256.435828
2015-01-13 16:00:00,1332.4
2015-01-13 17:00:00,1466.3
2015-01-13 18:00:00,1492.9
2015-01-13 19:00:00,1483.3
2015-01-13 20:00:00,1448.8
2015-01-13 21:00:00,1374.7
2015-01-13 22:00:00,1279.3
2015-01-13 23:00:00,1185.9
2015-01-14 00:00:00,1126.2
2015-01-14 01:00:00,1103.0
2015-01-14 02:00:00,1085.4
2015-01-14 03:00:00,1098.1
2015-01-14 04:00:00,1112.4
2015-01-14 05:00:00,1168.3
2015-01-14 06:00:00,1287.5
2015-01-14 07:00:00,1350.4
2015-01-14 08:00:00,1340.545134
2015-01-14 09:00:00,1280.712396
2015-01-14 10:00:00,1239.33957
2015-01-14 11:00:00,1172.71561
2015-01-14 12:00:00,1160.271619
2015-01-14 13:00:00,1154.021938
2015-01-14 14:00:00,1197.513998
2015-01-14 15:00:00,1248.978391
2015-01-14 16:00:00,1367.530479
2015-01-14 17:00:00,1466.8
2015-01-14 18:00:00,1471.4
2015-01-14 19:00:00,1452.2
2015-01-14 20:00:00,1408.7
2015-01-14 21:00:00,1345.4
2015-01-14 22:00:00,1240.9
2015-01-14 23:00:00,1121.5
2015-01-15 00:00:00,1069.7
2015-01-15 01:00:00,1033.0
2015-01-15 02:00:00,1016.4
2015-01-15 03:00:00,1015.8
2015-01-15 04:00:00,1029.5
2015-01-15 05:00:00,1098.5
2015-01-15 06:00:00,1211.9
2015-01-15 07:00:00,1274.6
2015-01-15 08:00:00,1209.29438
2015-01-15 09:00:00,1170.845076
2015-01-15 10:00:00,1142.028584
2015-01-15 11:00:00,1112.504576
2015-01-15 12:00:00,1126.32303
2015-01-15 13:00:00,1102.08112
2015-01-15 14:00:00,1091.256958
2015-01-15 15:00:00,1195.396272
2015-01-15 16:00:00,1271.673971
2015-01-15 17:00:00,1398.4
2015-01-15 18:00:00,1422.8
2015-01-15 19:00:00,1411.8
2015-01-15 20:00:00,1377.0
2015-01-15 21:00:00,1310.4
2015-01-15 22:00:00,1218.2
2015-01-15 23:00:00,1104.4
2015-01-16 00:00:00,1044.2
2015-01-16 01:00:00,1007.5
2015-01-16 02:00:00,992.6
2015-01-16 03:00:00,993.4
2015-01-16 04:00:00,1012.7
2015-01-16 05:00:00,1060.6
2015-01-16 06:00:00,1178.6
2015-01-16 07:00:00,1239.8
2015-01-16 08:00:00,1236.220074
2015-01-16 09:00:00,1242.882821
2015-01-16 10:00:00,1218.698998
2015-01-16 11:00:00,1215.898274
2015-01-16 12:00:00,1214.31924
2015-01-16 13:00:00,1187.575845
2015-01-16 14:00:00,1176.695271
2015-01-16 15:00:00,1197.724574
2015-01-16 16:00:00,1277.499084
2015-01-16 17:00:00,1388.8
2015-01-16 18:00:00,1412.7
2015-01-16 19:00:00,1390.5
2015-01-16 20:00:00,1363.0
2015-01-16 21:00:00,1318.5
2015-01-16 22:00:00,1230.9
2015-01-16 23:00:00,1153.5
2015-01-17 00:00:00,1094.8
2015-01-17 01:00:00,1066.0
2015-01-17 02:00:00,1049.7
2015-01-17 03:00:00,1046.5
2015-01-17 04:00:00,1054.2
2015-01-17 05:00:00,1080.7
2015-01-17 06:00:00,1122.7
2015-01-17 07:00:00,1161.2
2015-01-17 08:00:00,1161.037892
2015-01-17 09:00:00,1180.894243
2015-01-17 10:00:00,1208.873597
2015-01-17 11:00:00,1090.607613
2015-01-17 12:00:00,1059.913986
2015-01-17 13:00:00,1074.803984
2015-01-17 14:00:00,1113.322783
2015-01-17 15:00:00,1131.677442
2015-01-17 16:00:00,1230.255152
2015-01-17 17:00:00,1350.3
2015-01-17 18:00:00,1360.8
2015-01-17 19:00:00,1329.8
2015-01-17 20:00:00,1299.3
2015-01-17 21:00:00,1253.1
2015-01-17 22:00:00,1191.1
2015-01-17 23:00:00,1115.3
2015-01-18 00:00:00,1050.3
2015-01-18 01:00:00,1022.8
2015-01-18 02:00:00,996.1
2015-01-18 03:00:00,969.4
2015-01-18 04:00:00,969.5
2015-01-18 05:00:00,985.1
2015-01-18 06:00:00,1012.9
2015-01-18 07:00:00,1053.0
2015-01-18 08:00:00,1028.043303
2015-01-18 09:00:00,1027.70012
2015-01-18 10:00:00,1047.977715
2015-01-18 11:00:00,1056.394135
2015-01-18 12:00:00,1076.854076
2015-01-18 13:00:00,1087.81084
2015-01-18 14:00:00,1123.621228
2015-01-18 15:00:00,1178.075549
2015-01-18 16:00:00,1290.892641
2015-01-18 17:00:00,1365.5
2015-01-18 18:00:00,1342.2
2015-01-18 19:00:00,1298.8
2015-01-18 20:00:00,1241.1
2015-01-18 21:00:00,1165.1
2015-01-18 22:00:00,1073.2
2015-01-18 23:00:00,1012.0
2015-01-19 00:00:00,949.7
2015-01-19 01:00:00,915.6
2015-01-19 02:00:00,898.0
2015-01-19 03:00:00,893.9
2015-01-19 04:00:00,910.7
2015-01-19 05:00:00,952.8
2015-01-19 06:00:00,1022.4
2015-01-19 07:00:00,1085.183428
2015-01-19 08:00:00,1115.775044
2015-01-19 09:00:00,1097.026763
2015-01-19 10:00:00,1107.348704
2015-01-19 11:00:00,1014.351533
2015-01-19 12:00:00,1005.017466
2015-01-19 13:00:00,1022.792284
2015-01-19 14:00:00,1053.799433
2015-01-19 15:00:00,1112.192653
2015-01-19 16:00:00,1219.784634
2015-01-19 17:00:00,1343.1
2015-01-19 18:00:00,1349.5
2015-01-19 19:00:00,1326.9
2015-01-19 20:00:00,1280.6
2015-01-19 21:00:00,1210.5
2015-01-19 22:00:00,1107.6
2015-01-19 23:00:00,1017.5
2015-01-20 00:00:00,954.9
2015-01-20 01:00:00,922.4
2015-01-20 02:00:00,912.0
2015-01-20 03:00:00,918.8
2015-01-20 04:00:00,937.0
2015-01-20 05:00:00,1000.9
2015-01-20 06:00:00,1124.1
2015-01-20 07:00:00,1173.812796
2015-01-20 08:00:00,1143.000381
2015-01-20 09:00:00,1090.302007
2015-01-20 10:00:00,1136.29982
2015-01-20 11:00:00,1064.501227
2015-01-20 12:00:00,1013.953788
2015-01-20 13:00:00,1033.940693
2015-01-20 14:00:00,1069.184522
2015-01-20 15:00:00,1138.371264
2015-01-20 16:00:00,1268.110573
2015-01-20 17:00:00,1403.1
2015-01-20 18:00:00,1408.1
2015-01-20 19:00:00,1383.3
2015-01-20 20:00:00,1353.6
2015-01-20 21:00:00,1292.0
2015-01-20 22:00:00,1182.1
2015-01-20 23:00:00,1069.3
2015-01-21 00:00:00,1003.9
2015-01-21 01:00:00,974.5
2015-01-21 02:00:00,966.7
2015-01-21 03:00:00,967.5
2015-01-21 04:00:00,999.6
2015-01-21 05:00:00,1071.8
2015-01-21 06:00:00,1207.9
2015-01-21 07:00:00,1275.207664
2015-01-21 08:00:00,1252.606787
2015-01-21 09:00:00,1209.247411
2015-01-21 10:00:00,1212.21694
2015-01-21 11:00:00,1247.219002
2015-01-21 12:00:00,1117.521454
2015-01-21 13:00:00,1185.049184
2015-01-21 14:00:00,1197.434213
2015-01-21 15:00:00,1259.093531
2015-01-21 16:00:00,1323.835533
2015-01-21 17:00:00,1441.3
2015-01-21 18:00:00,1461.6
2015-01-21 19:00:00,1438.0
2015-01-21 20:00:00,1394.4
2015-01-21 21:00:00,1323.1
2015-01-21 22:00:00,1219.3
2015-01-21 23:00:00,1113.7
2015-01-22 00:00:00,1043.1
2015-01-22 01:00:00,1012.8
2015-01-22 02:00:00,992.0
2015-01-22 03:00:00,976.8
2015-01-22 04:00:00,1000.1
2015-01-22 05:00:00,1063.9
2015-01-22 06:00:00,1174.8
2015-01-22 07:00:00,1232.906458
2015-01-22 08:00:00,1185.092878
2015-01-22 09:00:00,1119.550336
2015-01-22 10:00:00,1065.734113
2015-01-22 11:00:00,1070.41282
2015-01-22 12:00:00,1010.686973
2015-01-22 13:00:00,1055.364571
2015-01-22 14:00:00,1052.45646
2015-01-22 15:00:00,1089.365507
2015-01-22 16:00:00,1207.763912
2015-01-22 17:00:00,1371.3
2015-01-22 18:00:00,1397.8
2015-01-22 19:00:00,1380.1
2015-01-22 20:00:00,1346.7
2015-01-22 21:00:00,1285.8
2015-01-22 22:00:00,1189.3
2015-01-22 23:00:00,1094.4
2015-01-23 00:00:00,1022.4
2015-01-23 01:00:00,999.2
2015-01-23 02:00:00,993.3
2015-01-23 03:00:00,983.7
2015-01-23 04:00:00,1001.0
2015-01-23 05:00:00,1070.9
2015-01-23 06:00:00,1198.6
2015-01-23 07:00:00,1251.558247
2015-01-23 08:00:00,1172.186371
2015-01-23 09:00:00,1107.576531
2015-01-23 10:00:00,1043.493839
2015-01-23 11:00:00,1023.306717
2015-01-23 12:00:00,988.7096471
2015-01-23 13:00:00,1000.234395
2015-01-23 14:00:00,997.952365
2015-01-23 15:00:00,1061.107254
2015-01-23 16:00:00,1185.336698
2015-01-23 17:00:00,1336.0
2015-01-23 18:00:00,1353.1
2015-01-23 19:00:00,1325.8
2015-01-23 20:00:00,1288.0
2015-01-23 21:00:00,1236.8
2015-01-23 22:00:00,1153.3
2015-01-23 23:00:00,1072.9
2015-01-24 00:00:00,999.4
2015-01-24 01:00:00,946.1
2015-01-24 02:00:00,928.7
2015-01-24 03:00:00,928.2
2015-01-24 04:00:00,949.9
2015-01-24 05:00:00,970.1
2015-01-24 06:00:00,1009.6
2015-01-24 07:00:00,1029.068156
2015-01-24 08:00:00,1005.673001
2015-01-24 09:00:00,987.8191872
2015-01-24 10:00:00,973.3681968
2015-01-24 11:00:00,986.5296893
2015-01-24 12:00:00,998.3483765
2015-01-24 13:00:00,995.1580406
2015-01-24 14:00:00,1018.557573
2015-01-24 15:00:00,1072.107963
2015-01-24 16:00:00,1184.340934
2015-01-24 17:00:00,1312.3
2015-01-24 18:00:00,1320.9
2015-01-24 19:00:00,1291.0
2015-01-24 20:00:00,1245.5
2015-01-24 21:00:00,1197.6
2015-01-24 22:00:00,1119.8
2015-01-24 23:00:00,1040.2
2015-01-25 00:00:00,968.6
2015-01-25 01:00:00,921.5
2015-01-25 02:00:00,905.5
2015-01-25 03:00:00,886.5
2015-01-25 04:00:00,889.8
2015-01-25 05:00:00,903.3
2015-01-25 06:00:00,940.5
2015-01-25 07:00:00,981.2685678
2015-01-25 08:00:00,995.8538449
2015-01-25 09:00:00,988.3653923
2015-01-25 10:00:00,958.3963177
