mpt,kw
2015-01-01 00:00:00,412.615360276
2015-01-01 01:00:00,404.935956943
2015-01-01 02:00:00,394.277283613
2015-01-01 03:00:00,402.20924278
2015-01-01 04:00:00,406.39751778
2015-01-01 05:00:00,408.112414167
2015-01-01 06:00:00,400.833351668
2015-01-01 07:00:00,413.745204725
2015-01-01 08:00:00,403.569810557
2015-01-01 09:00:00,393.774434722
2015-01-01 10:00:00,338.383722776
2015-01-01 11:00:00,318.611621946
2015-01-01 12:00:00,256.955909724
2015-01-01 13:00:00,196.103395555
2015-01-01 14:00:00,203.71666139
2015-01-01 15:00:00,201.548430001
2015-01-01 16:00:00,230.749581669
2015-01-01 17:00:00,290.738437778
2015-01-01 18:00:00,323.186359446
2015-01-01 19:00:00,358.333589446
2015-01-01 20:00:00,347.466470831
2015-01-01 21:00:00,367.29193222
2015-01-01 22:00:00,359.392053335
2015-01-01 23:00:00,358.468188054
2015-01-02 00:00:00,355.827648611
2015-01-02 01:00:00,329.594720835
2015-01-02 02:00:00,342.086787777
2015-01-02 03:00:00,354.657750835
2015-01-02 04:00:00,343.996459446
2015-01-02 05:00:00,357.894262775
2015-01-02 06:00:00,358.67377
2015-01-02 07:00:00,354.735708888
2015-01-02 08:00:00,404.502918057
2015-01-02 09:00:00,391.26738833
2015-01-02 10:00:00,347.495078054
2015-01-02 11:00:00,310.381016942
2015-01-02 12:00:00,242.416565277
2015-01-02 13:00:00,214.875075276
2015-01-02 14:00:00,165.101111108
2015-01-02 15:00:00,163.962387776
2015-01-02 16:00:00,169.001655554
2015-01-02 17:00:00,209.677783059
2015-01-02 18:00:00,278.571431114
2015-01-02 19:00:00,324.206528613
2015-01-02 20:00:00,334.774319722
2015-01-02 21:00:00,349.007161943
2015-01-02 22:00:00,362.275908887
2015-01-02 23:00:00,353.874861387
2015-01-03 00:00:00,361.823360833
2015-01-03 01:00:00,357.531675
2015-01-03 02:00:00,349.96540611
2015-01-03 03:00:00,348.236620555
2015-01-03 04:00:00,336.333731667
2015-01-03 05:00:00,360.536769162
2015-01-03 06:00:00,346.761620837
2015-01-03 07:00:00,357.143053051
2015-01-03 08:00:00,374.483734723
2015-01-03 09:00:00,380.227710835
2015-01-03 10:00:00,304.006118055
2015-01-03 11:00:00,268.315925556
2015-01-03 12:00:00,252.113940556
2015-01-03 13:00:00,237.489329166
2015-01-03 14:00:00,236.164777219
2015-01-03 15:00:00,256.850510558
2015-01-03 16:00:00,299.43311722
2015-01-03 17:00:00,357.097428056
2015-01-03 18:00:00,406.662218889
2015-01-03 19:00:00,413.404856946
2015-01-03 20:00:00,414.299603332
2015-01-03 21:00:00,418.85486222
2015-01-03 22:00:00,436.620835554
2015-01-03 23:00:00,434.905970002
2015-01-04 00:00:00,424.233697226
2015-01-04 01:00:00,420.929784445
2015-01-04 02:00:00,421.702396386
2015-01-04 03:00:00,430.508571946
2015-01-04 04:00:00,433.159506112
2015-01-04 05:00:00,407.269235556
2015-01-04 06:00:00,404.015538333
2015-01-04 07:00:00,424.231284725
2015-01-04 08:00:00,427.88273528
2015-01-04 09:00:00,411.194863888
2015-01-04 10:00:00,390.042502498
2015-01-04 11:00:00,338.700715833
2015-01-04 12:00:00,308.310354442
2015-01-04 13:00:00,262.241418612
2015-01-04 14:00:00,219.501576944
2015-01-04 15:00:00,188.064850832
2015-01-04 16:00:00,210.084992223
2015-01-04 17:00:00,271.919545277
2015-01-04 18:00:00,340.916953892
2015-01-04 19:00:00,367.300638058
2015-01-04 20:00:00,350.80582417
2015-01-04 21:00:00,355.896115832
2015-01-04 22:00:00,367.959654444
2015-01-04 23:00:00,371.875632222
2015-01-05 00:00:00,365.197253055
2015-01-05 01:00:00,371.685756671
2015-01-05 02:00:00,380.112568892
2015-01-05 03:00:00,386.549492223
2015-01-05 04:00:00,382.652796665
2015-01-05 05:00:00,391.739513611
2015-01-05 06:00:00,377.318041388
2015-01-05 07:00:00,418.400866115
2015-01-05 08:00:00,487.317692775
2015-01-05 09:00:00,525.629490557
2015-01-05 10:00:00,518.151211946
2015-01-05 11:00:00,495.963509999
2015-01-05 12:00:00,438.559726666
2015-01-05 13:00:00,415.832974998
2015-01-05 14:00:00,370.383864724
2015-01-05 15:00:00,344.119484999
2015-01-05 16:00:00,323.105221388
2015-01-05 17:00:00,316.800704167
2015-01-05 18:00:00,353.875775278
2015-01-05 19:00:00,370.711912224
2015-01-05 20:00:00,359.189646667
2015-01-05 21:00:00,352.691068334
2015-01-05 22:00:00,344.665038056
2015-01-05 23:00:00,307.019335555
2015-01-06 00:00:00,253.264593054
2015-01-06 01:00:00,248.170986948
2015-01-06 02:00:00,266.301315836
2015-01-06 03:00:00,267.87226
2015-01-06 04:00:00,284.251484166
2015-01-06 05:00:00,285.403110278
2015-01-06 06:00:00,305.897483333
2015-01-06 07:00:00,330.363699443
2015-01-06 08:00:00,423.139978891
2015-01-06 09:00:00,455.365482499
2015-01-06 10:00:00,386.574917502
2015-01-06 11:00:00,317.976925556
2015-01-06 12:00:00,273.89344472
2015-01-06 13:00:00,265.270578892
2015-01-06 14:00:00,233.572385833
2015-01-06 15:00:00,259.656065836
2015-01-06 16:00:00,288.013074445
2015-01-06 17:00:00,279.499213056
2015-01-06 18:00:00,317.471726666
2015-01-06 19:00:00,339.972443887
2015-01-06 20:00:00,315.624661387
2015-01-06 21:00:00,295.666867778
2015-01-06 22:00:00,312.058726113
2015-01-06 23:00:00,299.214584721
2015-01-07 00:00:00,264.77631944
2015-01-07 01:00:00,264.269096947
2015-01-07 02:00:00,279.482778611
2015-01-07 03:00:00,291.211625278
2015-01-07 04:00:00,305.317736391
2015-01-07 05:00:00,314.984001664
2015-01-07 06:00:00,304.195066668
2015-01-07 07:00:00,337.232167224
2015-01-07 08:00:00,421.961772224
2015-01-07 09:00:00,504.306546109
2015-01-07 10:00:00,450.748668335
2015-01-07 11:00:00,434.752226945
2015-01-07 12:00:00,396.89517111
2015-01-07 13:00:00,379.651451669
2015-01-07 14:00:00,352.420924723
2015-01-07 15:00:00,340.039454447
2015-01-07 16:00:00,306.075483056
2015-01-07 17:00:00,289.936617499
2015-01-07 18:00:00,331.805177499
2015-01-07 19:00:00,384.65340361
2015-01-07 20:00:00,366.622209998
2015-01-07 21:00:00,374.76913861
2015-01-07 22:00:00,379.018928611
2015-01-07 23:00:00,361.368804166
2015-01-08 00:00:00,310.394275
2015-01-08 01:00:00,282.033191668
2015-01-08 02:00:00,264.792191666
2015-01-08 03:00:00,258.46202361
2015-01-08 04:00:00,245.055921112
2015-01-08 05:00:00,246.212475001
2015-01-08 06:00:00,253.072088333
2015-01-08 07:00:00,288.272580557
2015-01-08 08:00:00,375.239204999
2015-01-08 09:00:00,430.985588336
2015-01-08 10:00:00,382.430515552
2015-01-08 11:00:00,312.287436388
2015-01-08 12:00:00,261.977633891
2015-01-08 13:00:00,204.377213889
2015-01-08 14:00:00,215.350815559
2015-01-08 15:00:00,245.192622498
2015-01-08 16:00:00,253.068196113
2015-01-08 17:00:00,252.537199443
2015-01-08 18:00:00,300.084674722
2015-01-08 19:00:00,355.018411943
2015-01-08 20:00:00,336.437578331
2015-01-08 21:00:00,349.122330833
2015-01-08 22:00:00,348.025441945
2015-01-08 23:00:00,328.024246945
2015-01-09 00:00:00,314.751501387
2015-01-09 01:00:00,310.019469444
2015-01-09 02:00:00,311.103648612
2015-01-09 03:00:00,316.003435831
2015-01-09 04:00:00,315.858867497
2015-01-09 05:00:00,306.180154719
2015-01-09 06:00:00,319.286106665
2015-01-09 07:00:00,339.354594446
2015-01-09 08:00:00,427.037328611
2015-01-09 09:00:00,482.891827499
2015-01-09 10:00:00,426.950723611
2015-01-09 11:00:00,382.854683608
2015-01-09 12:00:00,358.110524163
2015-01-09 13:00:00,366.214644166
2015-01-09 14:00:00,352.359460277
2015-01-09 15:00:00,344.346450283
2015-01-09 16:00:00,312.625182502
2015-01-09 17:00:00,312.749123336
2015-01-09 18:00:00,392.162482778
2015-01-09 19:00:00,426.401141111
2015-01-09 20:00:00,386.512583891
2015-01-09 21:00:00,337.009754721
2015-01-09 22:00:00,338.654063057
2015-01-09 23:00:00,328.950197775
2015-01-10 00:00:00,310.749576389
2015-01-10 01:00:00,301.519198335
2015-01-10 02:00:00,288.217559998
2015-01-10 03:00:00,287.646595559
2015-01-10 04:00:00,286.067545835
2015-01-10 05:00:00,283.021150002
2015-01-10 06:00:00,280.620086389
2015-01-10 07:00:00,285.645350558
2015-01-10 08:00:00,279.067141948
2015-01-10 09:00:00,271.118980276
2015-01-10 10:00:00,275.99911389
2015-01-10 11:00:00,249.857811668
2015-01-10 12:00:00,198.984275835
2015-01-10 13:00:00,176.218260835
2015-01-10 14:00:00,126.76840389
2015-01-10 15:00:00,141.647845556
2015-01-10 16:00:00,189.906431111
2015-01-10 17:00:00,215.189077225
2015-01-10 18:00:00,265.24982639
2015-01-10 19:00:00,307.134035
2015-01-10 20:00:00,267.096525277
2015-01-10 21:00:00,268.615545556
2015-01-10 22:00:00,274.464622775
2015-01-10 23:00:00,270.967753056
2015-01-11 00:00:00,264.898505277
2015-01-11 01:00:00,269.049967779
2015-01-11 02:00:00,271.951719724
2015-01-11 03:00:00,261.687278887
2015-01-11 04:00:00,268.445217502
