utc,mw
2017-01-01 00:00:00,6536.4
2017-01-01 01:00:00,6901.98
2017-01-01 02:00:00,6986.62
2017-01-01 03:00:00,6910.0
2017-01-01 04:00:00,6692.75
2017-01-01 05:00:00,6550.12
2017-01-01 06:00:00,6195.15
2017-01-01 07:00:00,5897.84
2017-01-01 08:00:00,6315.82
2017-01-01 09:00:00,6470.45
2017-01-01 10:00:00,6451.24
2017-01-01 11:00:00,6145.94
2017-01-01 12:00:00,6524.99
2017-01-01 13:00:00,6484.46
2017-01-01 14:00:00,6205.06
2017-01-01 15:00:00,6134.75
2017-01-01 16:00:00,6482.73
2017-01-01 17:00:00,6931.22
2017-01-01 18:00:00,6984.5
2017-01-01 19:00:00,6889.04
2017-01-01 20:00:00,6681.62
2017-01-01 21:00:00,6507.32
2017-01-01 22:00:00,6387.2
2017-01-01 23:00:00,6832.11
2017-01-02 00:00:00,6679.02
2017-01-02 01:00:00,6914.53
2017-01-02 02:00:00,6932.46
2017-01-02 03:00:00,6853.41
2017-01-02 04:00:00,6773.1
2017-01-02 05:00:00,6831.61
2017-01-02 06:00:00,6372.11
2017-01-02 07:00:00,6131.32
2017-01-02 08:00:00,6398.94
2017-01-02 09:00:00,6661.87
2017-01-02 10:00:00,6803.01
2017-01-02 11:00:00,6663.22
2017-01-02 12:00:00,6888.26
2017-01-02 13:00:00,6755.83
2017-01-02 14:00:00,6601.96
2017-01-02 15:00:00,6604.97
2017-01-02 16:00:00,6926.09
2017-01-02 17:00:00,7465.56
2017-01-02 18:00:00,7549.97
2017-01-02 19:00:00,7320.37
2017-01-02 20:00:00,7019.72
2017-01-02 21:00:00,6819.68
2017-01-02 22:00:00,6881.59
2017-01-02 23:00:00,6726.25
2017-01-03 00:00:00,7070.53
2017-01-03 01:00:00,7338.95
2017-01-03 02:00:00,7257.22
2017-01-03 03:00:00,7205.87
2017-01-03 04:00:00,7045.75
2017-01-03 05:00:00,7252.1
2017-01-03 06:00:00,7146.79
2017-01-03 07:00:00,7447.65
2017-01-03 08:00:00,7942.96
2017-01-03 09:00:00,8123.14
2017-01-03 10:00:00,8095.91
2017-01-03 11:00:00,7961.46
2017-01-03 12:00:00,7974.31
2017-01-03 13:00:00,7869.88
2017-01-03 14:00:00,7742.48
2017-01-03 15:00:00,7755.02
2017-01-03 16:00:00,7959.7
2017-01-03 17:00:00,8416.62
2017-01-03 18:00:00,8472.12
2017-01-03 19:00:00,8158.84
2017-01-03 20:00:00,7731.64
2017-01-03 21:00:00,7387.54
2017-01-03 22:00:00,7283.28
2017-01-03 23:00:00,7097.99
2017-01-04 00:00:00,7009.83
2017-01-04 01:00:00,6973.98
2017-01-04 02:00:00,7096.74
2017-01-04 03:00:00,7174.65
2017-01-04 04:00:00,7025.29
2017-01-04 05:00:00,6944.94
2017-01-04 06:00:00,7096.48
2017-01-04 07:00:00,7654.89
2017-01-04 08:00:00,8130.4
2017-01-04 09:00:00,8319.58
