utc,netload
2017-01-01 00:00:00,6180.82
2017-01-01 01:00:00,6134.29
2017-01-01 02:00:00,6041.86
2017-01-01 03:00:00,5973.1
2017-01-01 04:00:00,5952.18
2017-01-01 05:00:00,5965.92
2017-01-01 06:00:00,5978.12
2017-01-01 07:00:00,5993.71
2017-01-01 08:00:00,6475.71
2017-01-01 09:00:00,6770.17
2017-01-01 10:00:00,6834.83
2017-01-01 11:00:00,6801.54
2017-01-01 12:00:00,6853.51
2017-01-01 13:00:00,6967.47
2017-01-01 14:00:00,7161.32
2017-01-01 15:00:00,7380.24
2017-01-01 16:00:00,7513.15
2017-01-01 17:00:00,7479.88
2017-01-01 18:00:00,7421.55
2017-01-01 19:00:00,7355.47
2017-01-01 20:00:00,7070.87
2017-01-01 21:00:00,6854.91
2017-01-01 22:00:00,6572.25
2017-01-01 23:00:00,6431.34
2017-01-02 00:00:00,6513.09
2017-01-02 01:00:00,6510.84
2017-01-02 02:00:00,6413.68
2017-01-02 03:00:00,6579.82
2017-01-02 04:00:00,7153.27
2017-01-02 05:00:00,8192.51
2017-01-02 06:00:00,8751.33
2017-01-02 07:00:00,9077.82
2017-01-02 08:00:00,9452.08
2017-01-02 09:00:00,9593.07
2017-01-02 10:00:00,9653.85
2017-01-02 11:00:00,9901.81
2017-01-02 12:00:00,9807.43
2017-01-02 13:00:00,9720.87
2017-01-02 14:00:00,9720.53
2017-01-02 15:00:00,9728.33
2017-01-02 16:00:00,9763.17
2017-01-02 17:00:00,9548.15
2017-01-02 18:00:00,9427.38
2017-01-02 19:00:00,9087.16
2017-01-02 20:00:00,8635.19
2017-01-02 21:00:00,8108.84
2017-01-02 22:00:00,7724.86
2017-01-02 23:00:00,7419.92
2017-01-03 00:00:00,7482.06
2017-01-03 01:00:00,7426.77
2017-01-03 02:00:00,7371.87
2017-01-03 03:00:00,7495.82
2017-01-03 04:00:00,7951.44
2017-01-03 05:00:00,9023.93
2017-01-03 06:00:00,9539.29
2017-01-03 07:00:00,9611.87
2017-01-03 08:00:00,9767.64
2017-01-03 09:00:00,9739.43
2017-01-03 10:00:00,9723.22
2017-01-03 11:00:00,9931.81
2017-01-03 12:00:00,9877.37
2017-01-03 13:00:00,9774.3
2017-01-03 14:00:00,9814.42
2017-01-03 15:00:00,9877.31
2017-01-03 16:00:00,9950.55
2017-01-03 17:00:00,9686.51
2017-01-03 18:00:00,9551.2
2017-01-03 19:00:00,9289.85
2017-01-03 20:00:00,8776.39
2017-01-03 21:00:00,8234.89
2017-01-03 22:00:00,7794.61
2017-01-03 23:00:00,7518.72
2017-01-04 00:00:00,7582.46
2017-01-04 01:00:00,7509.9
2017-01-04 02:00:00,7418.81
2017-01-04 03:00:00,7511.99
2017-01-04 04:00:00,7983.28
2017-01-04 05:00:00,9093.59
2017-01-04 06:00:00,9605.27
2017-01-04 07:00:00,9622.84
2017-01-04 08:00:00,9826.12
2017-01-04 09:00:00,9832.08
2017-01-04 10:00:00,9792.73
2017-01-04 11:00:00,9911.73
2017-01-04 12:00:00,9868.86
2017-01-04 13:00:00,9756.61
2017-01-04 14:00:00,9757.57
2017-01-04 15:00:00,9819.16
2017-01-04 16:00:00,9921.29
2017-01-04 17:00:00,9645.14
2017-01-04 18:00:00,9514.76
2017-01-04 19:00:00,9274.5
2017-01-04 20:00:00,8794.85
2017-01-04 21:00:00,8236.63
2017-01-04 22:00:00,7814.79
2017-01-04 23:00:00,7536.13
2017-01-05 00:00:00,7599.82
2017-01-05 01:00:00,7540.96
2017-01-05 02:00:00,7430.73
2017-01-05 03:00:00,7589.57
2017-01-05 04:00:00,8066.84
2017-01-05 05:00:00,9149.96
2017-01-05 06:00:00,9635.44
2017-01-05 07:00:00,9736.63
2017-01-05 08:00:00,9897.05
2017-01-05 09:00:00,9897.51
2017-01-05 10:00:00,9848.62
2017-01-05 11:00:00,9984.36
2017-01-05 12:00:00,9922.95
2017-01-05 13:00:00,9868.25
2017-01-05 14:00:00,9933.01
2017-01-05 15:00:00,10039.67
2017-01-05 16:00:00,10230.07
2017-01-05 17:00:00,10000.7
2017-01-05 18:00:00,9906.78
2017-01-05 19:00:00,9596.56
2017-01-05 20:00:00,9096.05
2017-01-05 21:00:00,8588.46
2017-01-05 22:00:00,8205.79
2017-01-05 23:00:00,7888.76
2017-01-06 00:00:00,7970.81
2017-01-06 01:00:00,7882.75
2017-01-06 02:00:00,7822.87
2017-01-06 03:00:00,7922.0
2017-01-06 04:00:00,8389.64
2017-01-06 05:00:00,9467.64
2017-01-06 06:00:00,9927.8
2017-01-06 07:00:00,10034.0
2017-01-06 08:00:00,10184.09
2017-01-06 09:00:00,10162.31
2017-01-06 10:00:00,10072.43
2017-01-06 11:00:00,10123.67
2017-01-06 12:00:00,10099.51
2017-01-06 13:00:00,10109.45
2017-01-06 14:00:00,10124.3
2017-01-06 15:00:00,10131.5
2017-01-06 16:00:00,10281.72
2017-01-06 17:00:00,10010.68
2017-01-06 18:00:00,9858.15
2017-01-06 19:00:00,9530.44
2017-01-06 20:00:00,9058.86
2017-01-06 21:00:00,8596.21
2017-01-06 22:00:00,8228.31
2017-01-06 23:00:00,7819.55
2017-01-07 00:00:00,7679.14
2017-01-07 01:00:00,7765.31
2017-01-07 02:00:00,7873.53
2017-01-07 03:00:00,7928.91
2017-01-07 04:00:00,7966.04
2017-01-07 05:00:00,8133.87
2017-01-07 06:00:00,8411.76
2017-01-07 07:00:00,8588.96
2017-01-07 08:00:00,9090.55
2017-01-07 09:00:00,9325.99
2017-01-07 10:00:00,9302.52
2017-01-07 11:00:00,9219.22
2017-01-07 12:00:00,9261.72
2017-01-07 13:00:00,9157.02
2017-01-07 14:00:00,9236.79
2017-01-07 15:00:00,9283.0
2017-01-07 16:00:00,9235.34
2017-01-07 17:00:00,9148.64
2017-01-07 18:00:00,8937.45
2017-01-07 19:00:00,8777.62
2017-01-07 20:00:00,8334.97
2017-01-07 21:00:00,8126.75
2017-01-07 22:00:00,7818.17
2017-01-07 23:00:00,7481.12
2017-01-08 00:00:00,7452.65
2017-01-08 01:00:00,7534.25
2017-01-08 02:00:00,7446.6
2017-01-08 03:00:00,7461.75
2017-01-08 04:00:00,7485.69
2017-01-08 05:00:00,7619.93
2017-01-08 06:00:00,7815.92
2017-01-08 07:00:00,8047.15
2017-01-08 08:00:00,8574.22
2017-01-08 09:00:00,8918.01
2017-01-08 10:00:00,8921.78
2017-01-08 11:00:00,8825.52
2017-01-08 12:00:00,8822.18
2017-01-08 13:00:00,8747.83
2017-01-08 14:00:00,8876.3
2017-01-08 15:00:00,8987.63
2017-01-08 16:00:00,9094.4
2017-01-08 17:00:00,9144.12
2017-01-08 18:00:00,9012.0
2017-01-08 19:00:00,8831.94
2017-01-08 20:00:00,8462.57
2017-01-08 21:00:00,8348.61
2017-01-08 22:00:00,8043.36
2017-01-08 23:00:00,7868.77
2017-01-09 00:00:00,7964.67
2017-01-09 01:00:00,7914.57
2017-01-09 02:00:00,7830.35
2017-01-09 03:00:00,7967.54
2017-01-09 04:00:00,8441.49
2017-01-09 05:00:00,9555.67
2017-01-09 06:00:00,10026.55
2017-01-09 07:00:00,10173.07
2017-01-09 08:00:00,10341.89
2017-01-09 09:00:00,10349.18
2017-01-09 10:00:00,10253.85
2017-01-09 11:00:00,10460.71
2017-01-09 12:00:00,10436.15
2017-01-09 13:00:00,10346.04
2017-01-09 14:00:00,10337.94
2017-01-09 15:00:00,10263.52
2017-01-09 16:00:00,10408.92
2017-01-09 17:00:00,10186.18
2017-01-09 18:00:00,10103.74
2017-01-09 19:00:00,9797.28
2017-01-09 20:00:00,9287.67
2017-01-09 21:00:00,8726.02
2017-01-09 22:00:00,8305.14
2017-01-09 23:00:00,8068.32
2017-01-10 00:00:00,8154.56
2017-01-10 01:00:00,8082.16
2017-01-10 02:00:00,7986.71
2017-01-10 03:00:00,8109.08
2017-01-10 04:00:00,8572.78
2017-01-10 05:00:00,9686.37
2017-01-10 06:00:00,10144.43
2017-01-10 07:00:00,10249.87
2017-01-10 08:00:00,10396.06
2017-01-10 09:00:00,10370.27
2017-01-10 10:00:00,10279.0
2017-01-10 11:00:00,10383.03
2017-01-10 12:00:00,10315.12
2017-01-10 13:00:00,10209.81
2017-01-10 14:00:00,10263.43
2017-01-10 15:00:00,10302.55
2017-01-10 16:00:00,10591.54
2017-01-10 17:00:00,10377.72
