utc,netload
2017-01-01 00:00:00,73330.0
2017-01-01 01:00:00,71806.0
2017-01-01 02:00:00,68195.0
2017-01-01 03:00:00,65672.0
2017-01-01 04:00:00,64842.0
2017-01-01 05:00:00,64454.0
2017-01-01 06:00:00,64524.0
2017-01-01 07:00:00,64855.0
2017-01-01 08:00:00,66246.0
2017-01-01 09:00:00,68222.0
2017-01-01 10:00:00,69688.0
2017-01-01 11:00:00,72008.0
2017-01-01 12:00:00,71056.0
2017-01-01 13:00:00,68243.0
2017-01-01 14:00:00,66403.0
2017-01-01 15:00:00,66053.0
2017-01-01 16:00:00,69303.0
2017-01-01 17:00:00,73364.0
2017-01-01 18:00:00,74695.0
2017-01-01 19:00:00,73274.0
2017-01-01 20:00:00,70978.0
2017-01-01 21:00:00,71702.0
2017-01-01 22:00:00,72428.0
2017-01-01 23:00:00,69366.0
2017-01-02 00:00:00,66988.0
2017-01-02 01:00:00,65675.0
2017-01-02 02:00:00,63066.0
2017-01-02 03:00:00,62297.0
2017-01-02 04:00:00,64296.0
2017-01-02 05:00:00,67976.0
2017-01-02 06:00:00,71995.0
2017-01-02 07:00:00,74893.0
2017-01-02 08:00:00,76875.0
2017-01-02 09:00:00,78624.0
2017-01-02 10:00:00,79837.0
2017-01-02 11:00:00,80947.0
2017-01-02 12:00:00,79519.0
2017-01-02 13:00:00,77813.0
2017-01-02 14:00:00,75739.0
2017-01-02 15:00:00,75511.0
2017-01-02 16:00:00,78799.0
2017-01-02 17:00:00,82562.0
2017-01-02 18:00:00,82535.0
2017-01-02 19:00:00,78425.0
2017-01-02 20:00:00,74836.0
2017-01-02 21:00:00,75000.0
2017-01-02 22:00:00,75682.0
2017-01-02 23:00:00,73185.0
2017-01-03 00:00:00,70940.0
2017-01-03 01:00:00,69855.0
2017-01-03 02:00:00,67557.0
2017-01-03 03:00:00,66819.0
2017-01-03 04:00:00,69280.0
2017-01-03 05:00:00,75148.0
2017-01-03 06:00:00,81281.0
2017-01-03 07:00:00,83749.0
2017-01-03 08:00:00,84391.0
2017-01-03 09:00:00,84577.0
2017-01-03 10:00:00,84639.0
2017-01-03 11:00:00,84268.0
2017-01-03 12:00:00,82572.0
2017-01-03 13:00:00,80548.0
2017-01-03 14:00:00,78619.0
2017-01-03 15:00:00,78594.0
2017-01-03 16:00:00,82342.0
2017-01-03 17:00:00,86820.0
