ept,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,-11.3,1,0,3,32288.116,31660.636,12382.532000000005
2015-01-08 01:00:00,-12.9,1,1,3,31695.589,30766.066000000003,12699.06737142857
2015-01-08 02:00:00,-13.8,1,2,3,31377.35,30201.596,12892.125314285711
2015-01-08 03:00:00,-14.5,1,3,3,31461.963,29901.406000000003,13140.370457142852
2015-01-08 04:00:00,-15.0,1,4,3,32349.539,30084.427000000003,13640.48982857143
2015-01-08 05:00:00,-15.4,1,5,3,34789.391,30734.303,14614.336542857143
2015-01-08 06:00:00,-15.9,1,6,3,38501.602,31637.994,16149.164314285714
2015-01-08 07:00:00,-16.4,1,7,3,40625.792,31823.283,16606.71277142857
2015-01-08 08:00:00,-16.8,1,8,3,38523.188994,29546.483515,15459.579542857153
2015-01-08 09:00:00,-17.2,1,9,3,36916.170908,27652.289773,14218.157028571422
2015-01-08 10:00:00,-17.2,1,10,3,36916.175745,26421.059668,13243.270171428572
2015-01-08 11:00:00,-17.3,1,11,3,34946.23502,26616.876313,12514.036885714291
2015-01-08 12:00:00,-17.2,1,12,3,34501.62377,26391.766447,11978.181799999998
2015-01-08 13:00:00,-15.9,1,13,3,34641.219773,25537.515065000003,11658.234742857136
2015-01-08 14:00:00,-14.0,1,14,3,37427.433808,25913.537071,11602.790657142854
2015-01-08 15:00:00,-12.3,1,15,3,38176.600726,27803.338795,11999.975199999995
2015-01-08 16:00:00,-10.8,1,16,3,39484.9339528,31212.5693223,12506.726657142855
2015-01-08 17:00:00,-9.1,1,17,3,43285.348,34991.034,13439.635228571433
2015-01-08 18:00:00,-7.7,1,18,3,43654.731,35197.896,13459.084057142856
2015-01-08 19:00:00,-6.9,1,19,3,43267.959,34840.912000000004,13489.305714285714
2015-01-08 20:00:00,-6.9,1,20,3,42329.901,34313.86,13187.214485714274
2015-01-08 21:00:00,-7.8,1,21,3,40578.745,33238.146,12479.947799999994
2015-01-08 22:00:00,-9.4,1,22,3,38045.742,31471.802000000003,11304.26988571428
2015-01-08 23:00:00,-10.6,1,23,3,35795.715,29616.103,10490.061657142862
2015-01-09 00:00:00,-11.2,1,0,4,34280.487,28225.159,9737.746000000005
2015-01-09 01:00:00,-11.3,1,1,4,33507.163,27422.008,9703.848371428572
2015-01-09 02:00:00,-8.0,1,2,4,33197.699,27128.334,9689.064314285712
2015-01-09 03:00:00,-6.4,1,3,4,33316.777,27240.126,9667.164457142855
2015-01-09 04:00:00,-5.3,1,4,4,34084.228,27861.498,9816.45782857143
2015-01-09 05:00:00,-5.3,1,5,4,36285.313,29463.261,10418.156542857145
2015-01-09 06:00:00,-5.9,1,6,4,39659.944,31760.864,11755.465314285711
2015-01-09 07:00:00,-5.7,1,7,4,41491.745,33373.787000000004,12331.22377142857
2015-01-09 08:00:00,-5.1,1,8,4,39126.729072,33942.210406679995,11517.71554285715
2015-01-09 09:00:00,-4.3,1,9,4,36690.110215,33780.7153163,10869.686028571425
2015-01-09 10:00:00,-1.0,1,10,4,35066.183197000006,32691.841831999995,9944.35117142857
2015-01-09 11:00:00,2.0,1,11,4,34281.119108,31152.574343,8863.695885714293
2015-01-09 12:00:00,2.8,1,12,4,36292.446144,29250.493034000003,8201.531799999997
2015-01-09 13:00:00,2.4,1,13,4,36332.231595,29268.744078,7894.497742857136
2015-01-09 14:00:00,-1.2,1,14,4,37894.714849,29562.939932,7615.723657142858
2015-01-09 15:00:00,-3.4,1,15,4,40328.4579398,31222.918894,7555.974200000001
2015-01-09 16:00:00,-4.1,1,16,4,42219.4159571,33561.89730867,7775.2696571428605
2015-01-09 17:00:00,-3.8,1,17,4,46288.345,36451.781,8363.074228571437
2015-01-09 18:00:00,-3.1,1,18,4,46771.182,36444.819,8386.15905714286
2015-01-09 19:00:00,-2.6,1,19,4,46687.375,35933.064,8176.26371428572
2015-01-09 20:00:00,-2.1,1,20,4,46177.651,35289.072,8096.878485714278
2015-01-09 21:00:00,-2.6,1,21,4,44772.331,34255.907,8199.176799999994
2015-01-09 22:00:00,-4.4,1,22,4,42415.607,32589.987,8152.481885714278
2015-01-09 23:00:00,-7.5,1,23,4,40278.503,30845.714,8077.046657142862
2015-01-10 00:00:00,-8.9,1,0,5,38996.785,29342.443,7669.191000000002
2015-01-10 01:00:00,-9.8,1,1,5,38439.636,28488.835,8000.69437142857
2015-01-10 02:00:00,-11.5,1,2,5,38168.687000000005,28028.074,8357.602314285712
2015-01-10 03:00:00,-12.5,1,3,5,38288.055,27859.687,8614.122457142854
2015-01-10 04:00:00,-12.8,1,4,5,39122.047,27992.567000000003,8868.288828571429
2015-01-10 05:00:00,-13.5,1,5,5,41197.331,28625.048,8861.160542857146
2015-01-10 06:00:00,-14.2,1,6,5,44535.908,29682.971,8719.130314285714
2015-01-10 07:00:00,-14.6,1,7,5,46236.009000000005,30630.116,8988.62177142857
2015-01-10 08:00:00,-15.2,1,8,5,43355.280181,31466.7814975,9380.831542857144
