date,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,11.1,1,0,3,10311.614248568025,9844.20026759714,1759.298263154713
2015-01-08 01:00:00,11.2,1,1,3,10153.95529745421,9653.45626869012,1965.750164147976
2015-01-08 02:00:00,9.2,1,2,3,10107.504102300156,9502.299658821694,2192.6094163295147
2015-01-08 03:00:00,7.9,1,3,3,10198.666935609968,9474.47803556729,2412.83810400135
2015-01-08 04:00:00,7.0,1,4,3,10535.15157698741,9554.37048868239,2669.9208702496417
2015-01-08 05:00:00,6.1,1,5,3,11337.83235880477,9741.106981382149,3076.796306285385
2015-01-08 06:00:00,4.9,1,6,3,12340.064320763044,9867.968014191529,3454.0963711888817
2015-01-08 07:00:00,3.8,1,7,3,12402.470954651122,9903.340771174422,3406.200389818132
2015-01-08 08:00:00,2.8,1,8,3,11916.13037591043,10027.948683020284,3060.6284423808866
2015-01-08 09:00:00,1.9,1,9,3,11500.641668620608,10365.792157723532,2716.074160012744
2015-01-08 10:00:00,1.1,1,10,3,11077.182995550802,10703.621443230792,2366.856481932042
2015-01-08 11:00:00,0.7,1,11,3,10651.477631574397,10897.493837499756,2034.251423155112
2015-01-08 12:00:00,0.2,1,12,3,10291.851492976411,10929.630982861916,1698.5292270292412
2015-01-08 13:00:00,-0.1,1,13,3,10045.261231982911,10838.469989359226,1524.4918114668235
2015-01-08 14:00:00,0.2,1,14,3,9802.177836792536,10731.549948650723,1382.378086869969
2015-01-08 15:00:00,1.1,1,15,3,9654.937343876,10669.174415211864,1490.7178362742816
2015-01-08 16:00:00,2.7,1,16,3,9645.770646837738,10751.430866875524,1759.4435173847996
2015-01-08 17:00:00,4.2,1,17,3,10094.841253310622,11216.552025352605,2177.974857069017
2015-01-08 18:00:00,5.1,1,18,3,10670.468000027658,11355.271730008491,2335.785240257668
2015-01-08 19:00:00,5.9,1,19,3,10724.365762551624,11193.949638249083,2384.013609646392
2015-01-08 20:00:00,5.8,1,20,3,10665.864847774365,10976.154934050342,2408.26903019121
2015-01-08 21:00:00,5.7,1,21,3,10378.518962125869,10684.951054754796,2231.3985187999406
2015-01-08 22:00:00,5.6,1,22,3,9852.748872429716,10240.35384935634,1988.7512743691584
2015-01-08 23:00:00,5.3,1,23,3,9321.8114,9740.2865,1802.770450525772
2015-01-09 00:00:00,5.0,1,0,4,8991.474419248778,9309.724694239349,1601.9513438544654
2015-01-09 01:00:00,5.0,1,1,4,8864.33704288824,9044.78623372105,1551.025954484243
2015-01-09 02:00:00,5.2,1,2,4,8803.160481392288,8910.154863375701,1528.6501535310144
2015-01-09 03:00:00,5.4,1,3,4,8848.088675631332,8914.614286578259,1538.358779935175
2015-01-09 04:00:00,5.6,1,4,4,9153.717875316876,9093.417104426431,1637.053233953062
2015-01-09 05:00:00,5.6,1,5,4,9899.888592861536,9506.316924879611,1831.6079397336453
2015-01-09 06:00:00,5.4,1,6,4,10824.226347556658,10003.939793971613,2091.4656785450607
2015-01-09 07:00:00,4.3,1,7,4,11028.138981555268,10295.597471449735,2180.537788478436
2015-01-09 08:00:00,4.3,1,8,4,10880.907625522515,10428.875766152578,2185.2479523930942
2015-01-09 09:00:00,4.4,1,9,4,10902.107617049767,10640.762026738752,2284.200094807657
2015-01-09 10:00:00,4.7,1,10,4,10894.694149778075,10766.879498170398,2451.629131129668
