date,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,1.8,1,0,3,6439.604153302078,6731.301663234526,2976.638044847442
2015-01-08 01:00:00,0.7,1,1,3,6328.307513758837,6602.935629169919,3133.864292600473
2015-01-08 02:00:00,-0.3,1,2,3,6354.726926884949,6530.663272833682,3240.8192886297084
2015-01-08 03:00:00,-1.2,1,3,3,6453.1181257922735,6503.367925032924,3390.8875172804364
2015-01-08 04:00:00,-2.1,1,4,3,6652.515673478602,6603.22787232566,3536.059635897869
2015-01-08 05:00:00,-3.0,1,5,3,7227.794491551629,6831.09455456147,3742.759542842493
2015-01-08 06:00:00,-3.7,1,6,3,7975.63356278025,7005.667570017158,3962.488409227579
2015-01-08 07:00:00,-4.4,1,7,3,8092.623878387974,7106.925301039428,3846.194282555168
2015-01-08 08:00:00,-5.1,1,8,3,7629.290680822069,7190.772304819125,3521.652826625196
2015-01-08 09:00:00,-5.8,1,9,3,7061.876449527469,7439.083856236339,3362.356666798404
2015-01-08 10:00:00,-6.6,1,10,3,6625.610964008465,7660.510132649951,3232.9020909592145
2015-01-08 11:00:00,-7.2,1,11,3,6236.730482407579,7819.212244207281,3121.279669428161
2015-01-08 12:00:00,-7.6,1,12,3,5874.911575581551,7845.8812850453,2959.742413591821
2015-01-08 13:00:00,-7.7,1,13,3,5603.757460854369,7789.898038047869,2815.009599711604
2015-01-08 14:00:00,-6.5,1,14,3,5447.980375891531,7657.86392390272,2641.0320717281065
2015-01-08 15:00:00,-5.2,1,15,3,5362.891232182915,7527.252626301768,2540.477603610177
2015-01-08 16:00:00,-4.3,1,16,3,5380.284975153732,7529.644350274048,2662.066981756443
2015-01-08 17:00:00,-3.6,1,17,3,5658.827897644825,7793.170981005568,2916.999816718474
2015-01-08 18:00:00,-3.4,1,18,3,6248.95380103684,7988.466746419424,3057.707822405376
2015-01-08 19:00:00,-3.0,1,19,3,6361.299974737348,7875.49028062257,2973.033290155303
2015-01-08 20:00:00,-1.7,1,20,3,6355.479348571431,7730.627721370471,2965.840566332025
